Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verneuilina spp.	Stensioina beccariiformis	Spiroplectammina spp.	Saracenaria spp.	Pullenia cretacea	Pullenia coryelli	Pullenia americana	Praebulimina spp.	Pleurostomella spp.	Osangularia velascoensis	Oridorsalis sp. 1	Oolina spp.	Nuttallinella florealis	Nuttallides truempyi (thin shaped)	Nodosaria soluta	Nodosarella spp.	Marginulina spp.	Lenticulina spp.	Gyroidinoides quadratus	Gyroidinoides planulatus	Gyroidinoides globulosus	Gyroidina soldanii	Gravellina sp.	Gaudryina cf. laevigata	Frondicularia spp.	Fissurina spp.	Dorothia trochoides	Dentalina spp.	Coryphostoma midwayensis	Cibicidoides velascoensis	Cibicidoides spp.	Cibicidoides hyphalus	Cibicidoides dayi	Bulimina triangularis	Bolivinoides draco	Astrononion stelligerum	Anomalinoides spp.	Anomalinoides grosserugosus	Anomalina praeacuta	Valvulineria spp.	Vaginulina spp.	Reussella ? sp. 	Pyramidina sp.	Pullenia spp.	Pullenia reussi	Orthomorphina spp.	Lagena spp.	Gyroidinoides spp.	Guttulina sp.	Ellipsoidina sp.	Cibicidoides cf. velascoensis	Spiroplectammina spectabilis	Oridorsalis umbonatus	Nodosaria spp.	Guttulina problema	Dorothia spp.	Cibicides cf. ribbingi	Pseudonodosaria sp.	Nodosaria vertebralis	Guttulina cf. trigonula	Globulina gibba	Ellipsoidella spp.	Buliminella sp. 1	Pyrulina sp.	Oridorsalis sp.	Bulimina sp.	Astacolus spp.	Nuttallides truempyi	Coryphostoma incrassata	Neoflabellina reticulata	Eouvigerina americana ?	Nonionella unspecified taxon	Globorotalites conicus	Siphotextularia ? sp.	Praebulimina navarroensis	Lingulina sp.	Dorothia conicula	Ammodiscus sp.	Stilostomella spp.	Osangularia cordieriana	Dorothia bulletta	Glabratella sp.	Nuttallides ? sp.	Marssonella sp.	Glandulina ? sp.	Osangularia sp. 1	Ellipsoidina ellipsoides	Alabamina creta	Cibicidoides cf. pseudoperlucidus	Gyroidinoides cf. globulosus	Bolivinoides delicatulus	Anomalinoides undulatus	Allomorphina sp.	Gavelinella sp.	Discorbis sp.	Cibicides spp.	Tritaxia globulifera	Ramulina sp.	Gaudryina sp.	Dorothia cf. oxycona	Conorbina sp.	Bulimina trinitatensis	Quadrimorphina allomorphinoides	Nonion spp.	Massilina sp.	Clavulina spp.	Bathysiphon sp. 	Eponides sp.	Remesella varians	Gyroidinoides cf. exsertus	Gyroidina noda	Anomalinoides capitatus/danicus	Saccammina ? sp.	Aragonia aragonensis	Tritaxia cf. globulifera	Anomalinoides semicribratus	Sphaeroidina sp.	Uvigerina spp.	Tritaxia ? sp.	Tritaxia paleocenica	Pleurostomella alternans	Lenticulina whitei	Stilostomella gracillima	Gaudryina pyramidata	Cibicides excavata	Astrononion sp.	Comment

  SR	                 	                 	                  	              	121	 752	B	  7	R	 5	  76.00	    322.8600	Nomura   	Benthic Foraminifers                         	               	                  	                	56                       	                     	2               	2                	31               	3                 	                 	                   	                        	1                	1          	                       	                                  	                	                	1               	5               	                       	                        	                        	                  	              	                       	                  	              	                   	2             	9                       	2                        	3                	1                    	                 	                     	                  	                       	                  	                           	12                 	7                	               	                	              	             	7              	                  	           	2                 	1            	                	                             	                            	2                    	3             	                  	1            	                      	1                  	                     	1                      	               	1                 	                 	            	               	            	              	2                   	                       	                        	                       	                            	                      	                     	                         	             	                 	              	1                 	                       	                 	               	                 	               	                	                 	1                       	               	                                 	                            	                        	                       	6               	               	             	              	                    	            	             	                    	             	5                     	                               	3          	             	              	                	            	2                	                          	              	                               	                	                    	                        	4                          	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 183 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	  8	R	 2	  91.00	    326.8500	Nomura   	Benthic Foraminifers                         	               	                  	                	40                       	                     	                	2                	18               	                  	1                	                   	                        	                 	           	                       	                                  	1               	                	2               	12              	                       	4                       	                        	                  	              	                       	                  	              	                   	              	7                       	18                       	1                	7                    	                 	1                    	                  	                       	1                 	                           	11                 	3                	               	                	4             	             	               	                  	1          	                  	6            	                	                             	                            	1                    	              	                  	1            	                      	                   	                     	5                      	               	1                 	                 	            	               	2           	              	19                  	                       	1                       	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	2               	3              	             	              	                    	            	             	                    	             	4                     	                               	2          	             	              	                	            	3                	                          	4             	                               	                	                    	2                       	1                          	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 194 miscellaneous species 5 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	  8	R	 6	 101.00	    332.9100	Nomura   	Benthic Foraminifers                         	               	                  	                	28                       	                     	4               	4                	49               	                  	                 	1                  	                        	                 	2          	                       	                                  	                	                	1               	10              	                       	2                       	                        	                  	              	2                      	1                 	1             	                   	1             	6                       	13                       	2                	7                    	                 	3                    	                  	                       	                  	                           	8                  	1                	               	                	              	             	4              	                  	           	                  	5            	                	                             	                            	3                    	7             	                  	1            	                      	                   	                     	2                      	1              	                  	                 	            	               	            	2             	32                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	1              	                                 	                            	                        	                       	                	19             	             	              	                    	            	             	                    	             	10                    	                               	4          	             	1             	                	            	9                	                          	2             	                               	3               	1                   	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 260 miscellaneous species 8 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	  9	R	 1	  42.00	    335.8200	Nomura   	Benthic Foraminifers                         	               	                  	                	57                       	                     	3               	1                	17               	                  	                 	                   	                        	3                	2          	                       	                                  	                	                	2               	3               	                       	7                       	                        	                  	              	                       	                  	              	                   	1             	9                       	9                        	                 	5                    	                 	2                    	                  	                       	                  	                           	2                  	3                	               	                	1             	1            	               	                  	           	                  	6            	                	14                           	                            	6                    	1             	                  	3            	                      	                   	                     	4                      	               	1                 	                 	            	1              	            	1             	43                  	                       	1                       	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	3              	                                 	                            	                        	                       	                	32             	             	              	                    	            	2            	                    	             	7                     	                               	5          	             	              	                	            	5                	                          	7             	2                              	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 270 miscellaneous species 5 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 10	R	 1	 105.00	    346.1500	Nomura   	Benthic Foraminifers                         	               	                  	                	87                       	                     	                	2                	22               	                  	                 	                   	                        	4                	3          	                       	                                  	2               	                	1               	2               	                       	1                       	                        	                  	              	                       	                  	              	                   	1             	4                       	12                       	                 	4                    	                 	                     	                  	                       	1                 	                           	27                 	                 	               	                	              	2            	               	                  	           	                  	1            	                	3                            	                            	2                    	7             	                  	1            	                      	1                  	                     	                       	               	                  	                 	            	               	            	1             	19                  	                       	                        	                       	2                           	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	1                       	               	                                 	                            	                        	                       	                	19             	             	              	                    	            	             	                    	             	                      	9                              	           	             	              	                	            	8                	                          	5             	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 267 miscellaneous species 14 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 10	R	 3	 112.00	    349.2200	Nomura   	Benthic Foraminifers                         	               	                  	                	56                       	1                    	1               	1                	15               	                  	                 	                   	                        	                 	           	                       	                                  	                	                	2               	9               	                       	2                       	                        	1                 	              	2                      	                  	              	2                  	              	9                       	                         	                 	                     	                 	                     	                  	                       	                  	                           	13                 	1                	               	                	              	             	6              	                  	           	                  	1            	                	6                            	                            	                     	4             	                  	             	                      	                   	                     	                       	               	                  	                 	            	               	            	              	23                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	8              	             	              	                    	            	1            	                    	             	2                     	16                             	10         	             	              	                	            	1                	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 198 miscellaneous species 5 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 10	R	 4	  79.00	    350.3900	Nomura   	Benthic Foraminifers                         	               	                  	                	47                       	                     	                	5                	11               	                  	                 	1                  	                        	6                	1          	                       	                                  	                	                	1               	2               	                       	3                       	1                       	                  	              	1                      	                  	              	2                  	4             	                        	3                        	                 	4                    	                 	                     	                  	                       	1                 	                           	10                 	1                	               	                	              	1            	2              	                  	1          	1                 	             	                	2                            	                            	                     	              	                  	             	                      	                   	                     	                       	               	                  	                 	            	               	            	              	20                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	1                       	               	                                 	                            	                        	                       	1               	16             	             	              	                    	            	2            	                    	             	1                     	                               	           	             	              	                	            	3                	4                         	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 162 miscellaneous species 4 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 10	R	CC	  12.00	    354.8400	Nomura   	Benthic Foraminifers                         	               	                  	1               	32                       	                     	3               	2                	24               	                  	                 	                   	                        	4                	           	                       	                                  	                	1               	1               	                	                       	1                       	                        	                  	              	                       	1                 	              	                   	2             	1                       	6                        	                 	                     	                 	                     	                  	                       	                  	                           	4                  	1                	               	                	              	             	               	                  	           	1                 	             	                	5                            	                            	                     	1             	                  	             	                      	                   	                     	1                      	               	1                 	                 	            	               	            	              	15                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	2                	               	                	                 	                        	               	                                 	                            	                        	                       	                	7              	             	              	                    	            	             	                    	             	1                     	                               	3          	             	              	                	3           	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 122 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 11	R	 1	  44.00	    355.2400	Nomura   	Benthic Foraminifers                         	               	                  	                	20                       	                     	                	                 	7                	                  	                 	2                  	                        	                 	2          	                       	3                                 	2               	1               	                	                	                       	                        	                        	                  	              	                       	                  	              	                   	5             	                        	                         	                 	                     	                 	                     	                  	                       	                  	                           	5                  	                 	               	                	              	             	               	                  	           	2                 	1            	                	8                            	                            	                     	              	                  	             	                      	                   	                     	                       	               	                  	                 	            	1              	            	              	7                   	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	4                     	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 70 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 11	R	 2	  44.00	    356.7400	Nomura   	Benthic Foraminifers                         	               	                  	                	70                       	                     	                	8                	22               	                  	                 	                   	                        	                 	7          	                       	                                  	1               	                	                	4               	                       	3                       	5                       	                  	              	                       	                  	              	                   	4             	3                       	11                       	1                	                     	                 	                     	                  	                       	                  	                           	11                 	                 	               	                	              	             	               	                  	           	1                 	             	                	2                            	                            	4                    	6             	                  	             	                      	                   	                     	                       	1              	                  	                 	1           	5              	            	              	29                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	1                	               	                	20               	                        	23             	                                 	                            	                        	                       	                	40             	             	              	1                   	            	             	                    	             	9                     	1                              	6          	1            	3             	1               	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 285 miscellaneous species 2 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 11	R	 3	  38.00	    358.1800	Nomura   	Benthic Foraminifers                         	               	                  	                	71                       	                     	5               	3                	21               	                  	                 	                   	                        	3                	3          	                       	1                                 	                	                	2               	3               	                       	2                       	                        	                  	              	                       	                  	              	                   	13            	                        	9                        	                 	                     	                 	                     	                  	                       	                  	                           	12                 	                 	               	                	              	             	               	                  	           	5                 	2            	                	                             	                            	4                    	1             	                  	             	                      	1                  	                     	                       	1              	                  	                 	            	1              	1           	              	24                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	3                	               	                	                 	                        	19             	                                 	                            	                        	                       	                	2              	             	              	                    	            	             	                    	             	6                     	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 201 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 11	R	 3	  64.00	    358.4400	Nomura   	Benthic Foraminifers                         	               	                  	                	51                       	                     	                	                 	2                	8                 	                 	1                  	                        	                 	3          	                       	                                  	                	                	                	4               	                       	                        	                        	                  	              	                       	                  	              	1                  	2             	1                       	5                        	                 	                     	                 	                     	                  	                       	                  	                           	2                  	                 	               	                	              	             	1              	                  	2          	1                 	1            	                	                             	                            	5                    	3             	                  	             	                      	                   	                     	                       	               	                  	                 	1           	               	            	1             	9                   	22                     	                        	                       	                            	                      	                     	1                        	             	                 	              	                  	                       	                 	               	9                	               	                	                 	                        	5              	51                               	                            	                        	                       	                	19             	             	              	1                   	1           	15           	5                   	1            	4                     	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 189 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 11	R	 3	 112.00	    358.9200	Nomura   	Benthic Foraminifers                         	               	                  	1               	56                       	1                    	                	2                	2                	1                 	                 	                   	                        	                 	           	                       	                                  	                	1               	                	1               	10                     	2                       	1                       	                  	              	                       	                  	              	                   	              	                        	                         	1                	20                   	                 	                     	1                 	                       	2                 	                           	11                 	                 	               	                	              	             	1              	                  	           	2                 	             	                	7                            	                            	4                    	1             	                  	             	                      	                   	                     	2                      	               	                  	12               	            	4              	            	              	3                   	                       	                        	                       	                            	                      	1                    	4                        	             	                 	              	                  	                       	                 	               	3                	               	                	                 	                        	2              	45                               	                            	                        	                       	                	1              	1            	1             	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 157 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 12	R	 1	 104.00	    365.4400	Nomura   	Benthic Foraminifers                         	               	                  	                	89                       	                     	2               	3                	16               	                  	                 	                   	                        	                 	4          	                       	                                  	                	                	                	2               	22                     	8                       	7                       	                  	              	                       	                  	              	                   	8             	                        	14                       	4                	37                   	                 	                     	3                 	                       	7                 	                           	                   	2                	               	                	              	             	1              	                  	           	2                 	1            	                	                             	5                           	7                    	1             	1                 	1            	                      	                   	                     	1                      	               	                  	1                	            	               	            	1             	6                   	1                      	                        	                       	                            	1                     	                     	                         	             	                 	              	                  	                       	                 	               	6                	               	                	                 	                        	               	43                               	4                           	1                       	1                      	1               	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 266 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 12	R	 3	  10.00	    367.5000	Nomura   	Benthic Foraminifers                         	               	                  	4               	68                       	                     	1               	                 	27               	                  	                 	                   	                        	                 	           	                       	                                  	                	1               	2               	14              	10                     	10                      	3                       	                  	              	                       	1                 	1             	                   	4             	1                       	16                       	6                	58                   	                 	                     	2                 	                       	                  	                           	18                 	                 	               	                	              	1            	1              	                  	           	1                 	             	                	                             	6                           	8                    	2             	                  	2            	                      	1                  	                     	                       	               	                  	1                	            	3              	            	1             	                    	1                      	                        	                       	1                           	3                     	                     	11                       	             	                 	              	                  	                       	                 	2              	                 	               	                	1                	                        	1              	21                               	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 293 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 12	R	 5	  54.00	    370.9400	Nomura   	Benthic Foraminifers                         	               	                  	2               	149                      	                     	                	10               	13               	                  	                 	                   	                        	5                	           	                       	                                  	                	1               	1               	8               	11                     	7                       	3                       	                  	              	                       	                  	1             	                   	1             	4                       	                         	15               	38                   	                 	                     	                  	                       	                  	                           	15                 	                 	               	                	              	1            	               	                  	2          	2                 	             	                	16                           	4                           	8                    	              	1                 	             	                      	                   	1                    	1                      	               	                  	                 	            	               	            	              	                    	                       	                        	                       	                            	3                     	                     	23                       	             	                 	              	                  	                       	1                	               	                 	               	                	1                	1                       	2              	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 349 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 13	R	 1	  40.00	    374.4000	Nomura   	Benthic Foraminifers                         	               	                  	3               	93                       	                     	2               	2                	10               	                  	                 	1                  	                        	3                	1          	                       	                                  	1               	                	1               	8               	8                      	4                       	1                       	                  	              	                       	                  	              	                   	              	2                       	16                       	10               	19                   	6                	3                    	                  	                       	                  	                           	1                  	                 	               	                	              	             	3              	                  	           	1                 	             	                	                             	3                           	                     	1             	                  	             	                      	                   	1                    	1                      	               	                  	7                	            	               	            	              	1                   	7                      	                        	                       	                            	                      	                     	18                       	             	                 	              	                  	                       	                 	               	1                	1              	1               	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 240 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 13	R	 5	  65.00	    380.6500	Nomura   	Benthic Foraminifers                         	               	                  	1               	58                       	3                    	5               	5                	9                	3                 	                 	                   	                        	3                	3          	                       	14                                	                	                	                	17              	11                     	1                       	9                       	1                 	              	                       	1                 	              	                   	9             	3                       	18                       	12               	59                   	4                	                     	                  	                       	                  	                           	12                 	                 	1              	                	              	             	               	                  	1          	1                 	             	                	                             	                            	                     	4             	                  	             	                      	3                  	                     	1                      	               	                  	9                	            	9              	            	              	                    	                       	                        	                       	                            	                      	                     	4                        	1            	1                	              	                  	                       	1                	1              	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 298 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	 14	R	 1	  69.00	    384.2900	Nomura   	Benthic Foraminifers                         	               	                  	                	75                       	                     	2               	                 	16               	                  	                 	                   	1                       	                 	5          	                       	25                                	2               	2               	                	10              	3                      	6                       	3                       	                  	              	                       	                  	              	                   	7             	9                       	13                       	8                	39                   	9                	                     	                  	                       	                  	                           	6                  	                 	1              	                	              	1            	3              	                  	2          	                  	             	                	7                            	1                           	                     	              	                  	1            	                      	                   	                     	2                      	               	                  	                 	            	               	            	              	                    	                       	                        	                       	                            	                      	                     	13                       	             	                 	              	1                 	1                      	1                	               	                 	               	                	                 	                        	               	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	                      	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 274 from ODP Leg 121 SR Chapter 1 Table 1

