taxon_group,verbatim_name,name,Comment,Notes (change to Internal only notes?),Any taxon above genus modifier,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,Corrections to pbdb_taxon_rank,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon,family_taxon_id,family_taxon_name,superfamily_taxon_id,superfamily_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name,genus_taxon_id,genus_taxon_name,species_taxon_id,species_taxon_name
benthic_forams,Ammoscalaria pseudospiralis,,,,,,,Ammoscalaria,,,,pseudospiralis,,,,,,825,Ammoscalaria,genus,,250221,Discamminidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,825,Ammoscalaria,,
benthic_forams,Ammoscalaria pseudospiralis (q),? Ammoscalaria pseudospiralis,,,,,?,Ammoscalaria,,,,pseudospiralis,,,,,,825,Ammoscalaria,genus,,250221,Discamminidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,825,Ammoscalaria,,
benthic_forams,Ammosphaeroidina (q),? Ammosphaeroidina sp.,,,,,?,Ammosphaeroidina,,,,sp.,,,,,,827,Ammosphaeroidina,genus,,112313,Ammosphaeroidinidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,827,Ammosphaeroidina,,
benthic_forams,Ammotium cassis,,,,,,,Ammotium,,,,cassis,,,,,,829,Ammotium,genus,,103761,Haplophragmoiidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,829,Ammotium,,
benthic_forams,Amphicoryna scalaris sagamiensis,,,,,,,Amphicoryna,,,,scalaris,,sagamiensis,,,,835,Amphicoryna,genus,,112281,Vaginulinidae,,,428878,Vaginulinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria,,,835,Amphicoryna,,
benthic_forams,Amphimorphina lessonii,,,,,,,Amphimorphina,,,,lessonii,,,,,,836,Amphimorphina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,836,Amphimorphina,,
benthic_forams,Angulogavelinella becariiformis,,,,,,,Angulogavelinella,,,,becariiformis,,,,,,851,Angulogavelinella,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,851,Angulogavelinella,,
benthic_forams,Angulogerina carinata,,,,,,,Angulogerina,,,,carinata,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina cuneata,,,,,,,Angulogerina,,,,cuneata,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina esuriens,,,,,,,Angulogerina,,,,esuriens,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina illingi,,,,,,,Angulogerina,,,,illingi,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina kokozuraensis,,,,,,,Angulogerina,,,,kokozuraensis,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina occidentalis,,,,,,,Angulogerina,,,,occidentalis,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina sp.,,,,,,,Angulogerina,,,,sp.,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Angulogerina virginiana,,,,,,,Angulogerina,,,,virginiana,,,,,,852,Angulogerina,genus,,,,,,,,,,288974,Foraminifera,212476,Rhizaria,,,852,Angulogerina,,
benthic_forams,Anomalina acuta,,,,,,,Anomalina,,,,acuta,,,,,,86769,Anomalina,genus,,103798,Anomalinidae,,,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria,,,86769,Anomalina,,
