Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiroplectammina spectabilis,Pseudoclavulina globulifera,Oridorsalis umbonatus,Nodosaria spp.,Marssonella trochoides,Lenticulina spp.,Gyroidinoides spp.,Gyroidinoides globosa,Gaudryina pyramidata,Dentalina spp.,Conorbinoides sp.,Conorbinoides hillebrandti,Aragonia velascoensis,Aragonia sp.,Sliterella lobulata,Osangularia plummerae,Nuttallinella florealis,Nuttallides truempyi,Gyroidinoides quadratus,Globulina spp.,Aragonia ouezzanensis,Stensioina beccariiformis,Pleurostomella spp.,Nuttallinella michelinianus,Gavelinella sp.,Alabamina creta,Pullenia cretacea,Pullenia jarvisi,Serovaina spissiformis,Gavelinella beccariiformis,Bulimina spp.,Pyramidina szajnochae,Buliminella grata,Tritaxa spp.,Osangularia mexicana,Neoflabellina semireticulata,Stilostomella spp.,Spiroplectammina jarvisi,Nonion havanensis,Cibicidoides velascoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 28,H,CC,  10.00,    265.4000,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                            ,                           ,A                    ,              ,R                     ,R               ,                  ,                     ,R                   ,              ,                 ,R                         ,                     ,            ,                   ,R                    ,                       ,F                   ,                       ,              ,                     ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,R                    ,T                ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 30,H,CC,  15.00,    279.6500,benthics ,Benthic Foraminifers                         ,T              ,M                 ,T                           ,                           ,R                    ,              ,                      ,                ,                  ,                     ,F                   ,R             ,                 ,                          ,R                    ,            ,                   ,                     ,                       ,F                   ,                       ,              ,                     ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,C                    ,T                ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 32,H,CC,   9.00,    298.3600,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                            ,                           ,F                    ,R             ,                      ,R               ,R                 ,                     ,F                   ,T             ,                 ,                          ,+                    ,            ,C                  ,R                    ,                       ,F                   ,                       ,              ,                     ,R                        ,                   ,                           ,               ,               ,                 ,T               ,T                     ,R                         ,T            ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 34,H,CC,  17.00,    308.0100,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                            ,                           ,F                    ,              ,R                     ,                ,                  ,                     ,R                   ,T             ,                 ,R                         ,R                    ,+           ,R                  ,                     ,                       ,F                   ,                       ,              ,T                    ,+                        ,                   ,                           ,               ,               ,                 ,T               ,                      ,                          ,             ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 36,H,CC,   0.00,    328.2300,benthics ,Benthic Foraminifers                         ,T              ,M                 ,T                           ,                           ,                     ,              ,                      ,                ,                  ,F                    ,R                   ,R             ,                 ,R                         ,R                    ,+           ,F                  ,R                    ,                       ,+                   ,                       ,              ,R                    ,+                        ,                   ,                           ,               ,               ,+                ,                ,                      ,                          ,             ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 36,H,CC,   0.00,    328.2300,benthics ,Benthic Foraminifers                         ,R              ,M                 ,T                           ,                           ,                     ,              ,                      ,                ,                  ,F                    ,R                   ,R             ,                 ,R                         ,                     ,R           ,F                  ,R                    ,                       ,                    ,                       ,              ,R                    ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 38,H,CC,  14.00,    340.3200,benthics ,Benthic Foraminifers                         ,T              ,M                 ,                            ,                           ,T                    ,              ,R                     ,R               ,R                 ,                     ,R                   ,R             ,                 ,R                         ,R                    ,+           ,T                  ,                     ,T                      ,F                   ,+                      ,              ,R                    ,+                        ,R                  ,T                          ,R              ,+              ,                 ,                ,                      ,                          ,             ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 40,H,CC,   0.00,    351.3000,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                            ,T                          ,F                    ,R             ,R                     ,                ,                  ,                     ,R                   ,R             ,                 ,R                         ,R                    ,+           ,T                  ,R                    ,T                      ,R                   ,+                      ,R             ,T                    ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 42,H,CC,   9.00,    377.0500,benthics ,Benthic Foraminifers                         ,R              ,M                 ,T                           ,T                          ,R                    ,T             ,F                     ,R               ,T                 ,R                    ,F                   ,R             ,T                ,R                         ,A                    ,+           ,                   ,                     ,                       ,                    ,                       ,              ,                     ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,                     ,                 ,            ,                    ,                            ,                  ,                        ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
