Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia inflata,Neogloboquadrina cf. kagaensis,Globorotalia scitula,Globigerina quinqueloba,Globigerina apertura,Globigerina umbilicata,Neogloboquadrina humerosa,Globigerinoides ruber,Globigerinita glutinata,Neogloboquadrina dutertrei,Hastigerina aequilateralis,Globorotalia truncatulinoides,Globigerina falconensis,Comment
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  6,H,CC,  37.00,     53.7200,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                 ,A                                      ,                                     ,                    ,                              ,R                   ,                       ,                    ,A                     ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  7,H,CC,  16.00,     62.8000,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,R                ,A                                      ,                                     ,R                   ,                              ,R                   ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  8,H,CC,  45.00,     72.8500,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,F                    ,                 ,A                                      ,                                     ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  9,H,CC,  30.00,     81.8000,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,F                ,A                                      ,A                                    ,F                   ,                              ,R                   ,A                      ,                    ,C                     ,F                        ,R                    ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 10,H,CC,  34.00,     91.3000,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,C                    ,R                ,A                                      ,                                     ,                    ,                              ,                    ,C                      ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 11,H,CC,  33.00,    100.4700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                 ,A                                      ,                                     ,F                   ,                              ,                    ,A                      ,                    ,                      ,C                        ,R                    ,R                      ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 12,H,CC,  12.00,    110.2900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                 ,A                                      ,                                     ,                    ,                              ,                    ,                       ,                    ,A                     ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 13,H,CC,  24.00,    110.0400,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                    ,                 ,A                                      ,F                                    ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 15,X,CC,  46.00,    127.6900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                 ,A                                      ,                                     ,                    ,A                             ,                    ,C                      ,C                   ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 16,X,CC,  29.00,    134.2400,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,A                    ,R                ,A                                      ,C                                    ,C                   ,                              ,                    ,A                      ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 17,X,CC,  30.00,    145.1800,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                 ,                                       ,A                                    ,R                   ,A                             ,R                   ,A                      ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 18,X,CC,  18.00,    155.5600,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                    ,                 ,A                                      ,C                                    ,R                   ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 19,X,CC,  24.00,    165.6100,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                    ,                 ,                                       ,R                                    ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 20,X,CC,  60.00,    175.2800,Kennett  ,Planktonic Foraminifers                      ,F              ,M                 ,F                    ,R                ,C                                      ,                                     ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B, 21,X,CC,  33.00,    184.7300,Kennett  ,Planktonic Foraminifers                      ,               ,P                 ,R                    ,                 ,                                       ,                                     ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
