Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina auberiana,Unidentified benthic forams,Cibicidoides wuellerstorfi,Stilostomella spp.,Melonis pompilioides,Hoeglundina elegans,Globobulimina spp.,Uvigerina peregrina,Uvigerina hispidocostata,Epistominella exigua,Pullenia bulloides,Globocassidulina subglobosa,Quadrimorphina allomorphinoides,Pullenia subcarinata,Oridorsalis umbonatus,Oolina spp.,Gyroidinoides spp.,Fursenkoina sp.,Fissurina spp.,Triloculina tricarinata,Pyrgo spp.,Chilostomella oolina,Cassidulina minuta,Sphaeroidina bulloides,Melonis barleeanus,Cassidulina laevigata,Chilostomella ovoidea,Bolivina seminuda,Quinqueloculina spp.,Nonionella turgida,Bulimina truncana,Bulimina aculeata,Robertinoides bradyi,Eggerella bradyi,Sigmoilopsis schlumbergeri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  5,H,CC,  16.00,     39.9500,Hermelin ,Benthic Foraminifers                         ,F              ,P                 ,                   ,10.0%16                    ,11.0%18                   ,                  ,23.0%36             ,2.0%3              ,19.0%30           ,1.0%1              ,4.0%7                   ,                    ,3.0%5             ,                           ,                               ,1.0%2               ,4.0%7                ,           ,2.0%3             ,1.0%2          ,3.0%4         ,                       ,1.0%1     ,2.0%3               ,                  ,1.0%1                 ,6.0%10            ,1.0%1                ,1.0%1                ,                 ,                    ,1.0%2             ,1.0%1            ,3.0%5            ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  6,H,CC,  20.00,     49.4500,Hermelin ,Benthic Foraminifers                         ,F              ,M                 ,5.0%14             ,12.0%33                    ,3.0%7                     ,                  ,10.0%28             ,                   ,22.0%62           ,3.0%7              ,1.0%4                   ,                    ,1.0%4             ,                           ,                               ,2.0%5               ,1.0%3                ,.0%1       ,                  ,3.0%7          ,2.0%6         ,1.0%2                  ,7.0%20    ,2.0%6               ,2.0%6             ,                      ,21.0%58           ,.0%1                 ,                     ,1.0%3            ,.0%1                ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  7,H,CC,  15.00,     59.0500,Hermelin ,Benthic Foraminifers                         ,F              ,M                 ,5.0%14             ,9.0%27                     ,.0%1                      ,                  ,30.0%90             ,.0%1               ,12.0%35           ,6.0%18             ,                        ,                    ,2.0%5             ,                           ,                               ,                    ,5.0%16               ,           ,1.0%2             ,18.0%53        ,1.0%3         ,                       ,1.0%2     ,                    ,                  ,                      ,6.0%17            ,2.0%5                ,2.0%7                ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  8,H,CC,  22.00,     68.7500,Hermelin ,Benthic Foraminifers                         ,F              ,M                 ,8.0%9              ,9.0%10                     ,2.0%2                     ,                  ,10.0%12             ,                   ,25.0%29           ,3.0%3              ,2.0%2                   ,                    ,1.0%1             ,                           ,                               ,3.0%3               ,3.0%3                ,           ,                  ,4.0%4          ,2.0%2         ,                       ,1.0%1     ,                    ,1.0%1             ,                      ,10.0%11           ,10.0%12              ,1.0%1                ,8.0%9            ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  9,H,CC,  26.00,     78.2700,Hermelin ,Benthic Foraminifers                         ,F              ,M                 ,15.0%49            ,3.0%10                     ,4.0%12                    ,                  ,26.0%87             ,                   ,18.0%59           ,                   ,5.0%15                  ,                    ,2.0%6             ,                           ,                               ,1.0%3               ,2.0%6                ,.0%1       ,                  ,.0%1           ,2.0%7         ,                       ,2.0%5     ,.0%1                ,1.0%2             ,.0%1                  ,19.0%61           ,1.0%3                ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 10,H,CC,  26.00,     87.8100,Hermelin ,Benthic Foraminifers                         ,R              ,P                 ,2.0%1              ,8.0%4                      ,4.0%2                     ,8.0%4             ,10.0%5              ,                   ,15.0%8            ,6.0%3              ,4.0%2                   ,19.0%10             ,2.0%1             ,                           ,                               ,4.0%2               ,4.0%2                ,2.0%1      ,2.0%1             ,               ,              ,                       ,4.0%2     ,6.0%3               ,2.0%1             ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 11,H,CC,  34.00,     97.1200,Hermelin ,Benthic Foraminifers                         ,R              ,P                 ,15.0%8             ,8.0%4                      ,                          ,2.0%1             ,52.0%27             ,                   ,                  ,                   ,10.0%5                  ,6.0%3               ,4.0%2             ,                           ,                               ,                    ,2.0%1                ,           ,                  ,               ,              ,2.0%1                  ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 12,H,CC,  28.00,    106.8400,Hermelin ,Benthic Foraminifers                         ,T              ,M                 ,                   ,33.0%1                     ,                          ,33.0%1            ,                    ,                   ,33.0%1            ,                   ,                        ,                    ,                  ,                           ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,Dissolution !
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 13,H,CC,  18.00,    116.1900,Hermelin ,Benthic Foraminifers                         ,R              ,P                 ,3.0%4              ,8.0%11                     ,                          ,2.0%3             ,60.0%81             ,                   ,10.0%14           ,1.0%1              ,4.0%6                   ,1.0%1               ,2.0%3             ,                           ,                               ,1.0%1               ,1.0%1                ,2.0%2      ,2.0%2             ,1.0%1          ,4.0%5         ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 14,H,CC,  29.00,    125.7600,Hermelin ,Benthic Foraminifers                         ,R              ,M                 ,15.0%8             ,4.0%2                      ,15.0%8                    ,11.0%6            ,4.0%2               ,                   ,7.0%4             ,6.0%3              ,9.0%5                   ,                    ,4.0%2             ,                           ,2.0%1                          ,2.0%1               ,6.0%3                ,2.0%1      ,4.0%2             ,6.0%3          ,6.0%3         ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 15,H,CC,  33.00,    135.2600,Hermelin ,Benthic Foraminifers                         ,T              ,P                 ,                   ,                           ,33.0%1                    ,                  ,                    ,                   ,33.0%1            ,33.0%1             ,                        ,                    ,                  ,                           ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 16,H,CC,  19.00,    144.4900,Hermelin ,Benthic Foraminifers                         ,R              ,P                 ,                   ,4.0%1                      ,                          ,                  ,15.0%4              ,                   ,                  ,                   ,                        ,19.0%5              ,7.0%2             ,56.0%15                    ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 17,H,CC,  24.00,    154.2000,Hermelin ,Benthic Foraminifers                         ,R              ,P                 ,20.0%2             ,                           ,                          ,20.0%2            ,                    ,                   ,30.0%3            ,20.0%2             ,+                       ,10.0%1              ,                  ,                           ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 20,H,CC,  19.00,    183.1600,Hermelin ,Benthic Foraminifers                         ,T              ,M                 ,14.0%1             ,14.0%1                     ,                          ,14.0%1            ,14.0%1              ,14.0%1             ,29.0%2            ,                   ,                        ,                    ,                  ,                           ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,Since dissolution susceptible species occur without signs of dissolution it can be reworking or contamination
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 22,H,CC,  19.00,    201.5900,Hermelin ,Benthic Foraminifers                         ,T              ,                  ,33.0%1             ,33.0%1                     ,33.0%1                    ,                  ,                    ,                   ,                  ,                   ,                        ,                    ,                  ,                           ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,                  ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
