Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum triommata,Distephanus speculum speculum,Distephanus speculum hemisphaericus,Distephanus speculum binoculus,Distephanus sp. aff. D. slavincii,Distephanus crux stradneri,Distephanus crux scutulatus,Distephanus crux longispinus,Distephanus crux lockerii,Distephanus crux crux,Dictyocha varia,Dictyocha fibula,Corbisema triacantha,Bachmannocena elliptica elliptica,Bachmannocena apiculata curvata,Naviculopsis eobiapiculata,Distephanus schulzii,Distephanus crux crux (rounded),Dictyocha arcuata,Distephanus crux parvus,Distephanus boliviensis boliviensis,Distephanus boliviensis binoculus,Bachmannocena diodon diodon,Bachmannocena apiculata apiculata,Distephanus speculum pentagonus,Caryocha depressa,Distephanus boliviensis major,Dictyocha subclinata,Dictyocha sp. cf. D. rhombica,Bachmannocena d. diodon (unspined),Distephanus quinarius (regular),Caryocha picassoi,Naviculopsis lata,Distephanus quinarius (4-sided),Bachmannocena elliptica miniformis,Dictyocha sp. 1,Bachmannocena circulus apiculata,Distephanus stauracanthus f. octagonus,Distephanus stauracanthus f. stauracanthus,Caryocha ernestinae,Bachmannocena circulus circulus,Bachmannocena triangula,Bachmannocena diodon nodosa,Distephanus polyactis,Distephanus xenus,Bachmannocena sp. cf. B. diodon borderlandensis,Bachmannocena diodon triodon,Distephanus speculum minutus (regular),Distephanus crux hannai,Dictyocha brevispina ausonia,Bachmannocena diodon borderlandensis,Distephanus speculum minutus (equant spines),Dictyocha messanensis stapedia f. stapedia,Bachmannocena quadrangula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B.c.ap./Ba.d.nodosa,              ,162, 982,B, 25,H, 1,  99.00,    224.9900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,17                           ,                                   ,                              ,                                 ,                          ,                           ,                            ,                         ,                     ,1              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,34                         ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,1                               ,                                      ,                                          ,                   ,                               ,1                      ,198                        ,                     ,                 ,                                               ,                            ,                                      ,                       ,10                          ,                                    ,                                            ,                                          ,                         ,Total Count = 262; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B.c.ap./Ba.d.nodosa,              ,162, 982,B, 27,X, 4,  99.00,    248.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,3                             ,189                          ,5                                  ,2                             ,                                 ,                          ,                           ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,2                          ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,7                               ,                                      ,                                          ,                   ,                               ,                       ,10                         ,                     ,                 ,                                               ,                            ,11                                    ,                       ,79                          ,                                    ,                                            ,                                          ,                         ,Total Count = 308; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B.c.ap./Ba.d.nodosa,              ,162, 982,B, 28,X, 1,  99.00,    250.2900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,146                          ,1                                  ,                              ,                                 ,                          ,                           ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,15                         ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,25                              ,                                      ,                                          ,                   ,                               ,                       ,76                         ,                     ,                 ,                                               ,                            ,10                                    ,4                      ,37                          ,                                    ,                                            ,                                          ,                         ,Total Count = 314; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B.c.ap./Ba.d.nodosa,              ,162, 982,B, 29,X, 2,  99.00,    261.3900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,125                          ,                                   ,2                             ,                                 ,                          ,                           ,                            ,                         ,                     ,7              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,11                         ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,53                              ,                                      ,                                          ,                   ,                               ,                       ,101                        ,                     ,                 ,                                               ,                            ,50                                    ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 349; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 32,X, 3,  99.00,    291.7900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,3                             ,39                           ,1                                  ,3                             ,                                 ,14                        ,                           ,                            ,                         ,                     ,2              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,1                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,130                             ,                                      ,                                          ,                   ,                               ,                       ,102                        ,                     ,                 ,                                               ,14                          ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 309; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 33,X, 3,  99.00,    301.3900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,1                            ,                                   ,                              ,                                 ,2                         ,3                          ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,39                              ,                                      ,                                          ,                   ,                               ,                       ,16                         ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 61; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 34,X, 2,  99.00,    309.5900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,1                             ,                             ,                                   ,                              ,                                 ,                          ,                           ,                            ,                         ,                     ,3              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,2                               ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 6; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 35,X, 3,  99.00,    320.6900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,2                            ,                                   ,                              ,                                 ,1                         ,2                          ,1                           ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,33                              ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 39; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 36,X, 2,  99.00,    328.7900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,3                            ,                                   ,                              ,                                 ,4                         ,                           ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,1                          ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,24                              ,                                      ,                                          ,                   ,                               ,                       ,6                          ,                     ,                 ,                                               ,1                           ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 39; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 37,X, 2,  99.00,    338.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,5                            ,                                   ,                              ,                                 ,7                         ,1                          ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,1                          ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,22                              ,                                      ,                                          ,                   ,                               ,                       ,5                          ,                     ,                 ,                                               ,3                           ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 44; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 38,X, 2,  99.00,    348.0700,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,4                            ,                                   ,                              ,                                 ,                          ,                           ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,2                               ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 6; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 39,X, 3,  99.00,    359.1900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,1                             ,35                           ,                                   ,                              ,                                 ,58                        ,46                         ,13                          ,                         ,                     ,8              ,12              ,                    ,2                                ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,13                         ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,56                              ,                                      ,                                          ,                   ,                               ,                       ,60                         ,1                    ,1                ,                                               ,1                           ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 307; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 40,X, 3,  99.00,    368.8900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,10                           ,                                   ,2                             ,                                 ,4                         ,5                          ,1                           ,                         ,                     ,10             ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,8                          ,                                 ,                               ,                 ,                             ,1                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,23                              ,                                      ,                                          ,                   ,                               ,                       ,11                         ,                     ,                 ,2                                              ,1                           ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 78; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 41,X, 1,  99.00,    375.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,14                           ,                                   ,1                             ,                                 ,37                        ,29                         ,15                          ,7                        ,                     ,2              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,5                          ,                                 ,                               ,                 ,                             ,3                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,15                              ,                                      ,                                          ,                   ,                               ,                       ,86                         ,1                    ,3                ,30                                             ,1                           ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 249; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 41,X, 4,  99.00,    379.9900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,1                            ,                                   ,                              ,                                 ,                          ,                           ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,3                          ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,6                               ,                                      ,                                          ,                   ,                               ,                       ,7                          ,1                    ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 18; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,B.c.ap./D.c.stradn.,              ,162, 982,B, 43,X, 3,  99.00,    397.7900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,10                           ,                                   ,                              ,                                 ,11                        ,17                         ,9                           ,                         ,                     ,18             ,                ,2                   ,3                                ,                               ,                          ,4                   ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,8                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,7              ,39                              ,                                      ,                                          ,                   ,                               ,                       ,7                          ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 135; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 44,X, 3,  99.00,    407.3900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,7                            ,3                                  ,                              ,                                 ,3                         ,11                         ,                            ,                         ,                     ,1              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,9                          ,                                 ,                               ,                 ,                             ,5                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,64                              ,                                      ,                                          ,                   ,                               ,1                      ,29                         ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 133; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 45,X, 1,  99.00,    413.9900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,1                            ,                                   ,                              ,                                 ,3                         ,3                          ,                            ,                         ,                     ,4              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,3              ,4                               ,                                      ,                                          ,                   ,1                              ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 19; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 45,X, 4,  99.00,    418.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,13                           ,                                   ,                              ,                                 ,2                         ,4                          ,3                           ,                         ,                     ,7              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,53                         ,                                 ,                               ,4                ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,89                              ,                                      ,                                          ,                   ,5                              ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 180; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 46,X, 3,  99.00,    426.5900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,11                           ,                                   ,                              ,                                 ,                          ,9                          ,                            ,                         ,                     ,22             ,                ,3                   ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,6                          ,                                 ,1                              ,3                ,                             ,10                  ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,28                              ,5                                     ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 98; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 47,X, 1,  99.00,    433.1900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,1                             ,130                          ,                                   ,5                             ,3                                ,6                         ,48                         ,11                          ,                         ,2                    ,6              ,                ,1                   ,2                                ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,4                          ,                                 ,1                              ,11               ,                             ,12                  ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,2              ,55                              ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 300; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 47,X, 4,  99.00,    437.6900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,10                           ,1                                  ,2                             ,                                 ,                          ,3                          ,3                           ,                         ,4                    ,10             ,                ,                    ,                                 ,                               ,                          ,                    ,1                              ,                 ,                       ,                                   ,                                 ,2                          ,                                 ,                               ,10               ,                             ,4                   ,2                            ,                                  ,                               ,3                ,                 ,                               ,                                  ,2              ,104                             ,                                      ,                                          ,2                  ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 163; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,B. c. ap./Cary. spp,              ,162, 982,B, 48,X, 2,  99.00,    444.2900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,VR             ,                  ,                              ,4                            ,                                   ,                              ,                                 ,1                         ,6                          ,                            ,                         ,5                    ,               ,                ,                    ,                                 ,1                              ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,3                               ,                                      ,                                          ,                   ,                               ,                       ,                           ,                     ,                 ,                                               ,                            ,                                      ,                       ,                            ,                                    ,                                            ,                                          ,                         ,Total Count = 20; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
