Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Uvigerina hispidocostata	Uvigerina auberiana	Unidentified benthic forams	Stilostomella spp.	Pyrgo spp.	Prae-/Globobulimina group spp.	Plectofrondicularia spp.	Oridorsalis umbonatus	Hoeglundina elegans	Fissurina spp.	Cibicidoides wuellerstorfi	Bulimina mexicana	Bulimina exilis	Bulimina aculeata	Spiroloculina spp.	Quadrimorphina allomorphinoides	Pullenia bulloides	Oolina spp.	Melonis barleeanus	Gyroidinoides soldanii	Globocassidulina subglobosa	Chilostomella ovoidea	Cassidulinoides bradyi	Cassidulina laevigata	Bulimina truncana	Bulimina marginata	Cibicidoides pachyderma	Triloculina tricarinata	Quinqueloculina spp.	Sphaeroidina bulloides	Nonionella turgida	Fursenkoina sp.	Nodosaria spp.	Lenticulina spp.	Gyroidinoides spp.	Epinodes sp. 1	Sigmoilopsis schlumbergeri	Siphotextularia catenata	Osangularia culter	Hyalina balthica	Bolivina seminuda	Pullenia subcarinata	Epistominella exigua	Dentalina spp.	Robertinoides bradyi	Epistominella sp. 1	Bolivina ordinaria	Eggerella bradyi	Chilostomella oolina	Cassidulina minuta	Astrononion novozealandicum	Comment

  IR	                 	                 	                  	              	175	1076	A	  5	H	CC	  40.00	     43.4300	Hermelin 	Benthic Foraminifers                         	A              	G                 	2.0%               	                        	28.0%              	+                          	                  	2.0%      	1.0%                          	                        	1.0%                 	                   	2.0%          	                          	1.0%             	15.0%          	18.0%            	+                 	+                              	1.0%              	+          	+                 	+                     	                           	4.0%                 	4.0%                  	+                    	+                	+                 	2.0%                   	                       	                    	+                     	+                 	3.0%           	+             	                	                  	              	+                         	                        	+                 	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	  6	H	CC	  21.00	     52.8100	Hermelin 	Benthic Foraminifers                         	A              	G                 	2.0%               	3.0%                    	13.0%              	2.0%                       	                  	+         	16.0%                         	                        	2.0%                 	+                  	2.0%          	                          	2.0%             	24.0%          	13.0%            	+                 	2.0%                           	2.0%              	+          	+                 	                      	+                          	3.0%                 	5.0%                  	+                    	2.0%             	+                 	+                      	                       	                    	2.0%                  	                  	3.0%           	              	+               	                  	              	+                         	                        	+                 	                	+                	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	  7	H	CC	  18.00	     62.4900	Hermelin 	Benthic Foraminifers                         	A              	G                 	2.0%               	2.0%                    	+                  	2.0%                       	                  	+         	+                             	                        	1.0%                 	3.0%               	2.0%          	+                         	4.0%             	4.0%           	34.0%            	                  	+                              	3.0%              	2.0%       	2.0%              	+                     	4.0%                       	                     	+                     	6.0%                 	7.0%             	                  	4.0%                   	                       	+                   	3.0%                  	                  	+              	              	+               	                  	              	2.0%                      	                        	3.0%              	                	                 	                    	1.0%                	              	                    	                   	2.0%              	+               	+                   	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	  8	H	CC	  32.00	     71.8400	Hermelin 	Benthic Foraminifers                         	C              	G                 	2.0%               	1.0%                    	2.0%               	4.0%                       	                  	+         	2.0%                          	                        	2.0%                 	3.0%               	3.0%          	+                         	3.0%             	3.0%           	24.0%            	+                 	                               	2.0%              	+          	                  	                      	2.0%                       	                     	5.0%                  	7.0%                 	                 	                  	19.0%                  	                       	                    	4.0%                  	                  	               	              	+               	                  	              	1.0%                      	                        	2.0%              	                	                 	                    	                    	              	                    	+                  	+                 	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	  9	H	CC	  24.00	     81.5100	Hermelin 	Benthic Foraminifers                         	C              	G                 	4.0%               	2.0%                    	+                  	5.0%                       	                  	+         	4.0%                          	                        	+                    	5.0%               	4.0%          	+                         	2.0%             	6.0%           	2.0%             	+                 	+                              	+                 	2.0%       	5.0%              	                      	3.0%                       	+                    	2.0%                  	9.0%                 	                 	                  	12.0%                  	                       	.0%                 	9.0%                  	+                 	2.0%           	              	+               	                  	              	2.0%                      	                        	                  	                	                 	2.0%                	                    	              	+                   	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 10	H	CC	  22.00	     90.8900	Hermelin 	Benthic Foraminifers                         	C              	G                 	8.0%               	2.0%                    	2.0%               	2.0%                       	                  	          	5.0%                          	                        	.0%                  	.0%                	4.0%          	.0%                       	3.0%             	4.0%           	13.0%            	                  	                               	                  	           	                  	.0%                   	8.0%                       	.0%                  	4.0%                  	10.0%                	9.0%             	4.0%              	17.0%                  	                       	                    	                      	2.0%              	2.0%           	              	                	                  	              	.0%                       	                        	                  	                	                 	                    	                    	.0%           	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 11	H	CC	  35.00	    100.5800	Hermelin 	Benthic Foraminifers                         	F              	M                 	3.0%               	6.0%                    	3.0%               	6.0%                       	                  	.0%       	14.0%                         	                        	15.0%                	.0%                	1.0%          	.0%                       	4.0%             	14.0%          	14.0%            	                  	                               	1.0%              	1.0%       	                  	                      	1.0%                       	1.0%                 	4.0%                  	2.0%                 	.0%              	                  	1.0%                   	                       	                    	4.0%                  	                  	2.0%           	              	                	                  	              	.0%                       	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 12	H	CC	  26.00	    109.8600	Hermelin 	Benthic Foraminifers                         	C              	G                 	                   	4.0%                    	5.0%               	2.0%                       	                  	2.0%      	                              	                        	.0%                  	.0%                	2.0%          	.0%                       	3.0%             	12.0%          	15.0%            	                  	.0%                            	.0%               	           	.0%               	2.0%                  	.0%                        	2.0%                 	1.0%                  	2.0%                 	                 	24.0%             	                       	+                      	                    	3.0%                  	3.0%              	4.0%           	              	                	                  	              	1.0%                      	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 13	H	CC	  22.00	    119.8200	Hermelin 	Benthic Foraminifers                         	C              	M                 	1.0%               	3.0%                    	                   	5.0%                       	2.0%              	1.0%      	.0%                           	                        	2.0%                 	3.0%               	1.0%          	.0%                       	4.0%             	2.0%           	9.0%             	.0%               	                               	.0%               	1.0%       	.0%               	.0%                   	3.0%                       	.0%                  	5.0%                  	18.0%                	2.0%             	.0%               	5.0%                   	.0%                    	                    	4.0%                  	.0%               	1.0%           	              	                	                  	4.0%          	2.0%                      	                        	                  	                	2.0%             	.0%                 	1.0%                	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 14	H	CC	  22.00	    129.1200	Hermelin 	Benthic Foraminifers                         	R              	M                 	2.0%               	12.0%                   	1.0%               	7.0%                       	3.0%              	.0%       	3.0%                          	+                       	2.0%                 	13.0%              	2.0%          	.0%                       	4.0%             	               	8.0%             	2.0%              	                               	2.0%              	1.0%       	3.0%              	                      	                           	.0%                  	.0%                   	4.0%                 	                 	                  	7.0%                   	                       	                    	                      	2.0%              	5.0%           	              	.0%             	                  	6.0%          	2.0%                      	13.0%                   	.0%               	1.0%            	.0%              	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 15	H	CC	  42.00	    138.6500	Hermelin 	Benthic Foraminifers                         	T              	M                 	                   	+                       	                   	+                          	+                 	          	+                             	                        	                     	+                  	+             	                          	+                	               	+                	                  	                               	                  	+          	                  	                      	                           	                     	+                     	                     	                 	                  	+                      	                       	                    	+                     	                  	               	              	                	                  	              	+                         	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 16	H	CC	  19.00	    147.9000	Hermelin 	Benthic Foraminifers                         	T              	M                 	+                  	+                       	                   	                           	                  	          	+                             	                        	+                    	+                  	+             	                          	                 	+              	                 	                  	                               	                  	           	                  	                      	                           	                     	+                     	+                    	                 	                  	                       	                       	                    	+                     	                  	+              	              	                	                  	+             	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 17	H	CC	  21.00	    157.8600	Hermelin 	Benthic Foraminifers                         	C              	M                 	1.0%               	7.0%                    	                   	5.0%                       	2.0%              	2.0%      	2.0%                          	.0%                     	3.0%                 	.0%                	6.0%          	2.0%                      	.0%              	7.0%           	6.0%             	                  	                               	3.0%              	1.0%       	                  	1.0%                  	4.0%                       	                     	3.0%                  	7.0%                 	1.0%             	13.0%             	4.0%                   	                       	                    	6.0%                  	                  	.0%            	.0%           	.0%             	1.0%              	.0%           	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 18	H	CC	  16.00	    166.8300	Hermelin 	Benthic Foraminifers                         	C              	M                 	.0%                	6.0%                    	.0%                	3.0%                       	6.0%              	1.0%      	4.0%                          	                        	                     	3.0%               	3.0%          	.0%                       	9.0%             	.0%            	35.0%            	.0%               	                               	2.0%              	3.0%       	                  	                      	2.0%                       	                     	5.0%                  	                     	3.0%             	3.0%              	8.0%                   	                       	                    	.0%                   	.0%               	2.0%           	              	                	                  	              	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 19	H	CC	  31.00	    176.5800	Hermelin 	Benthic Foraminifers                         	R              	M                 	                   	8.0%                    	5.0%               	11.0%                      	3.0%              	3.0%      	5.0%                          	2.0%                    	                     	                   	6.0%          	                          	11.0%            	               	2.0%             	                  	                               	3.0%              	3.0%       	                  	                      	10.0%                      	                     	                      	19.0%                	                 	3.0%              	3.0%                   	2.0%                   	2.0%                	                      	                  	               	              	                	                  	              	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 20	H	CC	  28.00	    185.9800	Hermelin 	Benthic Foraminifers                         	T              	P                 	+                  	+                       	+                  	+                          	+                 	          	                              	                        	                     	                   	              	                          	                 	+              	                 	                  	                               	+                 	+          	                  	                      	+                          	                     	                      	                     	                 	                  	+                      	                       	                    	                      	                  	               	              	                	                  	              	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 21	H	CC	  33.00	    195.9500	Hermelin 	Benthic Foraminifers                         	F              	M                 	                   	                        	25.0%              	3.0%                       	                  	2.0%      	4.0%                          	                        	1.0%                 	                   	.0%           	                          	5.0%             	33.0%          	                 	5.0%              	2.0%                           	2.0%              	.0%        	.0%               	.0%                   	4.0%                       	.0%                  	3.0%                  	3.0%                 	4.0%             	.0%               	                       	                       	                    	                      	                  	               	              	                	                  	              	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	 22	H	CC	  23.00	    204.9300	Hermelin 	Benthic Foraminifers                         	R              	P                 	2.0%               	5.0%                    	45.0%              	3.0%                       	3.0%              	2.0%      	7.0%                          	2.0%                    	3.0%                 	2.0%               	9.0%          	1.0%                      	3.0%             	2.0%           	2.0%             	                  	                               	                  	           	                  	                      	                           	                     	                      	                     	                 	                  	                       	                       	                    	                      	                  	               	              	                	                  	              	                          	                        	                  	                	                 	                    	                    	              	                    	                   	                  	                	                    	                  	                           	       

