Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Ceratolithus spp.,Ceratolithus rugosus,Ceratolithus acutus,Calcidiscus macintyrei (>11 um),Amaurolithus spp.,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster surculus,Helicosphaera sellii,Calcidiscus leptoporus,Helicosphaera carteri,Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa sp. 3,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1011,E,  6,H,CC,  36.00,     53.1400,Fornaciari,Nannofossils                                 ,C              ,M                 ,                                ,                 ,                    ,                   ,                               ,                 ,                        ,                   ,                       ,C                       ,                  ,                   ,                    ,R                     ,                     ,C                         ,+                 ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1011,E,  7,H,CC,  27.00,     62.7300,Fornaciari,Nannofossils                                 ,C/A            ,M                 ,                                ,                 ,                    ,                   ,+                              ,                 ,                        ,                   ,                       ,C                       ,                  ,                   ,R                   ,+                     ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,questionable zonal assignment. from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1011,E,  8,H,CC,  24.00,     71.8900,Fornaciari,Nannofossils                                 ,F              ,P                 ,                                ,                 ,                    ,                   ,R                              ,                 ,                        ,RR                 ,                       ,C                       ,                  ,                   ,R                   ,R                     ,F                    ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,questionable zonal assignment. from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1011,E,  9,H,CC,  32.00,     81.7600,Fornaciari,Nannofossils                                 ,C              ,P                 ,                                ,                 ,                    ,                   ,F                              ,                 ,                        ,F                  ,                       ,                        ,                  ,                   ,                    ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1011,E, 10,H,CC,  80.00,     91.0600,Fornaciari,Nannofossils                                 ,F              ,P                 ,                                ,                 ,                    ,                   ,F                              ,                 ,R                       ,R                  ,                       ,F                       ,                  ,                   ,                    ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12c         ,167,1011,E, 11,H,CC,  26.00,    100.7700,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                                ,                 ,                    ,                   ,R                              ,                 ,R                       ,                   ,                       ,                        ,                  ,F                  ,F                   ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1011,E, 12,H,CC,  27.00,    110.0600,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                                ,                 ,                    ,                   ,                               ,                 ,R/F                     ,R                  ,                       ,                        ,                  ,C                  ,F/C                 ,F                     ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1011,E, 13,H,CC,  32.00,    119.7100,Fornaciari,Nannofossils                                 ,F              ,P                 ,RR                              ,                 ,                    ,                   ,                               ,                 ,R                       ,                   ,                       ,+                       ,R/F               ,F                  ,                    ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1011,E, 14,H,CC,  40.00,    129.2200,Fornaciari,Nannofossils                                 ,C              ,P/M               ,R                               ,                 ,                    ,                   ,C                              ,                 ,                        ,                   ,                       ,                        ,                  ,                   ,                    ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1011,E, 15,H,CC,  28.00,    138.7200,Fornaciari,Nannofossils                                 ,A              ,M                 ,                                ,                 ,                    ,                   ,F                              ,                 ,C                       ,+                  ,R                      ,                        ,                  ,                   ,                    ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10c             ,              ,167,1011,E, 16,H,CC,  16.00,    142.2700,Fornaciari,Nannofossils                                 ,A              ,P                 ,C                               ,F                ,R                   ,R                  ,+                              ,F                ,                        ,                   ,                       ,                        ,                  ,                   ,                    ,                      ,                     ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
