Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella seminulina	Globorotalia plesiotumida	Globoquadrina venezuelana	Globigerinoides trilobus	Orbulina universa	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotaloides variabilis	Globorotalia obesa	Globorotalia menardii	Globigerinoides ruber	Globigerinoides obliquus	Globigerinoides conglobatus	Globigerinoides sacculifer	Sphaeroidinella disjuncta	Pulleniatina primalis/N. acostaensis	Globoquadrina altispira	Pulleniatina primalis	Globorotalia juanai	Globorotalia explicationis	Globoquadrina dehiscens	Globigerinoides fragilis	Globigerina juvenilis	Orbulina bilobata	Globorotalia merotumida	Globigerina decoraperta	Neogloboquadrina continuosa	Globorotalia tumida	Globoquadrina globosa	Globigerinella aequilateralis	Globorotalia tumida flexuosa	Globorotalia plesiotumida/G. tumida	Globigerinita glutinata	Globorotalia scitula	Globorotalia crassaformis	Globigerina apertura	Sphaeroidinella dehiscens	Globigerinoides extremus	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globigerinoides fistulosus	Candeina nitida	Neogloboquadrina pachyderma	Globorotalia fimbriata	Globigerina bulloides	Chiloguembelina sp.	Globorotaloides hexagona	Globorotalia ungulata	Comment

  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  5	H	CC	   9.00	     44.1800	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	                 	                         	                            	                          	                  	                     	A                    	                        	                           	R                         	                         	                                    	                       	                     	                   	                          	                       	                        	R                    	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	C                      	VR                  	                         	                    	                         	                        	C                           	A                         	                          	               	                           	VR                    	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  6	H	CC	  23.00	     54.0900	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	R                       	C                	                         	                            	                          	                  	                     	A                    	                        	                           	C                         	                         	                                    	                       	                     	                   	                          	                       	                        	C                    	                 	                       	                       	                           	A                  	                     	VR                           	                            	                                   	R                      	R                   	                         	                    	R                        	                        	C                           	A                         	                          	               	VR                         	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  7	H	CC	  16.00	     63.4000	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	R                       	R                	                         	                            	                          	                  	R                    	C                    	                        	                           	A                         	                         	                                    	                       	                     	                   	                          	                       	                        	VR                   	VR               	                       	                       	                           	A                  	                     	                             	                            	                                   	                       	R                   	                         	                    	R                        	                        	A                           	A                         	                          	VR             	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	G. fistulosus     	              	111	 677	A	  8	H	CC	  36.00	     72.9800	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	C                	                         	                            	                          	                  	                     	C                    	                        	                           	                          	                         	                                    	                       	VR                   	                   	                          	                       	                        	                     	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	                       	                    	                         	                    	C                        	                        	C                           	A                         	C                         	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	G. fistulosus     	              	111	 677	A	  9	H	CC	  17.00	     81.8400	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	A                	                         	                            	                          	                  	                     	C                    	R                       	                           	C                         	                         	                                    	                       	                     	                   	                          	                       	                        	R                    	                 	                       	                       	                           	A                  	                     	                             	                            	                                   	R                      	                    	                         	                    	C                        	                        	R                           	A                         	C                         	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	G. fistulosus     	              	111	 677	A	 10	H	CC	  23.00	     91.9600	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	A                	                         	                            	                          	                  	C                    	C                    	                        	R                          	C                         	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	VR                     	VR                  	                         	R                   	C                        	                        	C                           	A                         	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	G. fistulosus     	              	111	 677	A	 11	H	CC	  33.00	    101.6700	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	A                	                         	                            	                          	                  	A                    	C                    	                        	                           	                          	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	R                      	                    	                         	                    	                         	                        	C                           	A                         	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	G. fistulosus     	              	111	 677	A	 12	H	CC	  22.00	    111.0600	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	C                	                         	                            	                          	                  	A                    	A                    	                        	                           	C                         	                         	                                    	                       	R                    	                   	                          	                       	                        	                     	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	                       	C                   	                         	R                   	C                        	                        	                            	A                         	C                         	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	G. fistulosus     	              	111	 677	A	 13	H	CC	  23.00	    120.6500	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	C                	                         	                            	                          	                  	R                    	C                    	C                       	                           	                          	                         	                                    	                       	VR                   	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	C                            	                            	                                   	                       	R                   	                         	                    	C                        	                        	R                           	                          	C                         	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	S. dehiscens      	              	111	 677	A	 14	H	CC	  19.00	    130.0100	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	A                	A                        	VR                          	                          	                  	C                    	                     	C                       	                           	C                         	                         	                                    	C                      	R                    	                   	                          	                       	                        	                     	                 	                       	                       	                           	C                  	                     	C                            	                            	                                   	                       	VR                  	                         	                    	C                        	                        	C                           	R                         	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	S. dehiscens      	              	111	 677	A	 15	H	CC	  23.00	    139.6900	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	VR               	A                        	                            	VR                        	R                 	C                    	                     	R                       	VR                         	C                         	                         	                                    	C                      	C                    	                   	                          	                       	                        	VR                   	                 	                       	                       	VR                         	C                  	                     	                             	                            	                                   	                       	                    	                         	                    	R                        	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	questionable identity of Neogloboquadrina continuosa. from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	S. dehiscens      	              	111	 677	A	 16	X	CC	   8.00	    148.6700	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	                 	R                        	VR                          	VR                        	VR                	C                    	                     	VR                      	                           	C                         	                         	                                    	C                      	A                    	VR                 	                          	                       	VR                      	                     	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	                       	                    	                         	                    	R                        	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Pliocene    	                 	S. dehiscens      	              	111	 677	A	 17	X	CC	  27.00	    151.8400	Houghton 	Planktonic Foraminifers                      	               	                  	R                         	                         	                         	C                       	C                	                         	R                           	                          	                  	C                    	                     	R                       	R                          	C                         	                         	                                    	R                      	C                    	                   	                          	                       	C                       	                     	                 	                       	                       	C                          	C                  	                     	                             	                            	                                   	VR                     	                    	                         	                    	R                        	R                       	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Early Pliocene   	                 	G. tumida         	              	111	 677	A	 18	X	CC	   0.00	    159.8000	Houghton 	Planktonic Foraminifers                      	               	                  	R                         	                         	                         	C                       	R                	A                        	                            	                          	                  	A                    	                     	C                       	VR                         	R                         	                         	                                    	C                      	A                    	                   	                          	                       	R                       	                     	                 	                       	                       	C                          	R                  	                     	                             	C                           	                                   	                       	VR                  	R                        	VR                  	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Early Pliocene   	                 	G. tumida         	              	111	 677	A	 19	X	 6	 144.00	    172.4400	Houghton 	Planktonic Foraminifers                      	               	                  	R                         	                         	R                        	C                       	                 	C                        	A                           	VR                        	                  	R                    	                     	R                       	                           	R                         	                         	                                    	                       	C                    	                   	                          	                       	                        	                     	                 	                       	                       	C                          	A                  	                     	VR                           	R                           	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Early Pliocene   	                 	G. tumida         	              	111	 677	A	 20	X	CC	  26.00	    180.9300	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	C                       	R                	                         	                            	R                         	                  	C                    	                     	C                       	VR                         	R                         	                         	                                    	R                      	C                    	                   	                          	                       	                        	                     	                 	                       	                       	                           	VR                 	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Early Pliocene   	                 	G. tumida         	              	111	 677	A	 21	X	CC	  15.00	    185.7200	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	                         	VR                       	C                       	                 	                         	R                           	                          	                  	VR                   	                     	C                       	                           	                          	                         	                                    	VR                     	R                    	                   	                          	                       	                        	R                    	                 	                       	                       	VR                         	                   	                     	                             	C                           	R                                  	VR                     	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Early Pliocene   	                 	G. tumida         	              	111	 677	A	 22	X	CC	  30.00	    199.7100	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	R                        	C                        	C                       	                 	                         	                            	                          	                  	                     	                     	R                       	                           	                          	                         	                                    	R                      	                     	R                  	                          	                       	                        	                     	                 	                       	                       	                           	C                  	                     	VR                           	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Early Pliocene   	                 	G. tumida         	              	111	 677	A	 23	X	CC	  30.00	    209.1600	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	C                        	C                        	C                       	                 	                         	A                           	                          	                  	                     	                     	C                       	                           	VR                        	                         	                                    	VR                     	                     	R                  	                          	                       	                        	                     	                 	VR                     	                       	VR                         	R                  	R                    	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 24	X	CC	  22.00	    221.2700	Houghton 	Planktonic Foraminifers                      	               	                  	VR                        	                         	                         	VR                      	                 	                         	                            	VR                        	                  	                     	                     	                        	                           	                          	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 25	X	CC	  35.00	    229.0600	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	VR                       	C                        	A                       	VR               	                         	                            	R                         	                  	VR                   	                     	C                       	                           	VR                        	                         	                                    	                       	                     	VR                 	                          	                       	                        	                     	                 	                       	VR                     	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 26	X	CC	   5.00	    239.8000	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	C                        	R                        	C                       	VR               	                         	                            	R                         	                  	C                    	                     	R                       	VR                         	                          	                         	                                    	                       	                     	                   	                          	VR                     	                        	                     	                 	VR                     	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 27	X	CC	  31.00	    249.2200	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	R                        	C                        	VR                      	                 	                         	                            	R                         	                  	R                    	                     	VR                      	                           	                          	                         	                                    	                       	                     	                   	                          	                       	                        	                     	VR               	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 28	X	CC	  38.00	    256.7800	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	R                        	C                        	R                       	                 	                         	VR                          	VR                        	                  	C                    	                     	R                       	                           	VR                        	                         	                                    	VR                     	VR                   	C                  	VR                        	VR                     	VR                      	VR                   	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 29	X	CC	  26.00	    265.5200	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	C                        	C                        	C                       	C                	                         	C                           	VR                        	                  	R                    	                     	R                       	                           	VR                        	R                        	C                                   	VR                     	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 30	X	CC	  29.00	    275.7700	Houghton 	Planktonic Foraminifers                      	               	                  	VR                        	                         	VR                       	VR                      	                 	                         	                            	                          	                  	                     	                     	                        	                           	                          	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 31	X	CC	  29.00	    288.9700	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	R                        	C                        	R                       	                 	                         	                            	                          	                  	VR                   	                     	VR                      	                           	VR                        	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 32	X	CC	  32.00	    297.0900	Houghton 	Planktonic Foraminifers                      	               	                  	C                         	C                        	R                        	R                       	R                	R                        	C                           	VR                        	VR                	C                    	VR                   	VR                      	VR                         	                          	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Late Miocene     	                 	G. plesiotumida   	              	111	 677	A	 33	X	CC	  31.00	    306.5400	Houghton 	Planktonic Foraminifers                      	               	                  	VR                        	VR                       	VR                       	VR                      	                 	                         	                            	                          	                  	                     	                     	                        	                           	                          	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	                   	                     	                             	                            	                                   	                       	                    	                         	                    	                         	                        	                            	                          	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

