Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina triloculinoides	Subbotina triangularis	Subbotina patagonica	Subbotina eocaenica	Planorotalites spp.	Planorotalites compressus	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Acarinina nitida	Acarinina mckannai	Acarinina aquiensis	Acarinina acarinata	Subbotina pseudobulloides	Morozovella hispidicidaris	Morozovella convexa	Acarinina whitei	Acarinina velascoensis	Acarinina subsphaerica	Acarinina intermedia	Acarinina esnaensis	Planorotalites chapmani	Morozovella tadjikistanensis dianensis	Acarinina chascanona	Morozovella nicoli	Acarinina rotundimarginata	Zeauvigerina spp.	Planorotalites planoconicus	Acarinina trichotrocha	Acarinina soldadoensis	Subbotina pseudoeocaena compacta	Subbotina pseudoeocaena	Subbotina eocaenica irregularis	Planorotalites pseudoscitulus elongatus	Planorotalites pseudoscitulus	Globorotaloides spp.	Globorotaloides sp. 1	Globorotalia praecentralis	Globigerinatheka senni	Acarinina triplex	Acarinina primitiva	Acarinina praetopilensis	Subbotina sp. aff. S.hornibrooki	Subbotina pseudoeocaena trilobata	Subbotina crociapertura	Pseudohastigerina wilcoxensis	Planorotalites australiformis	Morozovella subbotinae	Morozovella nicoli ex. group (biconvex)	Morozovella lensiformis	Morozovella dolabrata	Globorotaloides sp. aff. G.suteri	Acarinina pseudotopilensis	Acarinina interposita	Subbotina higginsi	Pseudohastigerina micra <150 µm	Morozovella broedermanni	Guembelitria spp. <150 µm	Acarinina rugosoaculeata	Acarinina pentacamerata	Acarinina collactea	Acarinina bullbrooki/matthewsae	Acarinina sp. aff. mattseensis alticonica	Acarinina appressocamerata	Subbotina ratusa	Subbotina inaequispira	Subbotina corpulenta	Subbotina eocaena	Acarinina decepta	Morozovella crater	Acarinina sp. cf. A.quadratoseptata	Catapsydrax taroubaensis	Pseudohastigerina danvillensis	Acarinina spinuloinflata	Cassigerinelloita amekiensis	Subbotina hagni	Globigerina venezuelana	Dentoglobigerina pseudovenezuelana	Catapsydrax spp.	Globorotaloides suteri	Globorotaloides oregonensis	Whiteinella sp.	Subbotina utilisindex	Subbotina sp. cf. S. azerbadjanica	Subbotina angiporoides	Globigerinatheka subconglobata	Subbotina angiporoides minima	Globigerinatheka index	Subbotina linaperta	Paragloborotalia opima nana	Tenuitella gemma / munda	Catapsydrax globiformis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis ciperoensis	Catapsydrax dissimilis	Globigerinids sp.	Globigerina senilis	Globigerina euapertura	Globigerina praebulloides	? Prosphaeroidinella sp.	Globigerina praebulloides leroyi	Globigerina officinalis	Cassigerinella chipolensis	Comment

  SR	Late Oligocene   	                 	                  	              	114	 699	A	 12	H	CC	  35.00	    111.2400	Nocchi   	Planktonic Foraminifers                      	VR             	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	VR                 	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 20	H	 3	  60.00	    183.2000	Nocchi   	Planktonic Foraminifers                      	R              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	VR              	VR                    	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	VR                                	                      	R                	                   	                      	                         	                        	                                	                       	                          	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 22	H	 2	  30.00	    200.4000	Nocchi   	Planktonic Foraminifers                      	R              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	R               	R                     	                           	               	VR                   	                                  	R                     	                              	VR                           	                      	                   	                           	                        	                       	VR                       	VR                  	VR                                	VR                    	                 	                   	                      	                         	                        	                                	                       	                          	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 26	X	CC	  21.00	    235.6100	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	VR              	                      	                           	               	                     	                                  	F                     	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 27	X	 7	   3.00	    252.1300	Nocchi   	Planktonic Foraminifers                      	R              	P                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	F               	                      	                           	               	VR                   	                                  	F                     	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 27	X	CC	  17.00	    252.7900	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	F               	                      	                           	               	                     	                                  	F                     	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 28	X	CC	  18.00	    254.2800	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	C               	                      	                           	               	VR                   	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 30	X	 1	  59.00	    269.1900	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	F               	                      	                           	               	F                    	                                  	F                     	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 30	X	 2	  13.00	    270.2300	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	R               	                      	                           	               	                     	                                  	F                     	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 30	X	 3	  47.00	    272.0700	Nocchi   	Planktonic Foraminifers                      	VR             	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	VR              	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Oligocene  	                 	                  	              	114	 699	A	 30	X	 4	 104.00	    274.1400	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	F               	                      	                           	               	                     	                                  	F                     	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket
