Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vozzhennikovia spp.,Systematophora placacantha,Spiniferites ramosus,Spinidinium densispinatum,Pyxidinopsis sp.,Palaeocystodinium spp.,Operculodinium centrocarpum,Hystrichosphaeridium tubiferum,Hystrichosphaeridium truswelliae,Hafniasphaera septata,Elytrocysta spp.,Deflandrea phosphoritica group,Cribroperidinium spp.,Cordosphaeridium fibrospinosum,Cerodinium spp.,Cassidium fragile,Alterbidinium spp.,Thalassiphora pelagica,Apectodinium homomorphum,Glaphyrocysta retiintexta,Fibrocysta axialis,Areoligera spp.,Samlandia septata,Phthanoperidinium spp.,Operculodinium sp. A,Lejeunecysta spp.,Spinidinium macmurdoense,Hystrichokolpoma spinosum,Dracodinium waipawaense,Dapsilidinium pseudocolligerum,Alisocysta circumtabulata,Wetzeliella articulata,Operculodinium sp. B,Enneadocysta pectiniformis,Enneadocysta partridgei,Pyxidinopsis waipawaensis,Octodinium askiniae,Membranophoridium perforatum,Hystrichostrogylon spp.,Areosphaeridium diktyoplokus,Charlesdowniea edwardsii,Charlesdowniea coleothrypta,Impagidinium dispertitum,Achomosphaera ramulifera,Arachnodinium antarcticum,Enneadocysta harrisii,Cerebrocysta bartonensis,Batiacasphaera compta,Selenopemphix nephroides,Impagidinium sp. a,Impagidinium sp.,Turbiosphaera filosa,Tectatodinium spp.,Impagidinium victorianum,Impagidinium spp. (pars),Pentadinium goniferum,Achilleodinium biformoides,Rhombodinium rhomboideum,Achomosphaera alcicornu,Corrudinium sp.,Stoveracysta ornata,Alterbidinium distinctum,Samlandia chlamydophora,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  7,R,CC,  15.00,    302.3000,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,36                 ,                          ,4                   ,                         ,1               ,                      ,                           ,1                             ,1                               ,                     ,                ,112                           ,                     ,                              ,               ,                 ,6                 ,1                     ,                        ,                         ,                  ,               ,                 ,43                    ,2                   ,+                ,6                       ,                         ,                       ,                              ,                         ,                      ,                    ,+                         ,8                      ,                         ,                   ,                            ,                       ,1                           ,                        ,                           ,                        ,1                       ,1                        ,+                    ,1                       ,                     ,1                       ,1                 ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,1                      ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  8,R,CC,   0.00,    307.8400,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,35                 ,                          ,1                   ,                         ,                ,                      ,                           ,1                             ,1                               ,                     ,                ,107                           ,                     ,                              ,               ,                 ,10                ,4                     ,                        ,                         ,                  ,               ,                 ,47                    ,3                   ,1                ,5                       ,                         ,                       ,1                             ,                         ,                      ,1                   ,2                         ,2                      ,                         ,1                  ,                            ,                       ,1                           ,                        ,                           ,                        ,                        ,1                        ,                     ,1                       ,                     ,                        ,1                 ,                ,                    ,                  ,                        ,                        ,                     ,                          ,1                       ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 10,R,CC,  12.00,    330.7800,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,140                ,                          ,45                  ,                         ,                ,                      ,                           ,10                            ,20                              ,                     ,                ,22                            ,                     ,                              ,1              ,                 ,1                 ,                      ,                        ,                         ,                  ,               ,                 ,                      ,1                   ,                 ,2                       ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,1                      ,                         ,1                  ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,1                        ,                     ,1                       ,                     ,                        ,5                 ,                ,                    ,                  ,5                       ,                        ,                     ,4                         ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 11,R,CC,  12.00,    334.0200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,117                ,                          ,25                  ,                         ,                ,                      ,                           ,15                            ,5                               ,                     ,                ,30                            ,                     ,                              ,               ,                 ,5                 ,                      ,                        ,                         ,                  ,               ,                 ,1                     ,1                   ,2                ,3                       ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,1                      ,                         ,3                  ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,1                       ,                     ,2                       ,4                 ,                ,                    ,                  ,3                       ,                        ,                     ,1                         ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 13,R,CC,   8.00,    353.2800,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,23                 ,                          ,3                   ,                         ,                ,                      ,                           ,                              ,                                ,                     ,                ,81                            ,                     ,                              ,               ,                 ,                  ,38                    ,                        ,                         ,                  ,               ,                 ,                      ,4                   ,1                ,1                       ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,2                      ,                         ,2                  ,                            ,                       ,                            ,                        ,                           ,1                       ,                        ,1                        ,                     ,1                       ,                     ,                        ,3                 ,                ,                    ,                  ,1                       ,                        ,1                    ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 15,R,CC,  20.00,    374.3500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,12                 ,                          ,10                  ,                         ,                ,                      ,                           ,5                             ,3                               ,                     ,1               ,91                            ,                     ,                              ,               ,                 ,1                 ,27                    ,                        ,                         ,                  ,               ,                 ,                      ,1                   ,3                ,                        ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,1                      ,                         ,5                  ,                            ,                       ,1                           ,                        ,                           ,                        ,                        ,1                        ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,1                       ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 17,R,CC,  24.00,    398.4000,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,10                 ,                          ,                    ,                         ,                ,                      ,                           ,4                             ,1                               ,                     ,                ,81                            ,                     ,                              ,               ,                 ,                  ,1                     ,                        ,                         ,                  ,               ,                 ,                      ,2                   ,1                ,                        ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,30                     ,                         ,1                  ,                            ,                       ,1                           ,                        ,                           ,1                       ,                        ,2                        ,                     ,1                       ,                     ,1                       ,                  ,                ,1                   ,1                 ,1                       ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 19,R,CC,   0.00,    417.6300,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,                          ,1                   ,                         ,                ,                      ,                           ,                              ,                                ,                     ,                ,70                            ,                     ,                              ,               ,                 ,                  ,                      ,                        ,                         ,                  ,               ,                 ,                      ,3                   ,1                ,1                       ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,170                    ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,1                        ,                     ,1                       ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 21,R,CC,  32.00,    430.3200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,5                  ,                          ,4                   ,                         ,                ,                      ,                           ,                              ,                                ,                     ,                ,110                           ,                     ,1                             ,               ,                 ,                  ,                      ,                        ,                         ,                  ,               ,                 ,                      ,4                   ,1                ,                        ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,50                     ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,1                        ,                     ,1                       ,                     ,                        ,1                 ,                ,1                   ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 23,R,CC,  10.00,    453.5700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,                          ,11                  ,                         ,                ,                      ,                           ,7                             ,                                ,                     ,                ,70                            ,                     ,3                             ,               ,                 ,15                ,1                     ,                        ,                         ,                  ,               ,                 ,1                     ,1                   ,1                ,1                       ,                         ,                       ,                              ,                         ,                      ,1                   ,                          ,20                     ,1                        ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,1                        ,                     ,1                       ,                     ,1                       ,1                 ,1               ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 25,R,CC,   0.00,    476.8100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,11                 ,                          ,1                   ,                         ,                ,                      ,                           ,1                             ,                                ,                     ,2               ,127                           ,                     ,                              ,               ,                 ,3                 ,                      ,                        ,                         ,                  ,               ,                 ,30                    ,7                   ,3                ,1                       ,                         ,                       ,                              ,                         ,                      ,14                  ,                          ,1                      ,                         ,1                  ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,1                       ,                     ,1                       ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 27,R,CC,   7.00,    497.4500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,35                 ,                          ,3                   ,                         ,                ,                      ,                           ,16                            ,                                ,                     ,                ,90                            ,                     ,                              ,               ,                 ,18                ,                      ,                        ,                         ,                  ,               ,                 ,8                     ,3                   ,1                ,5                       ,                         ,                       ,                              ,                         ,                      ,1                   ,                          ,45                     ,                         ,1                  ,                            ,                       ,1                           ,                        ,                           ,                        ,                        ,2                        ,1                    ,3                       ,                     ,1                       ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 29,R,CC,  13.00,    516.7900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,3                  ,                          ,12                  ,                         ,                ,                      ,                           ,1                             ,                                ,                     ,                ,18                            ,                     ,                              ,               ,                 ,3                 ,                      ,                        ,                         ,                  ,               ,                 ,1                     ,5                   ,1                ,1                       ,                         ,                       ,                              ,                         ,                      ,22                  ,                          ,50                     ,                         ,                   ,                            ,                       ,45                          ,                        ,                           ,                        ,                        ,                         ,5                    ,1                       ,4                    ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 35,R,CC,   7.00,    573.8600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,                          ,1                   ,                         ,                ,                      ,                           ,1                             ,1                               ,                     ,                ,200                           ,                     ,                              ,               ,                 ,1                 ,                      ,                        ,                         ,                  ,               ,                 ,1                     ,                    ,1                ,                        ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,1                      ,1                        ,                   ,1                           ,                       ,                            ,                        ,                           ,                        ,                        ,1                        ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 40,R,CC,  19.00,    622.7000,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,1                         ,20                  ,                         ,                ,                      ,                           ,8                             ,                                ,                     ,                ,170                           ,                     ,1                             ,1              ,                 ,                  ,                      ,                        ,                         ,1                 ,               ,                 ,                      ,                    ,1                ,                        ,1                        ,                       ,                              ,                         ,                      ,                    ,                          ,                       ,3                        ,                   ,1                           ,                       ,                            ,                        ,                           ,1                       ,1                       ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 44,R,CC,  17.00,    660.7100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,20                        ,6                   ,                         ,                ,                      ,2                          ,1                             ,                                ,                     ,                ,125                           ,9                    ,                              ,               ,                 ,                  ,                      ,                        ,                         ,                  ,               ,                 ,                      ,                    ,1                ,                        ,1                        ,                       ,                              ,                         ,                      ,                    ,                          ,                       ,1                        ,                   ,                            ,                       ,                            ,1                       ,1                          ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 50,R,CC,  23.00,    718.4800,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,F              ,M                 ,                   ,                          ,1                   ,                         ,                ,                      ,1                          ,1                             ,                                ,                     ,                ,1                             ,+                    ,1                             ,               ,                 ,1                 ,                      ,                        ,                         ,                  ,               ,                 ,                      ,1                   ,                 ,                        ,1                        ,                       ,                              ,                         ,+                     ,1                   ,+                         ,1                      ,                         ,1                  ,1                           ,1                      ,1                           ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 56,R,CC,  17.00,    771.4000,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,F              ,M                 ,                   ,                          ,1                   ,                         ,                ,1                     ,1                          ,                              ,                                ,                     ,1               ,1                             ,1                    ,1                             ,               ,                 ,1                 ,                      ,                        ,                         ,                  ,               ,                 ,1                     ,1                   ,1                ,                        ,1                        ,                       ,1                             ,                         ,1                     ,                    ,+                         ,1                      ,1                        ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 60,R,CC,  10.00,    814.6000,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,F              ,M                 ,1                  ,                          ,1                   ,                         ,1               ,1                     ,                           ,1                             ,                                ,                     ,                ,1                             ,1                    ,1                             ,               ,                 ,1                 ,                      ,                        ,                         ,1                 ,               ,                 ,1                     ,1                   ,                 ,                        ,1                        ,                       ,                              ,                         ,1                     ,+                   ,+                         ,1                      ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 70,R,CC,  17.00,    908.0700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,M                 ,6                  ,1                         ,6                   ,                         ,                ,19                    ,5                          ,3                             ,                                ,                     ,                ,40                            ,20                   ,3                             ,4              ,                 ,4                 ,                      ,                        ,1                        ,2                 ,3              ,1                ,                      ,                    ,                 ,1                       ,4                        ,2                      ,2                             ,1                        ,                      ,                    ,                          ,                       ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 71,R,CC,  34.00,    919.1200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,M                 ,3                  ,                          ,10                  ,1                        ,                ,8                     ,                           ,19                            ,                                ,+                    ,6               ,12                            ,5                    ,1                             ,10             ,1                ,2                 ,                      ,                        ,2                        ,                  ,1              ,                 ,2                     ,3                   ,                 ,1                       ,1                        ,                       ,                              ,                         ,                      ,                    ,                          ,                       ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 72,R,CC,   0.00,    929.2900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,P                 ,                   ,                          ,8                   ,                         ,1               ,7                     ,7                          ,2                             ,                                ,2                    ,                ,6                             ,1                    ,1                             ,6              ,1                ,3                 ,1                     ,                        ,2                        ,                  ,               ,1                ,5                     ,1                   ,1                ,                        ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,                       ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 73,R,CC,   0.00,    939.5100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,F              ,P                 ,                   ,                          ,1                   ,                         ,                ,1                     ,1                          ,1                             ,                                ,1                    ,                ,1                             ,1                    ,                              ,1              ,1                ,1                 ,1                     ,1                       ,                         ,                  ,               ,                 ,                      ,                    ,                 ,                        ,                         ,                       ,                              ,                         ,                      ,                    ,                          ,                       ,                         ,                   ,                            ,                       ,                            ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,                        ,                  ,                ,                    ,                  ,                        ,                        ,                     ,                          ,                        ,                       ,               ,                   ,                        ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
