Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Tenuitella sp.,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Tenuitella anfracta,Neogloboquadrina acostaensis,Hastigerinopsis riedeli,Globigerinita uvula,Globigerinita juvenilis,Globigerinita glutinata,Globigerina bulloides,Gallitellia vivans,Globorotalia inflata,Globoquadrina conglomerata,Comment
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 2, 135.00,      2.8500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 3,  95.00,      3.9500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  2,H, 1,  26.00,      5.2600,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,T             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  2,H, 1,  32.00,      5.3200,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-             ,T                                      ,VR                                   ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  2,H, 3, 134.00,      8.8500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  2,H, 4,  34.00,      9.3500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,T             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  2,H, 5,  62.00,     11.1300,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  2,H, 6,  13.00,     11.3400,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,cf                       ,T             ,T                                      ,VR                                   ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
