Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis (?) annikae,Stylosphaera coronata coronata,Spongurus (?) regularis group,Phormocyrtis striata praexquisita,Cromyomma riedeli,Buryella tetradica,Buryella pentadica,Bathropyramis woodringi,Xiphosphaera circularis,Periphaena decora,Entapium regulare,Phormocyrtis striata exquisita,Stylotrochus alveatus,Spongurus quadratus,Bekoma campechensis,Stylosphaera goruna,Astrosphaerin sp. E,Lithomespilus mendosa,Lamptonium pennatum,Astrosphaerin sp. F,Lamptonium fabaeforme chaunothorax,Bekoma bidartensis,Theocotylissa alpha,Pterocodon (?) anteclinata,Pterocodon (?) ampla,Lamptonium fabaeforme fabaeforme,Calocycloma castum,Theocotyle nigriniae,Spongatractus balbis,Lithocyclia ocellus,Buryella clinata,Podocyrtis papalis,Calocyclas hispida,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Phormocyrtis striata striata,Thyrsocyrtis tarsipes,Theocotylissa ficus,Thyrsocyrtis tensa,Theocotyle cryptocephala,Podocyrtis sinuosa,Podocyrtis diamesa,Thyrsocyrtis robusta,Theocotyle venezuelensis,Dictyoprora mongolfieri,Theocotyle conica,Thyrsocyrtis triacantha,Eusyringium lagena,Spongatractus pachystylus,Podocyrtis phyxis,Eusyringium fistuligerum,Podocyrtis  ampla,Lychnocanoma bellum,Podocyrtis trachodes,Podocyrtis dorus,Sethochytris triconiscus,Podocyrtis mitra,Thyrsocyrtis lochites,Podocyrtis fasciolata,Podocyrtis chalara,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Lithocyclia aristotelis group,Cryptocarpium ornatum,Lophocyrtis jacchia,Dictyoprora pirum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,Podocyrtis chalara,,171,1051,A,6,H,CC,21.00,53.6200,Blome    ,Radiolarians                                 ,F              ,M                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,R                 ,                  ,F                    ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,A                      ,                 ,F                      ,                  ,                         ,                 ,F                       ,                 ,F                  ,F                   ,                ,R                       ,                ,                     ,                     ,C                 ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,Podocyrtis chalara,,171,1051,A,7,H,CC,18.00,62.9000,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,F                  ,                ,C                 ,F                 ,F                    ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,A                      ,                 ,F                      ,                  ,                         ,                 ,F                       ,                 ,                   ,F                   ,                ,R                       ,                ,                     ,                     ,R                 ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,8,H,CC,17.00,72.5900,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,F                 ,C                    ,                    ,R                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,                  ,                         ,                 ,C                       ,F                ,R                  ,F                   ,                ,                        ,F               ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,9,H,CC,0.00,81.0900,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,                  ,C                    ,                    ,R                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,                  ,                         ,                 ,F                       ,                 ,                   ,F                   ,                ,R                       ,F               ,F                    ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,10,H,CC,0.00,91.0200,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,F                 ,C                    ,                    ,R                           ,                     ,R                  ,                  ,                        ,                  ,                  ,                    ,                        ,A                      ,                 ,F                      ,                  ,                         ,                 ,C                       ,F                ,R                  ,R                   ,                ,                        ,F               ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,11,H,CC,0.00,100.0300,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,F                 ,F                    ,                    ,F                           ,                     ,R                  ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,R                      ,                  ,                         ,                 ,C                       ,F                ,R                  ,R                   ,                ,                        ,F               ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,No Eusyringium lagena found
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,12,H,CC,0.00,110.3500,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,F                  ,                ,F                 ,F                 ,F                    ,                    ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,                  ,                         ,                 ,F                       ,R                ,                   ,                    ,                ,R                       ,F               ,F                    ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,13,H,CC,12.00,119.9300,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,F                 ,F                 ,F                    ,                    ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,C                      ,T                 ,                         ,                 ,F                       ,                 ,F                  ,R                   ,                ,R                       ,F               ,                     ,R                    ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,Fauna very well preserved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,14,H,CC,29.00,129.8100,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,F                 ,F                 ,F                    ,                    ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,R                 ,                         ,                 ,F                       ,                 ,F                  ,                    ,                ,F                       ,F               ,R                    ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. mitra      ,,171,1051,A,16,H,CC,25.00,148.8800,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,F                 ,                  ,R                    ,                    ,C                           ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,R                 ,R                        ,                 ,F                       ,F                ,R                  ,                    ,                ,R                       ,R               ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1051,A,17,X,CC,16.00,156.8200,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,F                  ,                ,C                 ,F                 ,F                    ,                    ,C                           ,                     ,F                  ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,                  ,F                        ,                 ,F                       ,                 ,R                  ,                    ,C               ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1051,A,18,X,CC,29.00,167.1900,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,F                 ,F                 ,F                    ,                    ,F                           ,                     ,R                  ,                  ,                        ,                  ,                  ,                    ,                        ,                       ,                 ,F                      ,T                 ,                         ,                 ,F                       ,                 ,                   ,F                   ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1051,A,20,X,CC,27.00,187.1600,Blome    ,Radiolarians                                 ,F              ,M                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,F                 ,                  ,                     ,                    ,F                           ,                     ,                   ,                  ,                        ,F                 ,                  ,                    ,                        ,C                      ,                 ,R                      ,R                 ,                         ,                 ,C                       ,                 ,                   ,F                   ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1051,A,22,X,CC,25.00,202.6500,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,F                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,F                 ,F                    ,                    ,C                           ,                     ,                   ,                  ,                        ,C                 ,                  ,                    ,                        ,C                      ,                 ,R                      ,R                 ,                         ,                 ,F                       ,F                ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1051,A,23,X,CC,36.00,215.9800,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,F                 ,F                    ,                    ,C                           ,                     ,R                  ,                  ,                        ,                  ,                  ,                    ,R                       ,A                      ,                 ,R                      ,F                 ,R                        ,                 ,R                       ,R                ,R                  ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. triacantha ,,171,1051,A,24,X,CC,17.00,225.4300,Blome    ,Radiolarians                                 ,F              ,M                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,F                 ,F                 ,F                    ,R                   ,F                           ,                     ,                   ,                  ,                        ,C                 ,                  ,                    ,                        ,A                      ,                 ,F                      ,R                 ,                         ,R                ,R                       ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,"Abundant clay detritus, lots of broken or eroded radiolarians"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. triacantha ,,171,1051,A,26,X,CC,46.00,244.6300,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,                  ,F                    ,                    ,C                           ,                     ,F                  ,                  ,                        ,F                 ,                  ,                    ,F                       ,A                      ,                 ,F                      ,R                 ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. triacantha ,,171,1051,A,28,X,CC,27.00,263.9800,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,                  ,F                    ,F                   ,C                           ,                     ,F                  ,                  ,                        ,F                 ,                  ,                    ,R                       ,A                      ,                 ,F                      ,R                 ,R                        ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. triacantha ,,171,1051,A,30,X,CC,20.00,280.4500,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,F                 ,C                    ,A                   ,C                           ,                     ,R                  ,                  ,                        ,C                 ,                  ,                    ,                        ,A                      ,                 ,                       ,R                 ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. triacantha ,,171,1051,A,32,X,CC,35.00,300.4100,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,C                  ,                ,C                 ,C                 ,C                    ,R                   ,C                           ,                     ,                   ,                  ,                        ,C                 ,                  ,                    ,R                       ,A                      ,                 ,F                      ,F                 ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. triacantha ,,171,1051,A,34,X,CC,62.00,321.7100,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,C                             ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,F                 ,                     ,F                   ,C                           ,                     ,                   ,                  ,                        ,C                 ,F                 ,                    ,F                       ,A                      ,R                ,F                      ,R                 ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,D. mongolfieri,,171,1051,A,35,X,CC,33.00,330.5000,Blome    ,Radiolarians                                 ,C              ,G                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,R                               ,                  ,F                   ,                    ,                   ,                ,R                 ,F                 ,F                    ,R                   ,C                           ,                     ,                   ,R                 ,R                       ,R                 ,                  ,                    ,R                       ,A                      ,R                ,                       ,                  ,                         ,                 ,                        ,                 ,                   ,                    ,                ,                        ,                ,                     ,                     ,                  ,                       ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
