Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globigerina bulloides,Turborotalita quinqueloba,Globorotalia scitula,Globigerinita minuta,Globigerinita uvula,Turborotalita humilis,Tenuitella parkerae,Tenuitella iota,Orbulina universa,Neogloboquadrina pachyderma (non-encrusted juvenile sin.),Neogloboquadrina pachyderma (dextral),Indeterminate spp.,Globoturborotalita rubescens,Globorotalia theyeri,Globorotalia sp. A,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides ruber,Globigerinita glutinata,Globigerinita cf. uvula,Globigerina falconensis,Neogloboquadrina dutertrei,Globorotaloides hexagona,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  1,H, 3,  10.00,      5.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,94                                     ,58                   ,106                      ,1                   ,0                   ,98                 ,0                    ,14                 ,0              ,0                ,0                                                        ,0                                    ,4                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,11                     ,191                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  1,H, 4,  72.00,      7.1200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,3                                      ,0                    ,10                       ,0                   ,0                   ,0                  ,0                    ,0                  ,0              ,0                ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,0                      ,1                      ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  1,H, 5,  89.00,      8.7900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,63                                     ,31                   ,81                       ,4                   ,0                   ,51                 ,0                    ,23                 ,0              ,0                ,0                                                        ,0                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,31                     ,112                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  1,H, 6,  36.00,      9.7600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,132                                    ,24                   ,90                       ,4                   ,0                   ,61                 ,0                    ,11                 ,0              ,0                ,2                                                        ,1                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,18                     ,144                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  1,H,CC,  20.00,     11.5400,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,A                    ,C                        ,F                   ,R                   ,R                  ,                     ,                   ,               ,                 ,                                                         ,R                                    ,                  ,                            ,F                   ,                  ,                    ,                    ,                     ,C                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 1,  45.00,     11.8500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,+                        ,0                   ,0                   ,25                 ,0                    ,1                  ,0              ,0                ,3                                                        ,0                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,+                      ,130                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 1,  97.00,     12.3700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,189                                    ,20                   ,70                       ,0                   ,1                   ,20                 ,0                    ,14                 ,0              ,0                ,3                                                        ,2                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,1                      ,55                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 1, 105.00,     12.4500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,+                        ,0                   ,R                   ,10                 ,0                    ,0                  ,0              ,0                ,1                                                        ,2                                    ,2                 ,0                           ,0                   ,1                 ,0                   ,0                   ,0                    ,3                      ,18                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 2,  20.00,     13.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,83                       ,+                   ,0                   ,13                 ,0                    ,0                  ,0              ,0                ,0                                                        ,R                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,+                      ,45                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 2,  96.00,     13.8600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,116                                    ,39                   ,70                       ,2                   ,1                   ,118                ,0                    ,17                 ,0              ,0                ,1                                                        ,0                                    ,1                 ,0                           ,1                   ,0                 ,0                   ,0                   ,0                    ,15                     ,14                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 2, 129.00,     14.1900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,C                        ,0                   ,0                   ,+                  ,1                    ,0                  ,0              ,0                ,2                                                        ,R                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,C                      ,83                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  2,H, 3,  48.00,     14.8800,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,A                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 3,  98.00,     15.3800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,179                                    ,34                   ,76                       ,0                   ,0                   ,100                ,0                    ,2                  ,0              ,0                ,0                                                        ,4                                    ,4                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,22                     ,36                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 3, 129.00,     15.6900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,74                       ,+                   ,0                   ,19                 ,0                    ,0                  ,0              ,0                ,2                                                        ,R                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,+                      ,65                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 4,  12.00,     16.0200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,+                        ,1                   ,0                   ,11                 ,1                    ,0                  ,0              ,0                ,2                                                        ,2                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,+                      ,65                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  2,H, 4,  17.00,     16.0700,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,A                    ,C                        ,F                   ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 4,  98.00,     16.8800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,97                                     ,14                   ,78                       ,0                   ,0                   ,82                 ,0                    ,2                  ,0              ,0                ,0                                                        ,1                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,6                      ,45                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 4, 127.00,     17.1700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,89                       ,1                   ,0                   ,10                 ,0                    ,0                  ,0              ,0                ,1                                                        ,1                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,+                      ,68                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 5,   7.00,     17.4700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,112                                    ,27                   ,62                       ,0                   ,0                   ,41                 ,0                    ,1                  ,0              ,0                ,1                                                        ,1                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,17                     ,44                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 5,  22.00,     17.6200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,+                        ,0                   ,0                   ,10                 ,0                    ,0                  ,0              ,0                ,0                                                        ,0                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,+                      ,48                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  2,H, 5, 118.00,     18.5800,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,+                                      ,+                    ,+                        ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 6,   9.00,     18.9900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,187                                    ,20                   ,69                       ,3                   ,9                   ,8                  ,1                    ,0                  ,0              ,0                ,0                                                        ,3                                    ,4                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,2                      ,47                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  2,H, 6, 112.00,     20.0200,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,A                    ,+                        ,+                   ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,+                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  2,H, 7,  26.00,     20.6600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,107                                    ,19                   ,37                       ,1                   ,0                   ,37                 ,0                    ,4                  ,0              ,0                ,3                                                        ,2                                    ,3                 ,0                           ,0                   ,1                 ,0                   ,0                   ,0                    ,9                      ,123                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  2,H, 7,  48.00,     20.8800,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,+                                      ,+                    ,+                        ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,+                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  2,H,CC,  20.00,     21.1700,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                                      ,                     ,C                        ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  3,P,CC,   0.00,     20.9000,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                                      ,C                    ,R                        ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,R                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 1,  22.00,     22.1200,Brunner  ,Planktonic Foraminifers                      ,F              ,G                 ,A                                      ,A                    ,                         ,+                   ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,R                                    ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,+                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 1, 104.00,     22.9400,Brunner  ,Planktonic Foraminifers                      ,C              ,                  ,F                                      ,F                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,R                                    ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,F                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 1, 124.00,     23.1400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                                      ,0                    ,0                        ,0                   ,0                   ,0                  ,0                    ,0                  ,0              ,0                ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,0                      ,0                      ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 2,  37.00,     23.7700,Brunner  ,Planktonic Foraminifers                      ,R              ,M                 ,                                       ,R                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 2, 105.00,     24.4500,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,F                                      ,F                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,R                                    ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 2, 118.00,     24.5800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                                      ,0                    ,0                        ,0                   ,0                   ,0                  ,0                    ,0                  ,0              ,0                ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,0                      ,0                      ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 2, 140.00,     24.8000,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,+                                      ,+                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 3,  37.00,     25.2700,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,+                                      ,+                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,+                      ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 3,  64.00,     25.5400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,182                                    ,92                   ,15                       ,2                   ,0                   ,41                 ,0                    ,1                  ,0              ,0                ,3                                                        ,3                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,4                      ,5                      ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 3, 100.00,     25.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                                      ,0                    ,0                        ,0                   ,0                   ,0                  ,0                    ,0                  ,0              ,0                ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,0                      ,0                      ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  4,H, 3, 115.00,     26.0500,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,+                                      ,+                    ,                         ,                    ,                    ,                   ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 3, 125.00,     26.1500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,152                                    ,66                   ,33                       ,0                   ,7                   ,5                  ,0                    ,5                  ,0              ,0                ,4                                                        ,2                                    ,9                 ,4                           ,0                   ,0                 ,3                   ,0                   ,0                    ,6                      ,80                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 4,  12.00,     26.5200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,131                                    ,50                   ,87                       ,0                   ,1                   ,2                  ,0                    ,3                  ,0              ,0                ,0                                                        ,15                                   ,2                 ,1                           ,0                   ,0                 ,0                   ,0                   ,0                    ,14                     ,22                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 4,  30.00,     26.7000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,88                                     ,68                   ,81                       ,0                   ,5                   ,2                  ,0                    ,1                  ,0              ,0                ,0                                                        ,4                                    ,3                 ,1                           ,0                   ,0                 ,0                   ,0                   ,0                    ,10                     ,28                     ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 4,  38.00,     26.7800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,70                                     ,73                   ,126                      ,1                   ,14                  ,11                 ,0                    ,0                  ,0              ,0                ,3                                                        ,8                                    ,4                 ,1                           ,0                   ,0                 ,0                   ,0                   ,0                    ,25                     ,108                    ,4                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 4,  49.00,     26.8900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,+                        ,1                   ,0                   ,14                 ,0                    ,4                  ,0              ,0                ,0                                                        ,A                                    ,1                 ,0                           ,0                   ,1                 ,0                   ,0                   ,0                    ,+                      ,26                     ,0                      ,R                         ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  4,H, 4,  70.00,     27.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,121                                    ,6                    ,23                       ,0                   ,0                   ,1                  ,0                    ,0                  ,0              ,1                ,0                                                        ,5                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,11                     ,2                      ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
