Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rutherfordoides sp. A,Suggrunda eckisi,Pullenia bulloides,Globocassidulina spp.,Elphidium spp.,Buliminella elegantissima,Buccella sp. A,Bolivina pacifica,Spirosigmoilina tenuis,Elphidium excavatum,Uvigerina senticosa,Triloculina sp. A,Textularia sp. A,Stainforthia complanata,Sphaeroidina bulloides,Nonionella turgida,Lagenid taxa,Gyroidina spp.,Globobulimina ovula,Globobulimina affinis,Cibicides wuellerstorfi,Melonis pompilioides,Gyroidina sp. A,Eggerella bradyi,Bolivina spp.,Valvulineria spp.,Valvulineria sp. A,Valvulineria laevigata,Melonis quadalupe,Gyroidinoides planulatus,Cibicides kullenbergi,Uvigerina dirupta,Stainforthia rotunda,Nodosariid taxa,Melonis barleeanus,Karreriella sp. A,Eponides turgida,Cibicides lobatulus,Cassidulina laevigata carinata,Pyrgo spp.,Pyrgo murrhina,Miliolina spp.,Chilostomellina fimbriata (?),Chilostomella oolina,Nonionella spp.,Cribroelphidium subarcticum,Bolivina seminuda,Rosalina sp. A,Pullenia quinqueloba,Oridorsalis tener,Nonionella cf. N. miocenica,Globobulimina pacifica,Cassidulinoides spp.,Valvulineria cf. V. inequalis,Gyroidina quinqueloba,Eggerella spp.,Eggerella parkerae,Nonion sp.,Baggina sp. A,Spirosigmoilinella spp.,Pullenia salisburyi,Lenticulina spp.,Gyroidinoides altiformis,Bulimina cf. B. inflata,Valvulineria inaequalis,Strebloides sp. A,Quinqueloculina sp.,Nonionellina labradorica,Chilostomella ovoidea,Buliminella tenuata,Stainforthia spp.,Nonionella digitata,Cibicidoides sp. A,Cibicidoides mckannai,Cribroelphidium foraminosum,Gyroidina gemma,Uvigerina cf. U. juncea,Martinottiella sp. A,Dentalina frobisherensis,Uvigerina hispida,Cibicidina cf. C. basiloba,Quinqueloculina akneriana,Agglutinated spp. (indeterminate),Bulimina barbata,Pullenia spp.,Miliolids species,Hoeglundina elegans,Bulimina rostrata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 1, 105.00,     12.4500,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,                 ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,+                ,                    ,               ,+                 ,                 ,                ,+                  ,                              ,          ,              ,              ,+                            ,+                   ,               ,                           ,                 ,              ,                    ,                 ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,+                  ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,+                ,                   ,+                 ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 2,  20.00,     13.1000,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,+                ,                      ,                   ,+                  ,+                ,+               ,+                      ,                      ,                  ,            ,              ,+                  ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,+                    ,                 ,                    ,               ,+                 ,                 ,                ,                   ,+                             ,          ,              ,              ,+                            ,+                   ,               ,                           ,+                ,              ,                    ,                 ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,+                       ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,+                 ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 2, 129.00,     14.1900,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,+                ,                      ,                   ,+                  ,+                ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,                    ,+              ,+               ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,                 ,                    ,               ,+                 ,                 ,                ,                   ,                              ,          ,+             ,              ,                             ,+                   ,               ,                           ,                 ,              ,                    ,+                ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,                   ,                ,+                       ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 3,  48.00,     14.8800,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,+                 ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,+               ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,                       ,+                   ,               ,                ,             ,                 ,                  ,                      ,+                ,                        ,+                    ,                 ,                    ,               ,                  ,+                ,                ,                   ,+                             ,          ,+             ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,+                       ,                       ,                       ,                 ,+                  ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,+                      ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 3, 129.00,     15.6900,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,+                ,                      ,                   ,+                  ,+                ,                ,+                      ,                      ,                  ,+           ,              ,                   ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,+                    ,                 ,                    ,+              ,+                 ,                 ,                ,                   ,+                             ,          ,+             ,              ,                             ,+                   ,               ,                           ,                 ,              ,                    ,+                ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,                   ,                ,+                       ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,+               ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 4,  12.00,     16.0200,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,+               ,                       ,                      ,                  ,+           ,+             ,+                  ,                     ,+                      ,+                   ,+              ,+               ,             ,                 ,                  ,                      ,+                ,                        ,+                    ,                 ,                    ,+              ,+                 ,                 ,                ,                   ,+                             ,          ,+             ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,                   ,                ,+                       ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,+                         ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 4,  17.00,     16.0700,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,+                ,                      ,                   ,+                  ,+                ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,+                ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,+             ,+                            ,+                   ,               ,                           ,                 ,+             ,                    ,                 ,                           ,                      ,                    ,+                            ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,+                       ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,+                 ,                     ,                           ,               ,                       ,                    ,                        ,+                ,                          ,                         ,+                                ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 4, 127.00,     17.1700,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,                       ,+                   ,               ,                ,             ,                 ,+                 ,                      ,                 ,+                       ,                     ,+                ,                    ,               ,+                 ,                 ,                ,                   ,+                             ,          ,              ,              ,+                            ,+                   ,               ,                           ,                 ,              ,                    ,                 ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,+                  ,                        ,                     ,                   ,+                ,                   ,+                 ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,+                        ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 5,  22.00,     17.6200,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,+               ,                       ,                      ,                  ,+           ,+             ,+                  ,                     ,+                      ,+                   ,+              ,+               ,             ,                 ,                  ,                      ,+                ,                        ,+                    ,                 ,                    ,+              ,+                 ,                 ,                ,                   ,                              ,          ,+             ,              ,                             ,                    ,               ,                           ,                 ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,+                  ,                ,+                       ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,+                         ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 5, 118.00,     18.5800,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,+                 ,                     ,              ,                         ,              ,                 ,                      ,                   ,+                  ,                 ,                ,+                      ,                      ,                  ,            ,              ,+                  ,+                    ,+                      ,+                   ,               ,                ,             ,                 ,                  ,                      ,                 ,+                       ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,+                ,+             ,                    ,                 ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,+                 ,                     ,                           ,               ,+                      ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 6,   9.00,     18.9900,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,                  ,                     ,              ,                         ,              ,+                ,                      ,                   ,+                  ,                 ,                ,+                      ,                      ,                  ,+           ,              ,+                  ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,+                 ,                      ,                 ,                        ,+                    ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,+                ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,                   ,                ,                        ,                       ,                       ,                 ,                   ,+                       ,                     ,                   ,+                ,+                  ,                  ,                     ,                           ,+              ,                       ,                    ,                        ,+                ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 6, 112.00,     20.0200,Brunner  ,Benthic Foraminifers                         ,               ,M                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,+                ,                      ,                   ,                   ,+                ,+               ,                       ,                      ,                  ,+           ,              ,                   ,                     ,+                      ,+                   ,+              ,                ,             ,+                ,                  ,                      ,+                ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,+         ,              ,              ,+                            ,                    ,               ,                           ,+                ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,+                      ,+                   ,+                       ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 7,  48.00,     20.8800,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,+                ,                      ,                   ,                   ,+                ,                ,+                      ,                      ,                  ,+           ,+             ,                   ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,                        ,+                    ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,+                ,              ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,+                ,+                  ,                        ,+                    ,+                  ,+                ,                   ,                  ,                     ,                           ,+              ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H,CC,  20.00,     21.1700,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,+                    ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,+                ,                ,+                      ,                      ,                  ,+           ,+             ,+                  ,+                    ,+                      ,+                   ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,+                   ,               ,                           ,+                ,              ,                    ,+                ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,                 ,                   ,                        ,                     ,+                  ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  3,P,CC,   0.00,     20.9000,Brunner  ,Benthic Foraminifers                         ,A              ,M                 ,                     ,                ,                  ,                     ,+             ,                         ,              ,+                ,                      ,                   ,+                  ,                 ,                ,                       ,                      ,                  ,+           ,              ,                   ,+                    ,+                      ,+                   ,               ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,+                ,                    ,               ,                  ,                 ,                ,                   ,                              ,+         ,              ,              ,                             ,+                   ,               ,                           ,                 ,+             ,                    ,+                ,                           ,                      ,+                   ,                             ,                     ,              ,                  ,+         ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,                 ,                   ,                        ,                     ,+                  ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  4,H, 1,  22.00,     22.1200,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,                   ,                 ,                ,+                      ,                      ,                  ,+           ,              ,                   ,+                    ,                       ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,                 ,+             ,                    ,                 ,                           ,+                     ,+                   ,                             ,                     ,              ,                  ,          ,             ,                       ,+                  ,                ,                        ,                       ,+                      ,+                ,                   ,                        ,+                    ,+                  ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
