Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylatractus universus,Stichocorys delmontensis,Prunopyle hayesi,Phormostichoartus crustula,Lychnocanoma nipponica magnacornuta,Gondwanaria dogieli,Eucyrtidium inflatum,Dictyophimus splendens,Diartus hughesi,Cyrtocapsella cornuta,Botryostrobus praetumidulus,Circodiscus ellipticus,Larcospira moschkovskii,Stauroxiphos communis,Spirema circularis,Lychnocanoma nipponica nipponica,Eucyrtidium calvertense,Collosphaera huxleyi,Anthocyrtidium ehrenbergi,Didymocyrtis antepenultima,Stichocorys peregrina,Botryostrobus bramlettei,Anthocyrtidium pliocenica,Sphaeropyle robusta,Stylodictya validispina,Botryocella cribrosa,Stylacontarium acquilonium,Lamprocyrtis neoheteroporos,Botryostrobus aquilonaris,Cyrtocapsella japonica,Cycladophora bicincta,Anthocyrtidium nosicaae,Lychnocanoma nipponica sakaii,Cycladophora davisiana davisiana,Sphaeropyle langii,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Quaternary       ,S. langii (N Pac) ,E. matuyamai (N Pac),,167,1011,B,9,H,CC,21.00,84.9000,Caulet   ,Radiolarians                                 ,R              ,M                 ,                      ,                      ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,+                      ,                    ,+                         ,+                          ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Quaternary       ,S. langii (N Pac) ,E. matuyamai (N Pac),,167,1011,B,11,H,CC,25.00,103.6300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,+                     ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,+                      ,                    ,+                         ,+                          ,+                        ,+                     ,+                    ,+                      ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Quaternary       ,S. langii (N Pac) ,E. matuyamai (N Pac),,167,1011,B,12,H,CC,21.00,113.0900,Caulet   ,Radiolarians                                 ,R              ,P                 ,                      ,+                     ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,+                         ,+                          ,+                        ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1011,B,13,H,CC,20.00,122.6300,Caulet   ,Radiolarians                                 ,B              ,P                 ,                      ,                      ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,+                               ,                       ,                    ,                         ,                          ,+                    ,                        ,                         ,                   ,                       ,                    ,+                         ,+                          ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1011,B,14,H,CC,22.00,132.3200,Caulet   ,Radiolarians                                 ,R              ,P                 ,                      ,                      ,+                       ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,+                          ,                      ,                       ,                     ,                  ,                                ,+                      ,                    ,                         ,                          ,                     ,                        ,+                        ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,,167,1011,B,18,X,CC,36.00,166.1100,Caulet   ,Radiolarians                                 ,F              ,M                 ,                      ,+                     ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,+                          ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,+                    ,                        ,                         ,                   ,                       ,                    ,+                         ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,,167,1011,B,19,X,CC,17.00,175.3100,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,                      ,+                       ,                ,                          ,                                   ,                   ,                    ,+                     ,               ,                     ,+                          ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,+                    ,                        ,                         ,+                  ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,,167,1011,B,20,X,CC,18.00,184.9400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,+                     ,+                       ,                ,+                         ,                                   ,+                  ,                    ,+                     ,               ,+                    ,+                          ,                      ,                       ,                     ,                  ,+                               ,+                      ,                    ,                         ,                          ,                     ,                        ,+                        ,+                  ,+                      ,+                   ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,,167,1011,B,21,X,CC,32.00,194.7800,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                      ,+                       ,                ,                          ,                                   ,                   ,                    ,+                     ,               ,                     ,+                          ,+                     ,                       ,+                    ,+                 ,                                ,                       ,                    ,                         ,                          ,+                    ,                        ,                         ,+                  ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,,167,1011,B,22,X,CC,23.00,204.3200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,+                     ,+                       ,+               ,+                         ,                                   ,+                  ,                    ,+                     ,               ,                     ,+                          ,                      ,                       ,                     ,+                 ,+                               ,                       ,+                   ,                         ,                          ,+                    ,+                       ,+                        ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,,167,1011,B,23,X,CC,17.00,213.8600,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,+                     ,+                       ,                ,+                         ,                                   ,+                  ,                    ,+                     ,               ,                     ,                           ,                      ,                       ,                     ,                  ,+                               ,                       ,                    ,                         ,                          ,+                    ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,D. penultima (RN8),              ,,167,1011,B,24,X,CC,17.00,223.5200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                      ,+                       ,                ,+                         ,                                   ,                   ,+                   ,+                     ,               ,                     ,+                          ,+                     ,+                      ,+                    ,                  ,+                               ,                       ,+                   ,                         ,+                         ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,D. penultima (RN8),              ,,167,1011,B,25,X,CC,32.00,233.3700,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,+                     ,+                       ,+               ,+                         ,                                   ,+                  ,                    ,+                     ,               ,                     ,+                          ,+                     ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,D. penultima (RN8),              ,,167,1011,B,26,X,CC,38.00,243.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                     ,+                       ,+               ,+                         ,                                   ,                   ,                    ,+                     ,               ,                     ,                           ,                      ,+                      ,+                    ,+                 ,+                               ,+                      ,+                   ,+                        ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,D. penultima (RN8),              ,,167,1011,B,27,X,CC,35.00,252.6500,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                     ,+                       ,+               ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,+                      ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,D. antepenultima RN7,              ,,167,1011,B,28,X,CC,20.00,262.0500,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                     ,+                       ,+               ,+                         ,                                   ,                   ,                    ,+                     ,+              ,                     ,                           ,+                     ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,D. antepenultima RN7,              ,,167,1011,B,29,X,1,40.00,262.5000,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                     ,+                       ,+               ,+                         ,+                                  ,+                  ,+                   ,+                     ,+              ,+                    ,+                          ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,                           ,                         ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
