Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Globigerina quinqueloba,Globorotalia scitula,Neogloboquadrina asanoi,Orbulina universa,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina humerosa,Globorotalia tumida,Globorotalia crassaformis,Globigerinoides ruber,Globigerinoides obliquus,Globorotalia puncticulata,Globorotalia inflata,Globigerina apertura,Sphaeroidinellopsis seminulina,Sphaeroidinella dehiscens,Hastigerina aequilateralis,Neogloboquadrina pachyderma (dextral),Globigerinoides sacculifer,Globorotalia crassula,Globigerina woodi,Neogloboquadrina pachyderma (sinistral),Globigerina umbilicata,Globigerinita glutinata,Globigerinoides conglobatus,Globorotalia tosaensis,Globorotaloides hexagona,Globigerinoides trilobus,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  5,H,CC,  22.00,     46.7500,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                    ,                       ,                    ,                       ,R                ,                              ,                         ,                   ,                         ,R                    ,                        ,                         ,C                   ,                    ,                              ,                         ,                          ,A                                    ,                          ,                     ,                 ,                                       ,                      ,                       ,R                          ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  6,H,CC,  22.00,     56.3800,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,R                    ,R                      ,                    ,                       ,R                ,                              ,R                        ,                   ,                         ,                     ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,R                                    ,                          ,                     ,                 ,                                       ,                      ,R                      ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  7,H,CC,  22.00,     65.7300,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,R                      ,                    ,                       ,R                ,                              ,C                        ,R                  ,                         ,                     ,                        ,                         ,R                   ,                    ,                              ,R                        ,                          ,A                                    ,                          ,                     ,                 ,                                       ,R                     ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  8,H,CC,  22.00,     75.1800,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,                     ,                       ,R                   ,A                      ,R                ,                              ,R                        ,                   ,R                        ,                     ,                        ,                         ,R                   ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,A                                      ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  9,H,CC,  21.00,     84.9000,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                    ,                       ,                    ,A                      ,R                ,                              ,                         ,                   ,                         ,                     ,                        ,C                        ,R                   ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,R                                      ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 10,H,CC,  27.00,     94.3300,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,                       ,                    ,A                      ,R                ,A                             ,R                        ,                   ,                         ,                     ,                        ,R                        ,                    ,R                   ,                              ,                         ,                          ,                                     ,                          ,R                    ,R                ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 11,H,CC,  25.00,    103.6300,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                    ,                       ,R                   ,A                      ,R                ,                              ,A                        ,C                  ,R                        ,R                    ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,R                                    ,R                         ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 12,H,CC,  21.00,    113.0900,Kennett  ,Planktonic Foraminifers                      ,F              ,M                 ,R                    ,                       ,                    ,                       ,R                ,                              ,                         ,R                  ,                         ,R                    ,                        ,R                        ,A                   ,                    ,R                             ,R                        ,R                         ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 13,H,CC,  20.00,    122.6300,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                    ,                       ,                    ,A                      ,C                ,C                             ,A                        ,                   ,                         ,                     ,                        ,R                        ,C                   ,R                   ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 14,H,CC,  22.00,    132.3200,Kennett  ,Planktonic Foraminifers                      ,R/F            ,P/M               ,C                    ,                       ,                    ,A                      ,R                ,R                             ,A                        ,R                  ,R                        ,R                    ,R                       ,                         ,                    ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 15,H,CC,  24.00,    138.1300,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                    ,                       ,                    ,R                      ,                 ,                              ,                         ,                   ,                         ,                     ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 17,X,CC,  32.00,    156.3200,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                    ,                       ,                    ,                       ,                 ,                              ,                         ,                   ,                         ,                     ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 18,X,CC,  36.00,    166.1100,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,C                    ,                       ,R                   ,                       ,                 ,                              ,                         ,                   ,                         ,                     ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 20,X,CC,  18.00,    184.9400,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                    ,R                      ,                    ,                       ,                 ,                              ,                         ,                   ,                         ,                     ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B, 22,X,CC,  23.00,    204.3200,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,R                    ,                       ,                    ,                       ,                 ,                              ,                         ,                   ,                         ,                     ,                        ,                         ,                    ,                    ,                              ,                         ,                          ,                                     ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
