Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Coccolithus pelagicus	Calcidiscus macintyrei (>11 um)	Calcidiscus leptoporus	Amaurolithus spp.	Discoaster surculus	Sphenolithus spp.	Discoaster pentaradiatus	Helicosphaera carteri	Helicosphaera sellii	Pseudoemiliania lacunosa	Discoaster tamalis	Discoaster asymmetricus	Discoaster brouweri	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Emiliania huxleyi	Comment
  IR	                 	                 	CN12a             	              	167	1022	C	  8	H	CC	   0.00	     73.9600	Fornaciari	Nannofossils                                 	A              	G                 	                                	C                    	R/F                            	                      	                 	                   	                 	                        	                     	                    	C                       	R                 	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	  9	H	CC	  27.00	     83.6600	Fornaciari	Nannofossils                                 	A              	G                 	                                	                     	R                              	R                     	                 	R                  	                 	R/F                     	                     	R                   	C                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 10	H	CC	  27.00	     93.4400	Fornaciari	Nannofossils                                 	A              	G                 	                                	F                    	F/C                            	+                     	                 	                   	                 	                        	                     	                    	R                       	                  	                       	R                  	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 11	H	CC	  26.00	    102.6400	Fornaciari	Nannofossils                                 	A              	G                 	                                	                     	F                              	C                     	                 	R                  	                 	                        	                     	R                   	+                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 12	H	CC	  20.00	    112.5100	Fornaciari	Nannofossils                                 	A              	G                 	                                	                     	F                              	F                     	                 	R                  	                 	                        	R                    	R                   	+                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 13	H	CC	   0.00	    121.6000	Fornaciari	Nannofossils                                 	A              	G                 	                                	C                    	F                              	C                     	                 	                   	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 14	H	CC	  24.00	    131.6900	Fornaciari	Nannofossils                                 	A              	G                 	                                	C                    	R/F                            	                      	                 	R                  	                 	R                       	                     	                    	C                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 15	H	CC	  14.00	    140.7800	Fornaciari	Nannofossils                                 	C              	G                 	                                	C                    	F                              	                      	                 	R                  	                 	R                       	                     	                    	+                       	R                 	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 16	H	CC	  26.00	    150.6700	Fornaciari	Nannofossils                                 	A              	G                 	                                	                     	F                              	C                     	                 	R                  	                 	R                       	R                    	R                   	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 17	H	CC	  23.00	    160.0400	Fornaciari	Nannofossils                                 	C              	M                 	                                	                     	F                              	F                     	                 	                   	                 	                        	                     	R                   	R                       	                  	R                      	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12a             	              	167	1022	C	 18	X	CC	  34.00	    165.6300	Fornaciari	Nannofossils                                 	A              	G                 	                                	C                    	C                              	C                     	                 	R                  	                 	                        	                     	                    	R                       	RR                	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 19	X	CC	  20.00	    174.6000	Fornaciari	Nannofossils                                 	C              	P/M               	C                               	+                    	F                              	+                     	R                	+                  	                 	RR                      	                     	RR                  	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 20	X	CC	  33.00	    184.7100	Fornaciari	Nannofossils                                 	R              	P                 	                                	+                    	F                              	C                     	R                	R                  	                 	+                       	R                    	R                   	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 21	X	CC	  30.00	    193.1300	Fornaciari	Nannofossils                                 	A              	P                 	F                               	+                    	C                              	F/C                   	R                	F                  	                 	R                       	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 22	X	CC	  31.00	    203.5100	Fornaciari	Nannofossils                                 	A              	G                 	C                               	+                    	F                              	F                     	+                	R                  	R                	R                       	R                    	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 23	X	CC	  32.00	    213.1200	Fornaciari	Nannofossils                                 	R              	P                 	R/F                             	R                    	                               	R                     	R                	R                  	                 	                        	RR                   	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	                  	              	167	1022	C	 25	X	CC	  31.00	    232.8000	Fornaciari	Nannofossils                                 	RR             	P                 	RR                              	+                    	                               	R                     	R                	                   	RR               	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	                  	              	167	1022	C	 29	X	CC	  38.00	    271.2500	Fornaciari	Nannofossils                                 	RR             	P                 	                                	R                    	                               	                      	                 	                   	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 30	X	CC	  15.00	    279.8500	Fornaciari	Nannofossils                                 	R              	P                 	RR                              	+                    	R                              	R/F                   	R                	R/F                	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 31	X	CC	  31.00	    290.2900	Fornaciari	Nannofossils                                 	R/F            	P                 	RR                              	F                    	                               	R                     	                 	                   	                 	R                       	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 32	X	CC	  42.00	    300.1200	Fornaciari	Nannofossils                                 	C/A            	P/M               	                                	F                    	R                              	R                     	R                	R                  	R                	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN11          	167	1022	C	 33	X	CC	  27.00	    309.6600	Fornaciari	Nannofossils                                 	F/C            	P                 	                                	R                    	R                              	R                     	R                	R                  	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN9           	167	1022	C	 37	X	CC	  35.00	    347.9500	Fornaciari	Nannofossils                                 	R/F            	P                 	F                               	R                    	R                              	R                     	                 	                   	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN9               	CN9           	167	1022	C	 38	X	CC	  28.00	    357.9300	Fornaciari	Nannofossils                                 	RR             	P                 	                                	R                    	                               	                      	RR               	                   	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	                  	              	167	1022	C	 42	X	CC	  27.00	    383.7700	Fornaciari	Nannofossils                                 	R              	P                 	C                               	R                    	R                              	R                     	                 	                   	                 	                        	                     	                    	                        	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

