Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tristylospyris triceros	Thyrsocyrtis triacantha	Thyrsocyrtis rhizodon	Theocotylissa ficus	Sethochytris triconiscus	Sethochytris bablylonis	Podocyrtis trachodes	Podocyrtis mitra	Podocyrtis chalara	Lithocyclia ocellus	Eusyringium fistuligerum	Artophormis barbadensis	Theocyrtis tuberosa	Lithocyclia angusta	Artophormis gracilis	Staurolastrum sp.	Pterocanium (?) sp. A	Lophocyrtis pegetrum	Dorcadospyris sp.	Dorcadospyris simplex	Dorcadospyris forcipata	Dorcadospyris circulus	Dorcadospyris ateuchus	Theocyrtis annosa	Lychnocanoma sp. A	Orosphaerid ? sp.	Pterocanium sp. B	Pterocanium charybdeum trilobum	Lychnodictyum audax	Lamprocyclas maritalis maritalis	Didymocyrtis penultima	Didymocyrtis antepenultima	Diartus hughesi	Anthocyrtidium ehrenbergi	Stichocorys peregrina	Comment
  SR	                 	                 	D. ateuchus (RP21)	              	124	 770	B	 11	R	 2	   1.00	    370.4100	Scherer  	Radiolarians                                 	A              	G                 	F                      	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	                   	                    	                 	                     	F                   	C                	F                    	R                      	F                     	C                     	                 	                  	                 	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	D. ateuchus (RP21)	              	124	 770	B	 11	R	CC	   8.00	    374.2100	Scherer  	Radiolarians                                 	A              	G                 	F                      	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	R                  	R                   	R                	R                    	C                   	C                	R                    	                       	F                     	C                     	?                	R                 	                 	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	T. tuberosa       	              	124	 770	B	 12	R	CC	  14.00	    383.2400	Scherer  	Radiolarians                                 	C              	M                 	C                      	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	R                  	F                   	R                	F                    	C                   	C                	C                    	R                      	C                     	A                     	                 	                  	                 	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	T. tuberosa       	              	124	 770	B	 13	R	CC	  11.00	    395.1400	Scherer  	Radiolarians                                 	A              	VP                	?                      	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	?                  	?                  	?                   	?                	                     	                    	                 	                     	                       	                      	                      	                 	                  	                 	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	T. tuberosa       	              	124	 770	B	 14	R	CC	  11.00	    402.8300	Scherer  	Radiolarians                                 	C              	VP                	                       	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	?                  	F                  	?                   	                 	                     	                    	                 	                     	                       	                      	                      	                 	                  	                 	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	P. chalara        	              	124	 770	B	 16	R	 3	  42.00	    420.1200	Scherer  	Radiolarians                                 	A              	P                 	R                      	F                      	C                    	R                  	F                       	R                      	R                   	R               	F                 	C                  	F                       	R                      	                   	                   	                    	                 	                     	                    	                 	                     	                       	                      	                      	                 	                  	                 	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

