Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ammonia beccarii	Cibicidoides spp.	Gyroidinoides umbonatus ex. gr.	Eggerella bradyi	Planulina wuellerstorfi	Uvigerinid taxa	Oridorsalis umbonatus	Nuttallides umbonifera	Eponides tumidulus	Epistominella exigua	Dentalina/Nodosaria spp.	Lagena taxa	Melonis pompilioides	Gyroidinoides spp.	Oolina spp.	Nonion barleeanum	Gyroidina soldanii	Eponides weddellensis	Bolivina spp.	Pullenia spp.	Pyrgo spp.	Textularia taxa	Pullenia bulloides	Pleurostomella spp.	Laticarinina pauperata	Cibicidoides bradyi	Anomalinoides spp.	Valvulineria laevigata	Valvulineria arctica	Tosaia hanzawai	Stilostomella sp.	Stetsonia horvathi	Pullenia subcarinata	Lenticulina sp.	Fursenkoina fusiformis	Fissurina spp.	Epistominella takayanagii	Dentalina spp.	Cassidulina subglobosa	Melonis nicobarense	Globocassidulina subglobosa	Cassidulina spp.	Buliminid taxa	Gyroidinoides  laevigatus ex. gr.	Hoeglundina elegans	Buliminella spp.	Bolivinid taxa	Karreriella bradyi	Rhizammina algaeformis	Lenticulina spp.	Florilus boueanus	Sphaeroidina bulloides	Cibicides robertsonianus	Chilostomella oolina	Heterolepa spp.	Ehrenbergina hystrix	Rosalina globularis	Hanzawaia boueana	Elphidium spp.	Miliolids species	Reussella spinulosa	Hyalina balthica	Karreriella sp.	Quinqueloculina seminulum	Praebulimina sp.	Patellina corrugata	Hyalinea balthica	Heterohelix spp.	Gavelinopsis translucens	Elphidium sp.	Ehrenbergina sp.	Discorbis sp.	Cassidulina laevigata	Buliminoides sp.	Bulimina marginata	Uvigerina peregrina	Lagena spp.	Nodosaria sp.	Reussella sp.	Nonionella spp.	Trifarina sp.	Guembelitria sp.	Stainforthia spp.	Plectofrondicularia spp.	Pararotalia spp.	Gyroidinoides altiformis	Cymbaloporetta sp.	Bolivinita quadrilatera	Frondicularia sp.	Gavelinopsis lobatulus	Astrononion sp.	Amphistegina sp.	Fursenkoina spp.	Glabratella sp.	Cyclogyra involvens	Spirillina vivipara	Laryngosigma spp.	Siphotextularia rolshauseni	Triloculina sp.	Pyrgo williamsoni	Karreriella novangliae	Bulimina striata	Robulus sp.	Quinqueloculina stalkeri	Hanzawaia mexicana	Rosalina sp. 	Robertinoides charlottensis	Pyramidina sp.	Oolina hexagona	Spiroloculina spp.	Uvigerina asperula	Haynesina spp.	Florilus spp.	Quinqueloculina cultrata	Comment

  SR	                 	                 	                  	              	116	 717	C	  6	X	 1	  11.00	     46.1100	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	1                      	               	                     	3                     	                  	3                   	                        	1          	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	1                                	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	1                	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	  6	X	 2	   3.00	     47.5300	Scott    	Benthic Foraminifers                         	               	                  	r64             	                 	                               	                	                       	               	                     	2                     	                  	                    	                        	           	                    	                  	           	                 	                  	                     	r2           	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	r2              	                   	                 	                	                        	r7           	                	             	                     	                	r2                	                   	           	             	             	r9             	r2           	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	r9           	                        	No of species 9 No of individuals per 10 cubic cm - 45 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	  6	X	CC	   4.00	     48.0800	Scott    	Benthic Foraminifers                         	               	                  	r100            	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	  7	X	 1	   3.00	     55.5300	Scott    	Benthic Foraminifers                         	               	                  	r44             	                 	                               	                	11                     	               	                     	44                    	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 3 No of individuals per 10 cubic cm - 9 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	  7	X	 2	   3.00	     57.0300	Scott    	Benthic Foraminifers                         	               	                  	r100            	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	  8	X	 1	  24.00	     65.2400	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	r100         	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 10	X	 1	  62.00	     75.1200	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	11              	3                      	               	3                    	27                    	3                 	9                   	                        	3          	4                   	                  	           	                 	                  	                     	             	2            	          	               	12                	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	5                  	4                          	                	              	4                                	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 10	X	 1	  70.00	     75.2000	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	1               	                       	               	1                    	2                     	                  	5                   	                        	1          	                    	                  	           	                 	                  	                     	             	3            	          	1              	4                 	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	1                                	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	1                	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 14	X	 1	   3.00	    103.0300	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	33                     	               	                     	33                    	                  	                    	                        	           	                    	                  	           	                 	                  	33                   	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 3 No of individuals per 10 cubic cm - 3 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 16	X	 1	  56.00	    122.5600	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	1                	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	 16	X	CC	  32.00	    123.6200	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	r33              	                  	                    	               	                      	              	                         	              	33                    	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	r33          	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 3 No of individuals per 10 cubic cm - 3 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 19	X	 1	   3.00	    141.0300	Scott    	Benthic Foraminifers                         	               	                  	r50             	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	50         	                        	                  	             	                           	              	               	                  	                  	              	             	                        	No of species 2 No of individuals per 10 cubic cm - 2 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 20	X	 1	   3.00	    150.5300	Scott    	Benthic Foraminifers                         	               	                  	r33             	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	r33            	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	r33           	             	                        	No of species 3 No of individuals per 10 cubic cm - 3 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	 20	X	 1	  58.00	    151.0800	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	1                     	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	                	              	1                                	                   	                	              	                  	                      	                	1                	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221
