Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina bulloides	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina atlantica (dextral)	Turborotalita quinqueloba	Neogloboquadrina pachyderma (dextral)	Globigerinita glutinata	Incertae sedis (planktonic foraminifer)	Globigerina quinqueloba	Comment
  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 29	R	 3	  32.00	    660.2200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 29	R	 4	  32.00	    661.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	                     	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 30	R	 1	  32.00	    666.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	R                        	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 30	R	 2	  32.00	    668.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	                                    	                         	                                     	                       	R                                      	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 30	R	 3	  32.00	    669.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 30	R	 4	  32.00	    671.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 31	R	 1	  32.00	    676.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 31	R	 2	  32.00	    678.0200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	R                                   	                         	                                     	                       	R                                      	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 31	R	 3	  32.00	    679.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 32	R	 1	  32.00	    686.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	                                    	                         	                                     	                       	R                                      	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 32	R	 2	  32.00	    687.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 32	R	 3	  32.00	    689.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 32	R	 4	  32.00	    690.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 32	R	 5	  32.00	    692.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 32	R	 6	  32.00	    693.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 33	R	 1	  32.00	    695.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 34	R	 1	  32.00	    705.3200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 34	R	 2	  32.00	    706.8200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	R                                     	                                       	                                    	R                        	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 34	R	 2	  44.00	    706.9400	Flower   	Planktonic Foraminifers                      	T              	M                 	C                    	F                                     	F                                      	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 34	R	CC	   0.00	    707.3000	Flower   	Planktonic Foraminifers                      	R              	M                 	C                    	C                                     	                                       	                                    	                         	C                                    	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 35	R	 1	  32.00	    714.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 35	R	 2	  32.00	    716.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 35	R	 4	  32.00	    719.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 35	R	 5	  32.00	    720.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 35	R	 6	  32.00	    722.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 35	R	 7	  32.00	    723.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 36	R	CC	   0.00	    724.2000	Flower   	Planktonic Foraminifers                      	T              	M                 	A                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 37	R	 1	  32.00	    734.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	                     	                                      	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 37	R	 2	  32.00	    735.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 37	R	 3	  32.00	    737.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 38	R	 1	  32.00	    743.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 38	R	 2	  32.00	    745.2200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 38	R	 3	  32.00	    746.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 38	R	 4	  32.00	    748.2200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 38	R	 5	  32.00	    749.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 38	R	CC	   9.00	    749.8600	Flower   	Planktonic Foraminifers                      	T              	M                 	D                    	T                                     	                                       	                                    	                         	T                                    	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 39	R	 1	  32.00	    753.3200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 39	R	 2	  32.00	    754.8200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 39	R	 4	  32.00	    757.8200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 39	R	 5	  32.00	    759.3200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 39	R	 6	  30.00	    760.8000	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 40	R	 1	  24.00	    762.8400	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 40	R	 4	  33.00	    767.4300	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 40	R	 6	  32.00	    770.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 41	R	 2	  32.00	    774.0200	Eidvin   	Planktonic Foraminifers                      	               	                  	                     	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 41	R	 3	  32.00	    775.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 41	R	 4	  32.00	    777.0200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 41	R	 5	  32.00	    778.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 42	R	 3	  32.00	    785.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 42	R	 4	  32.00	    786.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 42	R	 5	  33.00	    788.1300	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 42	R	 6	  32.00	    789.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	                     	                                      	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 43	R	 2	  32.00	    793.2200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 43	R	CC	  15.00	    795.2900	Flower   	Planktonic Foraminifers                      	T              	M                 	                     	T                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 44	R	 1	  32.00	    801.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 44	R	 3	  32.00	    804.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	R                                      	                                    	                         	R                                    	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 44	R	 4	  32.00	    805.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	R                                      	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 44	R	CC	  17.00	    806.8500	Flower   	Planktonic Foraminifers                      	T              	M                 	C                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 45	R	 1	  32.00	    811.0200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 45	R	 2	  32.00	    812.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 45	R	 3	  32.00	    814.0200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 45	R	 4	  32.00	    815.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 45	R	 6	  32.00	    818.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 45	R	 7	  32.00	    820.0200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 45	R	CC	   7.00	    820.4100	Flower   	Planktonic Foraminifers                      	T              	M                 	                     	T                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 46	R	 1	  32.00	    820.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	C                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 46	R	 2	  32.00	    822.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 46	R	 3	  32.00	    823.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 46	R	 4	  24.00	    825.0400	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 47	R	CC	  24.00	    833.5000	Flower   	Planktonic Foraminifers                      	T              	M                 	                     	T                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Pliocene         	                  	N. atlantica (sin.)	162	 986	D	 48	R	CC	  20.00	    842.1900	Flower   	Planktonic Foraminifers                      	T              	M                 	                     	T                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 49	R	 1	  32.00	    849.5200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 49	R	 2	  22.00	    850.6400	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 50	R	 1	  32.00	    859.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 50	R	 2	  32.00	    860.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	F                                     	                                       	R                                   	                         	R                                    	R                      	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 50	R	 3	  32.00	    862.1200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 50	R	 4	  32.00	    863.6200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 50	R	 5	  33.00	    865.1300	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 1	  33.00	    868.7300	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 2	  32.00	    870.0600	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 3	  33.00	    871.5700	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	C                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 4	  32.00	    873.0600	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 5	  32.00	    874.5600	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 6	  32.00	    875.8600	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 51	R	 7	  29.00	    877.3300	Eidvin   	Planktonic Foraminifers                      	               	                  	C                    	F                                     	                                       	R                                   	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 1	  32.00	    878.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 2	  32.00	    879.9200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 52	R	 3	  32.00	    881.4200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

