Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugoglobigerina rugosa,Rugoglobigerina rotundata,Rugoglobigerina pennyi,Rugoglobigerina hexacamerata,Racemiguembelina fructicosa,Pseudotextularia elegans,Pseudoguembelina hariaensis,Pseudoguembelina excolata,Pseudoguembelina costulata,Heterohelix rajagopalani,Heterohelix globulosa,Heterohelix dentata,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanita conica,Globotruncanella petaloidea,Globotruncanella havanensis,Globotruncana rosetta,Globotruncana orientalis,Globotruncana linneiana,Globotruncana arca,Contusotruncana walfischensis,Contusotruncana contusa,Abathomphalus mayaroensis,Abathomphalus intermedius,Pseudotextularia nuttalli,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Morozovella praeangulata,Morozovella conicotruncata,Morozovella angulata,Igorina pusilla,Morozovella velascoensis,Morozovella pasionensis,Igorina albeari,Globanomalina pseudomenardii,Subbotina velascoensis,Morozovella subbotinae,Morozovella occlusa,Morozovella apanthesma,Morozovella aequa,Acarinina nitida,Acarinina mckannai,Globanomalina australiformis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella gracilis,Morozovella formosa,Morozovella aragonensis,Acarinina primitiva,Morozovella spinulosa,Igorina broedermanni,Acarinina pentacamerata,Morozovella caucasica,Globigerinatheka subconglobata,Globigerinatheka senni,Acarinina quetra,Truncorotaloides rohri,Acarinina bullbrooki,Hantkenina sp.,Guembelitrioides higginsi,Globigerinatheka mexicana,Subbotina angiporoides,Globigerina euapertura,Catapsydrax unicavus,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Globigerina angustiumbilicata,Catapsydrax dissimilis,Cassigerinella chipolensis,Sphaeroidinellopsis seminulina,Orbulina universa,Globoturborotalita druryi,Globorotalia scitula,Globorotalia miozea,Globoquadrina venezuelana,Globoquadrina dehiscens,Fohsella peripheroronda,Fohsella peripheroacuta,Dentoglobigerina altispira,Orbulina bilobata,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Neogloboquadrina continuosa,Globorotalia plesiotumida,Globorotalia menardii,Globigerina bulloides,Neogloboquadrina acostaensis,Globorotalia tumida,Globorotalia margaritae,Globigerinoides sacculifer,Sphaeroidinella dehiscens s.l.,Globorotalia puncticulata,Globorotalia hirsuta,Globorotalia challengeri,Globoconella conomiozea,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Globigerinoides trilobus,Globigerinoides conglobatus,Truncorotalia tosaensis,Truncorotalia crassaformis,Globorotalia crassula,Globigerinoides obliquus,Globigerinoides extremus,Globorotalia inflata,Globigerinoides ruber,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Orbulina suturalis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1210,A,  5,H,CC,  23.00,     44.2400,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,R                ,                         ,F                   ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,F                    ,A                    ,                            ,F                  ,                       ,                          ,F                             ,                         ,                    ,                        ,                       ,                                     ,F                        ,                          ,R                       ,F                          ,F                      ,F                         ,                     ,F                       ,R                       ,F                   ,F                    ,                              ,                     ,                            ,                  ,rads F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1210,A,  6,H,CC,  22.00,     53.9400,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,R                             ,F                ,                         ,F                   ,                   ,                         ,                       ,                       ,                       ,F                         ,                 ,                        ,                            ,                              ,                           ,                         ,R                    ,F                    ,                            ,F                  ,                       ,F                         ,F                             ,R                        ,                    ,                        ,                       ,                                     ,                         ,F                         ,F                       ,F                          ,F                      ,F                         ,P                    ,F                       ,R                       ,                    ,                     ,                              ,                     ,                            ,                  ,rads F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,N19-N20           ,N19-N20       ,198,1210,A,  7,H,CC,  27.00,     63.3500,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,F                             ,F                ,                         ,F                   ,                   ,                         ,                       ,                       ,                       ,F                         ,                 ,R                       ,                            ,                              ,                           ,                         ,R                    ,F                    ,                            ,F                  ,                       ,F                         ,F                             ,R                        ,                    ,                        ,                       ,F                                    ,R                        ,F                         ,F                       ,F                          ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,N19-N20           ,N19-N20       ,198,1210,A,  8,H,CC,  23.00,     72.9300,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,F                             ,                 ,                         ,P                   ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,R                        ,R                    ,F                    ,                            ,F                  ,F                      ,                          ,F                             ,P                        ,F                   ,R                       ,A                      ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N18               ,N19-N20       ,198,1210,A,  9,H,CC,  28.00,     82.1100,planks   ,Planktonic Foraminifers                      ,C              ,P                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,F                             ,F                ,                         ,                    ,F                  ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,F                           ,                              ,                           ,                         ,                     ,F                    ,F                           ,F                  ,R                      ,F                         ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,benthics A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N17a              ,N17b          ,198,1210,A, 10,H,CC,  23.00,     91.8000,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,F                             ,F                ,F                        ,                    ,F                  ,F                        ,+                      ,                       ,                       ,                          ,                 ,F                       ,F                           ,                              ,R                          ,F                        ,R                    ,F                    ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N14               ,N15           ,198,1210,A, 11,H,CC,  19.00,    101.3100,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,F                             ,F                ,F                        ,                    ,                   ,F                        ,A                      ,                       ,                       ,F                         ,R                ,F                       ,A                           ,R                             ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,N10               ,N10           ,198,1210,A, 12,H,CC,  15.00,    110.8000,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,F                             ,F                ,F                        ,F                   ,F                  ,F                        ,F                      ,F                      ,R                      ,A                         ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,P18               ,P18           ,198,1210,A, 13,H,CC,  10.00,    120.1400,planks   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,R                     ,F                     ,F                   ,A                                ,F                      ,F                            ,F                     ,F                         ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,              ,198,1210,A, 14,H,CC,  11.00,    129.4400,planks   ,Planktonic Foraminifers                      ,R              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,R                     ,R                     ,R                   ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,rare tektites; few phillipsite crystals; N. truempyi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,P11               ,P11           ,198,1210,A, 15,H,CC,  18.00,    139.1700,planks   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,F                    ,                    ,                       ,                     ,F                             ,F                     ,                ,F                     ,F                   ,R             ,R                        ,F                        ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,                 ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,                     ,                     ,                            ,                   ,                       ,                          ,                              ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,                       ,                          ,                     ,                        ,                        ,                    ,                     ,                              ,                     ,                            ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
