Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiroplectammina jarvisi,Sliterella lobulata,Pyramidina szajnochae,Pleurostomella spp.,Osangularia plummerae,Oridorsalis umbonatus,Nuttallides truempyi,Nonion spp.,Dentalina spp.,Buliminella grata,Bulimina spp.,Aragonia velascoensis,Aragonia ouezzanensis,Tritaxa spp.,Pyramidina rudita,Pullenia jarvisi,Pseudoclavulina globulifera,Marssonella trochoides,Lenticulina spp.,Gyroidinoides globosa,Conorbinoides hillebrandti,Stilostomella spp.,Stensioina beccariiformis,Bulimina velascoensis,Bulimina trinitatensis,Serovaina spissiformis,Nonion havanensis,Neoflabellina semireticulata,Turrilina robertsi,Clinapertina complanata,Quadratobuliminella pyramidalis,Nodosaria spp.,Gaudryina pyramidata,Bulimina semicostata,Bulimina jarvisi,Cibicidoides eocaenus,Bathysiphon spp.,Stilostomella gracillima,Cibicidoides spp.,Bulimina impendens,Alabamina dissonata,Vulvulina spinosa,Stilostomella subspinosa,Pullenia quinqueloba,Plectofrondicularia paucicostata,Oridorsalis tener,Gyroidinoides spp.,Cibicidoides havanensis,Anomalinoides spp.,Uvigerina spinicostata,Pullenia bulloides,Globocassidulina subglobosa,Cibicidoides subhaidingeri,Bulimina elongata,Stilostomella abyssorum,Karreriella bradyi,Gyroidinoides neosoldanii,Gyroidinoides girardanus,Cibicidoides renzi,Chrysalogonium tenuicostatum,Chrysalogonium longicostatum,Anomalinoides semicribratus,Cibicidoides robertsonianus,Cibicidoides mundulus,Cibicidoides dutemplei,Quinqueloculina sp.,Pyrgo murrhina,Pyrgo lucernula,Martinottiella sp.,Cibicidoides wuellerstorfi,Sigmoilopsis schlumbergeri,Haplophragmoides spp.,Eggerella bradyi,Uvigerina hispidocostata,Uvigerina hispida,Uvigerina spp.,Uvigerina senticosa,Uvigerina peregrina,Melonis pompilioides,Eponides regularis,Brizalina barbata,Cibicidoides bradyi,Oridorsalis tenera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A,  9,H,CC,  28.00,     82.1100,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                        ,                   ,                     ,                   ,                     ,                     ,                    ,           ,T             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,R                ,                  ,                       ,                  ,                      ,T                 ,                           ,                          ,                 ,F                      ,                  ,T                        ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,T                  ,F             ,R              ,                  ,                          ,+                         ,R                    ,R               ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,clay rich
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 10,H,CC,  23.00,     91.8000,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                        ,                   ,                     ,T                  ,                     ,                     ,                    ,           ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,+                 ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,R             ,                    ,                    ,                ,                     ,                ,T                       ,                 ,                  ,                   ,                 ,F                       ,T                   ,                                ,C                ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,T                 ,                         ,R                       ,                  ,                            ,T                           ,T                          ,R                          ,F                    ,                      ,T                  ,R             ,T              ,F                 ,T                         ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 11,H,CC,  19.00,    101.3100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                        ,                   ,                     ,                   ,                     ,                     ,                    ,           ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,F                       ,                    ,                                ,F                ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,C                      ,T                 ,T                        ,                        ,                  ,                            ,T                           ,T                          ,T                          ,F                    ,T                     ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 12,H,CC,  15.00,    110.8000,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                        ,                   ,                     ,                   ,                     ,                     ,                    ,           ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,R                 ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,C                       ,                    ,                                ,F                ,                  ,                       ,                  ,T                     ,F                 ,                           ,                          ,                 ,R                      ,T                 ,R                        ,R                       ,T                 ,T                           ,T                           ,R                          ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 13,H,CC,  10.00,    120.1400,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                        ,                   ,                     ,                   ,                     ,R                    ,R                   ,           ,              ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,F                 ,                         ,                     ,R                     ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,C               ,                     ,                ,R                       ,                 ,R                 ,                   ,R                ,C                       ,R                   ,                                ,                 ,                  ,                       ,                  ,T                     ,R                 ,C                          ,T                         ,F                ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 14,H,CC,  11.00,    129.4400,benthics ,Benthic Foraminifers                         ,A              ,G                 ,                        ,                   ,                     ,T                  ,                     ,T                    ,R                   ,R          ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,R                 ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,R               ,C                    ,                ,                        ,                 ,                  ,                   ,R                ,R                       ,T                   ,A                               ,T                ,T                 ,R                      ,T                 ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 16,H,CC,   9.00,    148.5700,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                        ,                   ,                     ,                   ,                     ,T                    ,R                   ,           ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,R               ,                     ,                          ,R                 ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,C                   ,R               ,T                    ,                ,R                       ,+                ,R                 ,F                  ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 17,H,CC,  15.00,    158.1300,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                        ,                   ,                     ,+                  ,T                    ,R                    ,T                   ,           ,T             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,+                 ,R                      ,                               ,              ,                    ,F                   ,F               ,R                    ,T               ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 18,H,CC,  14.00,    167.4400,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                        ,                   ,                     ,                   ,                     ,R                    ,A                   ,           ,R             ,R                ,T            ,                     ,                     ,            ,                 ,                ,                           ,                      ,R               ,                     ,                          ,                  ,                         ,                     ,T                     ,                      ,T                ,                            ,                  ,C                      ,T                              ,R             ,T                   ,C                   ,C               ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 19,H,CC,  14.00,    177.1700,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                        ,                   ,                     ,T                  ,T                    ,R                    ,R                   ,           ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,T                 ,R                      ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 20,H,CC,  12.00,    186.5900,benthics ,Benthic Foraminifers                         ,R              ,M                 ,T                       ,                   ,                     ,                   ,                     ,R                    ,T                   ,           ,T             ,R                ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,R               ,T                    ,R                         ,                  ,F                        ,                     ,                      ,T                     ,T                ,T                           ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 22,H,CC,  10.00,    205.6800,benthics ,Benthic Foraminifers                         ,T              ,M                 ,                        ,                   ,                     ,                   ,                     ,R                    ,T                   ,           ,              ,                 ,+            ,                     ,                     ,R           ,                 ,                ,                           ,                      ,T               ,T                    ,                          ,                  ,                         ,T                    ,R                     ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 23,H,CC,  17.00,    215.1700,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                       ,                   ,                     ,                   ,T                    ,R                    ,C                   ,R          ,              ,T                ,             ,F                    ,R                    ,            ,                 ,T               ,                           ,                      ,T               ,T                    ,A                         ,T                 ,R                        ,T                    ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 24,H,CC,  24.00,    224.1300,benthics ,Benthic Foraminifers                         ,C              ,M                 ,F                       ,R                  ,T                    ,                   ,                     ,R                    ,R                   ,           ,              ,                 ,R            ,F                    ,T                    ,C           ,T                ,R               ,R                          ,R                     ,R               ,F                    ,C                         ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A, 26,H,CC,   8.00,    235.1200,benthics ,Benthic Foraminifers                         ,R              ,M                 ,T                       ,T                  ,T                    ,T                  ,R                    ,R                    ,T                   ,T          ,T             ,T                ,T            ,R                    ,R                    ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,              ,               ,                  ,                          ,                          ,                     ,                ,                        ,                 ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
