Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira torokina,Thalassiosira symbolophora,Thalassiosira eccentrica,Thalassiosira burckliana,Thalassionema nitzschioides,Rhizosolenia styliformis,Rhizosolenia hebetata,Rhizosolenia barboi,Paralia sulcata,Nitzschia donahuensis,Coscinodiscus marginatus,Actinocyclus ingens,Thalassiosira nativa,Thalassionema nitzschioides  var. parva,Hemidiscus cuneiformis,Denticulopsis hustedtii,Stellarima (all generic taxa),Rouxia naviculoides,Nitzschia reinholdii,Nitzschia porteri,Nitzschia marina,Nitzschia cylindrus,Hemidiscus karstenii,Cosmiodiscus intersectus,Actinocyclus fryxellae,Nitzschia fossilis,Rouxia californica,Nitzschia miocenica,Ethmodiscus sp.,Thalassiosira miocenica,Stephanogonia hanzawae,Cosmiodiscus insignis,Thalassiosira praeconvexa,Thalassiosira convexa,Rouxia heteropolara,Thalassiosira praeoestrupii,Thalassiosira oestrupii,Stephanopyxis turris,Eucampia antarctica,Thalassiosira jacksonii,Thalassiosira inura,Nitzschia praeinterfrigidaria,Nitzschia panduriformis,Nitzschia barronii,Thalassiosira lentiginosa,Nitzschia interfrigidaria,Nitzschia weaveri,Thalassiosira kolbei,Nitzschia kerguelenis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  2,H, 5,  57.00,     11.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,F                     ,R                         ,R                       ,                        ,F                          ,R                       ,                     ,                   ,C              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,                    ,                   ,R                      ,F                  ,R                            ,                       ,C                 ,R                        ,C                        ,F                ,F                   ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  2,H,CC,  13.00,     14.7300,Baldauf  ,Diatoms                                      ,A              ,M                 ,A                        ,                      ,R                         ,F                       ,                        ,F                          ,F                       ,                     ,                   ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,                    ,                   ,R                      ,F                  ,F                            ,                       ,F                 ,R                        ,F                        ,R                ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  3,H, 2,  57.00,     16.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,                      ,                          ,                        ,                        ,                           ,R                       ,                     ,                   ,C              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,                       ,                    ,                   ,R                      ,F                  ,R                            ,                       ,F                 ,                         ,F                        ,A                ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  3,H, 5,  57.00,     21.0700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,R                     ,R                         ,F                       ,                        ,F                          ,R                       ,                     ,                   ,F              ,                     ,R                       ,                   ,                    ,                                       ,                      ,                       ,                             ,F                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,R                    ,                         ,                     ,                   ,                           ,F                      ,                    ,                   ,R                      ,F                  ,C                            ,                       ,C                 ,R                        ,R                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  4,H, 2,  57.00,     26.0700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,R                     ,R                         ,R                       ,                        ,R                          ,F                       ,                     ,                   ,C              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,R                   ,                   ,R                      ,F                  ,F                            ,                       ,F                 ,                         ,R                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  4,H, 5,  57.00,     30.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,F                     ,R                         ,F                       ,                        ,F                          ,R                       ,                     ,R                  ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,R                      ,                    ,                   ,R                      ,F                  ,F                            ,                       ,F                 ,                         ,R                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  4,H,CC,  12.00,     34.0400,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,F                     ,                          ,F                       ,                        ,F                          ,F                       ,R                    ,                   ,C              ,                     ,R                       ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,R                      ,R                   ,R                  ,R                      ,F                  ,R                            ,                       ,F                 ,                         ,R                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  5,H, 2,  57.00,     35.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,F                     ,R                         ,F                       ,                        ,R                          ,R                       ,                     ,                   ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,                    ,                 ,R               ,                   ,R                   ,                        ,                      ,                  ,                  ,                   ,               ,                       ,R                     ,                     ,                         ,                     ,                   ,                           ,F                      ,R                   ,                   ,R                      ,F                  ,R                            ,                       ,F                 ,                         ,R                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  5,H, 5,  57.00,     40.0700,Baldauf  ,Diatoms                                      ,A              ,M                 ,A                        ,C                     ,                          ,F                       ,                        ,F                          ,R                       ,                     ,                   ,F              ,                     ,                        ,R                  ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,R                    ,                   ,                           ,F                      ,R                   ,F                  ,R                      ,R                  ,                             ,                       ,R                 ,R                        ,F                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  6,H, 1,  57.00,     43.5700,Baldauf  ,Diatoms                                      ,A              ,M                 ,C                        ,R                     ,R                         ,F                       ,                        ,F                          ,F                       ,                     ,                   ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,R                   ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,F                   ,C                  ,                       ,F                  ,R                            ,                       ,R                 ,                         ,F                        ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  6,H, 5,  57.00,     49.5700,Baldauf  ,Diatoms                                      ,C              ,M                 ,F                        ,R                     ,F                         ,R                       ,                        ,F                          ,R                       ,                     ,                   ,R              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,R                            ,F                  ,R                   ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,R                   ,F                  ,F                      ,F                  ,F                            ,                       ,R                 ,R                        ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  6,H,CC,  17.00,     51.9100,Baldauf  ,Diatoms                                      ,A              ,M                 ,C                        ,R                     ,                          ,F                       ,                        ,R                          ,R                       ,                     ,                   ,               ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,R                            ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,R                 ,                   ,               ,                       ,                      ,R                    ,                         ,                     ,                   ,                           ,F                      ,                    ,F                  ,R                      ,F                  ,R                            ,                       ,R                 ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  7,H, 2,  57.00,     54.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,F                        ,                      ,F                         ,F                       ,                        ,A                          ,R                       ,                     ,R                  ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,                    ,                 ,                ,R                  ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,R                    ,                         ,                     ,                   ,                           ,F                      ,C                   ,                   ,R                      ,C                  ,F                            ,                       ,C                 ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  7,H, 5,  57.00,     59.0700,Baldauf  ,Diatoms                                      ,A              ,M                 ,F                        ,                      ,R                         ,R                       ,                        ,A                          ,R                       ,                     ,R                  ,R              ,                     ,R                       ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,R                      ,R                   ,                   ,R                      ,F                  ,R                            ,                       ,F                 ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  7,H,CC,  19.00,     62.3100,Baldauf  ,Diatoms                                      ,A              ,M                 ,F                        ,                      ,R                         ,R                       ,                        ,A                          ,R                       ,                     ,R                  ,R              ,                     ,R                       ,                   ,                    ,R                                      ,                      ,                       ,                             ,R                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,R                      ,F                   ,                   ,R                      ,F                  ,R                            ,                       ,F                 ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  8,H, 3,  57.00,     65.5700,Baldauf  ,Diatoms                                      ,A              ,M                 ,F                        ,                      ,R                         ,                        ,                        ,A                          ,                        ,                     ,F                  ,R              ,                     ,                        ,                   ,                    ,F                                      ,                      ,                       ,R                            ,R                  ,F                   ,                 ,                ,R                  ,F                   ,                        ,                      ,                  ,                  ,                   ,R              ,                       ,R                     ,                     ,                         ,                     ,                   ,                           ,R                      ,F                   ,                   ,                       ,R                  ,R                            ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  8,H, 6,  57.00,     70.0700,Baldauf  ,Diatoms                                      ,A              ,G                 ,F                        ,                      ,R                         ,                        ,                        ,C                          ,R                       ,                     ,F                  ,F              ,                     ,                        ,                   ,                    ,F                                      ,                      ,                       ,F                            ,R                  ,F                   ,                 ,                ,R                  ,                    ,                        ,                      ,R                 ,                  ,                   ,R              ,                       ,R                     ,                     ,                         ,                     ,R                  ,                           ,F                      ,C                   ,                   ,                       ,F                  ,R                            ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  8,H,CC,  10.00,     72.0300,Baldauf  ,Diatoms                                      ,A              ,M                 ,R                        ,                      ,                          ,                        ,                        ,A                          ,R                       ,                     ,R                  ,R              ,                     ,R                       ,                   ,                    ,R                                      ,                      ,                       ,R                            ,                   ,F                   ,                 ,                ,                   ,R                   ,                        ,                      ,                  ,                  ,                   ,               ,                       ,F                     ,R                    ,                         ,                     ,                   ,                           ,R                      ,A                   ,                   ,                       ,F                  ,R                            ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  9,H, 2,  57.00,     73.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,                         ,                      ,                          ,                        ,                        ,A                          ,R                       ,F                    ,C                  ,F              ,                     ,                        ,                   ,                    ,F                                      ,                      ,                       ,C                            ,R                  ,F                   ,                 ,                ,                   ,R                   ,                        ,                      ,                  ,                  ,                   ,               ,                       ,R                     ,R                    ,                         ,                     ,R                  ,                           ,F                      ,C                   ,                   ,R                      ,F                  ,R                            ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  9,H, 5,  57.00,     78.0700,Baldauf  ,Diatoms                                      ,A              ,M                 ,R                        ,                      ,                          ,                        ,                        ,C                          ,R                       ,                     ,F                  ,R              ,                     ,R                       ,                   ,                    ,R                                      ,                      ,                       ,                             ,R                  ,R                   ,                 ,                ,F                  ,R                   ,                        ,                      ,R                 ,                  ,                   ,               ,                       ,F                     ,                     ,                         ,                     ,R                  ,                           ,R                      ,F                   ,                   ,R                      ,R                  ,R                            ,R                      ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  9,H,CC,  17.00,     81.3400,Baldauf  ,Diatoms                                      ,A              ,M                 ,A                        ,                      ,                          ,                        ,                        ,C                          ,R                       ,                     ,R                  ,R              ,                     ,                        ,                   ,                    ,R                                      ,                      ,                       ,R                            ,                   ,F                   ,                 ,                ,                   ,F                   ,                        ,                      ,R                 ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,R                  ,                           ,R                      ,R                   ,                   ,                       ,R                  ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 10,H, 4,  57.00,     86.0700,Baldauf  ,Diatoms                                      ,C              ,M                 ,F                        ,                      ,R                         ,                        ,                        ,F                          ,R                       ,R                    ,C                  ,F              ,                     ,                        ,                   ,                    ,R                                      ,                      ,                       ,F                            ,                   ,F                   ,                 ,                ,                   ,F                   ,                        ,                      ,R                 ,                  ,                   ,               ,                       ,                      ,R                    ,                         ,                     ,                   ,                           ,F                      ,                    ,                   ,R                      ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 10,H, 5,  57.00,     87.5700,Baldauf  ,Diatoms                                      ,C              ,P                 ,F                        ,R                     ,R                         ,R                       ,                        ,F                          ,R                       ,R                    ,R                  ,F              ,                     ,                        ,                   ,R                   ,                                       ,F                     ,                       ,R                            ,                   ,R                   ,                 ,R               ,                   ,R                   ,                        ,                      ,R                 ,R                 ,                   ,               ,                       ,                      ,                     ,                         ,                     ,R                  ,                           ,R                      ,R                   ,                   ,                       ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 10,H, 6,  57.00,     89.0700,Baldauf  ,Diatoms                                      ,C              ,P                 ,R                        ,                      ,                          ,                        ,                        ,F                          ,                        ,R                    ,F                  ,C              ,                     ,F                       ,                   ,                    ,                                       ,R                     ,                       ,                             ,R                  ,F                   ,                 ,R               ,R                  ,R                   ,                        ,                      ,                  ,R                 ,                   ,C              ,                       ,                      ,R                    ,                         ,                     ,                   ,                           ,                       ,R                   ,                   ,                       ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 10,H,CC,   0.00,     90.1300,Baldauf  ,Diatoms                                      ,A              ,P                 ,A                        ,                      ,                          ,R                       ,                        ,R                          ,                        ,                     ,R                  ,F              ,                     ,F                       ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,R                   ,                 ,                ,R                  ,R                   ,                        ,                      ,                  ,                  ,                   ,A              ,                       ,R                     ,R                    ,                         ,                     ,R                  ,                           ,A                      ,R                   ,R                  ,                       ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 11,H, 2,  57.00,     92.5700,Baldauf  ,Diatoms                                      ,A              ,M                 ,F                        ,                      ,                          ,                        ,                        ,F                          ,R                       ,R                    ,R                  ,R              ,                     ,R                       ,                   ,F                   ,R                                      ,                      ,                       ,                             ,R                  ,R                   ,                 ,                ,R                  ,F                   ,R                       ,                      ,R                 ,                  ,                   ,A              ,                       ,                      ,                     ,                         ,R                    ,                   ,F                          ,F                      ,                    ,                   ,                       ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 11,H, 5,  57.00,     97.0700,Baldauf  ,Diatoms                                      ,A              ,G                 ,R                        ,                      ,R                         ,                        ,                        ,R                          ,C                       ,R                    ,F                  ,C              ,                     ,R                       ,                   ,F                   ,F                                      ,                      ,                       ,                             ,                   ,C                   ,                 ,                ,R                  ,C                   ,                        ,                      ,R                 ,R                 ,R                  ,A              ,                       ,                      ,R                    ,                         ,                     ,R                  ,R                          ,                       ,                    ,                   ,                       ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A, 11,H,CC,  12.00,    100.1600,Baldauf  ,Diatoms                                      ,C              ,P                 ,F                        ,                      ,                          ,                        ,                        ,F                          ,R                       ,R                    ,                   ,R              ,                     ,                        ,                   ,F                   ,R                                      ,                      ,                       ,                             ,                   ,F                   ,                 ,                ,                   ,F                   ,                        ,                      ,                  ,                  ,R                  ,C              ,                       ,                      ,                     ,                         ,                     ,                   ,R                          ,R                      ,                    ,                   ,                       ,                   ,                             ,                       ,                  ,                         ,                         ,                 ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
