Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus diplogrammus	Watznaueria pseudomanivitae	Watznaueria communis	Watznaueria barnesae	Tranolithus manifestus	Tranolithus exiguus	Quadrum trifidum	Quadrum sissinghii	Quadrum gothicum	Quadrum gartneri	Prediscosphaera cretacea	Parhabdolithus angustus	Micula decussata	Microrhabdulus decoratus	Manivitella pemmatoidea	Lithraphidites carniolensis	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Cretarhabdus surirellus	Cretarhabdus striatus	Cretarhabdus crenulatus	Cretarhabdus coronadventiis	Cretarhabdus conicus	Coccolithus crassus	Chiastozygus litterarius	Arkhangelskiella cymbiformis	Watznaueria britannica	Tranolithus phacelosus	Prediscosphaera spinosa	Prediscosphaera columnata	Vagalapilla stradneri	Tegumentum stradneri	Reinhardtites levis	Zygodiscus spiralis	Zygodiscus elegans	Tranolithus gabalus	Prediscosphaera grandis	Biscutum constans	Lucianorhabdus cayeuxii	Parhabdolithus asper	Parhabdolithus embergeri	Discorhabdus rotatorius	Watznaueria manivitae	Prediscosphaera honjoi	Ahmuellerella octoradiata	Eiffellithus sp.	Octocyclus sp.	Micula prinsii	Microrhabdulus attenuatus	Micula murus	Micula concava	Podorhabdus sp.	M. ondosus	Placozygus sigmoides	Markalius inversus	Thoracosphaera saxea	Thoracosphaera operculata	Prinsius martinii	Prinsius bisulcus	Markalius astroporus	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus involutus	Ericsonia subpertusa	Ericsonia robusta	Ericsonia ovalis	Ellipsolithus macellus	Cruciplacolithus tenuis	Cruciplacolithus intermedius	Cruciplacolithus edwardsii	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus danicus	Biantholithus sparsus	Neococcolithes protenus	Neochiastozygus saepes	Fasciculithus stonehengei	Fasciculithus janii	Biscutum sp.	T. crassa	Fasciculithus sp.	Braarudosphaera sp. 1	Fasciculithus pileatus	Zygrhablithus bijugatus	Toweius crassus	Thoracosphaera prolata	Sphenolithus radians	Sphenolithus moriformis	Pontosphaera versa	Discoaster sp. 1	Discoaster multiradiatus	Discoaster lodoensis	Discoaster lenticularis	Discoaster kuepperi	Discoaster gemmifer	Discoaster diastypus	Discoaster barbadiensis	Coronocyclus nitescens	Coccolithus formosus	Coccolithus eopelagicus	Chiasmolithus grandis	Chiasmolithus consuetus	Campylosphaera dela	Calcidiscus kingii	Ellipsolithus lajollaensis	Discoaster binodosus	Sphenolithus spiniger	Pedinocyclus larvalis	Coccolithus jugatus	Striatococcolithus pacificanus	Reticulofenestra dictyoda	Discolithina rimosa	Toweius gammation	Chiasmolithus bidens	Dictyococcites scrippsae	Neococcolithes dubius	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster moorei	Discoaster kugleri	Discoaster exilis	Discoaster druggii	Reticulofenestra sp. (small)	Discoaster subsurculus	Discoaster deflandrei	Dictyococcites productus	Catinaster calyculus	Triquetrorhabdulus rugosus	Triquetrorhabdulus carinatus	Discoaster musicus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster woodringii	Discoaster surculus	Discoaster pentaradiatus	Discoaster pansus	Catinaster coalitus	Discoaster challengeri	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Discoaster calcaris	Discoaster brouweri	Discoaster blackstockae	Discoaster bellus	Sphenolithus abies	Discoaster icarus	Syracosphaera histrica	Discoaster quinqueramus	Discoaster braarudii	Discoaster berggrenii	Amaurolithus primus	Discoaster intercalaris	Amaurolithus delicatus	Helicosphaera granulata	Amaurolithus tricorniculatus	Scyphosphaera globulata	Ceratolithus armatus	Ceratolithus rugosus	Helicosphaera sellii	Helicosphaera carteri	Discoaster asymmetricus	Discoaster quadramus	Triquetrorhabdulus farnsworthii	Pontosphaera multipora	Discoaster triradiatus	Scyphosphaera pacifica	Rhabdosphaera stylifera	Pseudoemiliania lacunosa	Discoaster tamalis	Gephyrocapsa sp. (small)	Rhabdosphaera clavigera	Scapholithus fossilis	Gephyrocapsa oceanica s.l.	Ceratolithus cristatus	Umbilicosphaera sibogae	Ceratolithus telesmus	Scyphosphaera aranta	Gephyrocapsa sp. (large)	Scyphosphaera amphora	Pontosphaera scutellum	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment

  SR	Maestrichtian    	                 	M. prinsii        	              	132	 810	C	 14	H	 1	  25.00	    116.6500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	C                          	F                   	C                   	                      	                   	                	                  	                	                	C                       	F                      	F               	C                       	C                      	C                          	F                          	C                           	C                      	C                    	F                      	                           	F                   	F                  	                        	F                           	                      	                      	R                      	                         	                     	                    	                   	                   	                  	                   	F                      	F                	                       	F                   	F                       	                       	C                    	F                     	F                        	F               	F             	F             	                         	F           	              	R              	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	M. prinsii        	              	132	 810	C	 14	H	 1	  75.00	    117.1500	Premoli Silva	Nannofossils                                 	A              	G                 	R                      	C                          	R                   	A                   	                      	                   	                	                  	                	                	C                       	F                      	F               	C                       	F                      	C                          	F                          	A                           	C                      	C                    	R                      	                           	F                   	C                  	F                       	F                           	                      	                      	F                      	                         	                     	                    	                   	                   	                  	                   	F                      	F                	                       	F                   	F                       	                       	C                    	                      	F                        	F               	F             	R             	                         	F           	              	R              	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	M. prinsii        	              	132	 810	C	 14	H	 1	 125.00	    117.6500	Premoli Silva	Nannofossils                                 	A              	G                 	R                      	C                          	F                   	A                   	R                     	                   	                	                  	                	                	C                       	F                      	F               	C                       	C                      	C                          	F                          	A                           	C                      	C                    	C                      	                           	C                   	C                  	                        	F                           	                      	                      	F                      	                         	                     	                    	                   	R                  	                  	                   	F                      	F                	                       	F                   	F                       	                       	R                    	F                     	F                        	F               	F             	RR            	                         	F           	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	M. prinsii        	              	132	 810	C	 14	H	 2	  25.00	    118.1500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	C                          	R                   	C                   	                      	                   	                	                  	                	                	C                       	F                      	F               	C                       	F                      	C                          	F                          	C                           	C                      	C                    	C                      	                           	C                   	C                  	F                       	F                           	                      	                      	C                      	                         	                     	                    	                   	R                  	                  	                   	F                      	R                	                       	F                   	F                       	R                      	F                    	F                     	F                        	R               	F             	R             	                         	F           	              	R              	R         	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	M. prinsii        	              	132	 810	C	 14	H	 2	  75.00	    118.6500	Premoli Silva	Nannofossils                                 	A              	M/G               	F                      	C                          	                    	A                   	R                     	R                  	                	                  	                	                	C                       	C                      	F               	C                       	C                      	C                          	F                          	C                           	C                      	C                    	C                      	                           	C                   	C                  	F                       	F                           	                      	                      	F                      	                         	                     	                    	                   	                   	                  	                   	F                      	R                	                       	R                   	                        	                       	F                    	                      	R                        	F               	F             	R             	                         	R           	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	NC23              	              	132	 810	C	 14	H	 2	 125.00	    119.1500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	C                          	                    	A                   	R                     	                   	                	                  	                	                	C                       	F                      	F               	C                       	C                      	C                          	F                          	C                           	C                      	C                    	C                      	R                          	C                   	F                  	F                       	C                           	R                     	                      	C                      	                         	                     	                    	                   	                   	                  	                   	F                      	R                	                       	                    	F                       	R                      	F                    	R                     	F                        	F               	              	              	R                        	R           	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	NC23              	              	132	 810	C	 14	H	 3	  25.00	    119.6500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	F                          	R                   	C                   	R                     	                   	                	RR                	                	                	C                       	F                      	                	C                       	C                      	C                          	F                          	C                           	C                      	C                    	C                      	R                          	F                   	C                  	F                       	C                           	                      	RR                    	F                      	                         	R                    	                    	                   	                   	R                 	                   	F                      	R                	                       	F                   	F                       	                       	                     	                      	F                        	F               	F             	              	                         	R           	R             	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Very Rare reworking. from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	NC23              	              	132	 810	C	 14	H	 3	  75.00	    120.1500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	A                          	                    	A                   	R                     	R                  	R               	                  	RR              	                	C                       	F                      	C               	C                       	C                      	F                          	F                          	A                           	F                      	A                    	C                      	                           	C                   	A                  	R                       	F                           	                      	RR                    	R                      	                         	                     	                    	                   	R                  	                  	                   	F                      	                 	                       	F                   	F                       	                       	C                    	R                     	F                        	F               	F             	?             	                         	F           	R             	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Rare reworking. from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	NC23              	              	132	 810	C	 14	H	 3	 125.00	    120.6500	Premoli Silva	Nannofossils                                 	A              	M/G               	F                      	F                          	                    	C                   	R                     	R                  	                	                  	                	                	A                       	C                      	F               	C                       	F                      	F                          	C                          	A                           	C                      	C                    	C                      	                           	C                   	C                  	F                       	C                           	                      	                      	F                      	R                        	R                    	R                   	                   	                   	R                 	                   	F                      	R                	                       	                    	C                       	R                      	R                    	R                     	F                        	F               	F             	?             	                         	R           	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	                  	              	132	 810	C	 14	H	 4	  25.00	    121.1500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	C                          	R                   	C                   	R                     	                   	                	                  	R               	                	C                       	F                      	F               	C                       	F                      	C                          	F                          	A                           	C                      	C                    	C                      	                           	F                   	C                  	F                       	C                           	                      	R                     	F                      	F                        	                     	                    	R                  	R                  	R                 	                   	C                      	R                	                       	                    	F                       	                       	                     	F                     	F                        	F               	F             	?             	R                        	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Rare reworking. from 132SR. Chapter 2. Figure 3. page 18.

  SR	Maestrichtian    	                 	                  	              	132	 810	C	 14	H	 4	  75.00	    121.6500	Premoli Silva	Nannofossils                                 	A              	G                 	F                      	C                          	R                   	C                   	                      	                   	R               	                  	R               	R               	C                       	F                      	                	F                       	C                      	F                          	F                          	C                           	C                      	C                    	C                      	                           	C                   	C                  	R                       	F                           	                      	                      	C                      	                         	                     	                    	F                  	                   	                  	                   	C                      	                 	                       	F                   	F                       	                       	F                    	F                     	F                        	F               	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	                     	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	                            	                      	                     	                        	                    	                          	                            	                  	                          	                           	                        	                      	                      	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	                   	                       	                 	                  	                 	                      	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	                    	                     	                       	                    	                               	                      	                      	                      	                       	                        	                  	                        	                       	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Frequent reworking. from 132SR. Chapter 2. Figure 3. page 18.
