Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira oestrupii	Thalassionema nitzschioides	Paralia sulcata	Neodenticula kamtschatica	Hemidiscus cuneiformis	Freshwater diatoms	Denticulopsis spp.	Delphineis spp.	Chaetoceros spp. (resting spores)	Actinoptychus senarius	Stephanopyxis spp.	Simonseniella barboi	Rhizosolenia styliformis	Nitzschia reinholdii	Nitzschia marina	Nitzschia fossilis	Thalassiosira antiqua	Neodenticula seminae-koizumii (undiffer.)	Neodenticula seminae	Neodenticula koizumii	Coscinodiscus marginatus	Actinocyclus curvatulus	Thalassiosira multipora	Stephanopyxis dimorpha	Coscinodiscus spp. (large forms)	Thalassiosira spp.	Thalassiosira nativa	Thalassiosira leptopus	Stellarima sp.	Rouxia californica	Nitzschia cylindrica	Nitzschia aff. rolandii	Azpeitia nodulifera	Actinocyclus ingens	Thalassiosira aff. jacksonii	Proboscia alata	Denticulopsis hustedtii	Thalassiosira miocenica	Lithodesmium cornigerum	Denticulopsis katayamae	Thalassiosira convexa var. aspinosa	Nitzschia miocenica	Thalassiosira convexa var. convexa	Rhizosolenia praebergonii	Thalassiosira minutissima	Thalassionema schraderi	Nitzschia praereinholdii	Synedra jouseana	Thalassiosira temperei	Thalassiosira brunii	Rhizosolenia miocenica	Simonseniella praebarboi	Thalassiosira jouseae	Simonseniella curvirostris	Comment

  SR	Late Pliocene    	                 	                  	              	146	 892	A	  3	X	 1	  14.00	     19.1400	Fourtanier	Diatoms                                      	C              	M                 	F                        	                       	C                          	R              	R                        	                      	                  	                  	R              	A                                	R                     	R                 	                    	R                       	R                   	                	                  	R                    	                                         	R                   	                     	F                       	                       	                       	F                     	R                               	F                 	                    	                      	              	R                 	                    	                       	                   	R                  	                            	               	r?                     	                       	                       	                       	R                                  	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Pliocene    	                 	                  	              	146	 892	A	  3	X	 2	  28.00	     20.7800	Fourtanier	Diatoms                                      	A              	M/G               	R                        	R                      	A                          	               	R                        	R                     	R                 	                  	R              	A                                	                      	                  	R                   	R                       	R                   	                	                  	                     	                                         	F                   	                     	F                       	                       	                       	F                     	                                	R                 	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  4	X	 1	  64.00	     29.1400	Fourtanier	Diatoms                                      	A              	M                 	R                        	                       	C                          	R              	                         	                      	R                 	                  	               	A                                	F                     	                  	                    	                        	                    	                	R                 	F                    	                                         	                    	                     	F                       	                       	                       	                      	F                               	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	R                      	                       	                       	R                                  	R                  	R                                 	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  4	X	 2	  28.00	     29.8000	Fourtanier	Diatoms                                      	A              	M/G               	R                        	                       	C                          	               	                         	                      	                  	                  	               	A                                	R                     	                  	                    	R                       	                    	                	                  	F                    	                                         	                    	                     	R                       	                       	                       	                      	F                               	                  	R                   	                      	              	                  	                    	                       	R                  	                   	                            	R              	R                      	                       	                       	                       	R                                  	R                  	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  6	X	 1	  34.00	     39.3400	Fourtanier	Diatoms                                      	A              	G                 	R                        	                       	A                          	               	                         	                      	R                 	                  	F              	F                                	R                     	                  	                    	                        	                    	                	                  	                     	                                         	                    	                     	                        	                       	                       	                      	                                	                  	                    	                      	F             	F                 	                    	                       	F                  	R                  	                            	               	C                      	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	R                       	                	                      	                    	                      	R                       	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  6	X	 2	  93.00	     41.4300	Fourtanier	Diatoms                                      	A              	G                 	R                        	                       	C                          	               	                         	                      	                  	                  	               	A                                	F                     	                  	R                   	F                       	                    	                	                  	                     	                                         	                    	                     	F                       	F                      	                       	                      	                                	                  	                    	                      	R             	C                 	                    	                       	R                  	                   	                            	               	C                      	                       	                       	?                      	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  6	X	 3	  32.00	     42.3400	Fourtanier	Diatoms                                      	A              	M                 	R                        	                       	A                          	               	                         	                      	R                 	                  	R              	A                                	F                     	                  	R                   	                        	                    	                	                  	                     	                                         	                    	                     	                        	                       	                       	                      	F                               	F                 	F                   	                      	              	F                 	                    	                       	R                  	                   	                            	               	F                      	                       	                       	R                      	                                   	                   	                                  	                         	                         	                       	R                       	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  7	X	 1	  49.00	     48.9900	Fourtanier	Diatoms                                      	A              	G                 	R                        	                       	A                          	R              	                         	                      	                  	                  	               	A                                	F                     	R                 	R                   	R                       	                    	                	                  	                     	                                         	                    	                     	R                       	                       	                       	                      	R                               	F                 	R                   	                      	F             	F                 	                    	                       	R                  	F                  	                            	R              	R                      	                       	                       	C                      	                                   	                   	                                  	                         	                         	R                      	R                       	                	R                     	R                   	R                     	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  7	X	 2	  41.00	     50.4300	Fourtanier	Diatoms                                      	A              	M/G               	                         	R                      	A                          	R              	R                        	R                     	                  	                  	               	A                                	F                     	                  	R                   	R                       	R                   	                	R                 	R                    	R                                        	R                   	R                    	R                       	                       	                       	R                     	R                               	                  	r                   	                      	              	rF                	                    	                       	R                  	R                  	                            	R              	rF                     	                       	                       	R                      	R                                  	                   	R                                 	                         	                         	r                      	                        	r               	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  7	X	 3	  30.00	     51.8200	Fourtanier	Diatoms                                      	C              	M                 	R                        	R                      	A                          	R              	R                        	                      	R                 	                  	R              	A                                	F                     	                  	F                   	R                       	                    	                	                  	R                    	R                                        	                    	R                    	R                       	                       	                       	R                     	                                	F                 	                    	                      	              	r                 	                    	                       	R                  	                   	                            	               	                       	                       	                       	                       	F                                  	                   	R                                 	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  7	X	 4	  63.00	     53.6700	Fourtanier	Diatoms                                      	A              	M                 	                         	R                      	A                          	               	R                        	                      	R                 	r                 	               	A                                	                      	                  	F                   	R                       	                    	                	                  	R                    	R                                        	                    	R                    	R                       	                       	                       	R                     	                                	                  	rF                  	R                     	              	cf                	                    	                       	R                  	R                  	                            	R              	rF                     	                       	                       	                       	R                                  	                   	R                                 	                         	rF                       	r                      	r?                      	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  7	X	 6	  98.00	     57.0200	Fourtanier	Diatoms                                      	C              	MP                	R                        	                       	C                          	R              	R                        	F                     	R                 	                  	R              	C                                	R                     	                  	R                   	                        	                    	                	                  	F                    	R                                        	R                   	R                    	                        	                       	                       	R                     	                                	R                 	                    	                      	              	                  	                    	                       	                   	R                  	                            	               	r                      	                       	                       	                       	                                   	                   	                                  	R                        	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  8	X	 2	 116.00	     60.6800	Fourtanier	Diatoms                                      	C              	M                 	R                        	                       	C                          	R              	R                        	                      	R                 	                  	R              	C                                	R                     	R                 	R                   	                        	                    	                	                  	R                    	R                                        	                    	R                    	F                       	                       	                       	R                     	                                	R                 	                    	                      	              	                  	                    	                       	R                  	                   	                            	R              	                       	                       	                       	                       	R                                  	                   	R                                 	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  8	X	 3	  24.00	     61.2700	Fourtanier	Diatoms                                      	C              	M                 	R                        	R                      	A                          	R              	R                        	R                     	R                 	                  	R              	C                                	R                     	R                 	R                   	                        	                    	                	                  	F                    	                                         	                    	                     	R                       	                       	                       	R                     	                                	                  	                    	                      	              	R                 	                    	                       	R                  	R                  	                            	R              	r                      	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  8	X	 4	 104.00	     63.4900	Fourtanier	Diatoms                                      	A              	G                 	R                        	                       	A                          	R              	                         	R                     	R                 	                  	               	A                                	R                     	                  	                    	R                       	                    	                	                  	C                    	                                         	                    	                     	R                       	R                      	                       	                      	R                               	R                 	F                   	                      	R             	R                 	                    	                       	R                  	                   	                            	R              	R                      	R                      	R                      	                       	R                                  	R                  	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	  8	X	 5	  38.00	     64.3300	Fourtanier	Diatoms                                      	A              	G                 	R                        	                       	A                          	               	                         	R                     	R                 	                  	F              	A                                	F                     	                  	                    	R                       	                    	R               	R                 	F                    	                                         	                    	                     	R                       	                       	                       	                      	R                               	                  	                    	                      	R             	                  	                    	                       	R                  	                   	                            	               	R                      	R                      	R                      	r?                     	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	  9	X	 1	  42.00	     67.9200	Fourtanier	Diatoms                                      	C              	M                 	R                        	R                      	A                          	               	F                        	                      	                  	                  	               	C                                	R                     	                  	                    	                        	                    	                	                  	F                    	R                                        	                    	R                    	R                       	                       	                       	R                     	                                	                  	                    	                      	              	R                 	                    	                       	R                  	                   	                            	               	R                      	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	 11	X	 1	  44.00	     78.4400	Fourtanier	Diatoms                                      	C              	M                 	R                        	                       	C                          	R              	R                        	R                     	R                 	                  	R              	C                                	R                     	                  	                    	                        	                    	                	                  	F                    	                                         	                    	                     	R                       	R                      	                       	                      	                                	R                 	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	 11	X	 3	  16.00	     80.6100	Fourtanier	Diatoms                                      	C              	M                 	                         	                       	A                          	               	R                        	                      	R                 	                  	               	A                                	                      	R                 	R                   	                        	                    	R               	                  	R                    	R                                        	                    	                     	                        	R                      	                       	R                     	R                               	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Early Pliocene   	                 	                  	              	146	 892	A	 13	X	 1	  14.00	     97.1400	Fourtanier	Diatoms                                      	F              	P                 	R                        	                       	F                          	F              	                         	                      	                  	                  	               	R                                	                      	                  	R                   	R                       	                    	                	                  	F                    	                                         	                    	                     	F                       	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Early Pliocene   	                 	                  	              	146	 892	A	 13	X	 2	  36.00	     97.6500	Fourtanier	Diatoms                                      	F              	P                 	R                        	                       	F                          	R              	R                        	                      	R                 	                  	               	F                                	R                     	R                 	R                   	R                       	R                   	                	                  	R                    	                                         	                    	                     	R                       	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	R                  	R                  	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Early Pliocene   	                 	                  	              	146	 892	A	 13	X	 4	  55.00	     99.4200	Fourtanier	Diatoms                                      	C              	M                 	R                        	                       	F                          	R              	R                        	R                     	R                 	                  	R              	F                                	R                     	                  	F                   	R                       	                    	                	                  	F                    	                                         	                    	                     	F                       	R                      	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	R                  	                   	R                           	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Early Pliocene   	                 	                  	              	146	 892	A	 13	X	 7	 138.00	    103.6600	Fourtanier	Diatoms                                      	C              	P                 	R                        	                       	F                          	F              	R                        	                      	R                 	                  	R              	R                                	R                     	                  	F                   	R                       	R                   	R               	                  	R                    	                                         	                    	                     	F                       	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	R                  	                   	                            	R              	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Early Pliocene   	                 	                  	              	146	 892	A	 13	X	 8	  91.00	    104.6900	Fourtanier	Diatoms                                      	F              	P                 	R                        	R                      	F                          	R              	R                        	                      	R                 	                  	R              	R                                	                      	R                 	R                   	R                       	                    	R               	                  	R                    	                                         	                    	                     	R                       	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	R                  	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Early Pliocene   	                 	                  	              	146	 892	A	 15	X	 1	  42.00	    116.4200	Fourtanier	Diatoms                                      	F              	P                 	R                        	                       	F                          	R              	R                        	                      	R                 	                  	               	F                                	                      	R                 	                    	                        	R                   	                	                  	R                    	                                         	                    	                     	R                       	                       	                       	                      	                                	                  	                    	                      	              	r                 	                    	                       	                   	                   	R                           	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	 16	X	 1	  14.00	    125.6400	Fourtanier	Diatoms                                      	F              	P                 	R                        	                       	R                          	               	R                        	                      	R                 	                  	F              	R                                	                      	F                 	R                   	                        	                    	                	                  	                     	                                         	                    	R                    	F                       	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	                 	                 	                  	              	146	 892	A	 17	X	 1	  33.00	    135.3300	Fourtanier	Diatoms                                      	C              	P                 	                         	                       	C                          	F              	                         	R                     	R                 	                  	F              	C                                	R                     	                  	                    	                        	                    	R               	                  	F                    	                                         	                    	                     	R                       	                       	                       	                      	                                	R                 	                    	                      	              	                  	                    	                       	R                  	R                  	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Miocene     	                 	                  	              	146	 892	A	 18	X	 1	  95.00	    145.4500	Fourtanier	Diatoms                                      	A              	G                 	R                        	                       	A                          	R              	                         	                      	                  	                  	C              	A                                	F                     	F                 	                    	R                       	                    	                	                  	C                    	                                         	                    	                     	R                       	                       	                       	                      	R                               	F                 	F                   	F                     	R             	F                 	R                   	R                      	R                  	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Pliocene    	Quaternary       	                  	              	146	 892	A	 20	X	 1	  19.00	    163.6900	Fourtanier	Diatoms                                      	C              	M                 	R                        	                       	C                          	               	                         	                      	R                 	                  	F              	A                                	                      	F                 	F                   	                        	                    	                	                  	R                    	                                         	R                   	R                    	                        	                       	R                      	R                     	F                               	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Late Pliocene    	Quaternary       	                  	              	146	 892	A	 20	X	 1	 142.00	    164.9200	Fourtanier	Diatoms                                      	F              	M                 	R                        	                       	F                          	               	                         	                      	R                 	                  	               	F                                	                      	R                 	R                   	                        	                    	                	                  	R                    	R                                        	R                   	R                    	R                       	F                      	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	 20	X	 2	  44.00	    165.4600	Fourtanier	Diatoms                                      	F              	P                 	R                        	R                      	F                          	R              	                         	                      	R                 	                  	R              	F                                	R                     	F                 	R                   	R                       	R                   	R               	R                 	                     	                                         	                    	                     	                        	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Pliocene         	                 	                  	              	146	 892	A	 20	X	 2	 133.00	    166.3500	Fourtanier	Diatoms                                      	F              	P                 	R                        	R                      	F                          	F              	R                        	R                     	R                 	R                 	F              	F                                	R                     	                  	                    	                        	                    	                	                  	                     	                                         	                    	                     	                        	                       	                       	                      	                                	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

