Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Thoracosphaera saxea,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera multipora,Pemma stradnerii,Pemma basquensis,Nannotetrina cristata,Helicosphaera seminulum,Helicosphaera lophota,Ericsonia obruta,Ericsonia formosa,Discoaster strictus,Discoaster saipanensis,Discoaster deflandrei,Discoaster binodosus,Discoaster barbadiensis,Cyclicargolithus pseudogammation,Coronocyclus prionion,Coccolithus pelagicus,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus grandis,Braarudosphaera discula,Braarudosphaera bigelowii,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera spp.,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra spp. (small - medium),Reticulofenestra spp. (large),Pseudoemiliania lacunosa E,Pseudoemiliania lacunosa C,Oolithotus antillarum,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Emiliania huxleyi,Cyclolithus annulus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 2,  80.00,      2.3000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.2%1               ,.2%1              ,4.9%25               ,.2%1              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.6%3                 ,.0%0                ,1.6%8                ,58.3%295                 ,.0%0                     ,.0%0              ,10.3%52                   ,6.5%33                   ,14.4%73          ,1.0%5              ,.0%0                  ,1.4%7                 ,Total count = 506; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 2, 140.00,      2.9000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,4.8%24                    ,1.0%5              ,.6%3              ,.4%2                 ,.0%0              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,1.0%5                ,57.9%291                 ,.0%0                     ,.0%0              ,23.5%118                  ,8.2%41                   ,2.2%11           ,.2%1               ,.0%0                  ,.4%2                  ,Total count = 503; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 3,  20.00,      3.2000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,2.5%13                    ,.4%2               ,1.0%5             ,.4%2                 ,.2%1              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.6%3                 ,62.2%318                 ,.0%0                     ,.0%0              ,19.6%100                  ,8.4%43                   ,1.0%5            ,3.3%17             ,.0%0                  ,.4%2                  ,Total count = 511; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 3,  80.00,      3.8000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.2%1               ,.2%1              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.2%1                 ,26.7%135                 ,.0%0                     ,.0%0              ,17.4%88                   ,53.9%272                 ,.0%0             ,.6%3               ,.0%0                  ,.4%2                  ,Total count = 505; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 3, 140.00,      4.4000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.0%0               ,.4%2              ,.4%2                 ,.0%0              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.4%2                 ,47.1%240                 ,.0%0                     ,.0%0              ,8.6%44                    ,41.4%211                 ,.0%0             ,1.0%5              ,.0%0                  ,.4%2                  ,Total count = 510; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 4,  20.00,      4.7000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.2%1               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.8%4                 ,31.3%157                 ,.0%0                     ,.0%0              ,10.0%50                   ,55.2%277                 ,.0%0             ,1.4%7              ,.0%0                  ,.8%4                  ,Total count = 502; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 4,  80.00,      5.3000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.8%4                      ,.0%0               ,1.2%6             ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,2.5%13                    ,.8%4                      ,.0%0                 ,.0%0                ,.2%1                 ,27.8%143                 ,.0%0                     ,.0%0              ,18.5%95                   ,45.2%233                 ,.0%0             ,1.2%6              ,.0%0                  ,1.9%10                ,Total count = 515; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 4, 140.00,      5.9000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.2%1                      ,.2%1               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,4.0%20                    ,2.6%13                    ,.0%0                 ,.0%0                ,1.2%6                ,26.7%135                 ,.0%0                     ,.0%0              ,18.6%94                   ,44.5%225                 ,.0%0             ,.6%3               ,.0%0                  ,1.6%8                 ,Total count = 506; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 5,  20.00,      6.2000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,1.0%5                     ,.2%1               ,.4%2              ,.2%1                 ,.0%0              ,.0%0                                  ,.0%0                         ,2.3%12                    ,1.6%8                     ,.4%2                 ,.0%0                ,1.4%7                ,17.2%88                  ,.0%0                     ,.0%0              ,23.0%118                  ,50.9%261                 ,.0%0             ,.0%0               ,.0%0                  ,1.6%8                 ,Total count = 503; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 5,  80.00,      6.8000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.8%4                      ,.0%0               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,7.5%38                    ,2.0%10                    ,.0%0                 ,.0%0                ,.4%2                 ,16.7%85                  ,.0%0                     ,.4%2              ,33.4%170                  ,37.9%193                 ,.0%0             ,.6%3               ,.0%0                  ,.4%2                  ,Total count = 509; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H,CC,  20.00,      7.3800,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.0%0               ,.6%3              ,1.7%9                ,.0%0              ,.0%0                                  ,.0%0                         ,4.4%23                    ,1.5%8                     ,.0%0                 ,.0%0                ,.8%4                 ,20.9%110                 ,.0%0                     ,4.2%22            ,20.5%108                  ,43.4%228                 ,.0%0             ,1.0%5              ,.0%0                  ,.8%4                  ,Total count = 526; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 1,  25.00,      7.7500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.0%0                      ,.2%1               ,.8%4              ,1.0%5                ,.0%0              ,.0%0                                  ,.0%0                         ,7.2%38                    ,1.9%10                    ,.0%0                 ,.0%0                ,1.3%7                ,41.3%218                 ,.0%0                     ,2.8%15            ,11.9%63                   ,28.6%151                 ,.0%0             ,.0%0               ,.0%0                  ,2.7%14                ,Total count = 528; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 1,  80.00,      8.3000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.8%4                      ,.2%1               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,11.1%57                   ,2.0%10                    ,.0%0                 ,.0%0                ,2.9%15               ,16.0%82                  ,.0%0                     ,2.5%13            ,20.5%105                  ,41.4%212                 ,.0%0             ,1.0%5              ,.0%0                  ,1.6%8                 ,Total count = 512; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 1, 135.00,      8.8500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.9%5                      ,.0%0               ,.0%0              ,.9%5                 ,.0%0              ,.0%0                                  ,.9%5                         ,20.3%108                  ,3.4%18                    ,.0%0                 ,.0%0                ,.8%4                 ,16.9%90                  ,.0%0                     ,1.9%10            ,20.6%110                  ,31.5%168                 ,.0%0             ,.4%2               ,.0%0                  ,1.5%8                 ,Total count = 533; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 2,  25.00,      9.2500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.6%3                      ,.2%1               ,.4%2              ,.2%1                 ,.0%0              ,.0%0                                  ,.4%2                         ,20.9%107                  ,2.0%10                    ,.0%0                 ,.0%0                ,1.4%7                ,36.1%185                 ,.0%0                     ,.4%2              ,6.8%35                    ,29.2%150                 ,.0%0             ,.6%3               ,.0%0                  ,1.0%5                 ,Total count = 513; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 2,  80.00,      9.8000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,1.9%10                    ,.0%0               ,.4%2              ,.0%0                 ,.0%0              ,.0%0                                  ,3.2%17                       ,15.8%83                   ,1.5%8                     ,.4%2                 ,.0%0                ,.6%3                 ,63.2%331                 ,.0%0                     ,.0%0              ,.0%0                      ,9.2%48                   ,.0%0             ,1.0%5              ,.0%0                  ,2.9%15                ,Total count = 524; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 2, 135.00,     10.3500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.9%5                      ,.0%0               ,.2%1              ,.6%3                 ,.0%0              ,.0%0                                  ,3.8%20                       ,9.4%50                    ,1.9%10                    ,.4%2                 ,.0%0                ,1.3%7                ,70.1%373                 ,.0%0                     ,.0%0              ,.4%2                      ,8.7%46                   ,.0%0             ,.9%5               ,.0%0                  ,1.5%8                 ,Total count = 532; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 3,  25.00,     10.7500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,1.2%6                     ,.0%0               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,2.0%10                       ,11.2%57                   ,1.0%5                     ,.2%1                 ,.0%0                ,1.0%5                ,80.0%408                 ,.0%0                     ,.0%0              ,.0%0                      ,2.4%12                   ,.0%0             ,.4%2               ,.0%0                  ,.8%4                  ,Total count = 510; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 3,  80.00,     11.3000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.8%4                      ,.2%1               ,.0%0              ,.2%1                 ,.0%0              ,.0%0                                  ,.4%2                         ,13.6%68                   ,3.0%15                    ,.0%0                 ,.0%0                ,1.6%8                ,76.9%386                 ,.0%0                     ,.0%0              ,.2%1                      ,1.6%8                    ,.0%0             ,.8%4               ,.0%0                  ,.8%4                  ,Total count = 502; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 3, 135.00,     11.8500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.6%3                      ,.0%0               ,.2%1              ,.2%1                 ,.0%0              ,.0%0                                  ,2.9%15                       ,17.4%90                   ,2.3%12                    ,.2%1                 ,.0%0                ,.4%2                 ,74.7%386                 ,.0%0                     ,.0%0              ,.0%0                      ,.0%0                     ,.0%0             ,.4%2               ,.0%0                  ,.8%4                  ,Total count = 517; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 4,  25.00,     12.2500,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.6%3                      ,.0%0               ,.2%1              ,.2%1                 ,.0%0              ,.0%0                                  ,.0%0                         ,18.3%98                   ,2.6%14                    ,.0%0                 ,.0%0                ,.4%2                 ,56.8%305                 ,7.5%40                   ,.0%0              ,6.9%37                    ,3.7%20                   ,.0%0             ,.4%2               ,.0%0                  ,2.6%14                ,Total count = 537; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  2,H, 4,  80.00,     12.8000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,.4%2                      ,.0%0               ,.0%0              ,.2%1                 ,.0%0              ,.0%0                                  ,.0%0                         ,9.3%47                    ,1.0%5                     ,.0%0                 ,.0%0                ,.4%2                 ,79.6%403                 ,3.4%17                   ,.0%0              ,1.4%7                     ,1.0%5                    ,.0%0             ,.4%2               ,.0%0                  ,3.0%15                ,Total count = 506; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
