Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Tenuitella clemenciae,Paragloborotalia mayeri,Paragloborotalia continuosa,Globoturborotalita woodi s. I,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina binaiensis,Globigerinoides trilobus s.l.,Globigerinoides ruber  s. I. (white),Globigerinoides obliquus,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerina praebulloides,Globigerina ouachitaensis s. I,Dentoglobigerina larmeui,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira,Catapsydrax unicavus,Cassigerinella chipolensis,Globorotaloides suteri,Globigerinita uvula,Globigerina angulisuturalis,Globoquadrina dehiscens,Globigerina ciperoensis,Paragloborotalia kugleri,Globigerinoides primordius,Globigerinatella sp.,Catapsydrax dissimilis,Globigerinatella insueta,Globigerinoides bisphericus,Fohsella peripheroronda,Globorotalia praescitula,Praeorbulina sicana,Globigerinoides mitra,Praeorbulina curva,Globorotalia archeomenardii,Praeorbulina glomerosa,Praeorbulina circularis,Orbulina suturalis,Clavatorella bermudezi,Fohsella peripheroacuta,Pulleniatina obliquiloculata,Orbulina universa,Fohsella praefohsi,Fohsella fohsi,Sphaeroidinellopsis disjuncta,Globorotalia praemenardii,Fohsella lobata,Globorotalia tumida,Globoturborotalita tenella,Globorotalia menardii s.l.,Globigerinoides conglobatus,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Globoturborotalita rubescens,Globorotalia hexagonus,Fohsella robusta,Globigerina bulloides s. I.,Sphaeroidinella dehiscens,Pulleniatina finalis,Globorotalia truncatulinoides,Sphaeroidinella excavata,Globorotalia crassaformis,Globigerinoides sacculifer,Globigerinoides fistulosus,Streptochilus spp.,Neogloboquadrina acostaensis,Globoturborotalita nepenthes,Globorotalia plesiotumida,Globorotalia limbata,Globigerinoides extremus,Globigerinella siphonifera,Globorotalia multicamerata,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis,Pulleniatina praecursor,Neogloboquadrina humerosa,Globorotalia ungulata,Globorotalia flexuosa,Globoquadrina sp.,Neogloboquadrina dutertrei,Globorotalia tosaensis,Globorotalia pertenuis,Candeina nitida,Tenuitella iota,Globorotalia scitula,Globorotalia hirsuta,Globigerinoides ruber (pink),Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  1,H, 5,  59.00,      6.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,F                         ,R                          ,                              ,                         ,                            ,                      ,                ,                           ,R                        ,R                   ,R                            ,                        ,                         ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,R                    ,                     ,R                ,R                         ,                      ,                      ,R              ,R              ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  1,H,CC,  27.00,      7.4500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,R                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,                 ,                  ,              ,                             ,                         ,               ,C                  ,                          ,C                         ,R                          ,                              ,                         ,F                           ,                      ,                ,                           ,R                        ,R                   ,C                            ,R                       ,                         ,R                         ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,C                         ,                          ,                                  ,                     ,                       ,                         ,F                    ,                     ,R                ,R                         ,                      ,                      ,R              ,R              ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H, 1,  59.00,      8.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,R                         ,                           ,                              ,                         ,R                           ,                      ,                ,                           ,R                        ,                    ,R                            ,R                       ,R                        ,R                         ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,F                    ,                     ,R                ,                          ,R                     ,                      ,R              ,R              ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H, 2,  59.00,      9.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,R                         ,R                          ,                              ,                         ,                            ,                      ,                ,                           ,R                        ,R                   ,R                            ,                        ,R                        ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,R                    ,                     ,R                ,R                         ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H, 3,  59.00,     11.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,R                 ,                      ,                       ,F                           ,R                ,                  ,              ,                             ,                         ,               ,C                  ,                          ,R                         ,                           ,                              ,                         ,R                           ,                      ,                ,                           ,R                        ,R                   ,F                            ,                        ,R                        ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,R                ,R                         ,R                     ,                      ,R              ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H, 4,  59.00,     12.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,R                         ,R                          ,                              ,                         ,R                           ,R                     ,                ,                           ,R                        ,F                   ,R                            ,                        ,                         ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,R                    ,                     ,R                ,R                         ,                      ,                      ,               ,R              ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H, 5,  59.00,     14.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,C                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,R                         ,R                          ,                              ,                         ,R                           ,                      ,                ,                           ,R                        ,R                   ,R                            ,R                       ,R                        ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,R                    ,                     ,F                ,F                         ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H, 6,  59.00,     15.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,C                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,                 ,                  ,              ,                             ,                         ,               ,F                  ,                          ,R                         ,                           ,                              ,                         ,R                           ,R                     ,                ,                           ,R                        ,R                   ,F                            ,R                       ,R                        ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,R                      ,                         ,R                    ,                     ,F                ,R                         ,                      ,                      ,               ,R              ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  2,H,CC,  14.00,     16.6400,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,                 ,                  ,              ,                             ,                         ,               ,C                  ,                          ,F                         ,                           ,                              ,                         ,R                           ,R                     ,                ,                           ,R                        ,                    ,R                            ,                        ,                         ,R                         ,                          ,R                 ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,R                      ,                         ,F                    ,                     ,R                ,R                         ,R                     ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N22               ,              ,144, 871,A,  3,H, 1,  60.00,     17.6000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,R                            ,C                                   ,R                       ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,                 ,                  ,              ,                             ,                         ,               ,C                  ,                          ,R                         ,                           ,                              ,                         ,                            ,                      ,                ,                           ,R                        ,                    ,R                            ,                        ,                         ,C                         ,R                         ,R                 ,                            ,                            ,                         ,                    ,R                       ,R                         ,                          ,                                  ,                     ,F                      ,                         ,R                    ,                     ,R                ,R                         ,                      ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N22               ,              ,144, 871,A,  3,H, 1, 123.00,     18.2300,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,R                            ,F                                   ,R                       ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,R                         ,                           ,                              ,                         ,                            ,R                     ,                ,                           ,R                        ,                    ,R                            ,                        ,                         ,C                         ,F                         ,R                 ,                            ,                            ,                         ,                    ,R                       ,R                         ,                          ,                                  ,                     ,F                      ,                         ,R                    ,                     ,R                ,F                         ,R                     ,                      ,R              ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N22               ,              ,144, 871,A,  3,H, 2,  60.00,     19.1000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,R                            ,F                                   ,R                       ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,R                ,                  ,              ,                             ,                         ,               ,C                  ,                          ,R                         ,                           ,                              ,                         ,R                           ,                      ,                ,                           ,R                        ,                    ,R                            ,                        ,                         ,C                         ,C                         ,R                 ,                            ,                            ,                         ,                    ,R                       ,R                         ,                          ,                                  ,                     ,F                      ,                         ,R                    ,                     ,R                ,R                         ,R                     ,                      ,               ,               ,                    ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
