Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochammina sp. (small)	Rzehakina epigona	Hyperammina sp. (fragments)	Glomospira charoides	Rhabdammina spp.	Recurvoides spp.	Paratrochamminoides spp.	Karrerulina conformis	Glomospira gordialis	Subreophax scalaris	Trochammina sp. (coarse)	Praecystammina? sp.	Paratrochamminoides cf. corpulentus	Aschemocella grandis	Aschemocella carpathica	Ammodiscus sp. (rough)	Subreophax splendidus	Dendrophrya excelsa	Haplophragmoides walteri	Trochammina altiformis	Paratrochamminoides olszewskii	Plectorecurvoides? sp.	Glomospira irregularis	Hormosina crassa	Comment
  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 1	  50.00	    629.9000	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	2                          	                    	35              	1               	14                      	                     	1                   	                   	                        	                   	                                   	                    	2                      	                      	1                    	2                  	                        	                      	                              	                      	                      	                	19 tubular aggl. fragments. 2 indet. aggl. fragments. 13 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 1	 113.00	    630.5300	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	1                          	1                   	43              	1               	5                       	                     	                    	3                  	4                       	1                  	1                                  	2                   	20                     	1                     	                     	                   	                        	                      	                              	                      	                      	                	42 tubular aggl. fragments. 30 indet. aggl. fragments. 29 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 2	  47.00	    631.3700	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	2                   	6               	1               	3                       	                     	                    	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	                      	                	7 tubular aggl. fragments. 21 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 2	 129.00	    632.1900	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	1                          	                    	4               	3               	                        	                     	                    	1                  	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	                      	                	20 tubular aggl. fragments. 4 indet. aggl. fragments. 23 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 3	   1.00	    632.4300	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	1                          	                    	17              	1               	1                       	1                    	1                   	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	                      	                	8 tubular aggl. fragments. 7 indet. aggl. fragments. 33 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 3	  68.00	    633.1000	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	1                          	3                   	                	                	                        	                     	                    	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	                      	                	1 tubular aggl. fragments. 4 indet. aggl. fragments. 5 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Paleocene        	                 	                  	              	149	 897	C	 61	R	 3	 135.00	    633.7700	Kuhnt    	Benthic Foraminifers                         	               	                  	1                      	1                	3                          	                    	                	                	                        	                     	                    	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	                      	                	5 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

