Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment
  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  7	H	CC	  60.00	     64.9900	Showers  	Planktonic Foraminifers                      	R              	M                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	A                                	C                                  	-                            	-                           	-                        	-                    	-               	M; SP; IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  8	H	CC	  93.00	     74.6200	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	R                            	-                           	-                        	-                    	-               	from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  9	H	CC	  24.00	     83.1300	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	-                                  	R                            	R                           	-                        	-                    	-               	M; IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 10	X	CC	  12.00	     92.2500	Showers  	Planktonic Foraminifers                      	F              	M                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	R                              	-                                     	C                                	F                                  	F                            	F                           	-                        	-                    	-               	from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 11	X	CC	  10.00	    101.6200	Showers  	Planktonic Foraminifers                      	R              	M                 	-                           	A                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	R                            	-                           	-                        	-                    	-               	M; IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 12	X	CC	  13.00	    110.4000	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	F                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	F                                  	F                            	-                           	-                        	-                    	-               	SP;  from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 13	X	CC	  23.00	    119.8000	Showers  	Planktonic Foraminifers                      	F              	P                 	-                           	F                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	R                                  	R                            	-                           	-                        	-                    	-               	SP;  from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 14	X	CC	  12.00	    128.7400	Showers  	Planktonic Foraminifers                      	R              	M                 	-                           	R                         	-                   	-                           	-                  	R                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	R                                	-                                  	-                            	-                           	-                        	-                    	-               	SP;  from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 15	X	CC	  40.00	    138.9400	Showers  	Planktonic Foraminifers                      	C              	P                 	-                           	C                         	-                   	-                           	R                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	F                                  	C                            	-                           	-                        	-                    	-               	IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 16	X	CC	  10.00	    148.9000	Showers  	Planktonic Foraminifers                      	F              	M                 	R                           	F                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	R                                	F                                  	F                            	R                           	-                        	-                    	-               	W; SP; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 17	X	CC	  13.00	    155.7800	Showers  	Planktonic Foraminifers                      	               	M                 	F                           	F                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	-                                	F                                  	-                            	R                           	-                        	-                    	-               	IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 18	X	CC	  72.00	    166.2500	Showers  	Planktonic Foraminifers                      	F              	M                 	C                           	F                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	F                                  	R                            	-                           	-                        	-                    	-               	W; RN; SP; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 19	X	CC	  11.00	    172.7000	Showers  	Planktonic Foraminifers                      	R              	M                 	R                           	F                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	R                                  	-                            	-                           	-                        	-                    	-               	W; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 20	X	CC	  13.00	    187.2600	Showers  	Planktonic Foraminifers                      	F              	M                 	F                           	F                         	-                   	-                           	-                  	R                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	R                                  	C                            	-                           	-                        	-                    	-               	W; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 21	X	CC	  36.00	    189.8600	Showers  	Planktonic Foraminifers                      	R              	M                 	F                           	R                         	-                   	-                           	-                  	R                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	-                                	F                                  	R                            	R                           	-                        	-                    	-               	S; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 22	X	CC	   7.00	    203.3200	Showers  	Planktonic Foraminifers                      	R              	M                 	F                           	R                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	-                                	R                                  	R                            	-                           	-                        	-                    	-               	IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 23	X	CC	  63.00	    208.3700	Showers  	Planktonic Foraminifers                      	F              	G                 	F                           	-                         	-                   	-                           	-                  	R                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	R                                	F                                  	F                            	-                           	-                        	-                    	-               	W; RN;  from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 24	X	CC	  12.00	    220.6500	Showers  	Planktonic Foraminifers                      	F              	G                 	F                           	R                         	-                   	-                           	-                  	R                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	-                                  	F                            	R                           	-                        	-                    	-               	IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 25	X	CC	  64.00	    225.5100	Showers  	Planktonic Foraminifers                      	F              	M                 	R                           	P                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	R                                	F                                  	F                            	R                           	-                        	-                    	-               	M; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 26	X	CC	  64.00	            	Showers  	Planktonic Foraminifers                      	R              	G                 	C                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	R                                  	F                            	R                           	-                        	-                    	-               	M; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 27	X	CC	  17.00	    250.9700	Showers  	Planktonic Foraminifers                      	F              	G                 	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	R                            	-                           	-                        	-                    	-               	M; RN; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 28	X	CC	  30.00	    259.2000	Showers  	Planktonic Foraminifers                      	R              	G                 	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	R                            	-                           	-                        	-                    	-               	M; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 29	X	CC	  17.00	    269.1800	Showers  	Planktonic Foraminifers                      	R              	M                 	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	R                                  	F                            	R                           	-                        	-                    	-               	IS; M; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 30	X	CC	  21.00	    276.2300	Showers  	Planktonic Foraminifers                      	F              	G                 	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	C                            	-                           	-                        	-                    	-               	M; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 31	X	CC	  15.00	    284.8500	Showers  	Planktonic Foraminifers                      	R              	G                 	C                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	C                            	-                           	-                        	-                    	-               	M; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 32	X	CC	  31.00	    297.7100	Showers  	Planktonic Foraminifers                      	R              	M                 	C                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	-                            	-                           	-                        	-                    	-               	IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	 33	X	CC	  12.00	    306.2500	Showers  	Planktonic Foraminifers                      	R              	G                 	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	M; from Leg 155IR p. 420 Table 4

