Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia siakensis,Globorotalia menardii menardii (sinistral),Globorotalia mayeri,Globoquadrina dehiscens,Globigerinoides trilobus,Globorotalia continuosa,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus obliquus,Globigerina druryi,Globigerinita glutinata,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globorotalia lenguaensis,Globigerina decoraperta,Globorotalia cf. Gr. conoidea,Globigerina nepenthes,Globorotalia menardii cultrata (sinistral),Dentoglobigerina altispira,Globigerinoides obliquus extremus,Globigerina woodi,Neogloboquadrina cf. Nq. acostaensis,Globigerinoides quadrilobatus,Globorotalia plesiotumida (sinistral),Orbulina suturalis,Globorotalia miozea,Neogloboquadrina acostaensis (sinistral),Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerina falconensis,Globorotalia menardii menardii (dextral),Globorotalia juanai,Globigerinella aequilateralis,Globorotalia conomiozea,Globorotalia margaritae primitivae,Globigerinoides conglobatus,Neogloboquadrina acostaensis (dextral),Globorotalia cf. Gr. conomiozea,Globorotalia margaritae,Globorotalia tumida,Hastigerina siphonifera,Globorotalia cf. Gr. multicamerata,Globorotalia menardii cultrata (dextral),Globigerina quinqueloba,Neogloboquadrina dutertrei,Globigerinoides elongatus,Neogloboquadrina pachyderma (dextral),Globorotalia multicamerata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia crassaformis,Globorotalia miocenica,Globigerinoides pyramidalis,Globorotalia hirsuta,Globorotalia exilis,Globorotalia cf. Gr. miocenica,Globigerina rubescens,Globigerina bulloides,Globorotalia inflata,Turborotalita humilis,Globigerina helicina,Globorotalia crassula,Globigerina apertura,Globorotaloides hexagona,Globorotalia pseudopima,Globigerina calida praecalida,Globigerina calida cf. calida,Neogloboquadrina pachyderma (sinistral),Globorotalia pertenuis,Globorotalia crassaformis viola,Globigerina eamsi,Sphaeroidinella dehiscens,Globigerina cf. Gg. bulloides,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL5               ,              ,157, 953,C,  3,R, 3,  72.00,    200.2200,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,F                                ,R                 ,A                      ,                              ,R                   ,                        ,F                      ,                             ,                     ,                                          ,                          ,R                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,R                         ,                         ,F                      ,                                        ,                   ,C                            ,                       ,                                  ,R                          ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,R                         ,                         ,F                                    ,                          ,                            ,F                    ,C                        ,F                        ,                      ,                           ,                    ,R                  ,                              ,R                    ,R                    ,                    ,F                    ,                    ,                     ,                    ,                        ,                       ,R                            ,                             ,R                                      ,R                     ,                               ,                 ,                         ,R                            ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL5               ,              ,157, 953,C,  4,R, 1,  37.00,    206.4700,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,                                 ,                  ,A                      ,                              ,F                   ,                        ,C                      ,                             ,                     ,                                          ,                          ,R                                ,R                ,                                    ,F                            ,                                     ,                  ,                   ,                                        ,R                         ,F                        ,F                      ,                                        ,                   ,R                            ,                       ,                                  ,                           ,C                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,R                         ,                         ,R                                    ,R                         ,                            ,F                    ,C                        ,F                        ,R                     ,                           ,                    ,F                  ,                              ,F                    ,C                    ,R                   ,R                    ,                    ,                     ,                    ,F                       ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL4               ,              ,157, 953,C,  4,R, 1, 131.00,    207.4100,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,F                                ,                  ,C                      ,                              ,R                   ,                        ,F                      ,                             ,                     ,                                          ,R                         ,F                                ,F                ,                                    ,C                            ,                                     ,                  ,                   ,                                        ,R                         ,C                        ,F                      ,                                        ,                   ,F                            ,                       ,                                  ,R                          ,F                                     ,                               ,                       ,                   ,                       ,R                                 ,                                        ,F                      ,                          ,                         ,F                                    ,R                         ,                            ,F                    ,F                        ,F                        ,R                     ,                           ,R                   ,F                  ,R                             ,C                    ,F                    ,F                   ,                     ,                    ,                     ,R                   ,                        ,                       ,R                            ,                             ,R                                      ,                      ,                               ,                 ,R                        ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL4               ,              ,157, 953,C,  4,R, 2,  34.00,    207.9400,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,F                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,F                      ,                              ,                    ,                        ,F                      ,                             ,                     ,                                          ,F                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,C                         ,                         ,F                      ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,C                        ,                                     ,C                         ,                            ,F                    ,A                        ,F                        ,                      ,C                          ,                    ,R                  ,                              ,                     ,C                    ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  5,R, 1,  48.00,    216.2800,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,R                        ,                            ,                                 ,                  ,C                      ,R                             ,F                   ,                        ,F                      ,                             ,                     ,                                          ,R                         ,F                                ,R                ,                                    ,F                            ,                                     ,                  ,                   ,                                        ,R                         ,F                        ,F                      ,                                        ,                   ,                             ,                       ,                                  ,R                          ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,                          ,                         ,F                                    ,F                         ,                            ,F                    ,C                        ,F                        ,                      ,                           ,                    ,F                  ,R                             ,F                    ,F                    ,R                   ,                     ,                    ,                     ,R                   ,F                       ,                       ,                             ,                             ,R                                      ,R                     ,R                              ,R                ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  5,R, 2,  64.00,    217.9400,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,R                ,                      ,                                          ,                   ,                       ,F                       ,                       ,R                        ,                            ,R                                ,                  ,C                      ,R                             ,F                   ,                        ,F                      ,                             ,                     ,                                          ,R                         ,F                                ,F                ,                                    ,F                            ,                                     ,                  ,                   ,R                                       ,R                         ,                         ,F                      ,                                        ,                   ,R                            ,                       ,                                  ,R                          ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,R                         ,                         ,F                                    ,F                         ,                            ,F                    ,C                        ,F                        ,                      ,                           ,R                   ,R                  ,R                             ,C                    ,F                    ,R                   ,F                    ,                    ,                     ,F                   ,F                       ,R                      ,F                            ,R                            ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  5,R, 2, 148.00,    218.7800,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,F                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,A                      ,R                             ,R                   ,                        ,F                      ,                             ,                     ,                                          ,R                         ,F                                ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,R                         ,F                        ,F                      ,                                        ,                   ,R                            ,                       ,                                  ,                           ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,                          ,F                        ,C                                    ,C                         ,                            ,F                    ,R                        ,R                        ,R                     ,C                          ,F                   ,R                  ,F                             ,F                    ,C                    ,                    ,R                    ,                    ,F                    ,R                   ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  6,R, 1,  50.00,    226.0000,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,R                ,                      ,                                          ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,C                      ,C                             ,R                   ,                        ,                       ,                             ,                     ,                                          ,                          ,C                                ,C                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,C                                    ,                          ,                            ,F                    ,                         ,                         ,                      ,                           ,F                   ,F                  ,R                             ,F                    ,F                    ,                    ,R                    ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  6,R, 1,  86.00,    226.3600,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,R                ,                      ,                                          ,                   ,                       ,F                       ,                       ,R                        ,                            ,F                                ,                  ,A                      ,R                             ,F                   ,                        ,F                      ,                             ,                     ,                                          ,                          ,F                                ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,                         ,F                      ,                                        ,                   ,                             ,                       ,                                  ,R                          ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,F                         ,F                        ,F                                    ,C                         ,                            ,F                    ,                         ,F                        ,C                     ,                           ,F                   ,R                  ,F                             ,C                    ,R                    ,                    ,                     ,R                   ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  7,R, 1,   6.00,    235.0600,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,C                      ,R                             ,F                   ,                        ,R                      ,                             ,                     ,                                          ,                          ,F                                ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,                          ,C                        ,F                      ,                                        ,                   ,F                            ,                       ,                                  ,                           ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,F                         ,                         ,C                                    ,F                         ,                            ,F                    ,F                        ,F                        ,                      ,                           ,F                   ,R                  ,                              ,F                    ,R                    ,                    ,R                    ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL3               ,              ,157, 953,C,  7,R, 1, 125.00,    236.2500,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,F                ,                      ,                                          ,                   ,                       ,                        ,                       ,                         ,                            ,F                                ,                  ,C                      ,F                             ,R                   ,                        ,F                      ,                             ,                     ,                                          ,                          ,F                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,                         ,R                      ,                                        ,                   ,F                            ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,C                                       ,                       ,                          ,C                        ,F                                    ,                          ,                            ,F                    ,F                        ,F                        ,                      ,                           ,F                   ,F                  ,                              ,                     ,F                    ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL2               ,              ,157, 953,C,  8,R, 1,  51.00,    245.1100,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,R                                ,                  ,C                      ,F                             ,R                   ,                        ,F                      ,                             ,                     ,                                          ,R                         ,C                                ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,R                         ,C                        ,C                      ,                                        ,                   ,R                            ,                       ,                                  ,R                          ,C                                     ,                               ,R                      ,                   ,                       ,                                  ,                                        ,F                      ,                          ,                         ,R                                    ,                          ,                            ,R                    ,F                        ,F                        ,                      ,                           ,R                   ,R                  ,                              ,C                    ,C                    ,R                   ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL2               ,              ,157, 953,C,  8,R, 2,  86.00,    246.9600,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,                      ,                                          ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,                     ,                                          ,F                         ,C                                ,                 ,                                    ,                             ,                                     ,                  ,                   ,                                        ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,F                         ,                         ,                                     ,C                         ,                            ,F                    ,C                        ,C                        ,C                     ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,PL2               ,              ,157, 953,C,  8,R, 3,  95.00,    248.5500,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,R                ,                      ,                                          ,                   ,                       ,                        ,                       ,R                        ,                            ,                                 ,                  ,C                      ,F                             ,                    ,                        ,F                      ,                             ,                     ,                                          ,R                         ,C                                ,F                ,                                    ,                             ,                                     ,                  ,                   ,                                        ,C                         ,F                        ,                       ,                                        ,                   ,F                            ,R                      ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,F                                    ,F                         ,                            ,F                    ,C                        ,C                        ,                      ,                           ,R                   ,C                  ,R                             ,R                    ,C                    ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
