Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rotundracythere spp.,Propontocypris sp. 1,Pariceratina sp. 1,Hemiparacytheridae sp. 18,Cytherelloidea sp. 1,Cytherella sp. 2,Cytherella sp. 1,Aversovalva sp. 42,Aversovalva sp. 21,Aversovalva sp. 20,Aversovalva sp. 18,Profundobythere volans,Pennyella sp. 1,Krithe sp. 5,Eucythere spp.,Cytherella sp. 7,Bythocypris sp. 1,Saida sp. 2,Poseidonamicus sp.,Pennyella dorsoserrata,Krithe sp. 4,Eucytherura sp. 9,Cytheropteron sp. 24,Argilloecia spp.,Semicytherura sp. 1,Rimacytheropteron sp. 24,Eucytherura sp. 35,Cytheropteron sp. 6,Cytheropteron sp. 2,Cytheropteron sp. 13,Australoecia micra,Argilloecia sp. 1,Semicytherura cf. S. pulchra,Argilloecia sp. 7d,Cardobairdia sp.,Hemiparacytheridae cf. H. sp. 4,Cytherella sp. 6,Eucytherura sp. 3,Bythoceratina sp. 1,Aversovalva sp. 22,Pseudocythere sp. 1,Pedicythere sp. 22,Monoceratina sp. 2,Cytheropteron alatum,Krithe sp. 2,Aversovalva sp. 23,Cytheropteron sp. 43,Argilloecia sp. 7b,Argilloecia sp. 2,Hemiparacytheridae sp. 4,Hemiparacytheridae sp. 20,Bythocythere sp. 1,Eucytherura sp. 8,Cytheropteron sp. 3,Cytherella sp. 10,Bairdoppilata sp. 1,Hemiparacytheridae sp. 14,Cytherella sp. 8,Hemiparacytheridae sp. 2,Chejudocytheridea sp. 1,Aversovalva sp. 7,Poseidonamicus anteropunctatus,Paranesidea sp. 1,Krithe sp. 3,Krithe sp. 1,Henryhowella sp. 27,Hemiparacytheridae cf. H. sp. 2,Eucytherura sp. 1,Cytheropteron sp. 4,Parahemingwayella sp. 13a,Cytheropteron sp. 1,Paradoxostoma sp. 1,Palmoconcha sp. 2,Monoceratina sp. 1,Eucytherura sp. 7,Eucytherura sp. 5,Cytheropteron cf. C. sp. 24,Argilloecia sp. 7a,Ambocythere sp. 1,Saida sp. 1,Eucytherura sp. 36,Cytheropteron sp. 17,Semicytherura sp. 3,Palmoconcha sp. 1,Eucytherura cf. E. calabra,Bradleya sp. 3,Aratrocypris vaccamaris,Eucytherura sp. 37,Eucytherura sp. 34,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,143, 865,B,  3,H, 5, 100.00,     25.0000,Boomer   ,Ostracodes                                   ,               ,                  ,3                   ,-                   ,2                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,9             ,                ,                 ,           ,                  ,16                    ,            ,                 ,-                   ,                ,                   ,3                       ,                  ,-                  ,2                  ,                    ,2                 ,-                ,1                           ,3                 ,-               ,                               ,-               ,-                ,                   ,                  ,-                  ,-                 ,                  ,2                   ,-           ,                  ,                    ,                  ,2                ,6                       ,                         ,                  ,                 ,-                  ,-                ,3                  ,1                        ,64              ,-                       ,-                      ,-                ,6                             ,                 ,5           ,188         ,4                  ,1                              ,3                ,-                  ,1                        ,21                 ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,143, 865,B,  3,H,CC,   0.00,     27.5200,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,-                   ,4                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,13            ,                ,                 ,           ,                  ,22                    ,            ,                 ,-                   ,                ,                   ,-                       ,                  ,-                  ,14                 ,                    ,-                 ,2                ,1                           ,-                 ,2               ,                               ,-               ,-                ,                   ,                  ,-                  ,2                 ,                  ,1                   ,1           ,                  ,                    ,                  ,1                ,5                       ,                         ,                  ,                 ,1                  ,-                ,4                  ,1                        ,92              ,-                       ,-                      ,-                ,15                            ,1                ,6           ,145         ,2                  ,2                              ,3                ,1                  ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  4,H, 5, 100.00,     34.5000,Boomer   ,Ostracodes                                   ,               ,                  ,5                   ,-                   ,4                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,5             ,                ,                 ,           ,                  ,7                     ,            ,                 ,-                   ,                ,                   ,1                       ,                  ,-                  ,?                  ,                    ,1                 ,1                ,1                           ,-                 ,-               ,                               ,6               ,-                ,                   ,                  ,-                  ,-                 ,                  ,3                   ,12          ,                  ,                    ,                  ,-                ,-                       ,                         ,                  ,                 ,4                  ,-                ,2                  ,-                        ,-               ,1                       ,-                      ,2                ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  4,H,CC,   0.00,     35.2600,Boomer   ,Ostracodes                                   ,               ,                  ,1                   ,-                   ,-                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,-             ,                ,                 ,           ,                  ,14                    ,            ,                 ,2                   ,                ,                   ,3                       ,                  ,-                  ,-                  ,                    ,4                 ,19               ,-                           ,-                 ,-               ,                               ,7               ,-                ,                   ,                  ,-                  ,-                 ,                  ,-                   ,29          ,                  ,                    ,                  ,-                ,-                       ,                         ,                  ,1                ,-                  ,1                ,7                  ,-                        ,2               ,1                       ,1                      ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  5,H, 5,  78.00,     43.7800,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,-                   ,3                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,1                ,           ,                  ,7                     ,            ,                 ,4                   ,                ,                   ,-                       ,                  ,-                  ,-                  ,                    ,-                 ,6                ,-                           ,-                 ,-               ,                               ,6               ,-                ,                   ,                  ,-                  ,-                 ,                  ,2                   ,30          ,                  ,                    ,                  ,6                ,-                       ,                         ,                  ,-                ,1                  ,-                ,8                  ,-                        ,3               ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  5,H,CC,   0.00,     44.5800,Boomer   ,Ostracodes                                   ,               ,                  ,12                  ,-                   ,3                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,1                ,           ,                  ,15                    ,            ,                 ,10                  ,                ,                   ,-                       ,                  ,-                  ,-                  ,                    ,4                 ,28               ,4                           ,-                 ,-               ,                               ,3               ,-                ,                   ,                  ,-                  ,-                 ,                  ,11                  ,53          ,                  ,                    ,                  ,6                ,2                       ,                         ,                  ,11               ,-                  ,-                ,5                  ,1                        ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  6,H, 5, 100.00,     53.5000,Boomer   ,Ostracodes                                   ,               ,                  ,2                   ,-                   ,11                ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,3             ,                ,-                ,           ,                  ,7                     ,            ,                 ,5                   ,                ,                   ,-                       ,                  ,-                  ,?                  ,?                   ,-                 ,10               ,-                           ,2                 ,-               ,                               ,9               ,-                ,                   ,                  ,-                  ,-                 ,                  ,2                   ,-           ,                  ,                    ,                  ,2                ,1                       ,                         ,                  ,-                ,1                  ,1                ,6                  ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  6,H,CC,   0.00,     55.1900,Boomer   ,Ostracodes                                   ,               ,                  ,2                   ,-                   ,15                ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,-             ,                ,1                ,           ,                  ,6                     ,            ,                 ,3                   ,                ,                   ,-                       ,                  ,-                  ,-                  ,                    ,1                 ,16               ,-                           ,-                 ,-               ,                               ,20              ,-                ,                   ,                  ,-                  ,-                 ,                  ,1                   ,-           ,                  ,                    ,                  ,19               ,-                       ,                         ,                  ,1                ,1                  ,1                ,1                  ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  7,H, 5,  85.00,     62.8500,Boomer   ,Ostracodes                                   ,               ,                  ,2                   ,-                   ,10                ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,-             ,                ,2                ,           ,                  ,9                     ,            ,                 ,3                   ,1               ,                   ,-                       ,                  ,-                  ,-                  ,                    ,2                 ,8                ,-                           ,-                 ,-               ,                               ,13              ,-                ,                   ,                  ,-                  ,-                 ,                  ,-                   ,6           ,                  ,                    ,                  ,1                ,3                       ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,143, 865,B,  7,H,CC,   0.00,     63.8400,Boomer   ,Ostracodes                                   ,               ,                  ,1                   ,1                   ,8                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,-             ,                ,1                ,           ,                  ,5                     ,            ,                 ,4                   ,6               ,                   ,-                       ,                  ,-                  ,-                  ,                    ,-                 ,6                ,-                           ,-                 ,-               ,                               ,10              ,-                ,                   ,                  ,-                  ,-                 ,                  ,-                   ,16          ,                  ,                    ,                  ,2                ,2                       ,1                        ,2                 ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,143, 865,B,  8,H, 5, 100.00,     72.5000,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,6                   ,18                ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,9                ,           ,                  ,-                     ,            ,                 ,3                   ,                ,                   ,2                       ,                  ,-                  ,9                  ,                    ,2                 ,12               ,-                           ,-                 ,-               ,                               ,18              ,-                ,                   ,                  ,-                  ,5                 ,1                 ,1                   ,9           ,                  ,1                   ,?                 ,5                ,                        ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,143, 865,B,  8,H,CC,   0.00,     74.1600,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,2                   ,18                ,21                       ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,-                ,           ,                  ,4                     ,            ,                 ,-                   ,                ,                   ,-                       ,                  ,-                  ,10                 ,                    ,                  ,1                ,2                           ,-                 ,-               ,                               ,27              ,1                ,                   ,                  ,3                  ,7                 ,?                 ,-                   ,?           ,2                 ,                    ,                  ,                 ,                        ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,143, 865,B,  9,H, 5, 100.00,     82.0000,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,1                   ,27                ,2                        ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,1                ,           ,                  ,11                    ,            ,                 ,-                   ,                ,                   ,-                       ,                  ,-                  ,6                  ,                    ,                  ,-                ,-                           ,-                 ,-               ,4                              ,17              ,-                ,                   ,                  ,7                  ,3                 ,?                 ,1                   ,            ,                  ,                    ,                  ,                 ,                        ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,143, 865,B,  9,H,CC,   0.00,     83.6400,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,2                   ,28                ,-                        ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,2             ,                ,-                ,           ,                  ,6                     ,            ,                 ,1                   ,                ,                   ,-                       ,                  ,-                  ,7                  ,                    ,                  ,?                ,-                           ,-                 ,1               ,-                              ,15              ,1                ,1                  ,3                 ,                   ,                  ,                  ,                    ,            ,                  ,                    ,                  ,                 ,                        ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,143, 865,B, 10,H, 5, 100.00,     91.5000,Boomer   ,Ostracodes                                   ,               ,                  ,-                   ,                    ,3                 ,-                        ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,-             ,                ,-                ,           ,                  ,-                     ,            ,                 ,-                   ,                ,                   ,-                       ,                  ,-                  ,-                  ,                    ,                  ,                 ,-                           ,-                 ,1               ,1                              ,3               ,                 ,                   ,                  ,                   ,                  ,                  ,                    ,            ,                  ,                    ,                  ,                 ,                        ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,                ,                        ,                       ,                 ,                              ,                 ,            ,            ,                   ,                               ,                 ,                   ,                         ,                   ,                   ,                 ,                  ,                 ,                 ,                           ,                  ,                 ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
