Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Hastigerinopsis riedeli,Globorotalia puncticulata,Globorotalia obesa,Globigerina falconensis,Globigerina bulloides,Neogloboquadrina dutertrei,Globorotalia scitula,Globorotalia pumilio,Globorotalia inflata,Globorotalia crassaformis crassaformis,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinita iota,Globigerinita glutinata,Globigerina quinqueloba,Globorotalia bermudezi,Globigerina decoraperta,Globigerinita uvula,Globigerinoides tenellus,Globigerinita parkerae,Pulleniatina obliquiloculata,Globorotaloides hexagona,Globigerinella aequilateralis,Globigerina megastoma,Orbulina universa,Globorotalia cultrata menardii,Globigerina calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 21,X,CC,  11.00,    192.4100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,F                      ,                         ,C                 ,                       ,C                    ,                          ,T                   ,C                   ,                    ,                                      ,                          ,                     ,C                 ,C                      ,C                      ,T                     ,                       ,                   ,T                       ,F                     ,                            ,                        ,                             ,                     ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 22,X,CC,  15.00,    208.1300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,C                        ,                       ,                         ,A                 ,C                      ,C                    ,                          ,                    ,C                   ,                    ,                                      ,                          ,                     ,                  ,C                      ,                       ,                      ,                       ,T                  ,                        ,                      ,                            ,                        ,                             ,                     ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 23,X,CC,  18.00,    213.8000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                          ,T                        ,                       ,                         ,T                 ,                       ,T                    ,                          ,T                   ,T                   ,                    ,                                      ,                          ,                     ,T                 ,T                      ,                       ,T                     ,T                      ,                   ,                        ,                      ,                            ,                        ,                             ,                     ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 24,X,CC,  13.00,    222.3800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                         ,                       ,                         ,T                 ,                       ,                     ,                          ,                    ,                    ,                    ,                                      ,                          ,                     ,                  ,                       ,                       ,                      ,                       ,                   ,                        ,                      ,                            ,                        ,                             ,                     ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 28,X,CC,  22.00,    265.0700,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                       ,                         ,C                 ,F                      ,C                    ,C                         ,R                   ,R                   ,R                   ,R                                     ,T                         ,R                    ,R                 ,R                      ,R                      ,                      ,                       ,                   ,                        ,                      ,                            ,                        ,                             ,                     ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 29,X, 3, 113.00,    269.1300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,T                        ,T                      ,T                        ,T                 ,T                      ,T                    ,                          ,                    ,                    ,                    ,                                      ,                          ,                     ,                  ,                       ,                       ,                      ,                       ,                   ,                        ,                      ,                            ,                        ,                             ,                     ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
