Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis sp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Bulimina alazanensis,Bulimina aculeata,Brizalina subaenariensis,Bolivinita quadrilatera,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  5,H,CC,  26.00,     42.4400,Poli     ,Benthic Foraminifers                         ,F              ,                  ,R                     ,-                  ,-                  ,R                  ,-                 ,-         ,-                 ,-                    ,F                     ,R                   ,-             ,-          ,-                   ,-                 ,-          ,-                  ,T                 ,F                          ,F                    ,F                       ,-                      ,-                   ,-             ,-               ,R                       ,-                   ,-                 ,R                   ,R                 ,T                   ,R                   ,-                ,T                       ,-                      ,F                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  6,H,CC,  28.00,     52.0100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                     ,-                  ,T                  ,T                  ,-                 ,-         ,R                 ,R                    ,F                     ,-                   ,-             ,-          ,-                   ,-                 ,F          ,F                  ,F                 ,-                          ,T                    ,-                       ,R                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,F                   ,-                 ,R                   ,F                   ,-                ,F                       ,-                      ,-                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  7,H,CC,  40.00,     61.5000,Poli     ,Benthic Foraminifers                         ,C              ,M                 ,-                     ,-                  ,R                  ,-                  ,-                 ,F         ,-                 ,C                    ,-                     ,-                   ,-             ,-          ,T                   ,R                 ,-          ,F                  ,F                 ,-                          ,T                    ,-                       ,C                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,R                   ,F                 ,R                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  8,H,CC,  40.00,     70.9500,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,-                     ,-                  ,+                  ,-                  ,-                 ,-         ,-                 ,+                    ,-                     ,-                   ,-             ,-          ,+                   ,-                 ,-          ,+                  ,-                 ,-                          ,-                    ,+                       ,+                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,+                   ,+                 ,+                   ,-                   ,-                ,-                       ,-                      ,+                      ,+             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  9,H,CC,  25.00,     80.3200,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-         ,-                 ,+                    ,-                     ,+                   ,+             ,-          ,-                   ,-                 ,-          ,+                  ,+                 ,-                          ,-                    ,-                       ,+                      ,+                   ,-             ,-               ,-                       ,-                   ,+                 ,+                   ,+                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,+             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 10,H,CC,  28.00,     90.1600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                     ,-                  ,-                  ,T                  ,-                 ,R         ,-                 ,-                    ,R                     ,F                   ,-             ,-          ,T                   ,F                 ,T          ,R                  ,F                 ,-                          ,T                    ,-                       ,T                      ,-                   ,-             ,R               ,-                       ,-                   ,R                 ,-                   ,-                 ,F                   ,-                   ,-                ,-                       ,-                      ,T                      ,F             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 11,H,CC,  24.00,    100.0500,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                     ,-                  ,R                  ,-                  ,R                 ,T         ,-                 ,F                    ,-                     ,-                   ,-             ,-          ,-                   ,-                 ,-          ,-                  ,-                 ,-                          ,A                    ,-                       ,-                      ,-                   ,-             ,T               ,-                       ,-                   ,-                 ,-                   ,T                 ,R                   ,-                   ,-                ,T                       ,R                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 12,H,CC,  37.00,    109.2200,Poli     ,Benthic Foraminifers                         ,F              ,P                 ,-                     ,T                  ,A                  ,T                  ,T                 ,T         ,-                 ,-                    ,-                     ,-                   ,T             ,-          ,-                   ,F                 ,-          ,R                  ,T                 ,-                          ,F                    ,-                       ,F                      ,-                   ,-             ,-               ,T                       ,-                   ,-                 ,-                   ,T                 ,R                   ,-                   ,-                ,F                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 13,H,CC,  29.00,    118.8000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,-                  ,-                  ,-                 ,R         ,-                 ,T                    ,-                     ,-                   ,R             ,C          ,-                   ,A                 ,-          ,R                  ,R                 ,-                          ,C                    ,-                       ,-                      ,-                   ,T             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,T                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 14,H,CC,  36.00,    127.8500,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,A                  ,-                  ,F                 ,C         ,-                 ,-                    ,-                     ,-                   ,F             ,-          ,-                   ,-                 ,-          ,T                  ,-                 ,-                          ,F                    ,-                       ,-                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,T                   ,-                   ,-                ,T                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 15,H,CC,  39.00,    137.9000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,A                  ,-                  ,-                 ,-         ,-                 ,-                    ,-                     ,-                   ,R             ,-          ,-                   ,F                 ,-          ,-                  ,-                 ,-                          ,R                    ,-                       ,T                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,T                   ,-                 ,C                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 16,H,CC,  41.00,    147.4200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,-                  ,-                  ,-                 ,F         ,F                 ,-                    ,-                     ,-                   ,C             ,-          ,-                   ,-                 ,-          ,F                  ,-                 ,-                          ,C                    ,-                       ,-                      ,-                   ,-             ,R               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B, 17,H,CC,  41.00,    158.0200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,A                  ,T                  ,F                 ,-         ,-                 ,-                    ,-                     ,-                   ,C             ,-          ,F                   ,-                 ,-          ,-                  ,-                 ,-                          ,F                    ,-                       ,T                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,T             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
