Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Truncorotalia crassaformis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma,Menardella menardii (sinistral),Menardella menardii (dextral),Globorotalia tumida flexuosa,Globorotalia tumida,Globoconella inflata,Menardella limbata,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerina bulloides,Hirsutella hirsuta,Globoturborotalita rubescens,Globigerinoides extremus,Truncorotalia crassaformis hessi,Globigerina bermudezi,Hastigerina pelagica,Menardella exilis,Globigerinella calida,Globigerina cariacoensis,Globigerina falconensis,Comment, 
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  2,H, 6,  70.00,     11.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,                          ,                         ,+                           ,                           ,+                              ,-                            ,+                           ,+                  ,+                   ,                  ,                          ,                        ,                     ,+                 ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,LO flexuosa,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  2,H,CC,  15.00,     13.1000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,R                                    ,F                                    ,R                         ,                         ,F                           ,                           ,R                              ,-                            ,F                           ,F                  ,R                   ,                  ,                          ,                        ,R                    ,                  ,-                           ,                        ,+                               ,R                    ,-                   ,                 ,R                    ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  3,H,CC,  16.00,     23.0200,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,R                                    ,                          ,                         ,R                           ,                           ,R                              ,-                            ,R                           ,R                  ,-                   ,                  ,                          ,                        ,R                    ,R                 ,R                           ,                        ,                                ,-                    ,                    ,                 ,                     ,                        ,                       ,<0.401 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  4,H, 1,  70.00,     23.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,+                                    ,+                         ,                         ,+                           ,                           ,+                              ,-                            ,-                           ,                   ,+                   ,                  ,                          ,                        ,                     ,+                 ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  4,H, 2,  70.00,     24.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,R                                    ,-                         ,                         ,R                           ,-                          ,-                              ,-                            ,                            ,-                  ,F                   ,                  ,                          ,                        ,-                    ,F                 ,R                           ,                        ,                                ,-                    ,                    ,                 ,                     ,                        ,                       ,no flexuosa>0.401 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  4,H, 3,  70.00,     26.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,R                                    ,F                                    ,-                         ,                         ,-                           ,R                          ,-                              ,-                            ,                            ,-                  ,F                   ,                  ,                          ,                        ,R                    ,F                 ,-                           ,                        ,                                ,-                    ,                    ,                 ,-                    ,                        ,                       ,no flexuosa> 0.401 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  4,H, 5,  70.00,     29.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,                         ,+                           ,                           ,+                              ,-                            ,                            ,                   ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,no flexuosa found 1 reworked obliquus found,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  4,H,CC,  15.00,     32.5600,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,F                                    ,R                         ,-                        ,-                           ,                           ,-                              ,R                            ,-                           ,-                  ,F                   ,                  ,                          ,                        ,-                    ,-                 ,-                           ,                        ,R                               ,-                    ,-                   ,                 ,                     ,                        ,R                      ,no flexuosa>0.401 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  5,H, 5,  70.00,     37.5000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,                         ,                            ,                           ,+                              ,-                            ,+                           ,+                  ,+                   ,                  ,                          ,                        ,+                    ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,flexuosa present,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  5,H, 6,  68.00,     38.9800,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,                          ,+                        ,                            ,+                          ,+                              ,-                            ,+                           ,+                  ,                    ,                  ,                          ,                        ,                     ,+                 ,+                           ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,flexuosa present,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  5,H, 7,  78.00,     40.5800,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,+                              ,-                            ,+                           ,+                  ,                    ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,+                               ,                     ,                    ,                 ,+                    ,                        ,                       ,delicate menardii flexuosa present,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  5,H, 8,  70.00,     42.0000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,+                              ,-                            ,-                           ,-                  ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,no flexuosa transparent menardii>0.401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  5,H,CC,  26.00,     42.4400,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,+                              ,-                            ,-                           ,-                  ,+                   ,                  ,-                         ,-                       ,+                    ,                  ,+                           ,-                       ,                                ,                     ,                    ,-                ,+                    ,+                       ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  6,H,CC,  28.00,     52.0100,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,-                              ,-                            ,-                           ,-                  ,+                   ,-                 ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  7,H, 4,  70.00,     56.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,                               ,                             ,-                           ,                   ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,+                               ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  7,H, 5,  70.00,     57.8000,Chaisson ,Planktonic Foraminifers                      ,F              ,M                 ,-                                    ,F                                    ,R                         ,-                        ,R                           ,R                          ,-                              ,-                            ,R                           ,R                  ,-                   ,                  ,                          ,                        ,                     ,                  ,-                           ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,top of brief flexuosa event,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  7,H, 6,  70.00,     59.4000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,-                                    ,F                                    ,R                         ,-                        ,-                           ,R                          ,-                              ,-                            ,R                           ,F                  ,F                   ,                  ,                          ,                        ,R                    ,                  ,R                           ,                        ,                                ,                     ,-                   ,                 ,                     ,                        ,                       ,bottom of flexuosa event true FO of the form,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  7,H,CC,  40.00,     61.5000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,                               ,                             ,-                           ,                   ,                    ,                  ,-                         ,-                       ,                     ,                  ,                            ,-                       ,+                               ,+                    ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  8,H, 2,  70.00,     62.8000,Chaisson ,Planktonic Foraminifers                      ,F              ,G                 ,-                                    ,+                                    ,+                         ,                         ,                            ,+                          ,+                              ,                             ,-                           ,+                  ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,a lot of pyrite filled burrows,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  8,H, 4,  70.00,     65.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,                          ,                         ,                            ,+                          ,+                              ,                             ,                            ,                   ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  8,H, 6,  70.00,     68.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,                               ,+                            ,                            ,                   ,+                   ,-                 ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  8,H,CC,  40.00,     70.9500,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,                         ,                            ,                           ,-                              ,-                            ,-                           ,+                  ,+                   ,-                 ,-                         ,                        ,+                    ,                  ,+                           ,                        ,+                               ,                     ,                    ,                 ,                     ,                        ,                       ,much aragonite crap<0.75 hessi present,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  9,H, 2,  70.00,     72.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,                            ,                           ,+                              ,-                            ,-                           ,+                  ,                    ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,+                               ,                     ,                    ,                 ,                     ,                        ,                       ,FO hessi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  9,H, 3,  70.00,     73.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,+                              ,-                            ,-                           ,                   ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,a lot of pyritised forams no hessi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  9,H, 4,  70.00,     75.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,+                              ,-                            ,-                           ,                   ,+                   ,                  ,                          ,                        ,+                    ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,all truncatulinoides are dextral coiling no hessi >0.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  9,H, 6,  70.00,     78.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,                            ,+                          ,+                              ,-                            ,                            ,                   ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,no hessi >0.75 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  9,H,CC,  25.00,     80.3200,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,                          ,                         ,                            ,+                          ,+                              ,-                            ,-                           ,+                  ,+                   ,                  ,                          ,                        ,+                    ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,"no crassaformis or hessi aragonite trash, mostly pteropodes",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 10,H,CC,  28.00,     90.1600,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,+                         ,-                        ,+                           ,                           ,+                              ,-                            ,-                           ,+                  ,+                   ,                  ,-                         ,                        ,+                    ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 11,H,CC,  24.00,    100.0500,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,-                                    ,+                                    ,+                         ,                         ,+                           ,                           ,+                              ,-                            ,-                           ,-                  ,+                   ,                  ,-                         ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,"bio-debris, micas... no hessi >0.75",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 12,H,CC,  37.00,    109.2200,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,-                              ,+                            ,-                           ,+                  ,+                   ,                  ,-                         ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,glauconite,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 13,H,CC,  29.00,    118.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,+                              ,-                            ,-                           ,+                  ,+                   ,                  ,-                         ,-                       ,                     ,+                 ,+                           ,-                       ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 14,H,CC,  36.00,    127.8500,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,                           ,-                              ,-                            ,-                           ,                   ,+                   ,-                 ,-                         ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,no menardiids.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 15,H, 2,  69.00,    128.4700,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,                               ,                             ,                            ,                   ,+                   ,                  ,                          ,                        ,+                    ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 15,H, 3,  69.00,    129.9700,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,-                                    ,+                         ,                         ,+                           ,+                          ,                               ,                             ,                            ,                   ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,a lot of small forams (around 150 or 160 microns) a lot of pyritised forams,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 15,H, 4,  69.00,    131.4700,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,                               ,                             ,                            ,                   ,+                   ,                  ,                          ,+                       ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,"micas, quartz, small forams",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 15,H,CC,  39.00,    137.9000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,+                              ,-                            ,-                           ,                   ,+                   ,                  ,-                         ,+                       ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 16,H,CC,  41.00,    147.4200,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                          ,-                              ,-                            ,-                           ,                   ,                    ,-                 ,-                         ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,no menardiids,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B, 17,H,CC,  41.00,    158.0200,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,-                                    ,+                         ,+                        ,+                           ,+                          ,+                              ,-                            ,-                           ,+                  ,+                   ,                  ,                          ,                        ,                     ,                  ,                            ,                        ,                                ,                     ,                    ,                 ,                     ,                        ,                       ,no truncatu left and right ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
