Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Eponides weddellensis	Bolivina spp.	Nuttallides umbonifera	Rhizammina algaeformis	Textularia taxa	Pyrgo spp.	Pullenia spp.	Pullenia bulloides	Planulina wuellerstorfi	Oridorsalis umbonatus	Melonis pompilioides	Melonis nicobarense	Lenticulina spp.	Lagena taxa	Gyroidinoides spp.	Gyroidinoides  laevigatus ex. gr.	Globocassidulina subglobosa	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Stetsonia horvathi	Robertinoides charlottensis	Pyrgo williamsoni	Pullenia subcarinata	Gyroidina soldanii	Cassidulina subglobosa	Tosaia hanzawai	Spiroplectammina biformis	Reophax scotti	Quinqueloculina seminulum	Fursenkoina fusiformis	Fissurina spp.	Chilostomella oolina	Anomalinoides spp.	Reophax guttifer	Comment
  SR	                 	                 	                  	              	116	 717	B	  2	H	 3	   3.00	      7.0300	Scott    	Benthic Foraminifers                         	               	                  	                     	             	12                    	62                    	               	          	             	12                	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	12                	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	No of species 4 No of individuals per 10 cubic cm - 8 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  2	H	 3	  10.00	      7.1000	Iaccarino	Benthic Foraminifers                         	               	                  	                     	             	142                   	                      	3              	2         	15           	21                	26                     	15                   	16                  	6                  	3               	15         	3                 	11                               	3                          	2                 	69                  	11              	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	B	  2	H	 4	   3.00	      8.5300	Scott    	Benthic Foraminifers                         	               	                  	                     	             	                      	100                   	               	          	             	                  	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	No of species 1 No of individuals per 10 cubic cm - 2 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  2	H	 5	   3.00	     10.0300	Scott    	Benthic Foraminifers                         	               	                  	                     	             	100                   	                      	               	          	             	                  	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  2	H	 6	   3.00	     11.5300	Scott    	Benthic Foraminifers                         	               	                  	                     	r100         	                      	                      	               	          	             	                  	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	No of species 1 No of individuals per 10 cubic cm - 2 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	B	  2	H	 7	   3.00	     13.0300	Scott    	Benthic Foraminifers                         	               	                  	33                   	r66          	                      	                      	               	          	             	                  	                       	                     	                    	                   	                	           	                  	                                 	                           	                  	                    	                	                  	                           	                 	                    	                  	                      	               	                         	              	                         	                      	              	                    	                  	                	No of species 2 No of individuals per 10 cubic cm - 3 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

