Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stoverius coronatus	Stoverius biarcus	Reinhardtites anthophorus	Prediscosphaera spinosa	Prediscosphaera intercisa	Prediscosphaera cretacea	Placozygus fibuliformis	Micula concava	Microrhabdulus decoratus	Manivitella pemmatoidea	Glaukolithus diplogrammus	Gephyrorhabdus coronadventis	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Corollithion exiguum	Chiastozygus amphipons	Aspidolithus parcus expansus	Arkhangelskiella specillata	Ahmuellerella octoradiata	Zygrhablithus bijugatus	Zeugrhabdotus sp. cf. Z. nanum	Zeugrhabdotus sp. cf. Z. acanthus	Zeugrhabdotus pseudanthophorus	Watznaueria barnesae	Vekshinella stradnerii	Tranolithus phacelosus	Stradneria crenulata	Sphenolithus spiniger	Sphenolithus radians	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus furcatolithoides	Rotelapillus crenulatus	Rhombolithion rhombicum	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Prediscosphaera honjoi	Micula decussata	Micula cubiformis	Marthasterites furcatus	Lithraphidites carniolensis	Lithastrinus grillii	Helicosphaera lophota	Glaukolithus bicrescenticus	Gartnerago obliquum	Ericsonia formosa	Eiffellithus eximius	Discoaster strictus	Discoaster saipanensis	Discoaster gemmifer	Discoaster deflandrei	Discoaster bifax	Discoaster barbadiensis	Dictyococcites scrippsae	Cyclicargolithus pseudogammation	Coronocyclus prionion	Corollithion signum	Coccolithus pelagicus	Coccolithus eopelagicus	Chiastozygus litterarius	Chiasmolithus titus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus expansus	Ceratolithoides verbeekii	Calculites sp.	Calcidiscus protoannulus	Aspidolithus parcus parcus	Ahmuellerella regularis	Umbellosphaera irregularis	Thoracosphaera spp.	Syracosphaera spp.	Scapholithus fossilis	Rhabdosphaera spp.	Reticulofenestra spp. (small - medium)	Reticulofenestra spp. (large)	Pseudoemiliania lacunosa E	Pseudoemiliania lacunosa C	Oolithotus antillarum	Helicosphaera sellii	Helicosphaera carteri	Gephyrocapsa spp. (small)	Gephyrocapsa spp. (large)	Gephyrocapsa sp. 3	Gephyrocapsa oceanica s.l.	Gephyrocapsa caribbeanica	Emiliania huxleyi	Discoaster brouweri	Cyclolithus annulus	Calcidiscus macintyrei	Calcidiscus leptoporus	Comment

  SR	                 	                 	                  	              	144	 872	A	  1	H	 2	  25.00	      1.7500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.6%3                      	.0%0               	.0%0              	.6%3                 	.4%2              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.4%2                 	.2%1                	.4%2                 	43.9%232                 	1.0%5                    	.6%3              	27.3%144                  	22.9%121                 	.0%0             	.0%0               	1.3%7              	.0%0                  	.6%3                  	Total count = 528; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 2	  85.00	      2.3500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.0%0                      	.0%0               	.9%5              	.4%2                 	.7%4              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	.9%5                	1.8%10               	33.4%182                 	.0%0                     	.9%5              	28.8%157                  	27.9%152                 	.0%0             	.0%0               	.9%5               	2.8%15                	.6%3                  	Total count = 545; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 2	 135.00	      2.8500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.8%4                      	.0%0               	.0%0              	.6%3                 	.2%1              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	2.7%14              	1.0%5                	47.0%247                 	.8%4                     	.8%4              	14.6%77                   	25.1%132                 	.0%0             	.0%0               	1.0%5              	4.6%24                	1.1%6                 	Total count = 526; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	Quaternary       	                 	                  	              	144	 872	A	  1	H	 3	  25.00	      3.2700	Erba     	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.8%4                      	.0%0               	1.0%5             	.6%3                 	.4%2              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.8%4                 	1.3%7               	.6%3                 	72.3%381                 	.0%0                     	1.0%5             	8.4%44                    	7.2%38                   	.0%0             	.6%3               	.8%4               	4.2%22                	1.0%5                 	Total count = 542; from Leg 144 SR; Ch 1; Table 4; p. 16-17

  SR	                 	                 	                  	              	144	 872	A	  1	H	 3	  85.00	      3.8700	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.0%0                      	.0%0               	.4%2              	.4%2                 	.4%2              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	3.5%18              	1.2%6                	67.6%348                 	.0%0                     	3.3%17            	3.5%18                    	14.0%72                  	.0%0             	.0%0               	.8%4               	4.1%21                	1.0%5                 	Total count = 515; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 3	 135.00	      4.3700	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.7%4                      	.0%0               	.0%0              	.7%4                 	.0%0              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	5.6%30              	1.9%10               	52.8%284                 	.0%0                     	3.9%21            	1.9%10                    	18.0%97                  	.0%0             	.0%0               	1.1%6              	11.3%61               	2.0%11                	Total count = 538; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 4	  25.00	      4.9200	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.2%1                      	.0%0               	.4%2              	.0%0                 	.2%1              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	7.3%38              	.0%0                 	32.9%171                 	.0%0                     	2.7%14            	5.2%27                    	31.4%163                 	.0%0             	2.5%13             	.2%1               	16.7%87               	.4%2                  	Total count = 520; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 4	  85.00	      5.5200	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	1.9%10                    	.0%0               	.4%2              	.0%0                 	.2%1              	.0%0                                  	.0%0                         	.0%0                      	1.5%8                     	.0%0                 	5.2%28              	.8%4                 	63.9%342                 	.0%0                     	.0%0              	.0%0                      	7.1%38                   	.0%0             	2.2%12             	2.2%12             	13.6%73               	.9%5                  	Total count = 535; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 4	 135.00	      6.0200	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	1.0%5                     	.0%0               	1.2%6             	.0%0                 	.2%1              	.0%0                                  	.0%0                         	.0%0                      	1.4%7                     	.0%0                 	3.5%18              	.2%1                 	69.3%357                 	.0%0                     	.0%0              	.2%1                      	11.1%57                  	.0%0             	.8%4               	1.9%10             	9.1%47                	.2%1                  	Total count = 515; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 5	  25.00	      6.4200	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.0%0                      	.2%1               	.0%0              	.8%4                 	.4%2              	.0%0                                  	.0%0                         	.0%0                      	1.0%5                     	.0%0                 	1.0%5               	.2%1                 	79.3%414                 	.4%2                     	.0%0              	.0%0                      	.6%3                     	.0%0             	.0%0               	1.3%7              	14.8%77               	.2%1                  	Total count = 522; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	 5	  85.00	      7.0200	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	1.0%5                     	.0%0               	.0%0              	.0%0                 	.4%2              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	1.4%7               	1.4%7                	80.6%406                 	7.3%37                   	.0%0              	.0%0                      	3.2%16                   	.0%0             	.0%0               	.4%2               	3.4%17                	1.0%5                 	Total count = 504; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  1	H	CC	  17.00	      7.6700	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.0%0                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.0%0                      	.2%1               	.8%4              	.0%0                 	.8%4              	.0%0                                  	.0%0                         	.0%0                      	.0%0                      	.0%0                 	1.0%5               	1.0%5                	80.2%418                 	7.7%40                   	.0%0              	.0%0                      	1.3%7                    	.0%0             	.0%0               	1.2%6              	3.8%20                	2.1%11                	Total count = 521; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  2	H	 1	  25.00	      7.7500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.2%1                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.2%1                      	.0%0               	.6%3              	.2%1                 	.0%0              	.0%0                                  	.6%3                         	.0%0                      	.0%0                      	.0%0                 	2.9%15              	1.6%8                	80.3%412                 	.0%0                     	.0%0              	.8%4                      	1.6%8                    	.0%0             	.0%0               	.4%2               	9.9%51                	.8%4                  	Total count = 513; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  2	H	 1	  85.00	      8.3500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.9%5                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.4%2                      	.0%0               	.9%5              	.4%2                 	.0%0              	.0%0                                  	2.4%13                       	.7%4                      	2.4%13                    	.0%0                 	5.9%32              	.7%4                 	67.0%365                 	.0%0                     	.0%0              	.6%3                      	.0%0                     	.0%0             	.0%0               	2.0%11             	13.0%71               	2.8%15                	Total count = 545; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	                  	              	144	 872	A	  2	H	 1	 135.00	      8.8500	Maillet  	Nannofossils                                 	               	                  	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	.9%5                 	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	.4%2                      	.0%0               	1.1%6             	.4%2                 	.0%0              	1.8%10                                	2.7%15                       	1.1%6                     	2.2%12                    	.0%0                 	5.6%31              	1.1%6                	64.3%357                 	.0%0                     	.0%0              	.0%0                      	.0%0                     	.0%0             	.0%0               	1.4%8              	14.1%78               	2.2%12                	Total count = 555; from Leg 144 SR; Ch 1; Table 4; p. 18-19

  SR	                 	                 	CP14a             	              	144	 872	A	 17	H	CC	   0.00	    144.2700	Watkins  	Nannofossils                                 	A              	M                 	                   	                 	                         	                       	                         	                        	                       	              	                        	                       	                         	                            	                           	                            	                    	                      	                            	                           	                         	F                      	                              	                                 	                              	                    	                      	                      	                    	C                    	F                   	F                         	A                      	R                            	                       	                       	C                        	F                                	                      	                	                 	                       	                           	                    	R                    	                           	                   	C                	                    	R                  	F                     	R                  	R                    	R               	C                      	F                       	C                               	R                    	                   	C                    	F                      	                        	R                  	R                    	R                    	R                     	                         	              	R                       	                          	                       	                          	                   	                  	                     	                  	                                      	                             	                          	                          	                     	                    	                     	                         	                         	                  	                          	                         	                 	                   	                   	                      	                      	from ODP Leg 144 SR;Ch 5; Table 3; p. 102-103

  SR	                 	                 	CC15              	CC17          	144	 872	A	 17	H	CC	   0.00	    144.2700	Watkins  	Nannofossils                                 	F              	P                 	R                  	R                	                         	R                      	R                        	R                       	R                      	R             	R                       	R                      	R                        	R                           	R                          	R                           	R                   	R                     	R                           	R                          	R                        	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	                     	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	                          	                   	                  	                     	                  	                                      	                             	                          	                          	                     	                    	                     	                         	                         	                  	                          	                         	                 	                   	                   	                      	                      	from ODP Leg 144; Ch 5; Table 1; p 100

  SR	                 	                 	N18C              	              	144	 872	A	 17	H	CC	   0.00	    144.2700	Watkins  	Nannofossils                                 	C              	M                 	R                  	                 	R                        	R                      	F                        	R                       	R                      	R             	                        	R                      	F                        	R                           	R                          	F                           	R                   	R                     	F                           	R                          	                         	                       	F                             	R                                	R                             	R                   	R                     	F                     	R                   	                     	                    	                          	                       	                             	R                      	R                      	                         	                                 	R                     	F               	F                	R                      	C                          	R                   	                     	R                          	R                  	                 	R                   	                   	                      	                   	                     	                	                       	                        	                                	                     	R                  	                     	                       	R                       	                   	                     	                     	                      	R                        	R             	                        	R                         	F                      	                          	                   	                  	                     	                  	                                      	                             	                          	                          	                     	                    	                     	                         	                         	                  	                          	                         	                 	                   	                   	                      	                      	from ODP Leg 144; Ch 5; Table 1; p 100

  SR	Santonian        	                 	CC15              	CC17          	144	 872	A	 17	H	CC	  10.00	    144.3700	Erba     	Nannofossils                                 	F              	P                 	R                  	R                	R                        	R                      	R                        	R                       	R                      	R             	R                       	R                      	R                        	R                           	R                          	R                           	R                   	R                     	R                           	R                          	R                        	                       	                              	                                 	                              	                    	                      	                      	                    	                     	                    	                          	                       	                             	                       	                       	                         	                                 	                      	                	                 	                       	                           	                    	                     	                           	                   	                 	                    	                   	                      	                   	                     	                	                       	                        	                                	                     	                   	                     	                       	                        	                   	                     	                     	                      	                         	              	                        	                          	                       	                          	                   	                  	                     	                  	                                      	                             	                          	                          	                     	                    	                     	                         	                         	                  	                          	                         	                 	                   	                   	                      	                      	from ODP Leg 144; Ch 8; Table 3; p 161

