Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica,Reticulofenestra sp. (<5 microns),Reticulofenestra sp. (5-7 microns),Pontosphaera segmenta,Helicosphaera sp.,Helicosphaera kamptneri,Helicosphaera compacta,Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Ericsonia formosa,Discoaster spp. (5 rays),Discoaster sp.,Discoaster saipanensis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Discoaster barbadiensis,Discoaster asymmetricus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Ceratolithus sp.,Calcidiscus macintyrei,Calcidiscus leptoporus,Braarudosphaera sp.,Zygrhablithus bijugatus,Sphenolithus conicus,Discoaster tanii,Cyclicargolithus abisectus,Sphenolithus dissimilis,Pseudoemiliania lacunosa,Hayaster perplexus,Umbilicosphaera mirabilis,Oolithotus fragilis,Helicosphaera granulata,Discoaster variabilis,Discoaster surculus,Calcidiscus sp.,Amaurolithus delicatus,Reticulofenestra pseudoumbilica (<7 microns),Micrantholithus sp.,Dictyococcites sp.,Sphenolithus heteromorphus,Pontosphaera sp.,Ceratolithus rugosus,Sphenolithus distentus,Coronocyclus nitescens,Discoaster nodifer,Helicosphaera euphratis,Bramletteius serraculoides,Lanternithus minutus,Cribrocentrum reticulatum,Chiasmolithus oamaruensis,Sphenolithus pseudoradians,Discoaster adamanteus,Syracosphaera pulchra,Sphenolithus ciperoensis,Reticulofenestra hampdenensis,Pedinocyclus larvalis,Calcidiscus protoannulus,Blackites sp.,Sphenolithus radians,Cruciplacolithus cruciformis,Scapholithus fossilis,Syracosphaera sp.,Scyphosphaera sp.,Pontosphaera discopora,Pontosphaera japonica,Helicosphaera recta,Oolithotus sp.,Sphenolithus delphix,Umbellosphaera irregularis,Emiliania huxleyi,Gephyrocapsa spp. small (<3.5 microns),Braarudosphaera bigelowii,Discoaster challengeri,Ceratolithus cristatus,Helicosphaera inversa,Syracosphaera clava,Discoaster quadramus,Discoaster triradiatus,Discoaster binodosus,Helicosphaera sellii,Discoaster tamalis,Catinaster coalitus,Discosphaera tubifera,Discoaster bramlettei,Scyphosphaera globulata,Catinaster umbrellus,Ceratolithus simplex,Discoaster berggrenii,Ceratolithus telesmus,Pontosphaera indooceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  3,R, 1,  35.00,     12.6500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,S                                     ,A                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,                     ,rR                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rR                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,R                ,                 ,                      ,R                    ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,R                     ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,R                        ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  3,R, 2,  35.00,     14.1500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,A                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,R                                     ,C                                      ,                 ,                        ,rS            ,                      ,rS                     ,rS                      ,                     ,rR                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rS                   ,rR                 ,               ,                      ,                                            ,                   ,C                 ,rS                        ,                ,                    ,                      ,rR                    ,                  ,rR                     ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,C                    ,S                ,                 ,                      ,R                    ,                   ,              ,                    ,                          ,V                ,A                                     ,                         ,                      ,R                     ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  3,R, 3,  35.00,     15.6500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,                      ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rS                      ,                  ,A                        ,                   ,                       ,rR                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,                ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,C                    ,C                ,                 ,                      ,                     ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,R                     ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,R                    ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  4,R, 1,  35.00,     21.9500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,C                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,R                         ,V                ,A                                     ,                         ,                      ,                      ,                     ,R                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  4,R, 2,  35.00,     23.4500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rS                   ,rR                 ,               ,                      ,                                            ,                   ,C                 ,rS                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,R                     ,                     ,                   ,              ,                    ,R                         ,A                ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,rR                   ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  4,R, 3,  35.00,     24.9500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,R                                 ,                     ,                 ,C                      ,                      ,R                                     ,A                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,rR                   ,rR                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,R                     ,A                     ,                   ,                       ,                    ,                ,                          ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rR                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,                ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,R                ,                 ,                      ,R                    ,                   ,              ,                    ,                          ,A                ,A                                     ,                         ,                      ,S                     ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  4,R, 4,  35.00,     26.4500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rR                     ,rS                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,                      ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rR                      ,                  ,C                        ,                   ,                       ,rR                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,S                ,                 ,R                     ,                     ,                   ,              ,                    ,                          ,S                ,A                                     ,                         ,                      ,R                     ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  4,R, 5,  35.00,     27.9500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rC                         ,C                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rR                     ,rR                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,C                ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,R                   ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  5,R, 1,  35.00,     31.3500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,C                      ,                         ,S                                ,R                                 ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rC            ,                      ,rS                     ,rR                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,R               ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,rR                 ,               ,                      ,                                            ,                   ,C                 ,rR                        ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,R                ,                 ,S                     ,R                    ,                   ,              ,                    ,                          ,                 ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  5,R, 2,  35.00,     32.8500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,S                      ,                         ,S                                ,R                                 ,                     ,                 ,C                      ,                      ,                                      ,C                                      ,                 ,                        ,rC            ,                      ,rR                     ,rR                      ,                     ,rS                 ,                       ,                       ,                        ,                       ,rC                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,rR                        ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,S                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,R                     ,R                    ,                   ,              ,                    ,                          ,S                ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  5,R, 3,  35.00,     34.3500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,S                      ,                         ,S                                ,                                  ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rS                     ,rR                      ,rS                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,S                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,rR                 ,               ,                      ,                                            ,                   ,C                 ,rR                        ,R               ,                    ,                      ,rR                    ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,S                ,                 ,R                     ,R                    ,                   ,              ,                    ,                          ,                 ,A                                     ,                         ,                      ,R                     ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 829,A,  5,R, 4,  35.00,     35.8500,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,rS                     ,rS                         ,C                      ,                         ,S                                ,R                                 ,                     ,                 ,C                      ,                      ,                                      ,A                                      ,                 ,                        ,rS            ,                      ,rR                     ,rS                      ,rR                   ,rS                 ,                       ,                       ,                        ,                       ,rS                         ,R                    ,                        ,                ,                      ,C                     ,                   ,                       ,                    ,                ,                          ,                       ,rS                      ,                  ,C                        ,                   ,                       ,rS                   ,                   ,               ,                      ,                                            ,                   ,C                 ,rR                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,C                    ,                        ,                             ,                     ,                        ,             ,                    ,                            ,S                    ,                 ,                 ,R                     ,R                    ,                   ,              ,                    ,                          ,                 ,A                                     ,                         ,                      ,                      ,                     ,S                  ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
