Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Uvigerina spp.,Trifarina angulosa,Sphaeroidina bulloides,Quinqueloculina spp.,Pyrgo anomala,Pullenia bulloides,Oridorsalis umbonatus,Notorotalia spp.,Notorotalia finlayi,Nonionellina flemingi,Lenticulina spp.,Haeuslerella pliocenica,Globocassidulina spp.,Ehrenbergina mestayeri,Discorbinella bertheloti,Cibicidoides spp.,Cassidulina carinata,Bulimina exilis,Bolivinita pliozea,Bolivina spp.,Astrononion novozealandicum,Anomalinoides sphericus,Anomalinoides parvumbilius,Plectofrondicularia advena,Gavelinopsis praegeri,Epistominella exigua,Siphotextularia wairoana,Pullenia quinqueloba,Hoeglundina elegans,Pyrgo spp.,Sigmoilopsis schlumbergeri,Melonis barleeanus,Uvigerina peregrina,Uvigerina auberiana,Sigmoilopsis crs. sp.,Quinqueloculina sp.,Martinottiella sp.,Haeuslerella finlayi,Cibicidoides wuellerstorfi,Cibicidoides pachyderma,Bulimina marginata,Globocassidulina subglobosa,Cassidulina spp.,Rectobolivina striatula,Planulina wuellerstorfi,Nonionella magnalingua,Laticarinina altocamerata,Karreriella cylindrica,Evolvocassidulina orientalis,Discanomalina semipunctata,Dentalina spp.,Elphidium excavatum f. clavatum,Cibicidoides aff. pachyderma,Globobulimina turgida,Cornuspira involvens,Textularia spp.,Oolina spp.,Fissurina spp.,Pyrulina sp.,Plectofrondicularia pellucida,Planulina ariminensis,Pleurostomella spp.,Notorotalia zelandica,Nonionella labradorica,Melonis affinis,Martinottiella communis,Lagena spp.,Pileolina patelliformis,Nonionella sp.,Bolivinita quadrilatera,Heronallenia lingulata,Bolivina affiliata,Comment
IR,,,,,181,1119,C,25,X,6,56.00,234.4600,forams,Benthic Foraminifers,C,G,,,,,,,,T,,,,,,,,T,,,,T,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,T,R,T,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,6,70.00,234.6000,forams,Benthic Foraminifers,C,VG,,F,R,R,T,,,F,,F,,T,R,,R,R,R,,F,,T,F,,,,,T,T,,,,,R,,,,,,,,,,,,R,,,,T,T,,T,,,T,T,T,T,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,CC,30.00,235.7000,forams,Benthic Foraminifers,C,VG,R,,F,T,,,,F,,F,,,,,,R,R,R,R,,F,T,,,,,T,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,28,X,CC,95.00,264.8700,forams,Benthic Foraminifers,C,VG,,R,R,R,T,T,T,F,,F,T,,,,,,R,R,R,,R,,,T,,,T,,,,,,,,,,,,,,,,,,R,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,31,X,CC,29.00,293.7300,forams,Benthic Foraminifers,C,VG,T,T,,,,,,F,,F,R,,R,,,,,T,,,F,,,,,F,,T,,,,,,,,,,,,,,,F,,T,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,33,X,CC,49.00,312.8300,Hayward,Benthic Foraminifers,C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Globigerina ooze
IR,,,,,181,1119,C,35,X,CC,24.00,331.9600,Hayward,Benthic Foraminifers,C,G,T,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,T,,,,R,,,,,,,T,,,,,T,,,,,,,,T,,,,,,,,,,,,,,,,,,,,Globigerina ooze
IR,,,,,181,1119,C,36,X,CC,23.00,338.7800,forams,Benthic Foraminifers,C,G,,F,,T,T,T,,R,,F,,T,,,R,R,,,F,,F,,,T,,,T,,,,,,,,,,,,,,,,R,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,38,X,1,64.00,351.7400,forams,Benthic Foraminifers,A,M,,R,R,T,,R,,F,,T,,T,R,,R,R,,,T,T,R,T,F,,,,,T,,T,,,R,,T,,,,,,,,,T,R,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,38,X,2,100.00,353.6000,forams,Benthic Foraminifers,F,G,,F,,T,T,T,,R,,R,,,,,,,R,,R,,R,,,,,,,,,,,,,,,,,,,,T,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,39,X,CC,22.00,363.3900,forams,Benthic Foraminifers,F,G,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,41,X,CC,29.00,382.2400,Hayward,Benthic Foraminifers,C,M,,F,,,,R,T,F,,,T,T,,,R,R,,,,,R,,,,,,,T,R,,,T,R,R,T,R,T,R,T,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Globigerina ooze
IR,,,,,181,1119,C,45,X,CC,13.00,419.3700,forams,Benthic Foraminifers,C,G,,,,,,,,,,,,T,,,,,,,,T,,,,,,,,,T,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"plankton ooze;rare bryoz,echinoid spines,moll"
IR,,,,,181,1119,C,47,X,CC,14.00,447.4900,forams,Benthic Foraminifers,F,VG,T,,,T,,,,F,,R,,R,,,,,F,T,R,R,,,,,,F,T,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,48,X,CC,39.00,456.9500,forams,Benthic Foraminifers,F,VG,R,,,,,T,,F,,,T,T,,,R,,F,T,R,,R,,,T,R,R,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,50,X,CC,27.00,476.0200,forams,Benthic Foraminifers,F,VG,R,,,R,T,T,,F,,F,,T,,,,R,R,R,R,,R,T,T,T,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,52,X,CC,18.00,494.6200,forams,Benthic Foraminifers,F,VG,R,R,T,R,T,T,R,F,F,R,T,T,R,T,R,R,R,T,F,R,R,R,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
