Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Reticulofenestra umbilica,Markalius inversus,Holococcolith type A,Helicosphaera compacta,Ericsonia obruta,Discoaster tanii,Discoaster deflandrei,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus eopelagicus,Coronocyclus nitescens,Zygrhablithus bijugatus,Ericsonia subdisticha,Discoaster nodifer,Discoaster adamanteus,Calcidiscus kingii,Coccolithus miopelagicus,Triquetrorhabdulus milowii,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Cyclicargolithus abisectus,Sphenolithus aff. distentus,Ericsonia formosa,Discoaster saipanensis,Bramletteius serraculoides,Braarudosphaera bigelowii,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera perch-nielseniae,Crassidiscus backmanii,Coccolithus fuscus,Catinaster umbrellus,Sphenolithus dissimilis,Helicosphaera euphratis,Sphenolithus conicus,Sphenolith (unspecified taxon or taxa),Pontosphaera spp.,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Ilselithina fusa,Discoaster woodringii,Discoaster extensus-dilatus group,Thoracosphaera spp.,Discoaster aff. druggii,Reticulofenestrid taxa,Discoaster moorei,Sphenolithus delphix,Sphenolithus capricornutus,Reticulofenestra daviesii,Hayella cf. aperta,Helicosphaera recta,Coccolithus formosus,Discoaster multiradiatus,Discoaster druggii,Sphenolithus dissimilis/belemnos,Sphenolithus calyculus,Triquetrorhabdulus serratus,Sphenolithus belemnos,Dictyococcites spp.,Ceratolithus cristatus,Coccolithus radiatus,Triquetrorhabdulus auritus,Discoaster variabilis,Discoaster musicus,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster exilis,Helicosphaera carteri,Triquetrorhabdulus curvus,Discoaster formosus,Discoaster signus-tuberi,Discoaster brouweri,Calcidiscus premacintyrei,Discoaster intercalaris,Discoaster bollii,Triquetrorhabdulus rugosus/rioensis,Reticulofenestra pseudoumbilicus,Discoaster pansus,Discoaster kugleri,Calcidiscus macintyrei,Discoaster aulakos,Catinaster coalitus,Discoaster pseudovariabilis,Discoaster calcaris,Discoaster aff. intercalaris,Discoaster bellus,Discoaster neohamatus,Discoaster hamatus,Discoaster asymmetricus,Catinaster calyculus,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster sp. 1,Discoaster icarus,Catinaster spp.,Discoaster triradiatus,Discoaster challengeri,Discoaster quinqueramus/berggrenii,Discoaster tamalis,Discoaster sp. 2,Amaurolithus primus,Amaurolithus amplificus,Amaurolithus delicatus,Syracosphaera spp.,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Helicosphaera sellii,Gephyrocapsa (large),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 708,A,  4,H, 3, 130.00,     32.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,F                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,F                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,C                    ,                         ,                   ,                        ,C                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,                   ,                           ,F                       ,                ,                 ,               ,R                     ,                      ,                                  ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,C                   ,C                         ,F                   ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 708,A,  4,H, 5, 130.00,     35.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,F                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,R                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,C                    ,                         ,                   ,                        ,C                  ,                         ,                       ,                 ,                                   ,R                               ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,R                  ,                           ,R                       ,                ,                 ,               ,R                     ,                      ,R                                 ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,A                       ,F                   ,A                         ,F                   ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 708,A,  4,H, 6, 130.00,     36.9000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,R                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,C                    ,                         ,                   ,                        ,F                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,                   ,                           ,R                       ,                ,                 ,               ,F                     ,                      ,R                                 ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,R                   ,                            ,                       ,A                       ,R                   ,F                         ,F                   ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 708,A,  5,H, 1, 130.00,     38.9000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,A                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,R                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,F                    ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,F                     ,                      ,R                                 ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,R                   ,C                         ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 708,A,  5,H, 2,  30.00,     39.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,C                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,F                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,A                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,F                    ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,F                     ,                  ,                   ,                           ,                   ,                            ,R                ,                     ,                  ,F                      ,                    ,                   ,F                  ,                           ,R                       ,                ,                 ,               ,F                     ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,A                       ,F                   ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 708,A,  5,H, 3,  80.00,     41.4000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,C                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,R                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,C                    ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,                   ,                           ,R                       ,                ,                 ,               ,R                     ,                      ,                                  ,R                 ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12b             ,CN12c         ,115, 708,A,  5,H, 4,  55.00,     42.6500,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,R                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,                      ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,                     ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,R                      ,                    ,                   ,R                  ,                           ,F                       ,                ,                 ,               ,R                     ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,A                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12b             ,CN12c         ,115, 708,A,  5,H, 4, 100.00,     43.1000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,F                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,                                      ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,                      ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,F                    ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,R                  ,                           ,A                       ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12b             ,CN12c         ,115, 708,A,  5,H, 4, 130.00,     43.4000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,                     ,                       ,                        ,                       ,                           ,F                    ,                       ,                      ,                       ,                     ,                  ,                     ,                  ,                        ,                          ,                            ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,                    ,R                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,                                 ,                   ,                       ,                      ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,C                     ,                          ,                 ,F                    ,                         ,                   ,                        ,A                  ,                         ,                       ,                 ,                                   ,R                               ,                 ,                  ,C                     ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,R                  ,                           ,C                       ,                ,                 ,               ,R                     ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,C                       ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
