Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina suturalis,Globoturborotalita woodi,Globorotaloides variabilis,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia mayeri,Globoquadrina venezuelana,Globigerinoides subquadratus,Globigerinoides sacculifer,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerinella obesa,Fohsella fohsi,Dentoglobigerina altispira,Globigerinoides mitra,Globigerina bulloides,Fohsella praefohsi,Fohsella lenguaensis,Globorotaloides hexagona,Globoquadrina dehiscens,Globigerinoides obliquus,Globoturborotalita apertura,Globigerinita uvula,Clavatorella bermudezi,Sphaeroidinellopsis disjuncta,Orbulina universa,Globorotalia menardii,Globoturborotalita decoraperta,Globorotalia scitula,Globorotalia panda,Globigerinella pseudobesa,Neogloboquadrina nympha,Neogloboquadrina humerosa,Globorotalia limbata,Globoturborotalita druryi,Globorotalia miozea,Globoturborotalita nepenthes,Globigerinoides bollii,Globigerinella aequilateralis,Globorotalia siakensis,Candeina nitida,Globorotalia merotumida,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Beella praedigitata,Orbulina bilobata,Globorotalia cibaoensis,Neogloboquadrina dutertrei,Globorotalia juanai,Globigerinoides seigliei,Globorotalia margaritae,Globigerinoides extremus,Globigerinoides bulloideus,Sphaeroidinellopsis paenedehiscens,Globorotalia tumida,Sphaeroidinella dehiscens,Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Pulleniatina primalis,Globorotalia crassaformis,Globorotalia multicamerata,Globorotalia exilis,Pulleniatina praecursor,Pulleniatina obliquiloculata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia miocenica,Globorotalia triangula,Globorotalia pertenuis,Globorotalia hirsuta,Globorotalia inflata,Globigerinoides sacculifer fistulosus,Globorotalia theyeri,Beella digitata,Globoturborotalita rubescens,Neogloboquadrina pachyderma (dextral),Globorotalia crassula,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  3,H, 7,  55.00,     24.0500,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,R                ,                     ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,F                        ,R                          ,                                       ,                     ,F                        ,                          ,                   ,                       ,F                           ,                            ,C                    ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,F                   ,               ,                            ,F                                    ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  3,H,CC,  17.00,     24.3200,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,                       ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,R                    ,                              ,F                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,F                     ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,R                       ,                          ,                                  ,R                  ,F                        ,R                          ,                                       ,                     ,                         ,                          ,                   ,                       ,                            ,                            ,C                    ,                         ,R                     ,                      ,                      ,                    ,                    ,R                                    ,                    ,               ,R                           ,F                                    ,R                    ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 1,  59.00,     24.5900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,F                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,R                ,F                    ,                              ,                    ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,F                     ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,F                        ,                           ,                                       ,                     ,                         ,                          ,                   ,                       ,                            ,                            ,F                    ,                         ,C                     ,                      ,R                     ,F                   ,                    ,R                                    ,R                   ,               ,R                           ,                                     ,R                    ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 2,  59.00,     26.0900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,F                         ,C                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,R                          ,                   ,                      ,                             ,F                ,                     ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,F                     ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,                         ,R                          ,                                       ,                     ,F                        ,                          ,                   ,                       ,                            ,                            ,C                    ,                         ,C                     ,R                     ,F                     ,F                   ,                    ,                                     ,R                   ,               ,                            ,F                                    ,R                    ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 3,  59.00,     27.5900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,                     ,                              ,F                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,F                     ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,                         ,R                          ,                                       ,                     ,                         ,                          ,                   ,                       ,                            ,                            ,C                    ,                         ,C                     ,R                     ,F                     ,R                   ,                    ,                                     ,R                   ,R              ,R                           ,R                                    ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 4,  59.00,     29.0900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,                        ,                       ,                        ,R                          ,                   ,                      ,                             ,F                ,                     ,                              ,R                   ,                  ,                         ,                       ,F                        ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,C                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,                         ,                           ,                                       ,                     ,R                        ,                          ,                   ,                       ,                            ,                            ,C                    ,R                        ,C                     ,F                     ,F                     ,F                   ,                    ,R                                    ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 5,  59.00,     30.5900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,F                      ,                              ,                    ,              ,                          ,                     ,F                    ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,F                    ,                              ,                    ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,R                            ,                      ,               ,                       ,F                           ,                         ,                   ,                 ,                       ,C                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,R                        ,                           ,                                       ,                     ,F                        ,                          ,                   ,                       ,                            ,                            ,C                    ,R                        ,C                     ,                      ,F                     ,                    ,                    ,                                     ,                    ,R              ,                            ,                                     ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 6,  59.00,     32.0900,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,                        ,                       ,                        ,R                          ,                   ,                      ,                             ,                 ,                     ,                              ,F                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,F                            ,                      ,               ,                       ,C                           ,                         ,R                  ,                 ,                       ,C                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,R                        ,R                          ,                                       ,                     ,F                        ,                          ,                   ,                       ,                            ,                            ,C                    ,R                        ,F                     ,                      ,F                     ,F                   ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H, 7,  60.00,     33.6000,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,                       ,                              ,F                   ,              ,                          ,                     ,                     ,                  ,                    ,                        ,                       ,                        ,                           ,                   ,                      ,                             ,F                ,                     ,                              ,                    ,                  ,                         ,                       ,R                        ,                    ,                         ,                   ,                            ,                      ,                             ,                      ,               ,                       ,                            ,                         ,                   ,R                ,                       ,C                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,R                        ,                           ,                                       ,                     ,F                        ,                          ,                   ,                       ,                            ,F                           ,C                    ,F                        ,C                     ,R                     ,R                     ,                    ,                    ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 959,B,  4,H,CC,  24.00,     33.8800,Norris   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,F                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,R                          ,                   ,                      ,                             ,F                ,                     ,                              ,F                   ,                  ,                         ,                       ,R                        ,                    ,                         ,                   ,                            ,F                     ,F                            ,                      ,               ,                       ,C                           ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,R                       ,                          ,                                  ,                   ,                         ,                           ,                                       ,                     ,R                        ,                          ,                   ,                       ,                            ,                            ,F                    ,R                        ,C                     ,                      ,A                     ,                    ,                    ,                                     ,                    ,               ,F                           ,                                     ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL5               ,              ,159, 959,B,  5,H, 1,  59.00,     34.0900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,R                      ,                              ,                    ,              ,                          ,                     ,R                    ,                  ,                    ,                        ,                       ,                        ,R                          ,                   ,                      ,                             ,F                ,                     ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,                      ,F                            ,                      ,               ,                       ,                            ,                         ,R                  ,                 ,                       ,A                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,F                        ,R                          ,                                       ,                     ,R                        ,                          ,                   ,                       ,                            ,F                           ,C                    ,                         ,C                     ,                      ,F                     ,                    ,                    ,                                     ,                    ,R              ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL5               ,              ,159, 959,B,  5,H, 2,  59.00,     35.5900,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,T                             ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,F                      ,                              ,                    ,              ,                          ,                     ,                     ,                  ,                    ,                        ,                       ,                        ,                           ,R                  ,                      ,                             ,R                ,                     ,R                             ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,F                     ,R                            ,                      ,               ,                       ,R                           ,                         ,R                  ,                 ,                       ,A                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,                   ,F                        ,R                          ,                                       ,                     ,R                        ,                          ,                   ,                       ,                            ,C                           ,A                    ,                         ,F                     ,                      ,F                     ,                    ,                    ,cf                                   ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL4               ,              ,159, 959,B,  5,H, 3,  59.00,     37.0900,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,A                         ,F                      ,                              ,                    ,              ,R                         ,                     ,R                    ,                  ,                    ,F                       ,                       ,                        ,R                          ,                   ,                      ,                             ,                 ,C                    ,                              ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,R                            ,                      ,               ,                       ,                            ,                         ,                   ,                 ,                       ,A                         ,                   ,                        ,                       ,F                       ,                          ,                                  ,F                  ,R                        ,                           ,                                       ,                     ,                         ,                          ,                   ,                       ,                            ,C                           ,A                    ,                         ,R                     ,                      ,F                     ,F                   ,                    ,R                                    ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL4               ,              ,159, 959,B,  5,H, 4,  59.00,     38.5900,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,                       ,                              ,                    ,              ,R                         ,                     ,                     ,                  ,                    ,                        ,                       ,F                       ,R                          ,                   ,                      ,                             ,F                ,C                    ,F                             ,R                   ,                  ,                         ,                       ,                         ,                    ,                         ,                   ,                            ,R                     ,F                            ,                      ,R              ,                       ,R                           ,                         ,                   ,                 ,                       ,C                         ,                   ,                        ,                       ,                        ,                          ,                                  ,                   ,F                        ,                           ,                                       ,                     ,                         ,R                         ,                   ,                       ,                            ,                            ,C                    ,R                        ,                      ,                      ,F                     ,F                   ,R                   ,                                     ,                    ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL4               ,              ,159, 959,B,  5,H, 5,  59.00,     40.0900,Norris   ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                         ,                  ,                        ,                          ,                        ,                         ,                   ,                         ,                            ,C                         ,C                      ,                              ,                    ,              ,R                         ,                     ,                     ,                  ,                    ,F                       ,                       ,                        ,                           ,                   ,                      ,                             ,R                ,F                    ,                              ,                    ,                  ,                         ,                       ,R                        ,                    ,                         ,                   ,                            ,                      ,F                            ,                      ,               ,                       ,F                           ,                         ,R                  ,                 ,                       ,A                         ,                   ,                        ,                       ,C                       ,R                         ,                                  ,R                  ,                         ,                           ,                                       ,                     ,F                        ,C                         ,                   ,                       ,                            ,                            ,                     ,                         ,                      ,                      ,                      ,                    ,                    ,                                     ,R                   ,               ,                            ,                                     ,                     ,                             ,                     ,From Leg 159SR Ch 34 Table 2
