Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella compressa	Rhabdammina spp.	Martinottiella sp. A	Hippocrepinella(?) sp.	Eggerella bradyi	Cyclammina cf. japonica	Cribrostomoides cf. crassimargo	Bathysiphon spp.	Ammobaculites spp.	Cyclammina? sp.	Cyclammina sp.	Ammosphaeroidina spp.	Ammodiscus tenuis	Ammodiscus macilentus	Martinottiella communis	Agglutinated spp. (indeterminate)	Bermudezina aminaensis	Martinottiella nodulosa	Lenticulina spp.	Haplophragmoides sp. C	Oridorsalis umbonatus	Oolina sp. A	Cibicidoides sp.	Cibicidoides bradyi	Uvigerina proboscidea	Trochammina cf. globigeriniformis	Stilostomella sp.	Sphaeroidina japonica	Schizammina sp.           	Saccammina cf. sphaerica	Reophax spp.	Quinqueloculina sp.	Pyrgo sp.	Pullenia salisburyi	Oolina sp.	Marginulina sp.	Haplophragmoides sp.	Gyroidinoides planulatus	Gyroidina orbicularis	Globobulimina pupoides	Globobulimina perversa	Glandulina cf. nipponica	Elphidium cf. perforatum	Cyclammina cancellata	Cribrostomoides sp.	Cibicidoides wuellerstorfi	Bulimina striata	Bulimina rostrata	Uvigerina hispida	Pseudoparrella sp. A	Oridorsalis tener	Haplophragmoides spp.	Gyroidina tumidulus	Globobulimina auriculata	Elphidium subincertum	Eilohedra rotunda	Eggerella sp. A	Cibicides wuellerstorfi	Cibicides sp. A	Ammodiscus incertus	Sphaeroidina sp.	Pullenia bulloides	Fissurina sp. A	Fissurina marginata (compressed)	Elphidium sp.	Discammina sp.	Valvulineria sp.	Textularia candeiana	Sphaeroidina spp.	Sphaeroidina bulloides	Quinqueloculina akneriana	Parafissurina cf. P. curta	Nonionella spp.	Nodosariid taxa	Miliolinella sp. A	Miliammina echigoensis	Lenticulina sp. A	Lenticulina lucidus	Lagena elongata	Gyroidina sp. A	Gyroidina lamarckiana	Globobulimina cf. G. pacifica	Fissurina kerguelenensis	Cibicides spp.	Cibicides sp. B	Cibicides aknerianus	Calcareous sp. indeterminate	Thalmannammina cf. parkerae	Trochammina(?) sp.	Pullenia quinqueloba	Proteonina compressa	Melonis nicobarense	Globobulimina sp.	Fissurina marginata	Melonis pompilioides	Thalmannammina(?) sp.	Pyrgo(?) sp.	Oolina sp. B	Nodosaria sp.	Fissurina spp.	Uvigerina senticosa	Quadrimorphina sp.	Astrononion sp.	Anomalinoides sp.	Haplophragmoides(?) sp.	Discammina compressa	Reophax(?) sp.	Elphidium cf. bartletti	Ammodiscus sp. A	Plectina nipponica	Trochammina sp.	Cyclammina spp.	Cyclammina cf. C. tani	Textularia sp.	Proteonina cf. compressa	Pullenia spp.	Technitella sp.	Hippocrepinella variabilis	Cyclammina ezoensis	Cyclammina pusilla	Haplophragmoides compressum	Hormosina sp.	Haplophragmoides sp. F	Haplophragmoides sp. E	Ammodiscus sp. B	Cyclammina orbicularis	Karreriella sp. A	Haplophragmoides sp. G	Haplophragmoides sp. B	Gyroidina sp. B 	Globocassidulina subglobosa	Ammodiscus sp. C	Quinqueloculina spp.	Gyroidina soldanii	Eggerella sp. B	Cibicides sp. C	Globocassidulina globosa	Haplophragmoides sp. A	Ammodiscus spp.	Ammovertellina sp.	Comment

  SR	Late Miocene     	                 	                  	              	127	 795	B	 10	R	 3	  50.00	    455.5000	Nomura   	Benthic Foraminifers                         	               	                  	                            	                	71.1%               	                      	                	                       	                               	+               	                  	               	              	2.6%                 	                 	.9%                  	                       	                                 	                      	                       	                	                      	                     	.9%         	                	                   	                     	3.5%                             	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	1.8%                 	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	                   	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	                  	Miscellaneous taxa = 19.3% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505

  SR	Late Miocene     	                 	                  	              	127	 795	B	 10	R	 5	  50.00	    458.5000	Nomura   	Benthic Foraminifers                         	               	                  	                            	+               	41.3%               	                      	                	                       	                               	                	                  	               	6.5%          	                     	                 	4.3%                 	                       	                                 	                      	                       	                	                      	                     	            	                	                   	                     	                                 	                 	                     	+                         	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	5.4%                 	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	9.8%               	                  	                           	             	                      	                      	                	13.0%                 	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	1.1%              	Miscellaneous taxa = 18.5% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505

  SR	                 	                 	                  	              	127	 795	B	 10	R	CC	  18.00	    461.1800	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	                       	                                 	                      	5                      	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	4              	2                     	              	                        	             	               	                          	                   	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	1              	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	Late Miocene     	                 	                  	              	127	 795	B	 11	R	 4	  50.00	    466.7000	Nomura   	Benthic Foraminifers                         	               	                  	                            	                	69.4%               	                      	                	                       	6.5%                           	+               	                  	               	14.8%         	                     	                 	.9%                  	                       	                                 	                      	                       	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	2.8%                 	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	                   	.9%               	                           	             	                      	                      	                	2.8%                  	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	                  	Miscellaneous taxa = 1.9% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505

  SR	                 	                 	                  	              	127	 795	B	 11	R	CC	  32.00	    467.1100	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	13                     	1                                	                      	                       	                	9                     	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	1                     	              	                        	             	               	                          	                   	                  	1                          	             	1                     	                      	                	                      	                 	1                     	                      	                	                           	                	                    	                  	               	               	                        	1                     	1              	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	Late Miocene     	                 	                  	              	127	 795	B	 12	R	 3	  46.00	    474.8600	Nomura   	Benthic Foraminifers                         	               	                  	                            	+               	40.8%               	                      	2.8%            	                       	                               	                	                  	               	              	                     	.7%              	                     	                       	                                 	                      	                       	                	                      	                     	.7%         	.7%             	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	31.0%              	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	.7%                     	                      	               	                  	Miscellaneous taxa = 22.5% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505

  SR	                 	                 	                  	              	127	 795	B	 12	R	CC	  30.00	    477.4800	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	1                      	3                                	                      	                       	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	2                    	                   	7                       	                     	                 	1              	4                      	2              	1                  	                	                  	               	                                	             	              	                	                    	1                	                      	6                        	                          	               	               	                  	                      	                 	1                  	               	1              	                     	                             	                        	              	               	                    	                            	                           	                  	1                   	                    	                   	                 	                   	8                   	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	6               	                  	               	               	6                     	              	                        	             	               	                          	                   	                  	                           	             	                      	                      	1               	                      	                 	                      	                      	                	                           	1               	                    	8                 	               	               	                        	                      	               	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	Late Miocene     	                 	                  	              	127	 795	B	 13	R	 3	  48.00	    484.4800	Nomura   	Benthic Foraminifers                         	               	                  	                            	+               	21.9%               	                      	18.1%           	                       	11.4%                          	+               	                  	               	6.7%          	                     	11.4%            	                     	                       	                                 	                      	                       	                	                      	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	                     	            	            	1.0%         	              	                   	                  	               	                 	                       	                    	              	                       	1.0%            	                  	               	               	                      	              	                        	             	               	                          	7.6%               	1.0%              	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	2.9%                    	                      	               	                  	Miscellaneous taxa = 17.1% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505

  SR	                 	                 	                  	              	127	 795	B	 13	R	CC	  18.00	    485.1700	Brunner  	Benthic Foraminifers                         	               	                  	                            	                	                    	                      	                	                       	                               	                	                  	               	              	                     	                 	                     	2                      	5                                	                      	1                      	                	2                     	                     	            	                	                   	                     	                                 	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	                     	                   	                          	                	                 	                 	                    	                 	                     	                   	1                       	                     	                 	1              	1                      	1              	1                  	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	1                           	                           	                  	                    	                    	                   	                 	                   	5                   	                     	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	2               	                  	1              	               	1                     	              	                        	             	               	                          	                   	                  	1                          	             	                      	1                     	1               	                      	                 	                      	                      	                	                           	1               	1                   	6                 	1              	1              	                        	                      	               	                  	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	Late Miocene     	                 	                  	              	127	 795	B	 14	R	 3	  50.00	    494.2000	Nomura   	Benthic Foraminifers                         	               	                  	                            	+               	21.6%               	                      	6.2%            	                       	10.3%                          	+               	                  	               	1.0%          	                     	1.0%             	                     	                       	                                 	2.1%                  	                       	                	                      	                     	            	                	                   	                     	1.0%                             	                 	                     	                          	                        	            	                   	         	                   	          	               	                    	                        	                     	                      	                      	                        	                        	4.1%                 	                   	                          	                	                 	                 	                    	                 	                     	                   	                        	                     	                 	               	                       	               	                   	                	                  	               	                                	             	              	                	                    	                 	                      	                         	                          	               	               	                  	                      	                 	                   	               	               	                     	                             	                        	              	               	                    	                            	                           	                  	                    	                    	                   	                 	                   	                    	4.1%                 	            	            	             	              	                   	                  	               	                 	                       	                    	              	                       	                	                  	               	               	                      	              	                        	             	               	                          	2.1%               	                  	                           	             	                      	                      	                	                      	                 	                      	                      	                	                           	                	                    	                  	               	               	                        	                      	               	                  	Miscellaneous taxa = 46.4% ; from ODP Legs 127&128 SR Chapter 29 Table 2 p 500-505
