Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Pulleniatina praecursor	Orbulina universa	Neogloboquadrina humerosa	Globorotaloides hexagona	Globorotalia scitula	Globorotalia puncticulata	Globorotalia miocenica	Globorotalia limbata	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinella aequilateralis	Pulleniatina primalis	Globorotalia multicamerata	Globigerinoides conglobatus	Sphaeroidinellopsis kochi	Neogloboquadrina pseudopima	Neogloboquadrina pachyderma (dextral)	Globorotalia crassula	Globorotalia crassaformis crassaformis	Globigerinoides ruber (white)	Globigerinita glutinata	Globigerina apertura	Sphaeroidinella dehiscens	Neogloboquadrina acostaensis (dextral)	Globigerina decoraperta	Globigerinoides fistulosus	Globorotalia exilis	Globigerinoides sp. cf. G. fistulosus	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia menardii	Globorotalia inflata	Globigerina bulloides	Globorotalia tumida tumida	Globigerinoides tenellus	Globorotalia truncatulinoides	Globigerinoides ruber (pink)	Globigerinella calida	Globigerina rubescens	Globorotalia crassaformis hessi	Globorotalia tumida flexuosa	Beella digitata	Comment

  SR	                 	                 	G. truncatulinoides	              	108	 665	A	  5	H	CC	  12.00	     41.0700	Weaver   	Planktonic Foraminifers                      	F              	P                 	                              	                                  	                       	P                	P                        	                        	                    	                         	                      	                    	                       	P                       	P                         	                                 	                                 	                             	                     	                          	                           	                         	P                          	P                                    	P                    	P                                     	P                            	P                      	                    	P                        	                                      	                       	                          	                   	                                     	P                           	P                         	P                    	P                   	P                    	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL5               	              	108	 665	A	  6	H	 4	  73.00	     46.1300	Weaver   	Planktonic Foraminifers                      	C              	M                 	                              	                                  	                       	R                	C                        	                        	                    	R                        	F                     	                    	                       	C                       	R                         	                                 	                                 	                             	                     	                          	R                          	                         	R                          	                                     	R                    	                                      	F                            	                       	                    	F                        	                                      	                       	                          	R                  	P                                    	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL5               	              	108	 665	A	  6	H	CC	  10.00	     50.7000	Weaver   	Planktonic Foraminifers                      	C              	M                 	                              	                                  	                       	R                	F                        	                        	R                   	                         	F                     	                    	                       	C                       	R                         	C                                	R                                	                             	                     	                          	R                          	                         	F                          	F                                    	                     	R                                     	F                            	R                      	                    	R                        	                                      	F                      	R                         	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL5               	              	108	 665	A	  7	H	 2	  67.00	     52.5700	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                                  	                       	R                	F                        	                        	R                   	R                        	F                     	                    	                       	C                       	R                         	F                                	R                                	                             	                     	                          	R                          	                         	R                          	C                                    	                     	                                      	C                            	R                      	                    	R                        	                                      	R                      	                          	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL4               	              	108	 665	A	  7	H	 4	  80.00	     55.7000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                                  	                       	R                	F                        	                        	                    	                         	                      	                    	R                      	C                       	                          	R                                	R                                	R                            	                     	                          	R                          	                         	                           	F                                    	                     	                                      	R                            	                       	                    	F                        	F                                     	                       	                          	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL3               	              	108	 665	A	  7	H	 6	 100.00	     58.9000	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	                       	R                	F                        	                        	                    	R                        	                      	                    	F                      	F                       	R                         	R                                	                                 	R                            	                     	R                         	R                          	                         	                           	F                                    	R                    	R                                     	C                            	R                      	R                   	                         	                                      	                       	                          	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL3               	              	108	 665	A	  7	H	CC	  12.00	     59.9000	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	                       	F                	R                        	                        	                    	                         	R                     	                    	F                      	C                       	                          	R                                	R                                	                             	                     	R                         	                           	R                        	F                          	                                     	                     	                                      	                             	                       	                    	                         	                                      	                       	                          	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL3               	              	108	 665	A	  8	H	CC	  12.00	     69.2200	Weaver   	Planktonic Foraminifers                      	C              	P                 	C                             	F                                 	                       	R                	                         	                        	                    	                         	                      	                    	F                      	F                       	R                         	                                 	                                 	                             	R                    	R                         	R                          	                         	                           	                                     	                     	                                      	                             	                       	                    	                         	                                      	                       	                          	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

  SR	                 	                 	PL3               	              	108	 665	A	  9	H	 1	  56.00	     69.9600	Weaver   	Planktonic Foraminifers                      	R              	P                 	F                             	F                                 	F                      	R                	F                        	R                       	R                   	R                        	F                     	C                   	C                      	F                       	R                         	R                                	R                                	R                            	                     	                          	                           	                         	                           	                                     	                     	                                      	                             	                       	                    	                         	                                      	                       	                          	                   	                                     	                            	                          	                     	                    	                     	                          	                        	                             	                            	                     	                     	                               	                            	               	from ODP Leg 108 SR Chapter 5 Table 14 p 88

