Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A,  4,H,CC,  18.00,     35.7600,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,R                         ,-                   ,-                           ,-                  ,R                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,C                                  ,C                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A,  5,H,CC,  50.00,     45.2700,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A,  6,H,CC,  40.00,     53.5000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,R                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,R                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A,  7,H,CC,   0.00,     63.9600,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A,  8,H,CC,   5.00,     73.9100,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,R                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A,  9,H,CC,   0.00,     82.7800,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 10,H,CC,   0.00,     85.6000,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A, 11,H,CC,  14.00,    102.1600,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 12,H,CC,  31.00,    109.9600,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 13,H, 4,   0.00,    116.0000,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 946,A, 14,H,CC,  17.00,    131.7500,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,F                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,                     ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,R                                  ,F                            ,F                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,X                 ,              ,155, 946,A, 15,H, 1,   1.00,    130.5100,Showers  ,Planktonic Foraminifers                      ,A              ,P                 ,C                           ,C                         ,-                   ,R                           ,C                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,F                                ,R                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,X                 ,              ,155, 946,A, 15,H, 3,   1.00,    132.8800,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,F                         ,-                   ,R                           ,C                  ,-                            ,-                     ,R                    ,-                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,F                                  ,C                            ,R                           ,R                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,X                 ,              ,155, 946,A, 15,H,CC,  12.00,    137.4200,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,R                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,C                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,X                 ,              ,155, 946,A, 16,X,CC,  31.00,    149.2600,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,F                         ,-                   ,-                           ,F                  ,F                            ,-                     ,C                    ,-                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,R                           ,R                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,X                 ,              ,155, 946,A, 17,X,CC,  69.00,    159.2600,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,F                           ,C                         ,-                   ,-                           ,R                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,-                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 18,X,CC,  11.00,    160.8100,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,W                 ,              ,155, 946,A, 19,X,CC,   1.00,    168.8100,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,C                           ,C                         ,-                   ,-                           ,F                  ,R                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 21,X,CC,  20.00,    193.2000,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 22,X,CC,   0.00,    197.8000,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,V                 ,              ,155, 946,A, 23,X, 3,  50.00,    211.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,-                           ,C                         ,-                   ,-                           ,F                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,V                 ,              ,155, 946,A, 23,X,CC,  10.00,    212.2600,Showers  ,Planktonic Foraminifers                      ,               ,                  ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,V                 ,              ,155, 946,A, 24,X, 2,   8.00,    218.6800,Showers  ,Planktonic Foraminifers                      ,A              ,P                 ,C                           ,C                         ,-                   ,R                           ,F                  ,-                            ,-                     ,-                    ,R                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,-                                  ,C                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,U                 ,              ,155, 946,A, 24,X,CC,   3.00,    221.6300,Showers  ,Planktonic Foraminifers                      ,               ,G                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 946,A, 28,X,CC,  12.00,    256.0400,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,U                 ,              ,155, 946,A, 29,X, 5, 141.00,    272.8100,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,                 ,U                 ,              ,155, 946,A, 29,X,CC,   9.00,    273.5700,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,uncertain zone assignment; from Leg 155IR p 672 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
