Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Menardella menardii (sinistral)	Globoconella inflata	Truncorotalia truncatulinoides (sin.)	Sphaeroidinella dehiscens	Globorotalia tumida	Truncorotalia crassaformis	Truncorotalia crassaformis hessi	Hirsutella hirsuta	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma	Menardella menardii (dextral)	Globoturborotalita rubescens	Globorotalia tumida flexuosa	Hastigerina pelagica	Globigerinella calida	Globigerina bermudezi	Comment	 	 
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	4	H	5	70	34.7	Chaisson 	Planktonic Foraminifers                      	R              	P                 	-                                    	-                           	-                              	+                   	+                                    	-                        	-                  	-                         	                                	-                 	-                      	-                    	-                          	-                            	-                           	                            	-                   	-                    	-                    	almost nothing >150 microns		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	4	H	CC	27	38.16	Chaisson 	Planktonic Foraminifers                      	C              	M                 	R                                    	R                           	+                              	+                   	-                                    	-                        	-                  	-                         	                                	R                 	-                      	-                    	R                          	-                            	R                           	                            	R                   	-                    	-                    	many rads and some ostracods		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	5	H	CC	26	47.57	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                                    	                            	                               	+                   	                                     	                         	                   	                          	                                	F                 	                       	                     	+                          	                             	                            	                            	                    	                     	                     	much black clayey material		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	6	H	CC	24	57.12	Chaisson 	Planktonic Foraminifers                      	C              	M                 	R                                    	-                           	-                              	F                   	-                                    	R                        	-                  	-                         	                                	R                 	-                      	-                    	F                          	-                            	-                           	-                           	-                   	-                    	-                    	some rads		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	7	H	CC	28	66.5	Chaisson 	Planktonic Foraminifers                      	F              	G                 	A                                    	                            	R                              	F                   	F                                    	+                        	A                  	                          	                                	R                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	8	H	CC	31	75.31	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                                    	                            	                               	A                   	                                     	                         	                   	R                         	                                	+                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	a lot of pyrite filled burrows		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	9	H	CC	29	85.66	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                                    	R                           	                               	+                   	+                                    	                         	R                  	R                         	                                	+                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	very small forams pyrite		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	10	H	CC	29	95.15	Chaisson 	Planktonic Foraminifers                      	C              	G                 	A                                    	                            	                               	F                   	F                                    	                         	R                  	                          	                                	F                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	11	H	CC	21	104.63	Chaisson 	Planktonic Foraminifers                      	A              	VG                	+                                    	+                           	+                              	+                   	                                     	+                        	+                  	                          	                                	+                 	                       	                     	                           	                             	                            	+                           	                    	                     	                     	interglacial stage all species abundant		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	12	H	1	70	104.7	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                                    	R                           	-                              	F                   	R                                    	R                        	R                  	R                         	                                	                  	-                      	-                    	R                          	R                            	F                           	R                           	-                   	-                    	-                    	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	12	H	4	78	109.28	Chaisson 	Planktonic Foraminifers                      	R              	M                 	                                     	                            	                               	F                   	R                                    	                         	                   	                          	                                	                  	R                      	                     	R                          	                             	F                           	                            	                    	                     	                     	very diluted by clay		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	12	H	CC	38	114.13	Chaisson 	Planktonic Foraminifers                      	R              	                  	+                                    	                            	                               	+                   	                                     	                         	+                  	+                         	                                	+                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	very few foram no species are abundant P. lacunosa was found in this cc		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	13	H	4	70	118.7	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                                    	-                           	-                              	R                   	-                                    	-                        	+                  	F                         	                                	-                 	-                      	-                    	R                          	-                            	-                           	                            	-                   	-                    	-                    	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	13	H	CC	0	123.25	Chaisson 	Planktonic Foraminifers                      	A              	G                 	F                                    	+                           	                               	                    	A                                    	                         	                   	+                         	                                	A                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	interglacial stage?		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	14	H	CC	21	133.08	Chaisson 	Planktonic Foraminifers                      	C              	G                 	A                                    	+                           	                               	A                   	R                                    	R                        	A                  	R                         	                                	A                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	pyrite		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	16	H	CC	0	151.63	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                                    	                            	F                              	A                   	R                                    	+                        	A                  	                          	                                	+                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	17	H	3	70	155.2	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                                    	R                           	R                              	R                   	-                                    	R                        	R                  	F                         	R                               	                  	R                      	R                    	-                          	-                            	-                           	R                           	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	17	H	4	70	156.7	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                                    	-                           	-                              	F                   	-                                    	-                        	-                  	R                         	                                	                  	R                      	-                    	R                          	-                            	R                           	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	17	H	5	70	158.2	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                                    	                            	                               	A                   	R                                    	                         	                   	                          	                                	                  	                       	                     	R                          	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	17	H	6	70	159.7	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                                     	                            	                               	+                   	                                     	                         	                   	                          	                                	                  	                       	                     	                           	                             	                            	                            	                    	                     	                     	pyrite almost no forams		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	17	H	CC	20	160.54	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                                    	                            	R                              	A                   	                                     	                         	                   	R                         	                                	R                 	R                      	R                    	                           	                             	                            	                            	                    	                     	                     	almost only pyrite		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	18	H	1	70	161.7	Chaisson 	Planktonic Foraminifers                      	A              	M                 	A                                    	                            	                               	A                   	                                     	+                        	                   	A                         	+                               	F                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	18	H	2	70	163.2	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                                    	F                           	                               	F                   	F                                    	F                        	                   	A                         	+                               	R                 	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	18	H	3	70	164.7	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                                    	+                           	                               	A                   	                                     	+                        	R                  	R                         	                                	                  	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	18	H	4	70	165.9	Chaisson 	Planktonic Foraminifers                      	C              	M                 	                                     	A                           	F                              	A                   	R                                    	+                        	F                  	                          	                                	                  	                       	                     	                           	                             	                            	                            	                    	                     	                     	       		
																																						
  IR	                 	Pleistocene      	                  	N22           	172	1060	A	18	H	CC	15	170.11	Chaisson 	Planktonic Foraminifers                      	C              	M                 	R                                    	+                           	R                              	A                   	                                     	                         	                   	                          	                                	                  	                       	                     	                           	                             	                            	                            	                    	                     	                     	a lot of inflata = dissolution?		
