Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum	Dictyocha perlaevis perlaevis	Dictyocha messanensis stapedia	Dictyocha messaensis aspinosa	Mesocena quadrangula	Distephanus speculum  pentagonus	Distephanus crux crux	Dictyocha varia	Distephanus speculum speculum f. septenarius	Distephanus speculum aculeatus	Dictyocha messaensis m. aspinosa	Distephanus speculum tenuis	Cannopilus hemisphaericus	Naviculopsis biapiculata	Dictyocha fibula fibula	Distephanus speculum giganteus	Paramesocena circulus circulus	Corbisema triacantha	Dictyocha messanensis aculeata	Distephanus bioctonarius bioctonarius	Comment
  SR	Pleistocene      	                 	D. mess. aculeata 	              	112	 688	A	  7	H	CC	  17.00	     65.9000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	                             	                    	                                	                     	               	                                            	                              	C                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	  8	X	CC	  22.00	     68.7700	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	                             	F                   	R                               	                     	               	                                            	                              	F                               	                           	                         	                        	                       	                              	                              	r                   	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	  9	X	CC	  10.00	     84.3300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	                             	A                   	                                	                     	               	                                            	                              	R                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 10	X	CC	  22.00	     88.2800	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	F                             	R                            	R                   	                                	                     	               	                                            	                              	R                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 11	X	CC	  33.00	    106.0800	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	r                            	C                             	                             	F                   	                                	                     	               	                                            	                              	F                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 12	X	CC	  13.00	    105.7000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	R                            	F                   	                                	                     	               	                                            	                              	R                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 13	X	CC	  13.00	    122.3100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	                             	R                   	                                	                     	               	                                            	                              	R                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 14	X	CC	  22.00	    134.1900	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	                             	A                   	                                	                     	               	                                            	                              	F                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 15	X	CC	  11.00	    141.2600	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	r                            	C                             	                             	C                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 16	X	CC	  21.00	    153.0000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	A                             	                             	F                   	R                               	                     	               	                                            	                              	R                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 17	X	CC	  22.00	    159.4200	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	                             	A                   	                                	                     	               	                                            	                              	R                               	                           	                         	                        	                       	                              	r                             	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 18	X	CC	   9.00	    161.8900	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	C                             	                             	A                   	                                	                     	r              	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 19	X	CC	  20.00	    176.9000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	R                             	                             	R                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 20	X	CC	  10.00	    179.9400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	                             	F                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	r                             	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 21	X	CC	  18.00	    193.1600	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	R                             	                             	F                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	r                      	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 22	X	 1	  40.00	    198.7000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	F                             	                             	                    	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 23	X	CC	  20.00	    208.7800	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	C                             	                             	C                   	                                	                     	               	                                            	                              	R                               	                           	                         	r                       	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 24	X	 1	 115.00	    218.4500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	F                             	                             	F                   	R                               	                     	               	                                            	                              	R                               	R                          	r                        	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 25	X	CC	  18.00	    229.3600	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	C                             	                             	F                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 26	X	CC	  15.00	    237.0500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	C                             	F                            	F                   	R                               	                     	               	                                            	                              	F                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 27	X	CC	   8.00	    253.5400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	R                             	R                            	R                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 28	X	CC	   7.00	    257.1000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	                             	F                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 29	X	CC	  23.00	    274.4500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	R                            	                    	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 30	X	CC	  14.00	    275.6900	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	r                            	C                             	R                            	R                   	R                               	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 31	X	CC	  16.00	    284.7100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	R                            	F                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 32	X	CC	  17.00	    304.8300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	r                            	C                             	F                            	                    	                                	                     	               	                                            	r                             	R                               	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 33	X	CC	  16.00	    310.8800	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	F                            	                    	                                	                     	r              	R                                           	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 34	X	CC	   9.00	    321.8800	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                             	F                             	F                            	R                   	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 35	X	CC	  22.00	    331.4700	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	C                             	F                            	                    	R                               	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Pleistocene      	                 	B. quadrangula    	              	112	 688	A	 36	X	CC	  30.00	    341.5800	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	                             	F                             	F                            	R                   	R                               	r                    	r              	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 688	A	 37	X	CC	   8.00	    343.5300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                            	R                            	F                             	F                            	                    	                                	                     	               	                                            	                              	                                	                           	                         	                        	                       	                              	                              	                    	                              	                                     	from ODP Leg 112 SR Chapter 10 Table 4 p 162

