Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra haqii,Coronocyclus nitescens,Sphenolithus moriformis,Discoaster spp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Umbilicosphaera rotula,Triquetrorhabdulus milowii,Reticulofenestra minuta,Orthorhabdus serratus,Helicosphaera spp.,Hayella challengeri,Discoaster deflandrei,Cryptococcolithus mediaperforatus,Calcidiscus leptoporus,Amaurolithus primus,Reticulofenestra pseudoumbilica (>7microns),Pontosphaera multipora,Helicosphaera intermedia,Discoaster kugleri,Discoaster challengeri,Coccolithus miopelagicus,Calcidiscus premacintyrei,Sphenolithus spp.,Sphenolithus grandis,Umbilicosphaera jafari,Helicosphaera carteri,Discoaster exilis,Sphenolithus abies,Helicosphaera orientalis,Calcidiscus macintyrei,Helicosphaera granulata,Discoaster bollii,Catinaster coalitus,Calcidiscus tropicus,Scapholithus fossilis,Discoaster braarudii,Discoaster pansus,Catinaster calyculus,Catinaster spp.,Discoaster calcaris,Discoaster subsurculus,Discoaster hamatus,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster bellus,Discoaster variabilis,Discoaster neorectus,Discoaster quinqueramus,Discoaster bergenii,Discoaster surculus,Discoaster berggrenii,Scyphosphaera pulcherrima,Discoaster triradiatus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus amplificus,Angulolithina arca,Florisphaera profunda,Discoaster brouweri,Scyphosphaera ventriosa,Scyphosphaera tubifera,Scyphosphaera globulata,Gephyrocapsa spp. (small),Discoaster asymmetricus,Pseudoemiliania ovata,Reticulofenestra minutula,Pseudoemiliania lacunosa,Ceratolithus cristatus,Sphenolithus heteromorphus,Pontosphaera japonica,Discoaster tamalis,Coccolithus pelagicus (with bar),Umbilicosphaera sibogae var. sibogae,Gephyrocapsa muellerae,Cyclolithus annulus,Umbilicosphaera sibogae var. foliosa,Syracosphaera pulchra,Pontosphaera discopora,Helicosphaera sellii,Helicosphaera carteri var. walichii,Gephyrocapsa oceanica,Syracosphaera spp.,Reticulofenestra asanoi,Gephyrocapsa caribbeanica,Rhabdosphaera clavigera var. stylifera,Oolithotus fragilis,Reticulofenestra spp.,Holodiscolithus macroporus,Emiliania huxleyi,Gephyrocapsa large,Umbellosphaera tenuis,Braarudosphaera bigelowii,Solidopons petrae,Umbilicosphaera hulburtiana,Ceratolithus cristatus var. telesmus,Rhabdosphaera clavigera,Gephyrocapsa ericsonii,Helicosphaera inversa,Neosphaera coccolithomorpha,Umbellosphaera irregularis,Sphenolithus spiniger,Reticulofenestra bisecta,Discoaster barbadiensis,Braarudosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN21          ,190,1174,B,  3,R,CC,  19.00,    162.0800,nannos   ,Nannofossils                                 ,R              ,P                 ,                                           ,                      ,                      ,                       ,               ,                           ,F                    ,                      ,                          ,C                      ,                     ,                  ,                   ,                     ,                                 ,C                     ,                   ,                                           ,R                     ,                        ,                  ,                      ,                        ,                         ,F                ,                    ,                      ,F                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,C                    ,                   ,                       ,                      ,                       ,C                        ,                       ,F                    ,                         ,F                       ,                      ,                          ,                     ,                  ,                                ,C                                   ,A                     ,                   ,F                                   ,                     ,                      ,                    ,                                   ,A                    ,                  ,                       ,                         ,                                      ,                   ,                     ,                          ,A                ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN20          ,190,1174,B,  4,R,CC,  19.00,    171.7000,nannos   ,Nannofossils                                 ,F              ,P                 ,                                           ,                      ,                      ,                       ,R              ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,C                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,R                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,A                        ,                       ,                     ,                         ,R                       ,R                     ,                          ,                     ,                  ,R                               ,F                                   ,A                     ,                   ,                                    ,                     ,                      ,                    ,R                                  ,C                    ,                  ,                       ,C                        ,                                      ,                   ,                     ,                          ,                 ,F                 ,                     ,+                        ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1174,B,  5,R,CC,  26.00,    180.9600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,                      ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,                     ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,                     ,                   ,                       ,                      ,                       ,                         ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,D                               ,                                    ,                      ,                   ,                                    ,                     ,                      ,                    ,                                   ,                     ,                  ,                       ,                         ,                                      ,                   ,                     ,                          ,                 ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN20          ,190,1174,B,  6,R,CC,  17.00,    191.0800,nannos   ,Nannofossils                                 ,F              ,P                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,F                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,C                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,F                               ,F                                   ,C                     ,                   ,                                    ,F                    ,                      ,                    ,                                   ,A                    ,                  ,                       ,                         ,                                      ,                   ,                     ,                          ,                 ,                  ,                     ,F                        ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN20          ,190,1174,B,  7,R,CC,  23.00,    199.8600,nannos   ,Nannofossils                                 ,C              ,M                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,R                ,                    ,                      ,R                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,                                ,F                                   ,C                     ,                   ,F                                   ,                     ,                      ,                    ,                                   ,A                    ,                  ,                       ,R                        ,                                      ,                   ,                     ,                          ,                 ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,R                    ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1174,B,  8,R,CC,  10.00,    208.9400,nannos   ,Nannofossils                                 ,F              ,P                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,F                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,F                       ,                      ,                          ,                     ,                  ,                                ,                                    ,C                     ,                   ,                                    ,                     ,                      ,                    ,R                                  ,C                    ,F                 ,                       ,C                        ,                                      ,                   ,F                    ,                          ,C                ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,R                    ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN20              ,              ,190,1174,B,  9,R,CC,  14.00,    220.4800,nannos   ,Nannofossils                                 ,T              ,P                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,                      ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,C                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,C                    ,                   ,                       ,                      ,                       ,A                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,C                               ,                                    ,A                     ,                   ,                                    ,                     ,                      ,                    ,                                   ,A                    ,                  ,                       ,                         ,                                      ,                   ,C                    ,                          ,                 ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN20              ,NN21          ,190,1174,B, 10,R,CC,  17.00,    229.4900,nannos   ,Nannofossils                                 ,F              ,M                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,F                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,C                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,F                       ,                      ,                          ,                     ,                  ,                                ,F                                   ,A                     ,                   ,F                                   ,                     ,                      ,                    ,                                   ,C                    ,                  ,                       ,C                        ,                                      ,                   ,                     ,                          ,C                ,C                 ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,F                         ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN20              ,NN21          ,190,1174,B, 11,R,CC,  22.00,    239.3200,nannos   ,Nannofossils                                 ,C              ,M                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,F                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,                        ,                      ,                          ,R                    ,                  ,R                               ,F                                   ,C                     ,                   ,                                    ,                     ,                      ,                    ,                                   ,C                    ,                  ,                       ,C                        ,                                      ,                   ,                     ,                          ,F                ,                  ,                     ,                         ,                 ,                           ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN20              ,NN21          ,190,1174,B, 12,R,CC,  23.00,    248.2300,nannos   ,Nannofossils                                 ,F              ,M                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,R                ,                    ,                      ,R                    ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,                        ,                      ,                          ,                     ,                  ,                                ,R                                   ,C                     ,                   ,F                                   ,                     ,                      ,                    ,                                   ,C                    ,                  ,                       ,C                        ,                                      ,                   ,F                    ,                          ,C                ,                  ,                     ,                         ,                 ,R                          ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN20              ,NN21          ,190,1174,B, 13,R,CC,  26.00,    259.8800,nannos   ,Nannofossils                                 ,F              ,M                 ,                                           ,                      ,                      ,                       ,               ,                           ,                     ,                      ,                          ,                       ,                     ,                  ,                   ,                     ,                                 ,F                     ,                   ,                                           ,                      ,                        ,                  ,                      ,                        ,                         ,                 ,                    ,                      ,                     ,                 ,                  ,                        ,                      ,                       ,                 ,                   ,                    ,                     ,                    ,                 ,                    ,               ,                   ,                      ,                  ,                           ,                        ,                 ,                     ,                    ,                       ,                   ,                   ,                     ,                         ,                      ,                            ,                      ,                       ,                  ,A                    ,                   ,                       ,                      ,                       ,D                        ,                       ,                     ,                         ,R                       ,                      ,                          ,                     ,                  ,                                ,                                    ,C                     ,                   ,F                                   ,                     ,                      ,                    ,                                   ,C                    ,R                 ,                       ,F                        ,                                      ,                   ,C                    ,                          ,F                ,                  ,                     ,                         ,                 ,F                          ,                                    ,                       ,                      ,                     ,                           ,                          ,                     ,                        ,                       ,                   ,       
