Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus speculum pentagonus,Distephanus speculum minutus,Distephanus speculum (w/ small double aw.; curved long sp.),Distephanus speculum (w/ small aw.; curved long sp.>br.width),Distephanus septenarius,Distephanus crux (w/ large aw.; equal sp.),Distephanus crux (small; w/ long major sp.),Distephanus boliviensis (w/ large aw.)      ,Distephanus boliviensis,Parathranium cf. clathratum,Parathranium bispinum,Falsebrioid Falsebrioid,Falsebria cf. arborea,Falsebria arborea,Ebriopsis crenulata,Ebriopsis cornuta,Distephanus speculum speculum (coronoid)  ,Distephanus speculum f. speculum ,Distephanus speculum f. pentagonus,Distephanus speculum constrictus formae diversae,Distephanus speculum constrictus f. constrictus,Distephanus crux,Distephanus aculeatus f. binoculus,Distephanus aculeatus f. aculeatus,Corbisema triacantha,Ammodochium serotinum,Actiniscus sp.,Actiniscus pentasterias,Pseudammodochium species diversae,Hermesinella conata,Dictyocha species diversae,Distephanus sulcatus,Distephanus speculum f. coronata,Distephanus speculum (w/ 3aw.),Distephanus crux (very large; w/ medium aw.; equal sp.),Distephanus crux (small; w/ large aw.; long major sp.),Distephanus crux (small w/ equal sp.),Distephanus crux (large; w/ small aw.; long major sp.; short minor sp.),Distephanus crux (large),Distephanus crux (large aw. Long major sp. Shot minor sp.),Distephanus crux (bolivienoid),Distephanus boliviensis (robust and large),Bachmannocena triangula,Dictyocha perlaevis,Cannopilus hemisphaericus f. hemisphaericus,Actiniscus cf. flosculus,Thranium cf. crassipes,Pseudammodochium robustum,Naviculopsis species diversae,Hermesinum obliquum,Haplohermesinum hovassei,Distephanus speculum  f. cannopileus-hexacanthus,Dictyocha varia,Ammodochium pyramidale,Distephanus speculum (w/ long curved major spines),Distephanus speculum (bolivienoid w/ large w.),Distephanus frugalis (w/ 2aw.),Distephanus frugalis,Dictyocha fibula,Pseudammodochium fenestratum,Hermesinella fenestrata,Dictyocha messanensis messanensis,Actiniscus tetrasterias,Ebriopsoid skeletons,Corbisema species diversae,Ditripodium latum,Mesocena quadrangula,Distephanus speculum octonarius f. septenarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,M. quadrangula Subz.,A. pentasterias,104, 644,A, 12,H, 5,  66.00,    108.3600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,+                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,18            ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,1                   ,                                              ,Silicoflagellate specimens counted = 1; ebridian/actiniscidians specimens counted = 18; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,M. quadrangula Subz.,A. pentasterias,104, 644,A, 13,H, 1,  55.00,    111.7500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,3                                ,                                  ,1                                               ,                                               ,                ,                                  ,                                  ,                    ,                     ,47            ,2                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 4; ebridian/actiniscidians specimens counted = 49; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,A. pentasterias,104, 644,A, 14,H, 2,  78.00,    122.7700,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,1                                         ,1                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,8             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 4; ebridian/actiniscidians specimens counted = 49; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,A. pentasterias,104, 644,A, 14,H, 4,  65.00,    125.3500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,1             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 0; ebridian/actiniscidians specimens counted = 1; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,A. pentasterias,104, 644,A, 15,H, 3,  66.00,    133.8600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,1             ,+                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 0; ebridian/actiniscidians specimens counted = 1; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,A. pentasterias,104, 644,A, 15,H, 5,  66.00,    136.8600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,2             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,+                  ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,cf             ,                      ,                                                  ,                                              ,                              ,                    ,                ,2                           ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 1; ebridian/actiniscidians specimens counted = 4; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,A. pentasterias,104, 644,A, 16,H, 1,  66.00,    140.3600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,+                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,3             ,+                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,1                           ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 4; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,A. pentasterias,104, 644,A, 16,H, 4,  65.00,    144.8500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,+                                         ,3                                ,1                                 ,                                                ,                                               ,+               ,                                  ,                                  ,                    ,                     ,15            ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,cf                 ,                                           ,1                       ,                      ,                         ,1                            ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,1                ,                    ,                                              ,Silicoflagellate specimens counted = 5; ebridian/actiniscidians specimens counted = 17; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,A. pentasterias,104, 644,A, 17,H, 2,  66.00,    151.3600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,2                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,12            ,1                      ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 2; ebridian/actiniscidians specimens counted = 13; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,              ,104, 644,A, 17,H, 4,  66.00,    153.6300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,1                      ,                     ,                 ,                   ,                 ,                                          ,1                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,3             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,cf                 ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 2; ebridian/actiniscidians specimens counted = 4; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Ds. speculum      ,              ,104, 644,A, 18,H, 1,  48.00,    159.1800,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,+                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,3             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 3; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,              ,104, 644,A, 18,H, 6,  67.00,    166.8700,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,+                         ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,1                           ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = 1; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,              ,104, 644,A, 19,H, 5,  65.00,    174.8100,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,+                                         ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,+             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = P; ebridian/actiniscidians specimens counted = P; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,              ,104, 644,A, 20,H, 1,  65.00,    178.3500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,2             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,1                            ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,+                         ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 1; ebridian/actiniscidians specimens counted = 2; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 644,A, 20,H, 2,  70.00,    179.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,                                 ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,              ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,                                 ,                       ,                    ,                          ,                 ,                    ,                                              ,from ODP 104 SR  Chapter 28  Tables 4& 5  p 514-516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Ds. speculum      ,              ,104, 644,A, 20,H, 4,  66.00,    182.8600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                               ,                            ,                                                           ,                                                             ,                       ,                                          ,                                           ,                                            ,                       ,                           ,                     ,                       ,                     ,                 ,                   ,                 ,                                          ,1                                ,                                  ,                                                ,                                               ,                ,                                  ,                                  ,                    ,                     ,1             ,                       ,                                 ,                   ,                          ,                    ,                                ,                              ,                                                       ,                                                      ,                                     ,                                                                       ,                        ,                                                          ,                              ,                                          ,                       ,                   ,                                           ,                        ,                      ,                         ,                             ,                   ,                        ,                                                ,               ,                      ,                                                  ,                                              ,                              ,                    ,                ,                            ,                       ,1                                ,                       ,                    ,                          ,                 ,                    ,                                              ,Silicoflagellate specimens counted = 2; ebridian/actiniscidians specimens counted = 1; from ODP 104 SR  Chapter 30  Table 3  p 554-555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
