Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Globorotalia tumida	Globorotalia pseudomiocenica	Globorotalia plesiotumida	Dentoglobigerina altispira	Globigerinoides extremus	Truncorotalia tosaensis	Menardella miocenica	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Comment
  IR	Pleistocene      	Late Pliocene    	Pt1a              	PL6 - IndoPac 	194	1198	A	 12	H	CC	  21.00	    109.7700	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	F                      	                    	P                         	R                             	N21-N22 boundary. Fist rare.

  IR	Pleistocene      	Late Pliocene    	Pt1a              	PL6 - IndoPac 	194	1198	A	 13	H	CC	  18.00	    119.3200	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	R                      	                    	R                         	R                             	N21-N22. Fist+trunc pres.

  IR	Pleistocene      	Late Pliocene    	Pt1a              	PL6 - IndoPac 	194	1198	A	 14	H	CC	  11.00	    128.7800	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	                            	                         	                          	                        	R                      	                    	R                         	R                             	N21-N22. extrem?

  IR	Late Pliocene    	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1198	A	 15	H	CC	  36.00	    137.9800	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	F                           	                         	                          	R                       	P                      	                    	R                         	P                             	N21.

  IR	Late Pliocene    	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1198	A	 16	H	CC	  33.00	    148.0200	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	F                           	                         	                          	                        	                       	R                   	                          	                              	N21.

  IR	Late Pliocene    	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1198	A	 17	H	CC	  21.00	    157.2400	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	F                           	                         	                          	R                       	P                      	R                   	                          	                              	N21. No alti/semin/fist.

  IR	Late Pliocene    	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1198	A	 18	H	CC	  14.00	    166.8900	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	F                           	                         	                          	R                       	                       	P                   	R                         	                              	N21. -----"-----

  IR	Late Pliocene    	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1198	A	 19	H	CC	  19.00	    176.3800	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	F                           	                         	                          	R                       	P                      	P                   	R                         	                              	N21. -----"-----

  IR	Late Pliocene    	Late Pliocene    	PL5 - IndoPac     	PL4           	194	1198	A	 20	H	CC	  18.00	    185.9600	planks   	Planktonic Foraminifers                      	A              	G                 	                              	F                  	F                           	                         	A                         	R                       	                       	                    	                          	                              	N20-N21. No tosa.

  IR	Late Pliocene    	Late Pliocene    	PL5 - IndoPac     	PL4           	194	1198	A	 21	H	CC	  31.00	    195.0200	planks   	Planktonic Foraminifers                      	A              	M                 	                              	F                  	F                           	                         	A                         	R                       	                       	                    	                          	                              	N20-N21.

  IR	Late Pliocene    	Early Pliocene   	PL3               	Pl1a          	194	1198	A	 22	H	CC	  15.00	    202.9600	planks   	Planktonic Foraminifers                      	A              	M                 	P                             	F                  	F                           	                         	A                         	                        	                       	                    	                          	                              	N19?

  IR	Late Pliocene    	Early Pliocene   	PL3               	Pl1a          	194	1198	A	 23	X	CC	   5.00	    205.7900	planks   	Planktonic Foraminifers                      	A              	M                 	P                             	F                  	F                           	R                        	A                         	                        	                       	                    	                          	                              	N19. No nepenthes/punctic

