Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix miocenica	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira sp. cf. T.vulnifica	Thalassiosira praevulnifica	Thalassiosira oestrupii	Thalassiosira nativa	Thalassiosira lineata	Thalassiosira lentiginosa var. ovalis	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira insigna	Thalassiosira elliptipora (very elongate aerolae)	Thalassiosira elliptipora	Thalassiosira convexa var. aspinosa	Thalassiosira convexa	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Stephanopyxis turris	Simonseniella barboi	Rouxia spp.	Rouxia sp. 1	Rouxia naviculoides	Rouxia californica	Rocella gelida	Rhizosolenia styliformis	Rhizosolenia sp. A	Rhizosolenia hebetata f. semispina	Rhizosolenia hebetata f. hiemalis	Nitzschia weaveri	Nitzschia sp. cf. N.interfrigidaria	Nitzschia sp. aff. N.praeinterfrigidaria	Nitzschia reinholdii	Nitzschia praeinterfrigidaria	Nitzschia marina	Nitzschia kerguelenis	Nitzschia jouseae	Nitzschia interfrigidaria	Nitzschia fossilis	Nitzschia cylindrica	Nitzschia clementia	Nitzschia angulata	Neobrunia mirabilis	Hemidiscus triangularus	Hemidiscus karstenii f.1	Hemidiscus karstenii	Hemidiscus cuneiformis	Eucampia antarctica	Ethmodiscus sp. (fragments)	Denticulopsis hustedtii	Denticulopsis dimorpha	Cosmiodiscus intersectus	Coscinodiscus tabularis	Coscinodiscus marginatus	Coscinodiscus lineatus	Coscinodiscus endoi	Charcotia actinochilus	Chaetoceros sp. (spines)	Asteromphalus parvulus	Asteromphalus kennettii	Asteromphalus hookeri	Actinocyclus ingens (ovate form)	Actinocyclus ingens	Actinocyclus ellipticus	Actinocyclus divisus	Coscinodiscus insignis	Actinocyclus ingens var. planus	Comment

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  2	H	 2	 130.00	     10.0000	Ciesielski	Diatoms                                      	               	G                 	-                       	S                        	-                      	-                                	-                          	-                      	-                   	-                    	S                                    	A                        	-                   	-                    	-                                                	VR                       	-                                  	-                    	-                                      	-                          	-                   	-                   	C          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	C                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	rR                 	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  2	H	 3	 130.00	     11.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	S                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	F                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	F          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	S                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	-                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  2	H	 4	 130.00	     13.0000	Ciesielski	Diatoms                                      	               	M                 	-                       	R                        	-                      	-                                	-                          	-                      	-                   	-                    	S                                    	A                        	-                   	-                    	-                                                	VR                       	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	S                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	C                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	-                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T. lentiginosa    	              	114	 704	A	  2	H	 5	 130.00	     14.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	S                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	F                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	F                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	-                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  2	H	 7	  40.00	     16.6000	Ciesielski	Diatoms                                      	               	M                 	-                       	S                        	-                      	-                                	-                          	-                      	-                   	-                    	S                                    	A                        	-                   	-                    	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	S                                 	S                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	A                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	F                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  3	H	 1	  80.00	     17.5000	Ciesielski	Diatoms                                      	               	M                 	-                       	A                        	-                      	-                                	-                          	-                      	F                   	-                    	-                                    	A                        	-                   	-                    	-                                                	S                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	C                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  3	H	 2	  80.00	     19.0000	Ciesielski	Diatoms                                      	               	M                 	-                       	D                        	-                      	-                                	-                          	-                      	S                   	-                    	-                                    	C                        	-                   	-                    	-                                                	S                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  3	H	 3	  26.00	     19.9600	Ciesielski	Diatoms                                      	               	M                 	-                       	A                        	-                      	-                                	-                          	R                      	-                   	-                    	-                                    	S                        	-                   	-                    	-                                                	S                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  3	H	 4	  26.00	     21.4600	Ciesielski	Diatoms                                      	               	M                 	-                       	D                        	-                      	-                                	-                          	R                      	-                   	-                    	R                                    	C                        	-                   	-                    	-                                                	S                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	F                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  3	H	 5	  26.00	     22.9600	Ciesielski	Diatoms                                      	               	G                 	-                       	D                        	-                      	-                                	-                          	-                      	-                   	-                    	R                                    	C                        	-                   	-                    	-                                                	F                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	-                  	-                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  3	H	 6	  26.00	     24.4600	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	rR                     	R                                	-                          	S                      	S                   	-                    	R                                    	F                        	rF                  	rF                   	-                                                	-                        	-                                  	-                    	-                                      	-                          	-                   	rC                  	-          	-           	-                  	-                 	rVR           	-                       	-                 	S                                 	-                                	rF               	-                                  	-                                       	-                   	-                            	-               	C                    	-                	rR                       	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	S                  	S                          	-                      	-                     	-                       	-                      	rF                      	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  5	H	 1	  50.00	     36.2000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	R                      	-                   	-                    	-                                    	C                        	-                   	-                    	R                                                	F                        	R                                  	-                    	-                                      	-                          	-                   	-                   	VR         	-           	-                  	-                 	-             	-                       	-                 	-                                 	R                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  5	H	 2	  50.00	     37.7000	Ciesielski	Diatoms                                      	               	M                 	-                       	A                        	-                      	-                                	-                          	-                      	S                   	-                    	-                                    	C                        	-                   	-                    	S                                                	F                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	R                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  5	H	 3	  50.00	     39.2000	Ciesielski	Diatoms                                      	               	M                 	-                       	A                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	C                                                	F                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	R                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  5	H	 4	  50.00	     40.7000	Ciesielski	Diatoms                                      	               	M                 	-                       	D                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	C                                                	F                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  5	H	 5	  80.00	     42.5000	Ciesielski	Diatoms                                      	               	F                 	-                       	A                        	-                      	-                                	-                          	R                      	-                   	-                    	-                                    	A                        	-                   	-                    	F                                                	C                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	D                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	R                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  6	H	 1	  84.00	     46.0400	Ciesielski	Diatoms                                      	               	M                 	-                       	D                        	-                      	-                                	-                          	R                      	-                   	-                    	-                                    	F                        	-                   	-                    	-                                                	F                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	R                       	-                 	-                                 	R                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	C                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  6	H	 2	  84.00	     47.5400	Ciesielski	Diatoms                                      	               	M                 	-                       	D                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	F                        	-                   	-                    	R                                                	F                        	R                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	-                       	-                 	-                                 	-                                	-                	-                                  	-                                       	-                   	-                            	-               	A                    	-                	-                        	-                 	-                   	-                  	-                 	-                  	-                      	-                       	-                   	-                     	-                  	S                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	F                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	T.elliptip/A.ingens	              	114	 704	A	  6	H	 3	  84.00	     49.0400	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                                	-                          	-                      	-                   	-                    	-                                    	C                        	-                   	-                    	-                                                	C                        	-                                  	-                    	-                                      	-                          	-                   	-                   	-          	-           	-                  	-                 	-             	S                       	-                 	-                                 	S                                	-                	-                                  	-                                       	-                   	-                            	-               	C                    	-                	-                        	-                 	-                   	-                  	S                 	-                  	-                      	-                       	-                   	-                     	-                  	R                          	-                      	-                     	-                       	-                      	-                       	-                     	-                  	-                     	-                       	-                     	-                      	-                    	-                               	A                  	-                      	-                   	                      	                               	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
