Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Syracosphaera spp.	Rhabdosphaera stylifera	Pseudoemiliania lacunosa	Oolithotus fragilis	Helicosphaera kamptneri	Gephyrocapsa spp. (small)	Emiliania ovata	Cyclolithus annulus	Coccolithus pataecus	Calcidiscus macintyrei	Calcidiscus leptoporus	Thoracosphaera spp.	Scapholithus fossilis	Reticulofenestra spp. (small - medium)	Helicosphaera sellii	Helicosphaera hyalina	Hayaster perplexus	Thoracosphaera saxea	Rhabdosphaera clavigera	Pontosphaera spp.	Pontosphaera japonica	Helicosphaera pavimentum	Gephyrocapsa caribbeanica	Ceratolithus rugosus	Ceratolithus cristatus	Ceratolithus telesmus	Holodiscolithus spp.	Scyphosphaera sp. (fragment)	Discoaster brouweri	Thoracosphaera heimii	Scyphosphaera apsteinii	Gephyrocapsa oceanica	Coccolithus pelagicus	Scyphosphaera pulcherrima	Scyphosphaera galeana	Discoaster pentaradiatus (grainy)	Discoaster brouweri (grainy)	Sphenolithus abies	Discoaster spp. (fragments)	Discoaster spp. (5 rays)	Discoaster pentaradiatus	Scyphosphaera spp.	Discoaster tamalis (grainy)	Helicosphaera inversa	Pontosphaera indooceanica	Discoaster spp. (6 rays)	Emiliania huxleyi	Comment

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  6	H	 3	   7.00	     45.5700	Styzen   	Nannofossils                                 	               	                  	L                   	L                 	L                      	L                       	M                  	L                      	X                        	L              	R                  	R                   	R                     	C                     	S                  	S                    	                                      	                    	F                    	F                 	S                   	M                      	M                	                     	F                       	C                        	                    	R                     	                     	F                   	R                           	R                  	                     	                       	M                    	                     	                         	                     	                                 	                            	                  	                           	                        	S                       	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  7	H	 3	  45.00	     55.4500	Styzen   	Nannofossils                                 	               	                  	L                   	C                 	C                      	L                       	F                  	C                      	X                        	L              	S                  	S                   	                      	M                     	S                  	R                    	                                      	                    	S                    	                  	R                   	F                      	F                	                     	F                       	F                        	                    	                      	                     	F                   	R                           	                   	                     	                       	M                    	                     	                         	                     	R                                	                            	                  	S                          	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  7	H	 5	  44.00	     58.4400	Styzen   	Nannofossils                                 	               	                  	L                   	C                 	A                      	C                       	F                  	C                      	X                        	L              	S                  	S                   	R                     	F                     	S                  	S                    	                                      	                    	F                    	R                 	R                   	M                      	M                	R                    	R                       	F                        	                    	R                     	                     	S                   	R                           	R                  	                     	                       	C                    	                     	R                        	R                    	                                 	                            	                  	S                          	R                       	R                       	R                 	R                          	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  8	H	 1	 136.00	     62.8600	Styzen   	Nannofossils                                 	               	                  	C                   	M                 	L                      	L                       	S                  	C                      	X                        	A              	R                  	S                   	R                     	C                     	F                  	                     	                                      	                    	F                    	                  	R                   	F                      	F                	                     	R                       	M                        	                    	                      	R                    	R                   	S                           	                   	R                    	S                      	M                    	                     	                         	                     	                                 	                            	R                 	R                          	R                       	R                       	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	  9	H	 1	 144.00	     72.4400	Styzen   	Nannofossils                                 	               	                  	R                   	                  	R                      	S                       	R                  	R                      	C                        	R              	                   	                    	                      	R                     	                   	                     	                                      	                    	R                    	                  	                    	R                      	                 	                     	R                       	R                        	                    	                      	                     	                    	                            	                   	                     	                       	R                    	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	 10	H	 5	  31.00	     86.8100	Styzen   	Nannofossils                                 	               	                  	V                   	A                 	W                      	W                       	F                  	A                      	X                        	A              	S                  	F                   	                      	L                     	F                  	S                    	                                      	S                   	M                    	R                 	F                   	L                      	F                	                     	S                       	L                        	                    	S                     	                     	R                   	F                           	                   	                     	R                      	C                    	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	 11	H	 3	 104.00	     94.0400	Styzen   	Nannofossils                                 	               	                  	V                   	W                 	V                      	W                       	F                  	A                      	X                        	W              	R                  	F                   	                      	A                     	M                  	L                    	                                      	                    	M                    	                  	M                   	L                      	M                	                     	F                       	L                        	                    	S                     	R                    	L                   	S                           	                   	R                    	R                      	A                    	                     	                         	R                    	R                                	R                           	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	 11	H	 6	  40.00	     97.9000	Styzen   	Nannofossils                                 	               	                  	L                   	M                 	L                      	A                       	                   	L                      	X                        	A              	F                  	F                   	                      	C                     	F                  	F                    	                                      	S                   	F                    	                  	S                   	F                      	F                	R                    	R                       	C                        	R                   	S                     	                     	                    	R                           	                   	                     	R                      	L                    	                     	R                        	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	 11	H	CC	   0.00	     99.6200	Styzen   	Nannofossils                                 	               	                  	S                   	S                 	S                      	F                       	                   	F                      	A                        	M              	R                  	S                   	                      	S                     	                   	R                    	                                      	                    	                     	                  	R                   	S                      	R                	                     	S                       	S                        	                    	                      	                     	                    	                            	                   	                     	                       	S                    	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pleistocene      	                 	CN14a             	              	135	 839	A	 12	X	CC	   0.00	     99.8100	Styzen   	Nannofossils                                 	               	                  	V                   	V                 	V                      	W                       	                   	A                      	X                        	W              	S                  	F                   	                      	L                     	F                  	F                    	                                      	R                   	S                    	                  	R                   	C                      	F                	                     	S                       	L                        	                    	S                     	                     	F                   	                            	                   	F                    	R                      	M                    	R                    	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13b             	              	135	 839	A	 15	X	CC	   9.00	    129.6400	Styzen   	Nannofossils                                 	               	                  	A                   	C                 	A                      	V                       	R                  	A                      	X                        	W              	F                  	F                   	R                     	C                     	F                  	M                    	                                      	R                   	S                    	                  	R                   	R                      	F                	R                    	F                       	F                        	                    	S                     	                     	F                   	R                           	R                  	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13b             	              	135	 839	A	 17	X	CC	   4.00	    147.9400	Styzen   	Nannofossils                                 	               	                  	C                   	M                 	M                      	L                       	                   	L                      	X                        	A              	S                  	F                   	R                     	M                     	R                  	R                    	                                      	R                   	R                    	                  	                    	S                      	S                	                     	                        	S                        	                    	                      	                     	S                   	                            	                   	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13b             	              	135	 839	A	 18	X	CC	   0.00	    157.6000	Styzen   	Nannofossils                                 	               	                  	F                   	R                 	                       	L                       	                   	M                      	V                        	L              	R                  	F                   	                      	M                     	                   	R                    	                                      	                    	R                    	                  	                    	R                      	                 	                     	                        	S                        	                    	R                     	R                    	                    	                            	                   	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13b             	              	135	 839	A	 20	X	CC	  31.00	    176.8100	Styzen   	Nannofossils                                 	               	                  	F                   	S                 	F                      	L                       	                   	C                      	W                        	L              	                   	F                   	R                     	M                     	R                  	                     	                                      	S                   	R                    	                  	                    	R                      	R                	R                    	S                       	F                        	R                   	R                     	                     	                    	                            	                   	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13a             	              	135	 839	A	 21	X	CC	  35.00	    186.5500	Styzen   	Nannofossils                                 	               	                  	R                   	                  	                       	M                       	R                  	F                      	V                        	M              	                   	R                   	S                     	S                     	R                  	R                    	                                      	                    	                     	                  	R                   	                       	                 	                     	                        	                         	                    	                      	                     	                    	                            	                   	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13a             	              	135	 839	A	 22	X	CC	   3.00	    195.9300	Styzen   	Nannofossils                                 	               	                  	F                   	R                 	S                      	L                       	S                  	F                      	W                        	C              	                   	R                   	R                     	F                     	R                  	R                    	R                                     	R                   	R                    	R                 	                    	                       	                 	                     	                        	                         	                    	                      	                     	                    	                            	                   	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

  SR	Pliocene         	                 	CN13a             	              	135	 839	A	 23	X	CC	  29.00	    205.8900	Styzen   	Nannofossils                                 	               	                  	R                   	R                 	R                      	L                       	S                  	S                      	W                        	V              	R                  	F                   	M                     	F                     	                   	                     	                                      	                    	                     	                  	                    	                       	                 	                     	                        	                         	                    	                      	                     	                    	                            	                   	                     	                       	                     	                     	                         	                     	                                 	                            	                  	                           	                        	                        	                  	                           	                     	                         	                        	                 	from ODP Leg 135 SR Chapter 13 Table 9 p. 201

