Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella spp.,Serovaina spissiformis,Oridorsalis umbonatus,Nuttallides truempyi,Neoflabellina semireticulata,Linaresia grimsdalei,Lenticulina spp.,Gyroidinoides spp.,Dentalina spp.,Buliminella grata,Aragonia velascoensis,Pullenia jarvisi,Pseudoclavulina rugolosa,Gyroidinoides globosa,Conorbinoides hillebrandti,Bulimina spp.,Stensioina beccariiformis,Marssonella trochoides,Cibicidoides hyphalus,Bulimina velascoensis,Bulimina trinitatensis,Bulimina impendens,Tritaxa spp.,Nonion havanensis,Gyroidinoides neosoldanii,Spiroplectammina spectabilis,Spiroplectammina jarvisi,Gaudryina pyramidata,Bathysiphon spp.,Stilostomella subspinosa,Stilostomella gracillima,Quadratobuliminella pyramidalis,Pyramidina rudita,Clinapertina complanata,Bulimina semicostata,Bulimina jarvisi,Nodosaria spp.,Orthomorphina spp.,Karreriella bradyi,Cibicidoides spp.,Cibicidoides havanensis,Chrysalogonium tenuicostatum,Pullenia quinqueloba,Pleurostomella spp.,Osangularia plummerae,Nonion spp.,Cibicidoides eocaenus,Vulvulina spinosa,Vulvulina mexicana,Uvigerina spp.,Uvigerina havanensis,Pullenia bulloides,Oridorsalis tenera,Oridorsalis tener,Uvigerina graciliformis,Stilostomella abyssorum,Oolina spp.,Cibicidoides wuellerstorfi,Cibicidoides renzi,Chrysalogonium longicostatum,Anomalinoides semicribratus,Uvigerina hispidocostata,Uvigerina hispida,Melonis barleeanus,Martinottiella sp.,Gyroidinoides girardanus,Globocassidulina subglobosa,Francesita advena,Fissurina spp.,Eponides regularis,Eggerella bradyi,Cibicidoides mundulus,Pyrgo murrhina,Cibicidoides subhaidingeri,Cibicidoides incrassatus,Parafissurina spp.,Melonis sphaeroides,Pyrgo lucernula,Bulimina bleeckeri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A,  9,H,CC,  25.00,     84.6600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,+                 ,                      ,R                    ,                    ,                            ,                    ,                ,                  ,T             ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,F                       ,T                       ,                               ,                 ,                       ,                    ,                ,              ,                  ,R                 ,                 ,                       ,T                           ,                    ,                   ,                     ,R          ,                     ,                 ,                  ,R             ,                    ,T                 ,R                 ,                 ,                       ,                       ,R          ,                          ,                  ,                            ,                           ,F                       ,R                ,R                 ,F                 ,R                       ,F                          ,+                ,R             ,T                 ,R               ,T                    ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 11,H,CC,  21.00,    103.3700,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,R                     ,R                    ,                    ,                            ,                    ,                ,                  ,R             ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,C                       ,T                       ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,R                           ,                    ,T                  ,                     ,           ,                     ,                 ,                  ,T             ,                    ,T                 ,R                 ,                 ,+                      ,R                      ,R          ,F                         ,R                 ,R                           ,R                          ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 12,H,CC,  14.00,    112.8900,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,                      ,R                    ,T                   ,                            ,                    ,                ,R                 ,              ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,F                 ,            ,                 ,                         ,                            ,                        ,                    ,                ,F                       ,F                       ,                               ,                 ,                       ,                    ,                ,R             ,R                 ,                  ,T                ,                       ,R                           ,                    ,R                  ,                     ,           ,                     ,R                ,T                 ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 13,H, 2,  45.00,    114.6500,benthics ,Benthic Foraminifers                         ,F              ,G                 ,R                 ,                      ,R                    ,                    ,                            ,                    ,                ,                  ,R             ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,R                 ,            ,                 ,T                        ,                            ,                        ,                    ,                ,R                       ,                        ,                               ,                 ,                       ,                    ,F               ,T             ,                  ,                  ,T                ,                       ,R                           ,                    ,T                  ,                     ,           ,                     ,F                ,R                 ,              ,T                   ,R                 ,                  ,T                ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 13,H,CC,  16.00,    122.1700,benthics ,Benthic Foraminifers                         ,F              ,G                 ,F                 ,R                     ,R                    ,                    ,                            ,                    ,                ,                  ,R             ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,F                 ,            ,                 ,                         ,                            ,                        ,                    ,                ,R                       ,T                       ,                               ,                 ,                       ,+                   ,F               ,T             ,R                 ,                  ,R                ,                       ,R                           ,                    ,                   ,                     ,           ,                     ,F                ,R                 ,T             ,R                   ,F                 ,T                 ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 14,H, 1,  80.00,    123.0000,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                 ,                      ,                     ,                    ,                            ,F                   ,                ,                  ,              ,T                ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,R                     ,R                 ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,F             ,R                 ,T                 ,                 ,                       ,                            ,T                   ,R                  ,F                    ,R          ,R                    ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 14,H,CC,  11.00,    131.2200,benthics ,Benthic Foraminifers                         ,C              ,P                 ,R                 ,                      ,R                    ,                    ,                            ,F                   ,                ,                  ,              ,R                ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,F             ,                  ,T                 ,                 ,                       ,                            ,T                   ,R                  ,F                    ,R          ,R                    ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 15,H,CC,   8.00,    141.0400,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,                      ,F                    ,R                   ,                            ,                    ,                ,                  ,F             ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,R                     ,F                 ,            ,                 ,                         ,                            ,                        ,                    ,T               ,R                       ,F                       ,                               ,                 ,                       ,C                   ,R               ,R             ,F                 ,R                 ,+                ,F                      ,R                           ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 17,H,CC,   8.00,    160.4700,benthics ,Benthic Foraminifers                         ,R              ,M                 ,T                 ,                      ,R                    ,R                   ,                            ,                    ,                ,T                 ,              ,R                ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,R                 ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,R                       ,                               ,                 ,                       ,F                   ,R               ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 19,H,CC,   9.00,    178.9500,benthics ,Benthic Foraminifers                         ,R              ,M                 ,R                 ,                      ,R                    ,R                   ,                            ,                    ,T               ,                  ,              ,                 ,                     ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,F                      ,                    ,R               ,F             ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 20,H,CC,   8.00,    188.9700,benthics ,Benthic Foraminifers                         ,T              ,M                 ,T                 ,                      ,                     ,R                   ,                            ,                    ,                ,                  ,              ,T                ,T                    ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,+                       ,R                       ,R                              ,T                ,R                      ,R                   ,F               ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 21,H,CC,  13.00,    198.3600,benthics ,Benthic Foraminifers                         ,R              ,G                 ,R                 ,                      ,                     ,                    ,                            ,                    ,R               ,                  ,R             ,                 ,                     ,                ,C                       ,                     ,R                         ,             ,F                        ,                      ,                     ,                     ,                      ,                  ,R           ,                 ,                         ,T                           ,F                       ,T                   ,R               ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 23,H,CC,   9.00,    217.5500,benthics ,Benthic Foraminifers                         ,F              ,G                 ,T                 ,                      ,F                    ,R                   ,                            ,                    ,                ,                  ,R             ,C                ,R                    ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,R                    ,R                     ,+                 ,T           ,T                ,T                        ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 24,H,CC,  11.00,    227.0900,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                  ,T                     ,F                    ,R                   ,                            ,                    ,                ,                  ,              ,T                ,F                    ,                ,                        ,                     ,R                         ,             ,+                        ,C                     ,T                    ,C                    ,R                     ,+                 ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 25,H,CC,  13.00,    236.4800,benthics ,Benthic Foraminifers                         ,A              ,G                 ,                  ,R                     ,C                    ,C                   ,                            ,                    ,R               ,R                 ,R             ,                 ,F                    ,R               ,C                       ,R                    ,T                         ,R            ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1209,A, 27,X,CC,  12.00,    251.5400,benthics ,Benthic Foraminifers                         ,R              ,M                 ,T                 ,T                     ,R                    ,F                   ,T                           ,T                   ,R               ,R                 ,R             ,R                ,R                    ,                ,                        ,                     ,                          ,             ,                         ,                      ,                     ,                     ,                      ,                  ,            ,                 ,                         ,                            ,                        ,                    ,                ,                        ,                        ,                               ,                 ,                       ,                    ,                ,              ,                  ,                  ,                 ,                       ,                            ,                    ,                   ,                     ,           ,                     ,                 ,                  ,              ,                    ,                  ,                  ,                 ,                       ,                       ,           ,                          ,                  ,                            ,                           ,                        ,                 ,                  ,                  ,                        ,                           ,                 ,              ,                  ,                ,                     ,              ,                          ,                        ,                  ,                   ,               ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
