Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugoglobigerina rugosa,Rugoglobigerina pennyi,Rugoglobigerina milamensis,Rugoglobigerina macrocephala,Rugoglobigerina hexacamerata,Racemiguembelina fructicosa,Pseudotextularia nuttalli,Pseudotextularia elegans,Pseudoguembelina costulata,Heterohelix rajagopalani,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana orientalis,Globotruncana linneiana,Globotruncana bulloides,Globigerinelloides subcarinatus,Globigerinelloides multispinus,Contusotruncana contusa,Abathomphalus mayaroensis,Abathomphalus intermedius,Rugoglobigerina rotundata,Pseudoguembelina excolata,Heterohelix carinata,Heterohelix globulosa,Globotruncanella petaloidea,Globotruncana rosetta,Globigerinelloides messinae,Gansserina gansseri,Pseudoguembelina hariaensis,Hedbergella holmdelensis,Globotruncanita stuartiformis,Woodringina hornerstownensis,Woodringina claytonensis,Whiteinella praehelvetica,Praemurica pseudoinconstans,Guembelitria cretacea,Praemurica taurica,Parvularugoglobigerina eugubina,Eoglobigerina eobulloides,Chiloguembelina morsei,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Globanomalina compressa,Globanomalina chapmani,Subbotina triloculinoides,Morozovella velascoensis,Morozovella conicotruncata,Igorina pusilla,Globanomalina pseudomenardii,Igorina albeari,Acarinina soldadoensis,Acarinina nitida,Acarinina mckannai,Subbotina velascoensis,Morozovella subbotinae,Morozovella occlusa,Morozovella pasionensis,Subbotina eocaena,Morozovella aequa,Morozovella gracilis,Subbotina triangularis,Morozovella marginodentata,Acarinina pseudotopilensis,Morozovella acuta,Morozovella formosa,Morozovella aragonensis,Chiloguembelina cubensis,Acarinina coalingensis,Morozovella caucasica,Truncorotaloides rohri,Igorina broedermanni,Globigerinatheka senni,Acarinina quetra,Acarinina pentacamerata,Acarinina libyaensis,Morozovella spinulosa,Hantkenina sp.,Guembelitrioides higginsi,Acarinina topilensis,Acarinina bullbrooki,Hantkenina mexicana,Globigerinatheka subconglobata,Globigerinatheka index,Acarinina primitiva,Orbulinoides beckmanni,Globigerinatheka mexicana,Turborotalia ampliapertura,Hantkenina alabamensis,Globigerina euapertura,Globigerina angustiumbilicata,Catapsydrax unicavus,Catapsydrax dissimilis,Globorotaloides suteri,Globoquadrina venezuelana,Subbotina angiporoides,Globoquadrina tripartita,Tenuitella gemma,Pseudohastigerina micra,Paragloborotalia nana,Globoquadrina baroemoenensis,Globigerina praebulloides,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globorotalia miozea,Globigerinoides trilobus,Globigerina decoraperta,Dentoglobigerina altispira,Globoturborotalita druryi,Globoquadrina dehiscens,Globigerina druryi,Globorotalia merotumida,Globorotalia conoidea,Globigerina bulloides,Globorotalia tumida,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia margaritae,Globorotalia challengeri,Globigerinoides sacculifer,Globigerinoides extremus,Globigerinoides conglobatus,Sphaeroidinella dehiscens s.l.,Globorotalia conomiozea,Globoconella conomiozea,Globigerinella aequilateralis,Truncorotalia crassaformis,Globorotalia menardii,Globorotalia limbata,Globorotalia crassula,Globigerinoides ruber,Globigerinoides obliquus,Globigerinita glutinata,Truncorotalia tosaensis,Neogloboquadrina pachyderma (dextral),Globorotalia inflata,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Pulleniatina spectabilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,N21               ,N21           ,198,1209,A,  5,H,CC,  35.00,     46.5600,planks   ,Planktonic Foraminifers                      ,C              ,P                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,                              ,P                ,                  ,                        ,                            ,                              ,                   ,                        ,                       ,                          ,                         ,                       ,                  ,                       ,                     ,F                    ,F                  ,                    ,                         ,                       ,                        ,F                         ,                        ,F                          ,F                             ,                       ,                       ,                             ,F                         ,F                    ,                    ,                     ,                     ,                        ,                       ,R                      ,F                                    ,F                   ,                          ,                         ,                              ,                     ,                            ,                        ,"pk fragmented, rads R"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,N19-N20           ,N19-N20       ,198,1209,A,  6,H,CC,  25.00,     56.0900,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,F                             ,F                ,                  ,F                       ,                            ,                              ,                   ,F                       ,                       ,F                         ,                         ,                       ,                  ,                       ,                     ,F                    ,                   ,                    ,                         ,                       ,                        ,F                         ,F                       ,F                          ,F                             ,                       ,                       ,F                            ,F                         ,F                    ,F                   ,F                    ,F                    ,F                       ,F                      ,                       ,                                     ,                    ,                          ,                         ,                              ,                     ,                            ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,N19-N20           ,N19-N20       ,198,1209,A,  7,H,CC,  22.00,     65.5300,planks   ,Planktonic Foraminifers                      ,C              ,P                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,F                             ,F                ,F                 ,                        ,F                           ,                              ,                   ,F                       ,                       ,                          ,                         ,                       ,                  ,                       ,F                    ,                     ,                   ,                    ,                         ,                       ,                        ,                          ,                        ,                           ,R                             ,F                      ,+                      ,F                            ,                          ,                     ,                    ,                     ,                     ,                        ,                       ,                       ,                                     ,                    ,                          ,                         ,                              ,                     ,                            ,                        ,pk fragmented and strongly dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N18               ,N18           ,198,1209,A,  8,H,CC,  20.00,     75.0800,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,                         ,                      ,                        ,                ,                       ,                     ,                            ,                         ,F                             ,F                ,F                 ,R                       ,F                           ,                              ,F                  ,                        ,                       ,F                         ,+                        ,                       ,                  ,                       ,F                    ,F                    ,F                  ,R                   ,F                        ,R                      ,R                       ,F                         ,F                       ,F                          ,                              ,                       ,                       ,                             ,                          ,                     ,                    ,                     ,                     ,                        ,                       ,                       ,                                     ,                    ,                          ,                         ,                              ,                     ,                            ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N17a              ,N17a          ,198,1209,A,  9,H,CC,  25.00,     84.6600,planks   ,Planktonic Foraminifers                      ,A              ,P                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,F                        ,                      ,                        ,                ,                       ,                     ,                            ,                         ,A                             ,F                ,F                 ,                        ,A                           ,                              ,                   ,                        ,                       ,F                         ,                         ,                       ,                  ,F                      ,F                    ,F                    ,                   ,                    ,                         ,                       ,                        ,                          ,                        ,                           ,                              ,                       ,                       ,                             ,                          ,                     ,                    ,                     ,                     ,                        ,                       ,                       ,                                     ,                    ,                          ,                         ,                              ,                     ,                            ,                        ,pk fragmented and  strongly dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N14               ,N15           ,198,1209,A, 10,H,CC,  21.00,     94.0600,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,A                        ,                      ,                        ,                ,                       ,                     ,                            ,R                        ,A                             ,F                ,R                 ,F                       ,F                           ,F                             ,                   ,                        ,F                      ,R                         ,F                        ,A                      ,F                 ,                       ,                     ,                     ,                   ,                    ,                         ,                       ,                        ,                          ,                        ,                           ,                              ,                       ,                       ,                             ,                          ,                     ,                    ,                     ,                     ,                        ,                       ,                       ,                                     ,                    ,                          ,                         ,                              ,                     ,                            ,                        ,pk fragmented and dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N14               ,N15           ,198,1209,A, 11,H,CC,  21.00,    103.3700,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                      ,                          ,                            ,                            ,                           ,                         ,                        ,                          ,                        ,                       ,                           ,                        ,                       ,                       ,                               ,                              ,                       ,                         ,                         ,                         ,                         ,                    ,                     ,                           ,                     ,                           ,                   ,                           ,                        ,                             ,                            ,                        ,                         ,                           ,                     ,                  ,                               ,                         ,                      ,                   ,                     ,                             ,                       ,                      ,                         ,                        ,                          ,               ,                            ,               ,                      ,                ,                  ,                      ,                      ,                   ,                       ,                 ,                 ,                    ,                      ,                          ,                          ,                 ,                   ,                       ,                        ,                      ,                     ,                      ,                    ,                      ,                ,                       ,                    ,                     ,              ,                         ,                    ,                    ,                   ,                              ,                      ,                   ,                      ,                         ,                          ,                      ,                      ,                             ,                    ,                      ,                      ,A                        ,                      ,                        ,                ,                       ,                     ,                            ,                         ,F                             ,F                ,F                 ,R                       ,F                           ,F                             ,F                  ,F                       ,R                      ,F                         ,                         ,                       ,                  ,                       ,                     ,                     ,                   ,                    ,                         ,                       ,                        ,                          ,                        ,                           ,                              ,                       ,                       ,                             ,                          ,                     ,                    ,                     ,                     ,                        ,                       ,                       ,                                     ,                    ,                          ,                         ,                              ,                     ,                            ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
