Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paramesocena circulus,Hermesinum adriaticum,Ebriopsis antiqua cornuta,Ebriopsis antiqua antiqua,Ammodochium rectangulare,Distephanus jimlingii,Distephanus speculum,Distephanus quinquangellus,Dictyocha pentagona,Distephanus speculum cannopiloides,Mesocena elliptica,Dictyocha fibula,Dictyocha subarctios,Mesocena quadrangula,Dictyocha mandrai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 11,H, 4, 108.00,     93.0800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,R                   ,R                   ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 11,H, 5,  98.00,     94.4800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,F                   ,F                   ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 12,H, 6,  51.00,    105.2100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,F                   ,F                   ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 12,H,CC,  25.00,    107.2500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,R                   ,R                   ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 13,H, 1,  80.00,    107.6000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,R                 ,R               ,C                   ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 13,H, 5,  80.00,    113.6000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,R                 ,R               ,R                   ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 13,H,CC,  25.00,    116.7300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,R               ,R                   ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 15,H, 3,  76.00,    129.8600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,R               ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 15,H, 5,  76.00,    132.8600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,R               ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 15,H,CC,  23.00,    135.9900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 16,H, 1,  80.00,    136.6000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 17,H, 2,  83.00,    147.8300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 17,H, 3,  83.00,    149.3300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 17,H, 6,  83.00,    153.8300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,F                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 17,H, 7,  45.00,    154.9500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,C                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 17,H,CC,  31.00,    155.3900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,F                        ,F                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 18,H, 3,  80.00,    159.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,F                        ,R                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 18,H, 5,  80.00,    162.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                     ,                     ,                         ,F                        ,F                       ,                     ,A                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 18,H, 7,  80.00,    165.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,                         ,C                        ,F                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 18,H,CC,  28.00,    165.3300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,F                        ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 19,H,CC,  26.00,    174.8800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 20,H,CC,  27.00,    184.5900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 21,X,CC,  40.00,    194.0500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 22,X,CC,  32.00,    203.5000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,                         ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 23,X, 7,  48.00,    212.9800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 24,X, 7,  31.00,    222.4100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 25,X, 5,  79.00,    229.5900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,R                    ,                         ,F                        ,F                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 25,X,CC,  26.00,    232.6300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 27,X, 1,  80.00,    242.2000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,R                    ,                         ,R                        ,R                       ,                     ,R                   ,R                         ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 27,X, 3,  80.00,    245.2000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,                         ,                        ,                     ,R                   ,R                         ,                   ,                                  ,R                 ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 27,X,CC,  13.00,    246.7600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 28,X, 1,  44.00,    247.5400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,F                       ,                     ,                    ,R                         ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 28,X,CC,  15.00,    247.7500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,R                        ,F                        ,                        ,                     ,                    ,                          ,                   ,                                  ,R                 ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 29,X, 1,  80.00,    251.7000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,F                        ,R                        ,C                       ,                     ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 29,X, 5,  60.00,    257.5000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,G                 ,                     ,R                    ,C                        ,C                        ,A                       ,F                    ,R                   ,R                         ,                   ,                                  ,F                 ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 29,X,CC,  23.00,    258.0500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,R                 ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 30,X, 1,  80.00,    261.3000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,F                       ,R                    ,                    ,                          ,                   ,R                                 ,R                 ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 30,X, 3,  80.00,    264.3000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,                         ,R                       ,R                    ,                    ,                          ,                   ,R                                 ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 30,X,CC,  26.00,    270.2200,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,R                 ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 31,X, 1,  80.00,    271.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,R                       ,R                    ,                    ,                          ,R                  ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 31,X, 3,  80.00,    274.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,                         ,F                       ,R                    ,                    ,                          ,R                  ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 31,X, 5,  80.00,    277.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                     ,                     ,R                        ,                         ,C                       ,F                    ,                    ,                          ,R                  ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 31,X,CC,  27.00,    278.7900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,                        ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 32,X, 1,  80.00,    279.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,G                 ,                     ,                     ,R                        ,                         ,A                       ,A                    ,                    ,                          ,F                  ,R                                 ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 32,X, 3,  80.00,    282.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                     ,                     ,                         ,R                        ,C                       ,C                    ,F                   ,                          ,R                  ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 32,X, 5,  80.00,    285.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                     ,                     ,                         ,R                        ,C                       ,F                    ,R                   ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 32,X,CC,  28.00,    287.9000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 33,X,CC,   6.00,    297.5200,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 34,X,CC,  13.00,    306.6600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,F                       ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 35,X,CC,  33.00,    317.0900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,R                       ,R                    ,                    ,                          ,R                  ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 37,X,CC,  38.00,    336.3800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,R                        ,R                        ,R                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 38,X,CC,  37.00,    346.1100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,                     ,                         ,R                        ,                        ,                     ,                    ,                          ,R                  ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 40,X, 1,  86.00,    356.4600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,B              ,                  ,                     ,F                    ,F                        ,F                        ,F                       ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 40,X, 3,  86.00,    359.4600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,R                        ,R                        ,                        ,                     ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 40,X, 5,  86.00,    362.4600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                     ,R                    ,                         ,R                        ,R                       ,R                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 40,X,CC,  34.00,    365.5000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,                     ,R                        ,F                        ,F                       ,F                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,A, 41,X, 1,  80.00,    366.1000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                     ,F                    ,                         ,R                        ,R                       ,F                    ,                    ,                          ,                   ,                                  ,                  ,                ,                    ,                    ,                 ,from ODP Legs 127&128 Chapter 14 Table 4 p 246-247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
