Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Velicucullus oddgurneri	Spongocore puella	Siphocampe arachnea	Pseudodictyophimus amundseni	Hexalonche ? nakasekoi	Gondwanaria japonica kiaeri	Eucyrtidium saccoi	Eucyrtidium biconicum	Cyrtocapsella tetrapera	Cyrtocapsella kladaros	Cyrtocapsella eldholmi	Cyrtocapsella ampullacea	Corythospyris jubata	Corythospyris jjubata sverdrupi	Corythospyris hispida	Corythospyris fiscella	Clathrospyris sandellae	Ceratocyrtis broeggeri	Actinomma mirabile	Actinomma livae	Actinomma holtedahli	Actinomma henningsmoeni	Acrosphaera spinosa echinoides	Comment
  SR	                 	                 	C. eldholmi       	              	104	 642	D	  2	X	CC	  31.00	    199.5600	Goll     	Radiolarians                                 	A              	G                 	-                      	-                	D                  	-                           	-                     	-                          	A                 	SP                   	                       	-                     	R                     	-                       	-                   	-                              	SP                   	-                     	R                      	-                     	-                 	C              	T                   	-                      	T                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. eldholmi       	              	104	 642	D	  3	X	 1	  25.00	    199.8500	Goll     	Radiolarians                                 	R              	G                 	-                      	-                	-                  	-                           	D                     	-                          	A                 	A                    	T                      	-                     	T                     	-                       	-                   	-                              	-                    	R                     	C                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. eldholmi       	              	104	 642	D	  3	X	 2	  25.00	    201.3500	Goll     	Radiolarians                                 	A              	G                 	T                      	-                	SP                 	T                           	SP                    	-                          	C                 	R                    	T                      	-                     	T                     	-                       	-                   	-                              	-                    	R                     	C                      	-                     	-                 	-              	R                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	P. amundseni      	              	104	 642	D	  3	X	 3	  25.00	    202.8500	Goll     	Radiolarians                                 	A              	G                 	SP                     	-                	SP                 	SP                          	D                     	-                          	SP                	SP                   	-                      	-                     	-                     	-                       	-                   	-                              	-                    	R                     	C                      	-                     	-                 	-              	C                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	P. amundseni      	              	104	 642	D	  3	X	 4	  25.00	    204.3500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	D                  	SP                          	SP                    	-                          	SP                	R                    	-                      	-                     	-                     	-                       	-                   	SP                             	-                    	R                     	C                      	-                     	-                 	-              	SP                  	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	P. amundseni      	              	104	 642	D	  3	X	 5	  25.00	    205.8500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	SP                 	SP                          	VD                    	-                          	SP                	T                    	-                      	-                     	-                     	-                       	T                   	SP                             	-                    	C                     	C                      	-                     	-                 	-              	SP                  	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	P. amundseni      	              	104	 642	D	  3	X	CC	  23.00	    207.4300	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	-                  	SP                          	D                     	-                          	                  	-                    	T                      	-                     	-                     	-                       	-                   	C                              	-                    	A                     	R                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. jubata sverdrupi	              	104	 642	D	  4	X	 1	  24.00	    209.4400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	-                  	-                           	D                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	-                   	SP                             	-                    	C                     	R                      	-                     	-                 	-              	T                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. jubata sverdrupi	              	104	 642	D	  4	X	 2	  24.00	    210.9400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	T                  	-                           	F                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	T                   	R                              	-                    	C                     	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. jubata sverdrupi	              	104	 642	D	  4	X	 3	  24.00	    212.4400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	-                  	-                           	F                     	-                          	-                 	-                    	-                      	-                     	-                     	-                       	T                   	SP                             	-                    	SP                    	R                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. jubata sverdrupi	              	104	 642	D	  4	X	 4	  24.00	    213.9400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	R                  	-                           	VD                    	-                          	-                 	-                    	-                      	-                     	-                     	-                       	-                   	T                              	-                    	SP                    	R                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. jubata sverdrupi	              	104	 642	D	  4	X	 5	  24.00	    215.4400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	SP                 	-                           	D                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	T                   	A                              	-                    	C                     	R                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. jubata sverdrupi	              	104	 642	D	  4	X	 6	  24.00	    216.9400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	SP                 	-                           	D                     	-                          	                  	-                    	-                      	-                     	-                     	-                       	T                   	SP                             	-                    	A                     	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  4	X	CC	  32.00	    218.8200	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	C                  	-                           	VA                    	-                          	R                 	T                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	SP                    	T                      	-                     	-                 	-              	T                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	 1	  24.00	    219.1400	Goll     	Radiolarians                                 	A              	G                 	VA                     	-                	T                  	-                           	D                     	-                          	                  	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	C                     	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	 2	  24.00	    220.6400	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	T                  	-                           	D                     	-                          	                  	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	A                     	R                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	 3	  24.00	    222.1400	Goll     	Radiolarians                                 	F              	G                 	C                      	-                	T                  	-                           	D                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	R                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	 4	  24.00	    223.6400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	T                  	-                           	F                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	C                     	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	 5	  24.00	    225.1400	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	T                  	-                           	D                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	C                     	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	 6	  24.00	    226.6400	Goll     	Radiolarians                                 	F              	G                 	C                      	-                	T                  	-                           	R                     	-                          	-                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	SP                    	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	C. sandellae      	              	104	 642	D	  5	X	CC	  28.00	    228.6100	Goll     	Radiolarians                                 	F              	G                 	C                      	-                	-                  	-                           	C                     	-                          	-                 	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	C                     	T                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  6	X	 1	  30.00	    228.8000	Goll     	Radiolarians                                 	F              	G                 	C                      	-                	-                  	-                           	SP                    	T                          	-                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	R                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  6	X	 2	  30.00	    230.3000	Goll     	Radiolarians                                 	R              	G                 	SP                     	-                	-                  	-                           	SP                    	T                          	-                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	C                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  6	X	 3	  30.00	    231.8000	Goll     	Radiolarians                                 	A              	G                 	D                      	-                	-                  	-                           	R                     	A                          	SP                	-                    	T                      	-                     	-                     	-                       	T                   	-                              	-                    	C                     	-                      	-                     	-                 	-              	SP                  	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  6	X	 4	  30.00	    233.3000	Goll     	Radiolarians                                 	A              	G                 	D                      	-                	-                  	-                           	-                     	VA                         	T                 	-                    	-                      	-                     	-                     	-                       	T                   	-                              	-                    	C                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  6	X	 5	  30.00	    234.8000	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	-                  	-                           	-                     	VA                         	R                 	-                    	-                      	-                     	-                     	-                       	T                   	-                              	-                    	SP                    	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  6	X	 6	  24.00	    236.2400	Goll     	Radiolarians                                 	F              	G                 	A                      	-                	-                  	-                           	-                     	D                          	SP                	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	SP                    	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	 1	  24.00	    238.4400	Goll     	Radiolarians                                 	A              	G                 	VA                     	-                	-                  	-                           	-                     	D                          	SP                	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	C                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	 2	  24.00	    239.9400	Goll     	Radiolarians                                 	F              	G                 	A                      	-                	-                  	-                           	T                     	SP                         	R                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	R                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	 3	  24.00	    241.4400	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	-                  	-                           	T                     	A                          	SP                	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	SP                    	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	 4	  24.00	    242.9400	Goll     	Radiolarians                                 	F              	G                 	A                      	-                	-                  	-                           	T                     	A                          	SP                	-                    	T                      	-                     	-                     	-                       	-                   	-                              	-                    	SP                    	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	 5	  24.00	    244.4400	Goll     	Radiolarians                                 	R              	G                 	C                      	-                	-                  	-                           	-                     	SP                         	-                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	T                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	 6	  24.00	    245.9400	Goll     	Radiolarians                                 	R              	G                 	C                      	-                	-                  	-                           	-                     	SP                         	-                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	T                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  7	X	CC	  27.00	    247.9500	Goll     	Radiolarians                                 	F              	G                 	C                      	-                	T                  	-                           	-                     	SP                         	T                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	SP                    	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  8	X	 1	  70.00	    248.5000	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	SP                 	-                           	-                     	A                          	-                 	-                    	-                      	-                     	-                     	-                       	C                   	-                              	-                    	A                     	-                      	-                     	-                 	-              	R                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  8	X	 2	  25.00	    249.5500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	R                  	-                           	F                     	C                          	A                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	C                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	G. japonica kiaeri	              	104	 642	D	  8	X	 3	  25.00	    251.0500	Goll     	Radiolarians                                 	A              	G                 	VA                     	-                	-                  	-                           	VA                    	T                          	T                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	D                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  8	X	 4	  30.00	    252.6000	Goll     	Radiolarians                                 	A              	G                 	VA                     	-                	-                  	-                           	C                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	A                   	-                              	-                    	D                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  8	X	 5	  25.00	    254.0500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	T                  	-                           	SP                    	-                          	R                 	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	D                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  8	X	 6	  25.00	    255.5500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	T                  	-                           	C                     	-                          	-                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  8	X	CC	  22.00	    257.3900	Goll     	Radiolarians                                 	F              	G                 	A                      	-                	-                  	-                           	SP                    	-                          	R                 	-                    	-                      	-                     	-                     	-                       	C                   	-                              	-                    	D                     	-                      	-                     	-                 	-              	T                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	 1	  25.00	    257.7500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	-                  	-                           	C                     	-                          	R                 	-                    	-                      	-                     	-                     	-                       	C                   	-                              	-                    	D                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	 2	  25.00	    259.2500	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	-                  	-                           	SP                    	-                          	SP                	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	D                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	 3	  25.00	    260.7500	Goll     	Radiolarians                                 	A              	G                 	VA                     	-                	-                  	-                           	SP                    	-                          	SP                	-                    	T                      	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	 4	  25.00	    262.2500	Goll     	Radiolarians                                 	C              	M                 	A                      	-                	SP                 	-                           	SP                    	-                          	T                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	 5	  25.00	    263.7500	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	T                  	-                           	-                     	-                          	SP                	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	 6	  25.00	    265.2500	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	T                  	-                           	C                     	-                          	T                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	C                     	-                      	-                     	-                 	-              	-                   	-                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	E. saccoi         	              	104	 642	D	  9	X	CC	  31.00	    267.2900	Goll     	Radiolarians                                 	C              	M                 	A                      	T                	R                  	-                           	SP                    	-                          	SP                	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	C                     	-                      	-                     	-                 	-              	T                   	SP                     	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	 1	  25.00	    267.3500	Goll     	Radiolarians                                 	F              	M                 	C                      	-                	T                  	-                           	-                     	-                          	-                 	-                    	T                      	-                     	-                     	-                       	R                   	-                              	-                    	SP                    	-                      	-                     	-                 	-              	T                   	R                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	 2	  25.00	    268.8500	Goll     	Radiolarians                                 	C              	G                 	A                      	-                	T                  	-                           	-                     	-                          	-                 	-                    	SP                     	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	-                      	-                     	-                 	-              	T                   	C                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	 3	  25.00	    270.3500	Goll     	Radiolarians                                 	A              	M                 	A                      	-                	                   	-                           	SP                    	-                          	-                 	-                    	T                      	-                     	-                     	-                       	SP                  	-                              	-                    	A                     	-                      	-                     	-                 	-              	-                   	C                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	 4	  25.00	    271.8500	Goll     	Radiolarians                                 	A              	M                 	A                      	-                	T                  	-                           	SP                    	-                          	-                 	-                    	T                      	-                     	-                     	-                       	SP                  	-                              	-                    	D                     	-                      	-                     	-                 	-              	-                   	D                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	 5	  25.00	    273.3500	Goll     	Radiolarians                                 	C              	M                 	A                      	-                	T                  	-                           	R                     	-                          	-                 	-                    	-                      	-                     	-                     	-                       	T                   	-                              	-                    	C                     	-                      	-                     	-                 	-              	-                   	C                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	 6	  25.00	    274.8500	Goll     	Radiolarians                                 	A              	G                 	A                      	-                	SP                 	-                           	SP                    	-                          	-                 	-                    	-                      	-                     	-                     	-                       	-                   	-                              	-                    	R                     	-                      	-                     	-                 	-              	-                   	VA                     	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 10	X	CC	  32.00	    276.8400	Goll     	Radiolarians                                 	F              	G                 	A                      	-                	-                  	-                           	SP                    	-                          	-                 	-                    	-                      	-                     	-                     	-                       	R                   	-                              	-                    	T                     	-                      	-                     	-                 	-              	-                   	A                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

  SR	                 	                 	A. henningsmoeni  	              	104	 642	D	 11	X	 1	  65.00	    277.4500	Goll     	Radiolarians                                 	A              	G                 	R                      	-                	-                  	-                           	T                     	-                          	-                 	-                    	-                      	-                     	-                     	-                       	SP                  	-                              	-                    	VA                    	-                      	-                     	-                 	-              	R                   	T                      	-                             	from ODP 104 SR Chapter 35 Table 4 p 713

