Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera angelina,Stichocorys sp. P,Sphaeropyle robusta,Lychnocanium nipponicum,Diplocyclas cornutoides,Axoprunum acquilonius,Stichocorys delmontensis,Clathrocyclas bicornis group,Lipmanella redondoensis,Eucyrtidium cienkowskii,Androcyclas heteroporos,Botryostrobus auritus/australis,Cornutella profunda,Sphaeropyle langii,Diplocyclas davisiana,Botryostrobus aquilonaris,Comment
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,B, 17,H,CC,  21.00,    156.7700,Shilov   ,Radiolarians                                 ,R              ,G                 ,                     ,                 ,                   ,                       ,                       ,R                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,A. acquilonius    ,              ,145, 882,B, 18,H,CC,   7.00,    166.3400,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,R                ,                   ,                       ,                       ,                     ,                        ,                            ,                       ,                       ,                       ,R                              ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 19,H,CC,   7.00,    175.8300,Shilov   ,Radiolarians                                 ,R              ,G                 ,                     ,                 ,                   ,                       ,                       ,R                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 20,H,CC,  21.00,    185.4900,Shilov   ,Radiolarians                                 ,R              ,G                 ,                     ,                 ,                   ,rR                     ,R                      ,                     ,                        ,                            ,rR                     ,                       ,                       ,R                              ,R                  ,R                 ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 21,H,CC,  19.00,    194.9300,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,                 ,                   ,                       ,                       ,R                    ,                        ,                            ,                       ,                       ,                       ,R                              ,R                  ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 22,H,CC,   5.00,    204.3100,Shilov   ,Radiolarians                                 ,R              ,G                 ,                     ,                 ,R                  ,rR                     ,                       ,R                    ,                        ,                            ,                       ,                       ,                       ,R                              ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 23,H,CC,  21.00,    213.8400,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,                 ,                   ,                       ,                       ,R                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 24,H,CC,  24.00,    223.4000,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,                 ,                   ,                       ,                       ,R                    ,                        ,                            ,                       ,                       ,                       ,R                              ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 25,H,CC,   7.00,    232.8300,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,                 ,R                  ,                       ,R                      ,F                    ,                        ,                            ,                       ,                       ,R                      ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 26,H,CC,  24.00,    242.4300,Shilov   ,Radiolarians                                 ,R              ,M                 ,R                    ,R                ,R                  ,                       ,                       ,R                    ,                        ,                            ,rR                     ,R                      ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 27,H,CC,  15.00,    251.4600,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                    ,R                ,                   ,                       ,                       ,R                    ,R                       ,R                           ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,S. delmontensis is questionably identified; from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 28,H,CC,  28.00,    261.1600,Shilov   ,Radiolarians                                 ,R              ,M                 ,R                    ,                 ,                   ,                       ,R                      ,R                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,B, 29,H,CC,  19.00,    270.6900,Shilov   ,Radiolarians                                 ,F              ,M                 ,F                    ,R                ,R                  ,R                      ,F                      ,F                    ,                        ,                            ,                       ,                       ,                       ,                               ,                   ,                  ,                     ,                         ,from Leg 145 SR; Ch 5; Table 2; p. 97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
