Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella munda,Subbotina angiporoides,Globorotaloides suteri,Globigerina officinalis,Chiloguembelina cubensis,Tenuitella gemma,Zeaglobigerina ampliapertura,Globorotaloides testarugosa,Globigerina euapertura,Catapsydrax dissimilis,Guembelitria triseriata,Globigerinita glutinata,Zeaglobigerina woodi,Neogloboquadrina pachyderma (dextral),Globorotalia truncatulinoides,Globorotalia inflata,Globigerinoides ruber,Globigerinella siphonifera,Globigerina bulloides,Fohsella peripheroronda,Zeaglobigerina nepenthes,Sphaeroidinellopsis disjuncta,Orbulina universa,Orbulina suturalis,Globoquadrina dehiscens,Globoconella miozea,Globoconella conoidea,Globigerinoides trilobus,Globigerinoides quadrilobatus,Jenkinsella mayeri,Globoconella panda,Globigerina falconensis,Neogloboquadrina acostaensis,Globorotalia puncticulata,Globorotalia margaritae,Globorotalia crassula,Globorotalia crassaformis,Globoconella sphericomiozea,Globigerinoides obliquus,Globigerina quinqueloba,Zeaglobigerina decoraperta,Sphaeroidinellopsis seminulina,Globoconella conomiozea,Globigerinita juvenilis,Globorotalia scitula,Neogloboquadrina pachyderma,Pulleniatina obliquiloculata,Globigerinoides sacculifer,Globigerinella obesa,Sphaeroidinella dehiscens,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pliocene         ,                  ,PL2           ,182,1128,C,  3,H,CC,   0.00,     26.6100,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,P                      ,                    ,                                     ,                             ,P                   ,                     ,P                         ,                     ,                       ,                        ,                             ,P                ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,F                      ,P                           ,F                        ,P                      ,                     ,P                        ,                           ,                        ,F                      ,P                         ,                              ,                       ,F                      ,P                   ,P                          ,                            ,                          ,                    ,                         ,                      ,mainly small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,PL2           ,182,1128,C,  4,H, 4,  60.00,     32.1000,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,P                      ,P                   ,                                     ,                             ,P                   ,F                    ,P                         ,                     ,                       ,                        ,                             ,P                ,                  ,                       ,                   ,P                    ,                        ,                             ,                  ,                  ,                       ,P                           ,F                        ,P                      ,                     ,F                        ,                           ,                        ,P                      ,                          ,P                             ,                       ,                       ,P                   ,                           ,                            ,                          ,                    ,                         ,                      ,"pelagite in slump, glauconite"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,PL1           ,182,1128,C,  4,H,CC,  55.00,     35.7500,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,P                      ,P                   ,                                     ,                             ,                    ,P                    ,P                         ,P                    ,                       ,                        ,                             ,P                ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,F                      ,                            ,P                        ,P                      ,                     ,F                        ,P                          ,P                       ,F                      ,                          ,                              ,                       ,P                      ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,many broken
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,Mt10              ,PL1           ,182,1128,C,  5,H, 6,  34.00,     44.3400,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,F                   ,                                     ,                             ,                    ,                     ,P                         ,                     ,                       ,P                       ,                             ,P                ,                  ,                       ,                   ,P                    ,P                       ,                             ,                  ,                  ,                       ,                            ,                         ,P                      ,                     ,P                        ,                           ,                        ,                       ,P                         ,P                             ,P                      ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,mixed white and cream tests
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Mt10          ,182,1128,C,  5,H,CC,  21.00,     46.5200,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,P                   ,                                     ,                             ,                    ,                     ,                          ,P                    ,                       ,                        ,                             ,P                ,                  ,                       ,                   ,P                    ,P                       ,                             ,                  ,                  ,P                      ,                            ,P                        ,P                      ,P                    ,F                        ,P                          ,P                       ,P                      ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,"most broken, glauconite, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Mt9           ,182,1128,C,  6,H, 2, 104.00,     48.5400,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,P                       ,                             ,P                ,                  ,                       ,                   ,                     ,P                       ,                             ,                  ,                  ,                       ,P                           ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,mostly broken tests
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Mt9           ,182,1128,C,  6,H,CC,  10.00,     55.1500,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,P                   ,                                     ,                             ,                    ,P                    ,                          ,P                    ,                       ,P                       ,P                            ,F                ,                  ,P                      ,P                  ,A                    ,P                       ,P                            ,P                 ,P                 ,F                      ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,"glauconite, some heavy minerals?"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,N17               ,Mt9           ,182,1128,C,  7,H, 2, 143.00,     58.4300,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,P                   ,                                     ,                             ,                    ,                     ,                          ,P                    ,P                      ,P                       ,P                            ,F                ,F                 ,F                      ,P                  ,P                    ,P                       ,P                            ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Oligocene        ,                  ,              ,182,1128,C,  8,H,CC,   0.00,     73.9500,Li       ,Planktonic Foraminifers                      ,R              ,M                 ,                                ,                ,                      ,P                     ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,                       ,P                   ,P                                    ,P                            ,P                   ,P                    ,P                         ,P                    ,P                      ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,"mixed, siliceous ooze, other old species"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,C,  9,H,CC,  30.00,     84.4200,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                                ,                ,                      ,                      ,                       ,                        ,                ,                            ,                           ,                      ,                      ,                       ,P                      ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,"siliceous ooze, other species present"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,182,1128,C, 11,H, 1, 113.00,     94.6300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                                ,A               ,                      ,F                     ,P                      ,F                       ,P               ,                            ,                           ,                      ,                      ,P                      ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,numerous other tenu.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,182,1128,C, 13,H, 2,  14.00,    114.1400,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                                ,A               ,F                     ,F                     ,                       ,                        ,A               ,P                           ,F                          ,P                     ,F                     ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,"numerous tenu, but no chino, why?"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,C, 15,H, 3, 100.00,    135.5000,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                                ,                ,P                     ,P                     ,P                      ,P                       ,A               ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,for benthics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,182,1128,C, 15,H,CC,  13.00,    138.3000,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                                ,A               ,P                     ,P                     ,P                      ,A                       ,A               ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,all small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,182,1128,C, 16,X,CC,  42.00,    148.1000,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                                ,P               ,P                     ,P                     ,                       ,P                       ,                ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,182,1128,C, 17,X, 5,  43.00,    152.5300,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                                ,                ,P                     ,P                     ,F                      ,A                       ,                ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,              ,182,1128,C, 17,X,CC,  34.00,    153.8000,Li       ,Planktonic Foraminifers                      ,F              ,M                 ,P                               ,P               ,F                     ,F                     ,P                      ,P                       ,                ,                            ,                           ,                      ,                      ,                       ,                       ,                    ,                                     ,                             ,                    ,                     ,                          ,                     ,                       ,                        ,                             ,                 ,                  ,                       ,                   ,                     ,                        ,                             ,                  ,                  ,                       ,                            ,                         ,                       ,                     ,                         ,                           ,                        ,                       ,                          ,                              ,                       ,                       ,                    ,                           ,                            ,                          ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
