Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Globorotaloides variabilis,Globorotalia tumida,Globorotalia scitula,Globorotalia obesa,Globorotalia menardii,Globorotalia crassaformis,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides conglobatus,Globigerina bulloides,Globigerinoides fistulosus,Globigerinella aequilateralis,Globigerina juvenilis,Globigerina bradyi,Globorotalia tumida flexuosa,Globigerinita glutinata,Orbulina bilobata,Globorotalia ungulata,Comment
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  5,H,CC,  19.00,     45.7900,Houghton ,Planktonic Foraminifers                      ,               ,                  ,                         ,C                           ,C                ,A                         ,                          ,A                  ,                    ,                  ,                     ,                         ,R                       ,C                         ,C                    ,                           ,                     ,                          ,VR                           ,                     ,                  ,                            ,VR                     ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  6,H,CC,  31.00,     55.2800,Houghton ,Planktonic Foraminifers                      ,               ,                  ,                         ,R                           ,C                ,                          ,                          ,A                  ,VR                  ,                  ,                     ,                         ,                        ,C                         ,A                    ,R                          ,                     ,                          ,R                            ,VR                   ,                  ,A                           ,                       ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  7,H,CC,  25.00,     65.0000,Houghton ,Planktonic Foraminifers                      ,               ,                  ,C                        ,C                           ,C                ,A                         ,                          ,A                  ,VR                  ,                  ,                     ,                         ,C                       ,VR                        ,C                    ,                           ,                     ,                          ,R                            ,R                    ,R                 ,                            ,                       ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,P. obliquiloculata,              ,111, 677,B,  8,H,CC,  20.00,     73.2700,Houghton ,Planktonic Foraminifers                      ,               ,                  ,VR                       ,R                           ,R                ,C                         ,                          ,R                  ,VR                  ,                  ,R                    ,                         ,R                       ,                          ,R                    ,VR                         ,                     ,                          ,                             ,                     ,                  ,                            ,                       ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,G. fistulosus     ,              ,111, 677,B,  9,H,CC,  28.00,     83.3400,Houghton ,Planktonic Foraminifers                      ,               ,                  ,                         ,                            ,R                ,C                         ,                          ,                   ,                    ,                  ,R                    ,                         ,R                       ,                          ,R                    ,R                          ,                     ,VR                        ,                             ,                     ,                  ,                            ,                       ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,G. fistulosus     ,              ,111, 677,B, 10,H,CC,  35.00,     92.9500,Houghton ,Planktonic Foraminifers                      ,               ,                  ,C                        ,C                           ,C                ,A                         ,VR                        ,C                  ,VR                  ,VR                ,C                    ,VR                       ,R                       ,C                         ,C                    ,R                          ,VR                   ,                          ,                             ,                     ,                  ,                            ,                       ,                 ,                     ,from 111 SR. Chapter 24. Table 2. page 292.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
