Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Tribrachiatus digitalis,Tribrachiatus contortus,Discoaster multiradiatus,Tribrachiatus bramlettei,Rhomboaster bramlettei,Discoaster diastypus,Tribrachiatus orthostylus,Lophodolithus nascens,Toweius crassus,Discoaster lodoensis,Campylosphaera dela,Sphenolithus orphanknollensis,Lophodolithus mochlophorus,Discoaster kuepperi,Ericsonia formosa,Rhabdosphaera inflata,Discoaster sublodoensis,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus stellatus,Ericsonia obruta,Discoaster salisburgensis,Chiasmolithus solitus,Chiasmolithus gigas,Chiasmolithus expansus,Sphenolithus obtusus,Sphenolithus furcatolithoides labradorensis,Reticulofenestra umbilica,Nannotetrina cristata,Discoaster tanii ornatus,Discoaster barbadiensis,Chiasmolithus grandis,Nannotetrina fulgens,Coccolithus eopelagicus,Braarudosphaera bigelowii,Nannotetrina quadrata,Markalius inversus,Chiasmolithus altus,Pemma papillatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP14a         ,171,1050,B,  7,H,CC,  29.00,     64.0900,Mita     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,R                      ,                 ,                      ,                ,                         ,R                    ,                   ,                      ,R                   ,R                                          ,R                        ,                     ,                        ,                       ,R                    ,                    ,R                      ,C                        ,R                    ,R                 ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP14a         ,171,1050,B,  8,H,CC,  17.00,     73.8400,Mita     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,R                      ,                 ,                      ,                ,                         ,R                    ,                   ,                      ,R                   ,R                                          ,R                        ,                     ,                        ,                       ,R                    ,R                   ,R                      ,C                        ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,171,1050,B,  9,H,CC,  18.00,     83.3700,Mita     ,Nannofossils                                 ,               ,                  ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,R                ,                     ,                       ,                       ,                 ,                      ,                ,                         ,R                    ,                   ,                      ,R                   ,R                                          ,R                        ,R                    ,R                       ,R                      ,F                    ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1050,B, 13,X,CC,  21.00,    118.4400,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,+                    ,+                  ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1050,B, 14,X,CC,  31.00,    127.4100,Watkins  ,Nannofossils                                 ,A              ,P                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,+                     ,                ,                         ,+                    ,+                  ,+                     ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13a         ,171,1050,B, 15,X,CC,  29.00,    137.2700,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,+                        ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,+                     ,+               ,+                        ,+                    ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,No Ch. gigas or Rh. inflata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP12b         ,171,1050,B, 16,X,CC,  27.00,    145.1700,Watkins  ,Nannofossils                                 ,A              ,G                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,r                   ,                   ,                             ,                          ,                   ,                 ,F                    ,F                      ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP11          ,171,1050,B, 17,X, 6,  22.00,    155.4200,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,+              ,+                   ,+                  ,                             ,                          ,+                  ,                 ,                     ,                       ,+                      ,+                ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP12b         ,171,1050,B, 17,X, 6,  40.00,    155.6000,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,+                    ,+                      ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP11          ,171,1050,B, 17,X,CC,  38.00,    156.1700,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,F              ,R                   ,                   ,                             ,                          ,C                  ,F                ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,Top half of CP11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP11          ,171,1050,B, 18,X,CC,  14.00,    158.8300,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,+                        ,                     ,+              ,+                   ,+                  ,+                            ,+                         ,+                  ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,Reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP11          ,171,1050,B, 19,X,CC,  14.00,    159.4400,Watkins  ,Nannofossils                                 ,A              ,P                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,+                        ,+                    ,+              ,+                   ,+                  ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP11          ,171,1050,B, 20,X,CC,  32.00,    177.1600,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,R                        ,                     ,F              ,R                   ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9b          ,171,1050,B, 21,X,CC,  37.00,    186.8800,Watkins  ,Nannofossils                                 ,T              ,                  ,                     ,                       ,                       ,                        ,                        ,                      ,+                   ,+                        ,+                    ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9b          ,171,1050,B, 22,X,CC,  49.00,    195.9700,Watkins  ,Nannofossils                                 ,               ,                  ,                     ,                       ,                       ,                        ,                        ,                      ,                    ,+                        ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9b          ,171,1050,B, 23,X,CC,  35.00,    206.0100,Watkins  ,Nannofossils                                 ,               ,                  ,                     ,+                      ,+                      ,                        ,                        ,                      ,                    ,+                        ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,co-occurrence of all three indicates base of CP9b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9a          ,171,1050,B, 24,X,CC,  37.00,    215.6200,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,R                      ,F                       ,                        ,F                     ,F                   ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9a          ,171,1050,B, 25,X,CC,  40.00,    225.3800,Watkins  ,Nannofossils                                 ,               ,                  ,                     ,+                      ,F                      ,F                       ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9a          ,171,1050,B, 26,X,CC,  15.00,    225.2500,Watkins  ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                       ,F                       ,R                       ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,basal CP9a - no digitalis or contortus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,171,1050,B, 27,X,CC,  45.00,    231.6700,Watkins  ,Nannofossils                                 ,R              ,M                 ,+                    ,                       ,                       ,                        ,                        ,                      ,                    ,                         ,                     ,               ,                    ,                   ,                             ,                          ,                   ,                 ,                     ,                       ,                       ,                 ,                      ,                ,                         ,                     ,                   ,                      ,                    ,                                           ,                         ,                     ,                        ,                       ,                     ,                    ,                       ,                         ,                     ,                  ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
