Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia continuosa	Orbulina universa	Globoturborotalita apertura	Globorotalia scitula	Globorotalia pliozea	Globorotalia miotumida	Globorotalia conomiozea	Globorotalia conoidea	Globorotalia challengeri	Globigerinita glutinata	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma (sinistral)	Globorotalia explicationis	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia crassaformis	Globigerinita uvula	Globorotalia crassula	Globigerinella aequilateralis	Globorotalia margaritae	Globorotalia crassaconica	Globorotalia inflata	Globorotalia tosaensis	Globorotalia crassacarina	Globorotalia truncatulinoides	Globorotalia theyeri	Globigerina umbilicata	Comment
  IR	                 	                 	                  	SN12b         	189	1170	B	  7	H	CC	  14.00	     62.1800	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	                       	+                      	+                    	+                                      	                          	                           	+                        	+                        	                   	+                    	                             	+                      	+                        	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	  8	H	CC	  10.00	     71.7800	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	                       	+                      	+                    	+                                      	                          	+                          	+                        	+                        	                   	+                    	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	  9	H	CC	  29.00	     80.9600	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	+                       	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	                   	+                    	+                            	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	 10	H	CC	  18.00	     90.7800	forams   	Planktonic Foraminifers                      	A              	VG                	                           	                 	                           	+                   	                    	                      	                       	                     	+                       	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	 11	H	CC	  20.00	    100.2400	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	+                       	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	 12	H	CC	  17.00	    109.7100	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	+                  	+                    	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	 13	H	CC	   0.00	    118.9200	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	+                   	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	 14	H	CC	  13.00	    128.6100	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	                    	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	+                  	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	B	 15	H	CC	  23.00	    138.2300	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	                    	                    	                      	                       	                     	                        	+                      	+                      	+                      	+                    	+                                      	                          	+                          	+                        	+                        	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN11          	189	1170	B	 16	H	CC	  13.00	    145.3000	forams   	Planktonic Foraminifers                      	A              	VG                	                           	+                	                           	                    	+                   	                      	+                      	+                    	                        	+                      	+                      	+                      	+                    	+                                      	+                         	                           	                         	                         	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

  IR	                 	                 	                  	SN11          	189	1170	B	 17	H	CC	  13.00	    156.8800	forams   	Planktonic Foraminifers                      	F              	P                 	                           	+                	                           	+                   	+                   	                      	+                      	                     	                        	+                      	+                      	                       	+                    	+                                      	                          	                           	                         	                         	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	Much fragmentation. Poor fauna

  IR	                 	                 	SN12a             	SN10          	189	1170	B	 18	H	CC	  16.00	    166.7000	forams   	Planktonic Foraminifers                      	F              	P                 	                           	+                	                           	                    	                    	                      	                       	                     	+                       	+                      	+                      	                       	+                    	                                       	                          	                           	                         	                         	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	Much fragmentation. Poor fauna

  IR	                 	                 	                  	SN9           	189	1170	B	 19	H	CC	   0.00	    176.0200	forams   	Planktonic Foraminifers                      	A              	VG                	+                          	+                	+                          	+                   	+                   	+                     	+                      	+                    	+                       	+                      	+                      	+                      	+                    	                                       	                          	                           	                         	                         	                   	                     	                             	                       	                         	                    	                      	                         	                             	                    	                      	       

