Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys johnsoni	Stichocorys delmontensis	Solenosphaera omnitubus omnitubus	Siphostichartus corona	Phormostichoartus doliolum	Didymocyrtis penultima	Calocycletta caepa	Stichocorys peregrina	Lychnodictyum audax	Theocorythium vetulum	Stylatractus universus	Spongaster tetras	Pterocanium prismatium	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocalyptra davisiana	Anthocyrtidium angulare	Theocorythium trachelium trachelium	Pterocorys minythorax	Lamprocyrtis nigriniae	Comment
  SR	                 	                 	S peregrina(RN9)M95	              	138	 846	D	 24	X	CC	  13.00	    230.0300	Moore    	Radiolarians                                 	A              	M                 	-                   	R                       	R                                	-                     	R                         	R                     	                  	C                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	S peregrina(RN9)M95	              	138	 846	D	 25	X	 2	 110.00	    232.7000	Moore    	Radiolarians                                 	A              	M                 	R                   	F                       	R                                	-                     	R                         	R                     	-                 	C                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 25	X	 4	 110.00	    235.7000	Moore    	Radiolarians                                 	A              	M                 	R                   	C                       	R                                	-                     	R                         	R                     	R                 	C                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 25	X	 6	 110.00	    238.7000	Moore    	Radiolarians                                 	A              	M                 	R                   	C                       	-                                	-                     	R                         	R                     	R                 	F                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 25	X	CC	  23.00	    239.8500	Moore    	Radiolarians                                 	A              	M                 	R                   	C                       	R                                	-                     	R                         	R                     	-                 	F                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 26	X	 2	 110.00	    242.4000	Moore    	Radiolarians                                 	A              	M                 	-                   	C                       	-                                	R                     	R                         	F                     	F                 	F                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 26	X	 4	 110.00	    245.4000	Moore    	Radiolarians                                 	A              	M                 	R                   	C                       	R                                	R                     	R                         	R                     	R                 	-                    	R                  	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 26	X	 6	 110.00	    248.4000	Moore    	Radiolarians                                 	A              	M                 	R                   	C                       	-                                	R                     	R                         	-                     	R                 	-                    	                   	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

  SR	                 	                 	D. penultima (RN8)	              	138	 846	D	 26	X	CC	  28.00	    249.4000	Moore    	Radiolarians                                 	A              	M                 	R                   	C                       	-                                	R                     	R                         	-                     	R                 	                     	                   	                     	                      	                 	                      	                           	                        	                         	                       	                     	                      	                       	                                   	                     	                      	from ODP Leg 138 Chapter 11 Fig 3 pp 200-202

