Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Eucyrtidium calvertense,Stylodictya validispina,Siphocampe arachnea,Rhopalastrum profunda group,Anthocyrtidium pliocenica,Stylatractus universus,Rhizosphaera aquatica,Phormostichoartus crustula,Lamprocyrtis heteroporos,Stylochlamidium  venustum,Stylacontarium acquilonium,Pterocanium auritum,Lychnocanoma nipponica sakaii,Lamprocyrtis neoheteroporos,Lamprocyclas margatensis,Lamprocyclas junonis,Clathrocyclas bicornis,Phormostichoartus intermedium,Eucyrtidium teuscheri group,Eucyrtidium erythromystax,Eucyrtidium aderces,Botryostrobus praetumidulus,Actinomma popofskii,Lamprocyclas hadros,Stichocorys delmontensis,Gondwanaria dogieli,Botryostrobus aquilonaris,Pseudocubus warreni,Lamprocyclas gamphonycha,Cycladophora davisiana davisiana,Ceratocyrtis histricosa,Siphocampe(?) quadrata,Sphaeropyle langii,Lithelius sp.,Ceratospyris hyperborea,Botryostrobus tumidulus,Cyrtocapsella japonica,Acrosphaera murrayana,Eucyrtidium matuyamai,Anthocyrtidium nosicaae,Pterocorys clausus,Diartus petterssoni,Cycladophora bicincta,Amphimelissa setosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A,  9,X,CC,  14.00,     73.5400,Caulet   ,Radiolarians                                 ,F              ,G                 ,                     ,                       ,+                      ,                   ,                           ,                         ,+                     ,+                    ,                          ,                        ,                         ,+                         ,                   ,                             ,+                          ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,                       ,                      ,+                 ,             ,                       ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,+                    ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 10,X,CC,  21.00,     83.1000,Caulet   ,Radiolarians                                 ,R              ,P                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,+                    ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,                       ,                      ,                  ,             ,                       ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,+                    ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 11,X,CC,  20.00,     92.8300,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                    ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 12,X,CC,  24.00,    102.4400,Caulet   ,Radiolarians                                 ,F              ,G                 ,                     ,                       ,                       ,                   ,+                          ,                         ,                      ,+                    ,                          ,                        ,                         ,                          ,                   ,                             ,+                          ,                        ,+                   ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,+                        ,                   ,                        ,+                               ,+                      ,                      ,                  ,+            ,+                      ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,+                    ,+                  ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 13,X,CC,  30.00,    111.5800,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                    ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,+                       ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,+                  ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 14,X,CC, 124.00,    120.9700,Caulet   ,Radiolarians                                 ,R              ,G                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,+                         ,                        ,                         ,                          ,                   ,                             ,+                          ,                        ,+                   ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,                       ,                      ,                  ,             ,                       ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 15,X,CC,  24.00,    131.2600,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                    ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 16,X,CC,  28.00,    140.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,+                      ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,+                         ,+                  ,                             ,+                          ,                        ,+                   ,+                     ,                             ,+                          ,                         ,+                  ,+                          ,+                  ,                   ,                        ,+                  ,                         ,+                  ,                        ,+                               ,                       ,                      ,+                 ,             ,                       ,+                      ,                      ,                     ,+                    ,                       ,+                 ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,E. matuyamai (N Pac),              ,167,1014,A, 17,X,CC,  25.00,    150.1700,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,+                      ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,+                         ,+                  ,+                            ,+                          ,                        ,+                   ,+                     ,                             ,                           ,                         ,                   ,+                          ,+                  ,+                  ,                        ,                   ,                         ,                   ,                        ,                                ,+                      ,                      ,                  ,             ,                       ,                       ,                      ,                     ,+                    ,+                      ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 18,X,CC,  36.00,    159.8200,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,+                  ,                         ,                   ,                        ,+                               ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 19,X,CC,  29.00,    170.0200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                       ,+                      ,                   ,                           ,                         ,                      ,+                    ,+                         ,+                       ,                         ,                          ,                   ,                             ,+                          ,                        ,+                   ,+                     ,                             ,+                          ,                         ,                   ,                           ,                   ,                   ,                        ,+                  ,+                        ,                   ,                        ,+                               ,                       ,                      ,+                 ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 20,X,CC,  47.00,    177.2300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                       ,+                      ,+                  ,                           ,                         ,+                     ,+                    ,                          ,                        ,+                        ,+                         ,                   ,+                            ,+                          ,                        ,+                   ,+                     ,                             ,                           ,                         ,                   ,+                          ,                   ,                   ,                        ,                   ,+                        ,                   ,                        ,+                               ,                       ,                      ,                  ,             ,                       ,                       ,                      ,+                    ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 21,X,CC,  20.00,    187.5200,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                       ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,+                       ,                         ,                          ,                   ,                             ,+                          ,                        ,                    ,+                     ,+                            ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,+                               ,                       ,                      ,+                 ,             ,                       ,                       ,+                     ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 22,X,CC,  14.00,    195.5800,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                       ,+                      ,                   ,                           ,                         ,                      ,+                    ,+                         ,+                       ,                         ,                          ,                   ,+                            ,+                          ,                        ,                    ,+                     ,+                            ,                           ,                         ,                   ,                           ,+                  ,                   ,                        ,                   ,+                        ,+                  ,                        ,+                               ,+                      ,                      ,+                 ,+            ,+                      ,+                      ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 23,X,CC,  38.00,    205.6800,Caulet   ,Radiolarians                                 ,R              ,M                 ,+                    ,                       ,+                      ,                   ,                           ,                         ,+                     ,                     ,                          ,                        ,                         ,+                         ,                   ,                             ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,+                        ,                   ,                        ,+                               ,                       ,+                     ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 24,X,CC,  42.00,    216.9900,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                       ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,+                        ,+                         ,                   ,                             ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,+                       ,                   ,+                        ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 25,X,CC,  21.00,    223.8500,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,+                      ,+                      ,                   ,+                          ,                         ,+                     ,+                    ,                          ,                        ,                         ,                          ,+                  ,                             ,+                          ,                        ,+                   ,+                     ,                             ,                           ,+                        ,                   ,                           ,+                  ,                   ,                        ,                   ,+                        ,+                  ,+                       ,+                               ,+                      ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 26,X,CC,  21.00,    229.6300,Caulet   ,Radiolarians                                 ,R              ,P                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,+                       ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 27,X,CC,  44.00,    236.2400,Caulet   ,Radiolarians                                 ,R              ,M                 ,+                    ,+                      ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,+                         ,                   ,                             ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,+                        ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 28,X,CC,  16.00,    242.3000,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                    ,+                      ,                       ,                   ,+                          ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,+                            ,+                          ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 29,X,CC,  15.00,    250.4000,Caulet   ,Radiolarians                                 ,C              ,G                 ,                     ,+                      ,+                      ,                   ,+                          ,                         ,+                     ,+                    ,+                         ,                        ,+                        ,                          ,                   ,                             ,+                          ,+                       ,+                   ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,+                        ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 30,X,CC,  13.00,    256.6400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,+                      ,+                      ,                   ,                           ,                         ,                      ,+                    ,                          ,+                       ,                         ,                          ,                   ,+                            ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,+                  ,+                  ,                        ,+                  ,+                        ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 31,X,CC,   9.00,    265.2700,Caulet   ,Radiolarians                                 ,R              ,P                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,+                          ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 32,X,CC,  66.00,    272.7300,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,+                          ,                   ,                   ,+                       ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 33,X,CC,  42.00,    282.6600,Caulet   ,Radiolarians                                 ,R              ,M                 ,                     ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,+                         ,                        ,                         ,+                         ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,+                          ,                   ,+                  ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 34,X,CC,  22.00,    295.1000,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,+                      ,+                      ,                   ,                           ,                         ,+                     ,+                    ,+                         ,+                       ,                         ,+                         ,                   ,+                            ,+                          ,                        ,+                   ,+                     ,+                            ,+                          ,+                        ,+                  ,+                          ,+                  ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 35,X,CC,  21.00,    304.0700,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                    ,                       ,                       ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,+                         ,                   ,                             ,+                          ,                        ,                    ,+                     ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 36,X,CC,  37.00,    314.3600,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                    ,                       ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,+                          ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 37,X,CC,  32.00,    324.0100,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                    ,+                      ,+                      ,                   ,                           ,                         ,                      ,                     ,                          ,+                       ,+                        ,+                         ,+                  ,+                            ,+                          ,+                       ,+                   ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 38,X,CC,  23.00,    333.3300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,+                      ,+                      ,                   ,                           ,                         ,+                     ,+                    ,+                         ,+                       ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1014,A, 39,X,CC,  26.00,    341.8400,Caulet   ,Radiolarians                                 ,C              ,G                 ,                     ,+                      ,+                      ,+                  ,+                          ,+                        ,                      ,                     ,                          ,                        ,                         ,                          ,                   ,                             ,                           ,                        ,                    ,                      ,                             ,                           ,                         ,                   ,                           ,                   ,                   ,                        ,                   ,                         ,                   ,                        ,                                ,                       ,                      ,                  ,             ,                       ,                       ,                      ,                     ,                     ,                       ,                  ,                   ,                     ,                   ,from IR. Ch 8. Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
