Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites spp.	Spiniferites ramosus	Membranophoridium aspinatum	Chiropteridium galea species complex	Spiniferella cornuta	Palaeocystodinium golzowense	Lingulodinium machaerophorum	Distatodinium biffii	Cordosphaeridium minimum	Areoligera semicirculata	Selenopemphix spp.	Distatodinium spp.	Dapsilidinium pastielsii	Spiniferites pseudofurcatus	Reticulatosphaera actinocoronata	Palaeocystodinium sp.1	Lejeunecysta spp.	Hystrichokolpoma rigaudiae	Protoperidinium spp. "round browns"	Artemisiocysta cladodichotoma	Thalassiphora pelagica	Dinopterygium cladoides	Deflandrea phosphoritica species complex	Caligodinium amiculum	Tectatodinium pellitum	Systematophora placacantha	Operculodinium centrocarpum	Impagidinium spp.	Heteraulacacysta campanula	Distatodinium paradoxum	Deflandrea heterophlycta	Apteodinium australiense	Spiniferites mirabilis	Operculodinium spp.	Phthanoperidinium comatum	Tuberculodinium vancampoae	Polykrikos spp.	Phthanoperidinium alectrolophum	Selenopemphix nephroides	Nematosphaeropsis lemniscata	Phthanoperidinium spp.	Batiacasphaera gemmata	Spiniferites membranosus	Operculodinium? eirikianum	Svalbardella sp.1	Batiacasphaera spp.	Impagidinium japonicum	Batiacasphaera sphaerica	Trinovantedinium glorianum	Quinquecuspis spp.	Melitasphaeridium choanophorum	Artemisiocysta spp.	Systematophora spp.	Labyrinthodinium truncatum	Hystrichosphaeropsis obscura	Cribroperidinium tenuitabulatum	Achomosphaera sp.1	Selenopemphix subinerme	Selenopemphix brevispinosa	Evittosphaerula? sp. 2 	Amiculosphaera umbracula	Vozzhennikovia spp.	Trinovantedinium papulum	Nematosphaeropsis rigida	Cristadinium cristatoserratum	Batiacasphaera micropapillata	Achomosphaera ramulifera	Operculodinium? cf. longispinigerum	Phelodinium spp.	Barssidinium graminosum	Hystrichokolpoma spp.	Impagidinium strialatum	Areosphaeridium spp.	Operculodinium israelianum	Dapsilidinium spp.	Achomosphaera andalousiensis	Hystrichokolpoma pacificum	Comment

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli2          	151	 908	A	 11	X	 2	  72.00	     93.1200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli1          	151	 908	A	 12	X	 2	  73.00	    102.8300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	R                           	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	R                  	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	R                       	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	F                 	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli1          	151	 908	A	 13	X	 2	  72.00	    112.6200	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	R                       	                        	                  	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	R                     	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	R                       	                          	                  	R                             	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	R               	                       	                     	                       	                    	                          	R                 	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	Early Pliocene   	Mio5              	Pli1          	151	 908	A	 14	X	 2	  73.00	    122.2300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	R                 	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 15	X	 2	  73.00	    131.9300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	C                   	                           	                                    	                    	R                           	                            	                    	                        	                        	R                 	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	R                  	                      	R                       	                          	                  	                              	                   	R                  	                          	                            	                               	R                 	                       	                          	                       	                        	                   	                        	R                       	                             	                             	                        	                                   	R               	                       	                     	                       	                    	                          	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 16	X	 2	  73.00	    141.4300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	                                    	                    	R                           	                            	                    	                        	                        	R                 	                  	                        	                           	R                               	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	R                  	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	R                       	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	R                         	                       	R                       	                   	R                       	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 17	X	 2	  73.00	    150.9300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	R                           	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	F                                  	                             	                      	                       	                                        	                     	                      	                          	A                          	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	R                     	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	R                       	                   	                        	C                       	                             	                             	R                       	                                   	                	                       	                     	                       	                    	VA                        	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 1	  65.00	    158.8500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	                    	                           	                                    	                    	                            	R                           	                    	R                       	                        	                  	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	R                           	                      	R                     	                        	                          	                 	                   	                      	                        	                          	                  	R                             	                   	                   	                          	                            	                               	R                 	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	R                      	R                   	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 2	  64.00	    160.3400	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	R                         	                       	                        	                   	                        	R                       	                             	                             	                        	                                   	R               	                       	R                    	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 3	  65.00	    161.8500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	R                         	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	F                    	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 4	  64.00	    163.3400	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	R                         	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	R                    	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 5	  66.00	    164.8600	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	R                           	                    	                        	                        	R                 	                  	                        	                           	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	R                           	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 6	  66.00	    166.3600	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	R                 	                  	                        	R                          	                                	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	R                  	                         	R                         	               	                               	                        	R                           	                      	                      	                        	                          	                 	                   	                      	                        	R                         	                  	                              	                   	                   	                          	                            	                               	R                 	                       	                          	                       	                        	                   	                        	                        	                             	C                            	                        	                                   	                	C                      	                     	                       	                    	                          	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 18	X	 7	  19.00	    167.3900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                	R                   	                           	                                    	                    	R                           	                            	                    	                        	                        	R                 	                  	                        	                           	R                               	                      	R                	R                         	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	R                       	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 19	X	 1	  99.00	    168.7900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	R                           	                            	                    	                        	                        	                  	                  	F                       	                           	R                               	                      	F                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	R                         	               	                               	                        	                            	                      	R                     	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	R                  	                          	                            	                               	F                 	                       	                          	                       	R                       	                   	                        	                        	                             	                             	                        	                                   	                	F                      	                     	                       	                    	                          	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 19	X	 2	  99.00	    170.2900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	C                   	                           	                                    	                    	R                           	R                           	                    	R                       	                        	                  	                  	                        	                           	R                               	                      	                 	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	C                          	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	R                         	                  	                              	                   	R                  	                          	                            	                               	R                 	                       	                          	                       	R                       	                   	                        	R                       	                             	                             	R                       	                                   	R               	                       	                     	                       	                    	                          	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 19	X	 3	  99.00	    171.7900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	R                               	                      	C                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 19	X	 4	  99.00	    173.2900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	C                   	                           	                                    	                    	                            	R                           	                    	R                       	                        	R                 	                  	R                       	R                          	R                               	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	R                  	                         	                          	               	                               	R                       	                            	                      	                      	                        	                          	                 	                   	                      	R                       	                          	F                 	                              	                   	F                  	                          	                            	                               	R                 	                       	                          	C                      	F                       	                   	                        	                        	                             	                             	R                       	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Common reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 19	X	 5	  99.00	    174.7900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	R                   	                           	                                    	                    	                            	                            	                    	                        	                        	R                 	                  	                        	                           	R                               	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	C                      	                        	                   	                        	                        	                             	                             	                        	F                                  	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 20	X	 1	  53.00	    177.9300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	R                 	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	                            	                      	                      	                        	R                         	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	R                 	                       	                          	C                      	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 20	X	 2	  77.00	    179.6700	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                	C                   	                           	                                    	                    	F                           	R                           	                    	R                       	                        	R                 	                  	                        	F                          	F                               	                      	R                	                          	F                                  	                             	                      	                       	                                        	                     	                      	                          	F                          	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	C                           	                      	                      	                        	R                         	                 	                   	                      	R                       	                          	                  	R                             	A                  	                   	                          	                            	                               	F                 	R                      	                          	C                      	                        	F                  	R                       	R                       	R                            	F                            	F                       	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 20	X	 3	  73.00	    181.1300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                	F                   	                           	                                    	                    	                            	                            	                    	                        	                        	R                 	                  	                        	R                          	R                               	                      	R                	                          	R                                  	                             	                      	                       	                                        	                     	                      	                          	F                          	R                	                          	                       	                        	                        	                      	                   	                         	R                         	               	                               	                        	C                           	                      	                      	                        	R                         	                 	                   	                      	                        	R                         	                  	R                             	                   	                   	                          	                            	                               	                  	R                      	R                         	A                      	C                       	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Miocene     	                 	Mio4              	Mio5          	151	 908	A	 20	X	 4	 116.00	    183.0600	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	                                    	                    	R                           	                            	                    	                        	                        	R                 	                  	                        	R                          	R                               	R                     	R                	                          	R                                  	                             	                      	R                      	                                        	R                    	                      	                          	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	R                           	                      	                      	                        	R                         	                 	R                  	                      	                        	R                         	                  	R                             	                   	R                  	R                         	R                           	R                              	R                 	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Few reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 20	X	 5	  76.00	    184.1600	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	R                   	C                           	R                           	                    	R                       	R                       	R                 	                  	                        	R                          	R                               	R                     	R                	                          	R                                  	                             	                      	R                      	                                        	                     	                      	R                         	                           	R                	                          	                       	                        	                        	                      	R                  	                         	                          	               	                               	                        	R                           	                      	R                     	                        	R                         	R                	                   	                      	R                       	R                         	R                 	R                             	R                  	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 20	X	 6	  76.00	    185.6600	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	R                           	                    	R                       	                        	R                 	                  	                        	R                          	R                               	                      	F                	                          	R                                  	                             	                      	                       	                                        	                     	                      	R                         	                           	R                	                          	                       	                        	                        	                      	                   	                         	                          	               	                               	                        	R                           	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 21	X	 1	 114.00	    188.2400	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                    	                           	                                    	                    	                            	                            	                    	                        	                        	                  	                  	                        	                           	                                	                      	                 	                          	                                   	                             	                      	                       	                                        	                     	                      	                          	                           	                 	                          	                       	                        	                        	                      	                   	                         	R                         	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	                      	                        	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	Rare reworked dinoflagellate cysts. From Leg 151. Ch 14. Fig 6. p. 274-279

  SR	Late Oligocene   	                 	Oli4              	              	151	 908	A	 21	X	 2	  73.00	    189.3300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                	R                   	                           	R                                   	                    	F                           	R                           	                    	R                       	                        	R                 	                  	R                       	                           	R                               	R                     	R                	R                         	R                                  	R                            	                      	                       	                                        	                     	                      	                          	F                          	R                	                          	                       	                        	                        	                      	                   	R                        	                          	               	                               	                        	                            	                      	                      	                        	                          	                 	                   	C                     	R                       	                          	                  	                              	                   	                   	                          	                            	                               	                  	                       	                          	                       	                        	                   	                        	                        	                             	                             	                        	                                   	                	                       	                     	                       	                    	                          	                  	                            	                          	From Leg 151. Ch 14. Fig 6. p. 274-279

