Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra minuta,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa muellerae,Reticulofenestra asanoi,Scapholithus fossilis,Emiliania huxleyi,Braarudosphaera bigelowii,Comment
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  2,H, 3,  30.00,     12.1000,Su       ,Nannofossils                                 ,P              ,M                 ,                        ,C                    ,                      ,                      ,                       ,                         ,                         ,                     ,A                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  2,H, 4,   7.00,     13.3700,Su       ,Nannofossils                                 ,P              ,M                 ,                        ,A                    ,                      ,                      ,                       ,                         ,                         ,                     ,                      ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  2,H, 5,   7.00,     14.8700,Su       ,Nannofossils                                 ,C              ,G                 ,                        ,R                    ,                      ,                      ,                       ,C                        ,C                        ,                     ,A                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  2,H, 6,   7.00,     16.3700,Su       ,Nannofossils                                 ,C              ,G                 ,R                       ,                     ,                      ,                      ,                       ,C                        ,A                        ,                     ,C                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H, 1,  65.00,     18.9500,Su       ,Nannofossils                                 ,D              ,G                 ,F                       ,                     ,                      ,                      ,                       ,C                        ,A                        ,                     ,F                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H, 3,  92.00,     22.2200,Su       ,Nannofossils                                 ,D              ,M-G               ,F                       ,R                    ,                      ,                      ,                       ,C                        ,A                        ,R                    ,C                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H, 4,  30.00,     23.1000,Su       ,Nannofossils                                 ,D              ,M                 ,?                       ,R                    ,                      ,                      ,                       ,?                        ,F                        ,F                    ,F                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H, 5,  96.00,     25.2600,Su       ,Nannofossils                                 ,A              ,G                 ,F                       ,                     ,                      ,                      ,                       ,C                        ,A                        ,                     ,F                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H, 6, 103.00,     26.8300,Su       ,Nannofossils                                 ,C              ,G                 ,?                       ,                     ,                      ,                      ,                       ,?                        ,T                        ,                     ,C                     ,                       ,T                    ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H, 7,   6.00,     27.3600,Su       ,Nannofossils                                 ,C              ,M-G               ,F                       ,R                    ,                      ,                      ,                       ,A                        ,                         ,                     ,C                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  3,H,CC,  25.00,     28.1400,Su       ,Nannofossils                                 ,F              ,G                 ,F                       ,R                    ,                      ,                      ,                       ,A                        ,F                        ,                     ,C                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H, 1,  80.00,     28.6000,Su       ,Nannofossils                                 ,               ,P-M               ,                        ,D                    ,                      ,                      ,                       ,F                        ,                         ,                     ,                      ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H, 2, 124.00,     30.5400,Su       ,Nannofossils                                 ,A              ,M-G               ,F                       ,R                    ,                      ,                      ,                       ,D                        ,C                        ,                     ,A                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H, 3, 128.00,     32.0800,Su       ,Nannofossils                                 ,A              ,M                 ,C                       ,R                    ,T                     ,                      ,                       ,D                        ,                         ,                     ,F                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H, 4,  33.00,     32.6300,Su       ,Nannofossils                                 ,A              ,M-G               ,F                       ,R                    ,F                     ,R                     ,                       ,D                        ,                         ,                     ,                      ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H, 5,   2.00,     33.8200,Su       ,Nannofossils                                 ,A              ,M-G               ,F                       ,F                    ,T                     ,R                     ,                       ,D                        ,                         ,                     ,F                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H, 6,  16.00,     35.4600,Su       ,Nannofossils                                 ,A              ,M-G               ,C                       ,R                    ,                      ,                      ,                       ,D                        ,                         ,                     ,                      ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  4,H,CC,  20.00,     37.9300,Su       ,Nannofossils                                 ,F              ,M                 ,A                       ,R                    ,T                     ,                      ,                       ,C                        ,                         ,                     ,                      ,F                      ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  5,H, 1,  40.00,     37.7000,Su       ,Nannofossils                                 ,F              ,M                 ,C                       ,C                    ,                      ,T                     ,                       ,A                        ,                         ,                     ,                      ,F                      ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  5,H, 1, 131.00,     38.6100,Su       ,Nannofossils                                 ,F              ,M-G               ,F                       ,A                    ,T                     ,R                     ,                       ,C                        ,                         ,                     ,C                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  5,H, 2,  17.00,     38.9700,Su       ,Nannofossils                                 ,C              ,G                 ,C                       ,F                    ,                      ,                      ,                       ,A                        ,F                        ,F                    ,C                     ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  5,H, 2,  61.00,     39.4100,Su       ,Nannofossils                                 ,R              ,G                 ,A                       ,                     ,                      ,T                     ,C                      ,C                        ,F                        ,                     ,                      ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1031,A,  5,H, 3,  24.00,     40.5400,Su       ,Nannofossils                                 ,F              ,P-M               ,C                       ,C                    ,C                     ,C                     ,                       ,                         ,                         ,                     ,                      ,                       ,                     ,                 ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
